;
HOPITAUX, ENSEMBLE,     . Obstétrique,   - Taux équipemt, lits/100 000 femmes de 15-44 ans;http://www.ecosante.fr/index2.php?base=DEPA&langs=FRA&langh=FRA&source=2303;
HOPITAUX, ENSEMBLE,     . Médecine,   - Taux d'équipement en lits;http://www.ecosante.fr/index2.php?base=DEPA&langs=FRA&langh=FRA&source=2303;
HOPITAUX, ENSEMBLE,     Soins de suite et réadaptation (SSR),   - Taux d'équipement en lits;http://www.ecosante.fr/index2.php?base=DEPA&langs=FRA&langh=FRA&source=2304;
HOPITAUX, ENSEMBLE,     . Chirurgie,   - Taux d'équipement en lits;http://www.ecosante.fr/index2.php?base=DEPA&langs=FRA&langh=FRA&source=2303;
HOPITAUX, ENSEMBLE,     MCO,   - Taux d'équipement en lits;http://www.ecosante.fr/index2.php?base=DEPA&langs=FRA&langh=FRA&source=2303;
HOPITAUX, ENSEMBLE,     Soins de longue durée (SLD),   - Taux d'équipement en lits;http://www.ecosante.fr/index2.php?base=DEPA&langs=FRA&langh=FRA&source=2305;
HOPITAUX, ENSEMBLE,     Total psychiatrie,   - Taux d'équipement en lits;http://www.ecosante.fr/index2.php?base=DEPA&langs=FRA&langh=FRA&source=2306;
HOPITAUX, ENSEMBLE, Section hôpital,   - Taux d'équipement en lits;http://www.ecosante.fr/index2.php?base=DEPA&langs=FRA&langh=FRA&source=317;
;
;
;2012;2012;2012;2012;2012;2012;2012;2012;;
;Hôp.ens:Obstétrique;Hôp.ens:Médecine;Hôp.ens:Soins de suite;Hôp.ens:Chirurgie;Hôp.ens:MCO;Hôp.ens:Soins long.dur.;Hôp.ens:Tot.psychiatrie;Hôp.ens:Sect.hôpital;;
;- Taux équipemt, lits/100 000 femmes de 15-44 ans;- Taux d'équipement en lits;- Taux d'équipement en lits;- Taux d'équipement en lits;- Taux d'équipement en lits;- Taux d'équipement en lits;- Taux d'équipement en lits;- Taux d'équipement en lits;;
000 France métropolitaine;168,86;185,49;158,90;124,04;341,52;50,67;89,16;640,26;;
R11 Ile-de-France;156,28;171,76;156,38;115,75;321,28;44,66;71,90;594,22;;
R21 Champagne-Ardenne;185,40;204,66;100,80;152,17;390,59;46,82;74,89;613,10;;
R22 Picardie;177,76;188,31;147,37;98,27;320,13;71,48;96,18;635,16;;
R23 Haute-Normandie;155,11;167,21;144,29;113,57;310,10;50,61;70,55;575,55;;
R24 Centre;184,81;180,41;157,83;114,37;327,43;53,25;88,74;627,25;;
R25 Basse-Normandie;196,52;230,03;152,18;121,78;385,93;47,25;74,40;659,76;;
R26 Bourgogne;161,93;231,00;170,07;129,85;388,45;50,82;103,89;713,23;;
R31 Nord-Pas-de-Calais;197,01;194,93;139,26;126,74;360,45;48,76;79,71;628,18;;
R41 Lorraine;170,21;217,21;142,69;131,84;380,58;51,71;94,01;668,99;;
R42 Alsace;182,45;199,64;142,27;132,00;367,18;60,33;71,99;641,77;;
R43 Franche-Comté;203,69;191,29;141,45;123,08;351,37;49,93;99,86;642,60;;
R52 Pays de la Loire;168,97;164,98;140,42;110,36;306,20;47,90;69,45;563,97;;
R53 Bretagne;171,85;194,03;153,29;116,89;341,23;51,68;109,76;655,96;;
R54 Poitou-Charentes;169,95;174,94;139,85;108,24;312,00;56,73;83,18;591,76;;
R72 Aquitaine;162,91;184,72;160,41;143,76;357,82;46,87;106,12;671,22;;
R73 Midi-Pyrénées;150,86;166,44;176,11;121,23;315,08;57,37;111,73;660,29;;
R74 Limousin;174,00;246,54;161,51;160,70;435,67;117,79;121,44;836,41;;
R82 Rhône-Alpes;166,82;179,04;156,25;125,15;336,48;48,11;87,03;627,88;;
R83 Auvergne;159,27;212,17;168,89;137,88;377,22;77,39;118,45;741,97;;
R91 Languedoc-Roussillon;158,18;171,65;193,20;135,95;336,19;56,44;108,95;694,78;;
R93 Provence-Alpes-Côte d'Azur;173,08;190,05;217,50;137,19;358,72;34,71;103,78;714,71;;
R94 Corse;143,65;158,10;171,38;123,63;307,98;68,93;116,68;664,97;;
;
Eco-Santé France, Régions & Départements - Mise à jour : Avril 2016;http://www.ecosante.fr/index2.php?base=DEPA&langs=FRA&langh=FRA;
