日期,温度,湿度,aqi,更新日期
2020-01-01,3℃,60%,-1,2020-01-01 00:57:00
2020-01-01,3℃,59%,-1,2020-01-01 02:08:00
2020-01-01,3℃,61%,-1,2020-01-01 03:00:00
2020-01-01,3℃,63%,-1,2020-01-01 03:57:00
2020-01-01,3℃,64%,-1,2020-01-01 04:39:00
2020-01-01,3℃,66%,-1,2020-01-01 06:06:00
2020-01-01,3℃,68%,-1,2020-01-01 07:07:00
2020-01-01,3℃,75%,-1,2020-01-01 07:59:00
2020-01-01,4℃,73%,-1,2020-01-01 09:10:00
2020-01-01,5℃,75%,-1,2020-01-01 10:10:00
2020-01-01,5℃,73%,-1,2020-01-01 11:05:00
2020-01-01,6℃,71%,-1,2020-01-01 11:58:00
2020-01-01,6℃,73%,-1,2020-01-01 13:10:00
2020-01-01,6℃,74%,-1,2020-01-01 13:57:00
2020-01-01,6℃,77%,-1,2020-01-01 14:57:00
2020-01-01,6℃,78%,-1,2020-01-01 16:07:00
2020-01-01,6℃,78%,-1,2020-01-01 16:56:00
2020-01-01,5℃,74%,-1,2020-01-01 18:10:00
2020-01-01,5℃,77%,-1,2020-01-01 19:10:00
2020-01-01,5℃,84%,-1,2020-01-01 19:56:00
2020-01-01,4℃,90%,-1,2020-01-01 21:06:00
2020-01-01,4℃,93%,-1,2020-01-01 21:48:00
2020-01-01,4℃,96%,-1,2020-01-01 22:51:00
2020-01-02,3℃,96%,-1,2020-01-02 00:07:00
2020-01-02,3℃,96%,-1,2020-01-02 01:01:00
2020-01-02,3℃,96%,-1,2020-01-02 01:52:00
2020-01-02,3℃,96%,-1,2020-01-02 02:54:00
2020-01-02,4℃,96%,-1,2020-01-02 04:03:00
2020-01-02,4℃,97%,-1,2020-01-02 05:08:00
2020-01-02,4℃,97%,-1,2020-01-02 05:50:00
2020-01-02,4℃,97%,-1,2020-01-02 07:08:00
2020-01-02,4℃,97%,-1,2020-01-02 07:50:00
2020-01-02,4℃,98%,-1,2020-01-02 09:10:00
2020-01-02,4℃,97%,-1,2020-01-02 10:10:00
2020-01-02,4℃,96%,-1,2020-01-02 11:01:00
2020-01-02,4℃,94%,-1,2020-01-02 12:04:00
2020-01-02,4℃,93%,-1,2020-01-02 13:00:00
2020-01-02,4℃,95%,-1,2020-01-02 13:46:00
2020-01-02,4℃,96%,-1,2020-01-02 14:54:00
2020-01-02,4℃,96%,-1,2020-01-02 16:07:00
2020-01-02,4℃,95%,-1,2020-01-02 17:04:00
2020-01-02,4℃,95%,-1,2020-01-02 18:08:00
2020-01-02,4℃,93%,-1,2020-01-02 19:02:00
2020-01-02,5℃,90%,-1,2020-01-02 20:08:00
2020-01-02,5℃,88%,-1,2020-01-02 20:52:00
2020-01-02,5℃,85%,-1,2020-01-02 22:04:00
2020-01-02,5℃,86%,-1,2020-01-02 22:56:00
2020-01-03,5℃,84%,-1,2020-01-03 01:08:00
2020-01-03,5℃,83%,-1,2020-01-03 02:06:00
2020-01-03,5℃,85%,-1,2020-01-03 03:00:00
2020-01-03,4℃,90%,-1,2020-01-03 03:59:00
2020-01-03,4℃,91%,-1,2020-01-03 05:02:00
2020-01-03,4℃,91%,-1,2020-01-03 06:08:00
2020-01-03,4℃,90%,-1,2020-01-03 07:04:00
2020-01-03,5℃,87%,-1,2020-01-03 08:08:00
2020-01-03,5℃,85%,-1,2020-01-03 08:50:00
2020-01-03,5℃,84%,-1,2020-01-03 09:55:00
2020-01-03,5℃,84%,-1,2020-01-03 10:46:00
2020-01-03,5℃,88%,-1,2020-01-03 12:10:00
2020-01-03,5℃,90%,-1,2020-01-03 12:58:00
2020-01-03,5℃,93%,-1,2020-01-03 14:01:00
2020-01-03,5℃,93%,-1,2020-01-03 14:50:00
2020-01-03,5℃,95%,-1,2020-01-03 15:51:00
2020-01-03,5℃,95%,-1,2020-01-03 16:59:00
2020-01-03,5℃,95%,-1,2020-01-03 17:33:00
2020-01-03,5℃,96%,-1,2020-01-03 18:55:00
2020-01-03,5℃,97%,-1,2020-01-03 19:53:00
2020-01-03,5℃,96%,-1,2020-01-03 21:08:00
2020-01-03,5℃,96%,-1,2020-01-03 22:07:00
2020-01-03,5℃,95%,-1,2020-01-03 22:55:00
2020-01-04,5℃,95%,-1,2020-01-04 00:01:00
2020-01-04,5℃,96%,-1,2020-01-04 01:07:00
2020-01-04,5℃,96%,-1,2020-01-04 02:00:00
2020-01-04,5℃,96%,-1,2020-01-04 03:01:00
2020-01-04,5℃,97%,-1,2020-01-04 04:07:00
2020-01-04,5℃,97%,-1,2020-01-04 04:50:00
2020-01-04,5℃,97%,-1,2020-01-04 06:07:00
2020-01-04,5℃,97%,-1,2020-01-04 07:00:00
2020-01-04,5℃,97%,-1,2020-01-04 08:02:00
2020-01-04,5℃,97%,-1,2020-01-04 08:44:00
2020-01-04,6℃,87%,-1,2020-01-04 10:03:00
2020-01-04,7℃,81%,-1,2020-01-04 11:09:00
2020-01-04,8℃,79%,-1,2020-01-04 11:40:00
2020-01-04,8℃,76%,-1,2020-01-04 12:36:00
2020-01-04,8℃,83%,-1,2020-01-04 14:08:00
2020-01-04,7℃,85%,-1,2020-01-04 15:05:00
2020-01-04,7℃,86%,-1,2020-01-04 15:45:00
2020-01-04,7℃,92%,-1,2020-01-04 17:02:00
2020-01-04,7℃,94%,-1,2020-01-04 17:59:00
2020-01-04,7℃,94%,-1,2020-01-04 18:51:00
2020-01-04,7℃,94%,-1,2020-01-04 19:54:00
2020-01-04,7℃,95%,-1,2020-01-04 21:03:00
2020-01-04,7℃,95%,-1,2020-01-04 22:04:00
2020-01-04,7℃,96%,-1,2020-01-04 22:56:00
2020-01-05,7℃,97%,-1,2020-01-05 00:49:00
2020-01-05,7℃,96%,-1,2020-01-05 02:03:00
2020-01-05,7℃,96%,-1,2020-01-05 03:02:00
2020-01-05,7℃,97%,-1,2020-01-05 04:07:00
2020-01-05,7℃,98%,-1,2020-01-05 04:55:00
2020-01-05,7℃,98%,-1,2020-01-05 06:08:00
2020-01-05,7℃,98%,-1,2020-01-05 06:56:00
2020-01-05,7℃,98%,-1,2020-01-05 07:56:00
2020-01-05,7℃,98%,-1,2020-01-05 09:08:00
2020-01-05,8℃,98%,-1,2020-01-05 09:57:00
2020-01-05,8℃,98%,-1,2020-01-05 11:04:00
2020-01-05,8℃,98%,-1,2020-01-05 12:07:00
2020-01-05,8℃,98%,-1,2020-01-05 13:03:00
2020-01-05,8℃,97%,-1,2020-01-05 14:04:00
2020-01-05,8℃,97%,-1,2020-01-05 14:42:00
2020-01-05,8℃,97%,-1,2020-01-05 15:49:00
2020-01-05,8℃,97%,-1,2020-01-05 16:57:00
2020-01-05,8℃,97%,-1,2020-01-05 18:03:00
2020-01-05,8℃,98%,-1,2020-01-05 19:06:00
2020-01-05,8℃,97%,-1,2020-01-05 20:10:00
2020-01-05,8℃,97%,-1,2020-01-05 21:02:00
2020-01-05,8℃,98%,-1,2020-01-05 21:52:00
2020-01-05,8℃,98%,-1,2020-01-05 23:03:00
2020-01-06,8℃,96%,-1,2020-01-06 01:07:00
2020-01-06,8℃,96%,-1,2020-01-06 02:07:00
2020-01-06,7℃,97%,-1,2020-01-06 02:59:00
2020-01-06,7℃,96%,-1,2020-01-06 04:02:00
2020-01-06,7℃,95%,-1,2020-01-06 04:56:00
2020-01-06,7℃,96%,-1,2020-01-06 06:00:00
2020-01-06,6℃,95%,-1,2020-01-06 07:03:00
2020-01-06,6℃,95%,-1,2020-01-06 07:58:00
2020-01-06,6℃,94%,-1,2020-01-06 09:07:00
2020-01-06,5℃,96%,-1,2020-01-06 09:59:00
2020-01-06,5℃,96%,-1,2020-01-06 11:09:00
2020-01-06,5℃,95%,-1,2020-01-06 11:57:00
2020-01-06,5℃,94%,-1,2020-01-06 12:52:00
2020-01-06,5℃,94%,-1,2020-01-06 13:59:00
2020-01-06,5℃,95%,-1,2020-01-06 15:04:00
2020-01-06,5℃,95%,-1,2020-01-06 15:44:00
2020-01-06,5℃,94%,-1,2020-01-06 16:42:00
2020-01-06,4℃,97%,-1,2020-01-06 17:51:00
2020-01-06,4℃,97%,-1,2020-01-06 19:05:00
2020-01-06,4℃,96%,-1,2020-01-06 19:58:00
2020-01-06,4℃,95%,-1,2020-01-06 21:03:00
2020-01-06,4℃,94%,-1,2020-01-06 22:07:00
2020-01-06,4℃,94%,-1,2020-01-06 22:58:00
2020-01-07,4℃,95%,-1,2020-01-07 00:00:00
2020-01-07,4℃,95%,-1,2020-01-07 00:56:00
2020-01-07,3℃,95%,-1,2020-01-07 02:03:00
2020-01-07,3℃,96%,-1,2020-01-07 02:56:00
2020-01-07,3℃,95%,-1,2020-01-07 04:05:00
2020-01-07,3℃,93%,-1,2020-01-07 05:03:00
2020-01-07,4℃,93%,-1,2020-01-07 06:00:00
2020-01-07,3℃,96%,-1,2020-01-07 07:06:00
2020-01-07,3℃,96%,-1,2020-01-07 08:10:00
2020-01-07,3℃,94%,-1,2020-01-07 09:04:00
2020-01-07,5℃,88%,-1,2020-01-07 10:09:00
2020-01-07,7℃,77%,-1,2020-01-07 11:10:00
2020-01-07,7℃,71%,-1,2020-01-07 12:02:00
2020-01-07,8℃,68%,-1,2020-01-07 13:08:00
2020-01-07,8℃,71%,-1,2020-01-07 13:50:00
2020-01-07,8℃,69%,-1,2020-01-07 14:55:00
2020-01-07,9℃,67%,-1,2020-01-07 15:51:00
2020-01-07,8℃,76%,-1,2020-01-07 17:02:00
2020-01-07,6℃,83%,-1,2020-01-07 18:02:00
2020-01-07,6℃,86%,-1,2020-01-07 19:01:00
2020-01-07,6℃,88%,-1,2020-01-07 19:51:00
2020-01-07,6℃,91%,-1,2020-01-07 21:05:00
2020-01-07,6℃,89%,-1,2020-01-07 22:07:00
2020-01-07,4℃,91%,-1,2020-01-07 22:57:00
2020-01-08,3℃,95%,-1,2020-01-08 00:00:00
2020-01-08,3℃,95%,-1,2020-01-08 01:10:00
2020-01-08,3℃,95%,-1,2020-01-08 01:56:00
2020-01-08,2℃,94%,-1,2020-01-08 03:04:00
2020-01-08,2℃,92%,-1,2020-01-08 04:02:00
2020-01-08,1℃,92%,-1,2020-01-08 04:58:00
2020-01-08,1℃,93%,-1,2020-01-08 05:58:00
2020-01-08,1℃,93%,-1,2020-01-08 07:03:00
2020-01-08,1℃,95%,-1,2020-01-08 07:59:00
2020-01-08,3℃,89%,-1,2020-01-08 09:01:00
2020-01-08,4℃,81%,-1,2020-01-08 10:02:00
2020-01-08,4℃,81%,-1,2020-01-08 11:08:00
2020-01-08,5℃,81%,-1,2020-01-08 11:59:00
2020-01-08,5℃,78%,-1,2020-01-08 13:00:00
2020-01-08,4℃,83%,-1,2020-01-08 13:58:00
2020-01-08,4℃,81%,-1,2020-01-08 14:53:00
2020-01-08,4℃,81%,-1,2020-01-08 16:01:00
2020-01-08,4℃,83%,-1,2020-01-08 17:10:00
2020-01-08,4℃,80%,-1,2020-01-08 17:52:00
2020-01-08,3℃,88%,-1,2020-01-08 19:07:00
2020-01-08,3℃,90%,-1,2020-01-08 19:58:00
2020-01-08,2℃,94%,-1,2020-01-08 20:50:00
2020-01-08,2℃,94%,-1,2020-01-08 22:03:00
2020-01-08,2℃,94%,-1,2020-01-08 23:04:00
2020-01-09,2℃,94%,-1,2020-01-09 00:04:00
2020-01-09,2℃,95%,-1,2020-01-09 00:52:00
2020-01-09,2℃,96%,-1,2020-01-09 01:57:00
2020-01-09,1℃,97%,-1,2020-01-09 03:07:00
2020-01-09,1℃,97%,-1,2020-01-09 04:05:00
2020-01-09,1℃,97%,-1,2020-01-09 05:01:00
2020-01-09,1℃,97%,-1,2020-01-09 06:02:00
2020-01-09,1℃,96%,-1,2020-01-09 07:01:00
2020-01-09,1℃,96%,-1,2020-01-09 07:58:00
2020-01-09,1℃,97%,-1,2020-01-09 08:59:00
2020-01-09,1℃,97%,-1,2020-01-09 10:04:00
2020-01-09,1℃,97%,-1,2020-01-09 11:14:00
2020-01-09,1℃,96%,-1,2020-01-09 11:53:00
2020-01-09,2℃,96%,-1,2020-01-09 12:58:00
2020-01-09,2℃,94%,-1,2020-01-09 14:07:00
2020-01-09,2℃,94%,-1,2020-01-09 15:01:00
2020-01-09,2℃,93%,-1,2020-01-09 15:57:00
2020-01-09,2℃,94%,-1,2020-01-09 16:55:00
2020-01-09,2℃,95%,-1,2020-01-09 17:58:00
2020-01-09,2℃,95%,-1,2020-01-09 19:05:00
2020-01-09,2℃,96%,-1,2020-01-09 20:09:00
2020-01-09,2℃,94%,-1,2020-01-09 21:04:00
2020-01-09,2℃,93%,-1,2020-01-09 22:04:00
2020-01-09,2℃,92%,-1,2020-01-09 23:01:00
2020-01-10,2℃,92%,-1,2020-01-10 00:57:00
2020-01-10,2℃,92%,-1,2020-01-10 02:04:00
2020-01-10,2℃,94%,-1,2020-01-10 03:10:00
2020-01-10,2℃,95%,-1,2020-01-10 04:07:00
2020-01-10,2℃,96%,-1,2020-01-10 04:56:00
2020-01-10,2℃,96%,-1,2020-01-10 06:01:00
2020-01-10,2℃,96%,-1,2020-01-10 06:58:00
2020-01-10,2℃,96%,-1,2020-01-10 08:05:00
2020-01-10,2℃,96%,-1,2020-01-10 09:00:00
2020-01-10,2℃,95%,-1,2020-01-10 10:04:00
2020-01-10,2℃,95%,-1,2020-01-10 11:05:00
2020-01-10,2℃,96%,-1,2020-01-10 12:04:00
2020-01-10,2℃,96%,-1,2020-01-10 12:59:00
2020-01-10,2℃,96%,-1,2020-01-10 13:47:00
2020-01-10,2℃,96%,-1,2020-01-10 14:53:00
2020-01-10,2℃,94%,-1,2020-01-10 16:01:00
2020-01-10,2℃,94%,-1,2020-01-10 16:55:00
2020-01-10,2℃,94%,-1,2020-01-10 18:05:00
2020-01-10,2℃,93%,-1,2020-01-10 18:57:00
2020-01-10,2℃,92%,-1,2020-01-10 19:52:00
2020-01-10,2℃,92%,-1,2020-01-10 21:05:00
2020-01-10,3℃,93%,-1,2020-01-10 22:02:00
2020-01-10,3℃,93%,-1,2020-01-10 23:08:00
2020-01-11,3℃,91%,-1,2020-01-11 01:06:00
2020-01-11,2℃,91%,-1,2020-01-11 01:52:00
2020-01-11,3℃,89%,-1,2020-01-11 02:48:00
2020-01-11,3℃,88%,-1,2020-01-11 04:09:00
2020-01-11,3℃,88%,-1,2020-01-11 04:57:00
2020-01-11,3℃,89%,-1,2020-01-11 06:09:00
2020-01-11,3℃,89%,-1,2020-01-11 06:53:00
2020-01-11,3℃,90%,-1,2020-01-11 08:01:00
2020-01-11,3℃,88%,-1,2020-01-11 09:00:00
2020-01-11,4℃,86%,-1,2020-01-11 10:00:00
2020-01-11,4℃,86%,-1,2020-01-11 10:38:00
2020-01-11,5℃,81%,-1,2020-01-11 12:07:00
2020-01-11,5℃,76%,-1,2020-01-11 12:59:00
2020-01-11,6℃,73%,-1,2020-01-11 14:03:00
2020-01-11,6℃,71%,-1,2020-01-11 14:59:00
2020-01-11,7℃,66%,-1,2020-01-11 15:55:00
2020-01-11,7℃,70%,-1,2020-01-11 16:44:00
2020-01-11,5℃,80%,-1,2020-01-11 17:52:00
2020-01-11,4℃,85%,-1,2020-01-11 19:00:00
2020-01-11,2℃,93%,-1,2020-01-11 20:05:00
2020-01-11,2℃,93%,-1,2020-01-11 20:57:00
2020-01-11,2℃,94%,-1,2020-01-11 22:04:00
2020-01-11,2℃,94%,-1,2020-01-11 22:50:00
2020-01-12,2℃,97%,-1,2020-01-12 01:00:00
2020-01-12,1℃,97%,-1,2020-01-12 02:00:00
2020-01-12,0℃,98%,-1,2020-01-12 03:00:00
2020-01-12,-1℃,98%,-1,2020-01-12 04:00:00
2020-01-12,0℃,98%,-1,2020-01-12 05:00:00
2020-01-12,0℃,98%,-1,2020-01-12 05:33:00
2020-01-12,-1℃,98%,-1,2020-01-12 07:02:00
2020-01-12,-1℃,98%,-1,2020-01-12 08:02:00
2020-01-12,0℃,99%,-1,2020-01-12 09:10:00
2020-01-12,2℃,99%,-1,2020-01-12 10:00:00
2020-01-12,5℃,89%,-1,2020-01-12 10:58:00
2020-01-12,8℃,65%,-1,2020-01-12 12:10:00
2020-01-12,9℃,66%,-1,2020-01-12 13:04:00
2020-01-12,9℃,58%,-1,2020-01-12 14:07:00
2020-01-12,8℃,62%,-1,2020-01-12 14:55:00
2020-01-12,8℃,62%,-1,2020-01-12 16:00:00
2020-01-12,7℃,65%,-1,2020-01-12 16:57:00
2020-01-12,5℃,74%,-1,2020-01-12 17:58:00
2020-01-12,4℃,81%,-1,2020-01-12 18:43:00
2020-01-12,3℃,86%,-1,2020-01-12 20:00:00
2020-01-12,2℃,90%,-1,2020-01-12 21:05:00
2020-01-12,1℃,94%,-1,2020-01-12 22:00:00
2020-01-12,2℃,96%,-1,2020-01-12 22:58:00
2020-01-13,1℃,96%,-1,2020-01-13 00:01:00
2020-01-13,0℃,96%,-1,2020-01-13 00:50:00
