日期,温度,湿度,aqi,更新日期
2020-01-01,1℃,47%,79,2020-01-01 00:10:00
2020-01-01,1℃,47%,80,2020-01-01 01:05:00
2020-01-01,1℃,48%,90,2020-01-01 02:08:00
2020-01-01,0℃,49%,85,2020-01-01 03:00:00
2020-01-01,1℃,49%,89,2020-01-01 03:57:00
2020-01-01,1℃,50%,84,2020-01-01 05:10:00
2020-01-01,1℃,51%,79,2020-01-01 05:55:00
2020-01-01,1℃,49%,78,2020-01-01 07:07:00
2020-01-01,1℃,50%,79,2020-01-01 07:59:00
2020-01-01,1℃,51%,84,2020-01-01 08:47:00
2020-01-01,2℃,52%,84,2020-01-01 09:46:00
2020-01-01,2℃,53%,83,2020-01-01 11:05:00
2020-01-01,2℃,54%,94,2020-01-01 11:58:00
2020-01-01,2℃,50%,105,2020-01-01 12:57:00
2020-01-01,3℃,51%,94,2020-01-01 13:53:00
2020-01-01,2℃,53%,89,2020-01-01 14:57:00
2020-01-01,2℃,61%,84,2020-01-01 16:07:00
2020-01-01,2℃,67%,84,2020-01-01 17:04:00
2020-01-01,2℃,70%,104,2020-01-01 18:10:00
2020-01-01,1℃,83%,112,2020-01-01 19:09:00
2020-01-01,1℃,84%,118,2020-01-01 19:50:00
2020-01-01,1℃,90%,133,2020-01-01 21:06:00
2020-01-01,1℃,92%,139,2020-01-01 22:11:00
2020-01-01,1℃,95%,143,2020-01-01 22:51:00
2020-01-02,1℃,95%,143,2020-01-02 01:01:00
2020-01-02,1℃,96%,138,2020-01-02 01:52:00
2020-01-02,1℃,95%,129,2020-01-02 02:54:00
2020-01-02,1℃,94%,128,2020-01-02 03:51:00
2020-01-02,1℃,93%,118,2020-01-02 05:08:00
2020-01-02,1℃,94%,122,2020-01-02 06:02:00
2020-01-02,1℃,93%,117,2020-01-02 07:08:00
2020-01-02,2℃,91%,127,2020-01-02 07:50:00
2020-01-02,3℃,87%,120,2020-01-02 09:10:00
2020-01-02,3℃,83%,127,2020-01-02 10:10:00
