日期,温度,湿度,aqi,更新日期
2020-01-01,-3℃,52%,107,2020-01-01 00:10:00
2020-01-01,-6℃,61%,93,2020-01-01 00:57:00
2020-01-01,-7℃,71%,90,2020-01-01 02:08:00
2020-01-01,-7℃,92%,88,2020-01-01 03:14:00
2020-01-01,-7℃,93%,104,2020-01-01 03:57:00
2020-01-01,-5℃,95%,88,2020-01-01 04:39:00
2020-01-01,-6℃,84%,93,2020-01-01 06:06:00
2020-01-01,-6℃,79%,86,2020-01-01 07:06:00
2020-01-01,-6℃,84%,86,2020-01-01 08:00:00
2020-01-01,-4℃,81%,88,2020-01-01 09:10:00
2020-01-01,-3℃,79%,92,2020-01-01 09:34:00
2020-01-01,0℃,65%,95,2020-01-01 11:05:00
2020-01-01,1℃,57%,108,2020-01-01 11:58:00
2020-01-01,1℃,55%,104,2020-01-01 13:04:00
2020-01-01,2℃,50%,117,2020-01-01 13:53:00
2020-01-01,3℃,46%,127,2020-01-01 14:57:00
2020-01-01,3℃,43%,105,2020-01-01 16:07:00
2020-01-01,3℃,41%,117,2020-01-01 17:04:00
2020-01-01,0℃,57%,104,2020-01-01 18:10:00
2020-01-01,-3℃,72%,97,2020-01-01 19:10:00
2020-01-01,-4℃,77%,104,2020-01-01 19:50:00
2020-01-01,-6℃,82%,115,2020-01-01 21:06:00
2020-01-01,-5℃,81%,108,2020-01-01 21:48:00
2020-01-01,-6℃,84%,92,2020-01-01 22:49:00
2020-01-02,-8℃,89%,82,2020-01-02 01:03:00
2020-01-02,-9℃,90%,77,2020-01-02 02:03:00
2020-01-02,-8℃,91%,73,2020-01-02 02:54:00
2020-01-02,-9℃,94%,82,2020-01-02 04:10:00
2020-01-02,-10℃,93%,75,2020-01-02 05:08:00
2020-01-02,-10℃,92%,68,2020-01-02 05:50:00
2020-01-02,-9℃,94%,68,2020-01-02 07:08:00
2020-01-02,-8℃,95%,78,2020-01-02 07:51:00
2020-01-02,-5℃,76%,80,2020-01-02 09:10:00
2020-01-02,-4℃,82%,80,2020-01-02 10:10:00
2020-01-02,-3℃,86%,85,2020-01-02 11:01:00
2020-01-02,-3℃,82%,83,2020-01-02 12:04:00
2020-01-02,-3℃,79%,105,2020-01-02 12:57:00
2020-01-02,-2℃,75%,110,2020-01-02 13:50:00
2020-01-02,0℃,66%,85,2020-01-02 14:54:00
2020-01-02,1℃,56%,80,2020-01-02 16:04:00
2020-01-02,0℃,61%,74,2020-01-02 17:04:00
2020-01-02,-1℃,66%,87,2020-01-02 17:45:00
2020-01-02,-5℃,81%,90,2020-01-02 19:02:00
2020-01-02,-5℃,81%,109,2020-01-02 20:08:00
2020-01-02,-5℃,83%,113,2020-01-02 20:49:00
2020-01-02,-4℃,78%,100,2020-01-02 22:10:00
2020-01-02,-4℃,79%,115,2020-01-02 22:56:00
2020-01-03,-1℃,67%,100,2020-01-03 00:10:00
2020-01-03,-7℃,87%,102,2020-01-03 01:07:00
2020-01-03,-8℃,92%,107,2020-01-03 02:06:00
2020-01-03,-9℃,91%,105,2020-01-03 03:00:00
2020-01-03,-9℃,92%,104,2020-01-03 04:00:00
2020-01-03,-10℃,92%,104,2020-01-03 05:05:00
2020-01-03,-10℃,92%,107,2020-01-03 06:08:00
2020-01-03,-11℃,87%,102,2020-01-03 07:05:00
2020-01-03,-10℃,91%,103,2020-01-03 07:48:00
2020-01-03,-7℃,90%,107,2020-01-03 09:06:00
2020-01-03,-6℃,87%,115,2020-01-03 09:53:00
2020-01-03,-2℃,75%,117,2020-01-03 11:15:00
2020-01-03,0℃,59%,117,2020-01-03 12:10:00
2020-01-03,1℃,52%,134,2020-01-03 12:47:00
2020-01-03,4℃,37%,145,2020-01-03 14:01:00
2020-01-03,5℃,33%,152,2020-01-03 14:50:00
2020-01-03,5℃,31%,143,2020-01-03 15:50:00
2020-01-03,3℃,37%,130,2020-01-03 17:05:00
2020-01-03,2℃,48%,135,2020-01-03 18:10:00
2020-01-03,-2℃,55%,143,2020-01-03 18:53:00
2020-01-03,-4℃,62%,163,2020-01-03 20:02:00
2020-01-03,-5℃,59%,159,2020-01-03 21:15:00
2020-01-03,-5℃,57%,159,2020-01-03 22:07:00
2020-01-03,-4℃,51%,150,2020-01-03 22:55:00
2020-01-04,-6℃,57%,149,2020-01-04 00:01:00
2020-01-04,-7℃,66%,143,2020-01-04 01:07:00
2020-01-04,-7℃,71%,123,2020-01-04 02:07:00
2020-01-04,-7℃,72%,124,2020-01-04 03:01:00
2020-01-04,-6℃,67%,118,2020-01-04 04:04:00
2020-01-04,-5℃,64%,127,2020-01-04 04:50:00
2020-01-04,-4℃,63%,120,2020-01-04 06:07:00
2020-01-04,-5℃,64%,127,2020-01-04 06:58:00
2020-01-04,-4℃,60%,142,2020-01-04 07:51:00
2020-01-04,-5℃,69%,119,2020-01-04 08:44:00
2020-01-04,-3℃,62%,120,2020-01-04 09:45:00
2020-01-04,-1℃,50%,132,2020-01-04 11:09:00
2020-01-04,0℃,47%,139,2020-01-04 11:40:00
2020-01-04,1℃,44%,139,2020-01-04 12:36:00
2020-01-04,3℃,35%,114,2020-01-04 14:06:00
2020-01-04,4℃,33%,120,2020-01-04 15:05:00
2020-01-04,5℃,29%,119,2020-01-04 16:10:00
2020-01-04,4℃,34%,120,2020-01-04 17:02:00
2020-01-04,0℃,46%,117,2020-01-04 17:59:00
2020-01-04,1℃,59%,129,2020-01-04 18:58:00
2020-01-04,0℃,66%,145,2020-01-04 19:54:00
2020-01-04,0℃,70%,137,2020-01-04 21:03:00
2020-01-04,0℃,73%,139,2020-01-04 22:04:00
2020-01-04,-1℃,76%,130,2020-01-04 22:56:00
2020-01-05,-3℃,82%,56,2020-01-05 00:49:00
2020-01-05,-1℃,79%,52,2020-01-05 02:03:00
2020-01-05,-2℃,81%,55,2020-01-05 03:02:00
2020-01-05,-1℃,79%,63,2020-01-05 04:03:00
2020-01-05,-2℃,80%,72,2020-01-05 04:55:00
2020-01-05,-2℃,82%,68,2020-01-05 06:08:00
2020-01-05,-1℃,78%,72,2020-01-05 06:56:00
2020-01-05,-2℃,82%,74,2020-01-05 07:56:00
2020-01-05,-2℃,82%,74,2020-01-05 08:43:00
2020-01-05,-1℃,69%,77,2020-01-05 09:57:00
2020-01-05,-1℃,63%,78,2020-01-05 11:04:00
2020-01-05,0℃,63%,74,2020-01-05 11:49:00
2020-01-05,0℃,60%,71,2020-01-05 13:03:00
2020-01-05,0℃,57%,73,2020-01-05 14:05:00
2020-01-05,1℃,46%,66,2020-01-05 15:05:00
2020-01-05,1℃,46%,68,2020-01-05 15:50:00
2020-01-05,0℃,42%,63,2020-01-05 16:57:00
2020-01-05,0℃,37%,66,2020-01-05 18:03:00
2020-01-05,-1℃,39%,64,2020-01-05 19:06:00
2020-01-05,-1℃,40%,67,2020-01-05 19:42:00
2020-01-05,-3℃,34%,71,2020-01-05 21:02:00
2020-01-05,-3℃,31%,72,2020-01-05 22:05:00
2020-01-05,-6℃,46%,68,2020-01-05 23:02:00
2020-01-06,-5℃,41%,62,2020-01-06 00:10:00
2020-01-06,-4℃,33%,57,2020-01-06 00:58:00
2020-01-06,-4℃,42%,52,2020-01-06 01:54:00
2020-01-06,-5℃,47%,54,2020-01-06 02:59:00
2020-01-06,-4℃,43%,54,2020-01-06 04:02:00
2020-01-06,-5℃,46%,54,2020-01-06 04:56:00
2020-01-06,-4℃,45%,52,2020-01-06 06:00:00
2020-01-06,-4℃,48%,57,2020-01-06 07:03:00
2020-01-06,-5℃,51%,55,2020-01-06 07:58:00
2020-01-06,-5℃,71%,55,2020-01-06 08:47:00
2020-01-06,-5℃,81%,55,2020-01-06 10:00:00
2020-01-06,-4℃,70%,47,2020-01-06 11:01:00
2020-01-06,-3℃,69%,43,2020-01-06 11:54:00
2020-01-06,-2℃,63%,43,2020-01-06 12:52:00
2020-01-06,-2℃,54%,43,2020-01-06 14:09:00
2020-01-06,-1℃,52%,43,2020-01-06 15:04:00
2020-01-06,-1℃,55%,45,2020-01-06 15:45:00
2020-01-06,-2℃,61%,49,2020-01-06 16:47:00
2020-01-06,-4℃,73%,52,2020-01-06 18:09:00
2020-01-06,-5℃,77%,69,2020-01-06 19:05:00
2020-01-06,-5℃,78%,62,2020-01-06 19:55:00
2020-01-06,-5℃,78%,65,2020-01-06 20:49:00
2020-01-06,-5℃,82%,59,2020-01-06 22:07:00
2020-01-06,-4℃,80%,62,2020-01-06 23:06:00
2020-01-07,-5℃,82%,54,2020-01-07 00:01:00
2020-01-07,-5℃,85%,54,2020-01-07 00:56:00
2020-01-07,-5℃,87%,54,2020-01-07 02:03:00
2020-01-07,-6℃,91%,63,2020-01-07 02:56:00
2020-01-07,-7℃,95%,62,2020-01-07 03:45:00
2020-01-07,-8℃,93%,64,2020-01-07 05:03:00
2020-01-07,-10℃,92%,69,2020-01-07 06:07:00
2020-01-07,-9℃,94%,68,2020-01-07 07:06:00
2020-01-07,-11℃,91%,63,2020-01-07 07:47:00
2020-01-07,-10℃,96%,65,2020-01-07 09:01:00
2020-01-07,-6℃,94%,68,2020-01-07 10:05:00
2020-01-07,-3℃,81%,74,2020-01-07 11:09:00
2020-01-07,-2℃,67%,75,2020-01-07 11:49:00
2020-01-07,-1℃,59%,79,2020-01-07 13:08:00
2020-01-07,0℃,56%,78,2020-01-07 13:50:00
2020-01-07,1℃,49%,69,2020-01-07 14:55:00
2020-01-07,2℃,46%,79,2020-01-07 15:57:00
2020-01-07,2℃,45%,74,2020-01-07 17:05:00
2020-01-07,-1℃,57%,83,2020-01-07 18:02:00
2020-01-07,-5℃,80%,79,2020-01-07 19:01:00
2020-01-07,-4℃,78%,89,2020-01-07 19:50:00
2020-01-07,-4℃,73%,84,2020-01-07 20:52:00
2020-01-07,-6℃,78%,94,2020-01-07 22:07:00
2020-01-07,-6℃,78%,82,2020-01-07 22:56:00
2020-01-08,-7℃,84%,95,2020-01-08 00:00:00
2020-01-08,-7℃,85%,87,2020-01-08 01:10:00
2020-01-08,-7℃,84%,78,2020-01-08 01:59:00
2020-01-08,-7℃,87%,74,2020-01-08 03:00:00
2020-01-08,-7℃,87%,80,2020-01-08 04:10:00
2020-01-08,-7℃,87%,85,2020-01-08 04:58:00
2020-01-08,-8℃,87%,88,2020-01-08 05:59:00
2020-01-08,-10℃,89%,80,2020-01-08 06:47:00
2020-01-08,-10℃,92%,92,2020-01-08 07:59:00
2020-01-08,-9℃,91%,93,2020-01-08 09:01:00
2020-01-08,-6℃,87%,102,2020-01-08 09:48:00
2020-01-08,-2℃,66%,102,2020-01-08 11:08:00
2020-01-08,0℃,55%,105,2020-01-08 12:08:00
2020-01-08,0℃,53%,109,2020-01-08 13:00:00
2020-01-08,2℃,48%,134,2020-01-08 13:56:00
2020-01-08,1℃,50%,125,2020-01-08 14:53:00
2020-01-08,1℃,50%,123,2020-01-08 16:04:00
2020-01-08,0℃,54%,138,2020-01-08 17:10:00
2020-01-08,-1℃,60%,117,2020-01-08 18:03:00
2020-01-08,0℃,60%,134,2020-01-08 18:56:00
2020-01-08,0℃,59%,134,2020-01-08 19:58:00
2020-01-08,-1℃,64%,147,2020-01-08 20:47:00
2020-01-08,-1℃,63%,145,2020-01-08 22:03:00
2020-01-08,-1℃,63%,115,2020-01-08 22:58:00
2020-01-09,-1℃,64%,104,2020-01-09 00:04:00
2020-01-09,-1℃,63%,97,2020-01-09 01:09:00
2020-01-09,-2℃,63%,87,2020-01-09 01:57:00
2020-01-09,-3℃,64%,84,2020-01-09 03:07:00
2020-01-09,-3℃,65%,83,2020-01-09 04:05:00
2020-01-09,-3℃,66%,83,2020-01-09 05:01:00
2020-01-09,-3℃,69%,82,2020-01-09 06:02:00
2020-01-09,-4℃,68%,79,2020-01-09 07:01:00
2020-01-09,-4℃,70%,84,2020-01-09 07:58:00
2020-01-09,-4℃,72%,97,2020-01-09 08:59:00
2020-01-09,-4℃,80%,97,2020-01-09 09:56:00
2020-01-09,-4℃,82%,93,2020-01-09 10:53:00
2020-01-09,-3℃,85%,94,2020-01-09 11:59:00
2020-01-09,-3℃,82%,89,2020-01-09 12:58:00
2020-01-09,-2℃,80%,90,2020-01-09 13:53:00
2020-01-09,-2℃,74%,84,2020-01-09 15:01:00
2020-01-09,-2℃,77%,79,2020-01-09 15:57:00
2020-01-09,-2℃,76%,64,2020-01-09 16:55:00
2020-01-09,-3℃,79%,64,2020-01-09 17:58:00
2020-01-09,-3℃,85%,68,2020-01-09 19:05:00
2020-01-09,-3℃,87%,63,2020-01-09 20:02:00
2020-01-09,-3℃,89%,67,2020-01-09 21:04:00
2020-01-09,-4℃,84%,67,2020-01-09 22:04:00
2020-01-09,-4℃,85%,73,2020-01-09 23:01:00
2020-01-10,-5℃,93%,69,2020-01-10 00:57:00
2020-01-10,-5℃,93%,68,2020-01-10 02:03:00
2020-01-10,-5℃,93%,69,2020-01-10 03:10:00
2020-01-10,-6℃,94%,70,2020-01-10 04:07:00
2020-01-10,-6℃,95%,68,2020-01-10 05:10:00
2020-01-10,-6℃,94%,65,2020-01-10 05:55:00
2020-01-10,-6℃,96%,69,2020-01-10 06:48:00
2020-01-10,-6℃,97%,74,2020-01-10 08:03:00
2020-01-10,-6℃,95%,74,2020-01-10 09:10:00
2020-01-10,-5℃,90%,69,2020-01-10 10:04:00
2020-01-10,-4℃,87%,68,2020-01-10 10:55:00
2020-01-10,-4℃,84%,65,2020-01-10 11:56:00
2020-01-10,-3℃,76%,65,2020-01-10 12:59:00
2020-01-10,-4℃,78%,69,2020-01-10 13:47:00
2020-01-10,-4℃,77%,67,2020-01-10 14:57:00
2020-01-10,-4℃,79%,65,2020-01-10 16:01:00
2020-01-10,-4℃,79%,69,2020-01-10 16:55:00
2020-01-10,-4℃,78%,72,2020-01-10 17:30:00
2020-01-10,-4℃,83%,74,2020-01-10 18:57:00
2020-01-10,-5℃,91%,77,2020-01-10 20:02:00
2020-01-10,-5℃,90%,82,2020-01-10 21:06:00
2020-01-10,-4℃,91%,77,2020-01-10 22:02:00
2020-01-10,-6℃,92%,62,2020-01-10 22:56:00
2020-01-11,-10℃,94%,50,2020-01-11 01:05:00
2020-01-11,-7℃,98%,53,2020-01-11 01:49:00
2020-01-11,-6℃,97%,54,2020-01-11 02:58:00
2020-01-11,-7℃,98%,57,2020-01-11 04:07:00
2020-01-11,-7℃,98%,59,2020-01-11 04:57:00
2020-01-11,-7℃,97%,64,2020-01-11 06:09:00
2020-01-11,-7℃,96%,72,2020-01-11 06:53:00
2020-01-11,-8℃,96%,74,2020-01-11 08:01:00
2020-01-11,-9℃,99%,74,2020-01-11 09:01:00
2020-01-11,-9℃,98%,77,2020-01-11 10:02:00
2020-01-11,-8℃,93%,84,2020-01-11 10:50:00
2020-01-11,-4℃,73%,88,2020-01-11 11:57:00
2020-01-11,-2℃,61%,98,2020-01-11 12:59:00
2020-01-11,0℃,51%,99,2020-01-11 14:03:00
2020-01-11,0℃,52%,119,2020-01-11 14:59:00
2020-01-11,1℃,52%,112,2020-01-11 15:55:00
2020-01-11,1℃,52%,122,2020-01-11 16:44:00
2020-01-11,0℃,67%,125,2020-01-11 17:52:00
2020-01-11,-2℃,68%,130,2020-01-11 19:00:00
2020-01-11,-2℃,70%,114,2020-01-11 20:05:00
2020-01-11,-5℃,75%,84,2020-01-11 21:08:00
2020-01-11,-7℃,80%,73,2020-01-11 22:04:00
2020-01-11,-7℃,79%,69,2020-01-11 22:50:00
2020-01-12,-5℃,75%,72,2020-01-12 01:10:00
2020-01-12,-7℃,75%,74,2020-01-12 02:00:00
2020-01-12,-6℃,73%,63,2020-01-12 03:00:00
2020-01-12,-6℃,77%,64,2020-01-12 04:00:00
