日期,温度,湿度,aqi,更新日期
2020-01-01,-9℃,44%,54,2020-01-01 01:05:00
2020-01-01,-9℃,46%,50,2020-01-01 02:08:00
2020-01-01,-9℃,49%,43,2020-01-01 03:00:00
2020-01-01,-9℃,50%,38,2020-01-01 03:57:00
2020-01-01,-10℃,49%,41,2020-01-01 05:10:00
2020-01-01,-10℃,49%,45,2020-01-01 06:06:00
2020-01-01,-10℃,51%,45,2020-01-01 07:07:00
2020-01-01,-10℃,51%,48,2020-01-01 07:59:00
2020-01-01,-7℃,38%,45,2020-01-01 09:10:00
2020-01-01,-3℃,25%,44,2020-01-01 11:05:00
2020-01-01,-2℃,23%,47,2020-01-01 11:58:00
2020-01-01,-1℃,20%,48,2020-01-01 13:04:00
2020-01-01,0℃,20%,52,2020-01-01 14:09:00
2020-01-01,0℃,19%,55,2020-01-01 14:57:00
2020-01-01,0℃,18%,55,2020-01-01 16:07:00
2020-01-01,-1℃,22%,54,2020-01-01 17:04:00
2020-01-01,-2℃,27%,53,2020-01-01 18:10:00
2020-01-01,-3℃,32%,58,2020-01-01 19:10:00
2020-01-01,-5℃,36%,60,2020-01-01 19:57:00
2020-01-01,-6℃,44%,63,2020-01-01 21:06:00
2020-01-01,-6℃,44%,66,2020-01-01 21:48:00
2020-01-01,-7℃,48%,68,2020-01-01 22:51:00
2020-01-02,-7℃,51%,67,2020-01-02 00:07:00
2020-01-02,-8℃,52%,65,2020-01-02 01:04:00
2020-01-02,-8℃,55%,64,2020-01-02 01:57:00
2020-01-02,-8℃,53%,69,2020-01-02 03:06:00
2020-01-02,-9℃,58%,67,2020-01-02 04:03:00
2020-01-02,-10℃,62%,63,2020-01-02 05:08:00
2020-01-02,-10℃,63%,62,2020-01-02 05:50:00
2020-01-02,-9℃,61%,60,2020-01-02 07:08:00
2020-01-02,-8℃,55%,57,2020-01-02 07:50:00
2020-01-02,-4℃,41%,59,2020-01-02 09:10:00
2020-01-02,-1℃,34%,66,2020-01-02 10:10:00
2020-01-02,0℃,29%,68,2020-01-02 11:01:00
2020-01-02,1℃,26%,74,2020-01-02 12:05:00
2020-01-02,2℃,24%,68,2020-01-02 13:00:00
2020-01-02,3℃,23%,69,2020-01-02 13:50:00
2020-01-02,4℃,23%,65,2020-01-02 15:10:00
2020-01-02,2℃,24%,58,2020-01-02 16:07:00
2020-01-02,1℃,26%,67,2020-01-02 17:04:00
2020-01-02,0℃,29%,64,2020-01-02 18:08:00
2020-01-02,-1℃,34%,74,2020-01-02 19:02:00
2020-01-02,-2℃,42%,74,2020-01-02 20:08:00
2020-01-02,-3℃,46%,79,2020-01-02 20:49:00
2020-01-02,-4℃,48%,87,2020-01-02 22:04:00
2020-01-02,-4℃,51%,89,2020-01-02 22:56:00
2020-01-03,-5℃,55%,93,2020-01-03 00:10:00
2020-01-03,-6℃,59%,89,2020-01-03 01:08:00
2020-01-03,-6℃,61%,87,2020-01-03 02:06:00
2020-01-03,-7℃,62%,87,2020-01-03 02:58:00
2020-01-03,-7℃,64%,83,2020-01-03 04:00:00
2020-01-03,-7℃,66%,70,2020-01-03 05:02:00
2020-01-03,-7℃,71%,58,2020-01-03 06:08:00
2020-01-03,-7℃,73%,54,2020-01-03 07:04:00
2020-01-03,-6℃,73%,52,2020-01-03 08:08:00
2020-01-03,-3℃,56%,54,2020-01-03 08:50:00
2020-01-03,0℃,37%,56,2020-01-03 09:55:00
2020-01-03,2℃,29%,52,2020-01-03 10:46:00
2020-01-03,4℃,27%,46,2020-01-03 11:57:00
2020-01-03,5℃,25%,40,2020-01-03 12:47:00
2020-01-03,7℃,22%,53,2020-01-03 14:01:00
2020-01-03,7℃,22%,59,2020-01-03 15:06:00
2020-01-03,6℃,23%,63,2020-01-03 15:50:00
2020-01-03,3℃,29%,62,2020-01-03 17:05:00
2020-01-03,1℃,37%,72,2020-01-03 18:10:00
2020-01-03,0℃,39%,74,2020-01-03 18:53:00
2020-01-03,-1℃,45%,79,2020-01-03 20:02:00
2020-01-03,-2℃,49%,84,2020-01-03 21:08:00
