日期,温度,湿度,aqi,更新日期
2020-01-01,0℃,79%,53,2020-01-01 01:05:00
2020-01-01,0℃,79%,53,2020-01-01 01:49:00
2020-01-01,0℃,80%,53,2020-01-01 03:00:00
2020-01-01,0℃,77%,56,2020-01-01 04:02:00
2020-01-01,0℃,77%,56,2020-01-01 05:10:00
2020-01-01,0℃,76%,55,2020-01-01 06:06:00
2020-01-01,0℃,75%,54,2020-01-01 07:07:00
2020-01-01,0℃,76%,52,2020-01-01 08:00:00
2020-01-01,1℃,75%,51,2020-01-01 09:10:00
2020-01-01,2℃,70%,52,2020-01-01 10:10:00
2020-01-01,3℃,65%,49,2020-01-01 11:05:00
2020-01-01,4℃,64%,51,2020-01-01 11:58:00
2020-01-01,6℃,58%,53,2020-01-01 13:10:00
2020-01-01,6℃,54%,53,2020-01-01 14:01:00
2020-01-01,7℃,55%,56,2020-01-01 14:45:00
2020-01-01,7℃,56%,57,2020-01-01 16:07:00
2020-01-01,6℃,58%,58,2020-01-01 17:04:00
2020-01-01,6℃,62%,61,2020-01-01 18:05:00
2020-01-01,6℃,63%,61,2020-01-01 19:09:00
2020-01-01,6℃,66%,61,2020-01-01 19:56:00
2020-01-01,6℃,69%,60,2020-01-01 21:06:00
2020-01-01,6℃,69%,58,2020-01-01 21:48:00
2020-01-01,5℃,77%,57,2020-01-01 22:51:00
2020-01-02,5℃,80%,57,2020-01-02 00:07:00
2020-01-02,5℃,88%,56,2020-01-02 01:01:00
2020-01-02,5℃,90%,57,2020-01-02 01:58:00
2020-01-02,5℃,87%,57,2020-01-02 02:54:00
2020-01-02,5℃,89%,54,2020-01-02 04:07:00
2020-01-02,5℃,88%,53,2020-01-02 05:08:00
2020-01-02,5℃,92%,53,2020-01-02 05:50:00
2020-01-02,5℃,98%,60,2020-01-02 06:42:00
2020-01-02,5℃,100%,63,2020-01-02 07:50:00
2020-01-02,6℃,100%,67,2020-01-02 09:10:00
2020-01-02,7℃,93%,69,2020-01-02 10:10:00
2020-01-02,7℃,87%,69,2020-01-02 11:01:00
2020-01-02,8℃,85%,68,2020-01-02 12:04:00
2020-01-02,8℃,85%,69,2020-01-02 12:57:00
2020-01-02,8℃,80%,69,2020-01-02 13:47:00
2020-01-02,9℃,81%,75,2020-01-02 15:10:00
2020-01-02,8℃,82%,74,2020-01-02 16:04:00
2020-01-02,8℃,82%,77,2020-01-02 17:04:00
2020-01-02,8℃,84%,77,2020-01-02 18:04:00
2020-01-02,8℃,84%,70,2020-01-02 19:02:00
2020-01-02,7℃,88%,63,2020-01-02 20:08:00
2020-01-02,7℃,90%,57,2020-01-02 20:49:00
2020-01-02,7℃,93%,57,2020-01-02 22:04:00
2020-01-02,7℃,99%,60,2020-01-02 22:56:00
2020-01-03,7℃,100%,64,2020-01-03 00:08:00
2020-01-03,7℃,100%,70,2020-01-03 01:07:00
2020-01-03,7℃,100%,70,2020-01-03 02:06:00
2020-01-03,7℃,100%,67,2020-01-03 03:00:00
2020-01-03,7℃,100%,68,2020-01-03 03:59:00
2020-01-03,7℃,100%,64,2020-01-03 04:52:00
2020-01-03,7℃,100%,54,2020-01-03 06:08:00
2020-01-03,7℃,100%,46,2020-01-03 07:04:00
2020-01-03,7℃,100%,40,2020-01-03 08:08:00
2020-01-03,7℃,100%,41,2020-01-03 09:06:00
2020-01-03,7℃,100%,40,2020-01-03 09:55:00
2020-01-03,7℃,100%,46,2020-01-03 10:54:00
2020-01-03,7℃,100%,45,2020-01-03 11:57:00
2020-01-03,7℃,100%,43,2020-01-03 12:47:00
2020-01-03,7℃,100%,39,2020-01-03 14:01:00
2020-01-03,7℃,100%,45,2020-01-03 15:06:00
2020-01-03,7℃,100%,49,2020-01-03 15:50:00
2020-01-03,7℃,100%,57,2020-01-03 17:05:00
2020-01-03,7℃,100%,58,2020-01-03 18:10:00
2020-01-03,7℃,100%,63,2020-01-03 18:53:00
2020-01-03,7℃,100%,64,2020-01-03 20:02:00
2020-01-03,7℃,100%,69,2020-01-03 21:08:00
2020-01-03,7℃,100%,75,2020-01-03 21:52:00
2020-01-03,7℃,100%,74,2020-01-03 22:55:00
2020-01-04,8℃,100%,82,2020-01-04 00:01:00
2020-01-04,8℃,100%,83,2020-01-04 01:07:00
2020-01-04,7℃,100%,78,2020-01-04 02:07:00
2020-01-04,7℃,100%,78,2020-01-04 03:00:00
2020-01-04,7℃,100%,77,2020-01-04 04:04:00
2020-01-04,7℃,100%,80,2020-01-04 04:50:00
2020-01-04,7℃,100%,90,2020-01-04 06:01:00
2020-01-04,7℃,100%,95,2020-01-04 07:01:00
2020-01-04,7℃,100%,109,2020-01-04 08:04:00
2020-01-04,7℃,100%,137,2020-01-04 09:04:00
2020-01-04,7℃,99%,149,2020-01-04 10:05:00
2020-01-04,8℃,83%,155,2020-01-04 11:09:00
2020-01-04,8℃,73%,149,2020-01-04 12:04:00
2020-01-04,8℃,75%,152,2020-01-04 12:59:00
2020-01-04,9℃,71%,173,2020-01-04 14:06:00
2020-01-04,9℃,75%,172,2020-01-04 14:50:00
2020-01-04,8℃,66%,169,2020-01-04 15:55:00
2020-01-04,8℃,70%,160,2020-01-04 17:02:00
2020-01-04,8℃,72%,152,2020-01-04 17:59:00
2020-01-04,8℃,77%,144,2020-01-04 18:51:00
2020-01-04,8℃,78%,149,2020-01-04 19:54:00
2020-01-04,8℃,76%,158,2020-01-04 21:03:00
2020-01-04,8℃,78%,150,2020-01-04 22:04:00
2020-01-04,8℃,80%,158,2020-01-04 22:56:00
2020-01-05,8℃,86%,170,2020-01-05 00:49:00
2020-01-05,8℃,86%,172,2020-01-05 01:55:00
2020-01-05,8℃,83%,169,2020-01-05 03:02:00
2020-01-05,8℃,87%,156,2020-01-05 04:04:00
