日期,温度,湿度,aqi,更新日期
2020-01-01,16℃,65%,58,2020-01-01 00:05:00
2020-01-01,16℃,64%,59,2020-01-01 00:55:00
2020-01-01,16℃,64%,59,2020-01-01 02:05:00
2020-01-01,16℃,64%,60,2020-01-01 03:05:00
2020-01-01,16℃,65%,63,2020-01-01 04:10:00
2020-01-01,16℃,66%,60,2020-01-01 05:10:00
2020-01-01,16℃,68%,55,2020-01-01 06:05:00
2020-01-01,15℃,69%,55,2020-01-01 07:00:00
2020-01-01,16℃,68%,60,2020-01-01 08:10:00
2020-01-01,16℃,68%,65,2020-01-01 09:05:00
2020-01-01,19℃,58%,68,2020-01-01 10:05:00
2020-01-01,21℃,54%,74,2020-01-01 11:20:00
2020-01-01,22℃,54%,74,2020-01-01 12:05:00
2020-01-01,23℃,52%,82,2020-01-01 13:00:00
2020-01-01,24℃,51%,82,2020-01-01 14:10:00
2020-01-01,24℃,53%,77,2020-01-01 15:10:00
2020-01-01,23℃,56%,65,2020-01-01 15:50:00
2020-01-01,22℃,61%,58,2020-01-01 17:00:00
2020-01-01,21℃,68%,58,2020-01-01 18:10:00
2020-01-01,20℃,73%,61,2020-01-01 19:10:00
2020-01-01,20℃,76%,60,2020-01-01 20:05:00
2020-01-01,20℃,79%,57,2020-01-01 21:10:00
2020-01-01,19℃,79%,60,2020-01-01 21:40:00
2020-01-01,19℃,86%,59,2020-01-01 23:05:00
2020-01-02,18℃,93%,54,2020-01-02 01:00:00
2020-01-02,18℃,93%,54,2020-01-02 02:10:00
2020-01-02,18℃,93%,54,2020-01-02 03:00:00
2020-01-02,18℃,95%,50,2020-01-02 04:05:00
2020-01-02,18℃,95%,43,2020-01-02 05:00:00
2020-01-02,18℃,96%,35,2020-01-02 06:10:00
2020-01-02,18℃,98%,32,2020-01-02 07:00:00
2020-01-02,18℃,100%,30,2020-01-02 08:05:00
2020-01-02,18℃,100%,35,2020-01-02 09:10:00
2020-01-02,18℃,100%,45,2020-01-02 10:10:00
2020-01-02,18℃,100%,51,2020-01-02 11:00:00
2020-01-02,19℃,95%,51,2020-01-02 12:00:00
2020-01-02,20℃,89%,48,2020-01-02 12:55:00
2020-01-02,20℃,83%,54,2020-01-02 14:05:00
2020-01-02,21℃,80%,53,2020-01-02 14:45:00
2020-01-02,21℃,77%,52,2020-01-02 15:55:00
2020-01-02,20℃,78%,53,2020-01-02 17:10:00
2020-01-02,20℃,80%,51,2020-01-02 17:55:00
2020-01-02,20℃,82%,54,2020-01-02 19:05:00
2020-01-02,20℃,84%,57,2020-01-02 20:05:00
2020-01-02,20℃,84%,54,2020-01-02 21:00:00
2020-01-02,19℃,83%,54,2020-01-02 21:50:00
2020-01-02,19℃,82%,47,2020-01-02 23:00:00
2020-01-03,20℃,83%,44,2020-01-03 00:15:00
2020-01-03,19℃,88%,50,2020-01-03 01:05:00
2020-01-03,19℃,90%,53,2020-01-03 01:50:00
2020-01-03,19℃,83%,44,2020-01-03 02:55:00
2020-01-03,18℃,85%,41,2020-01-03 03:50:00
2020-01-03,18℃,88%,41,2020-01-03 05:00:00
2020-01-03,18℃,89%,44,2020-01-03 06:05:00
2020-01-03,18℃,92%,42,2020-01-03 07:10:00
2020-01-03,18℃,92%,37,2020-01-03 07:35:00
2020-01-03,18℃,90%,33,2020-01-03 09:05:00
2020-01-03,18℃,84%,40,2020-01-03 10:00:00
2020-01-03,19℃,80%,48,2020-01-03 10:50:00
2020-01-03,20℃,76%,48,2020-01-03 12:10:00
2020-01-03,21℃,73%,46,2020-01-03 13:05:00
2020-01-03,21℃,71%,49,2020-01-03 13:45:00
2020-01-03,22℃,69%,47,2020-01-03 14:40:00
2020-01-03,22℃,66%,44,2020-01-03 16:10:00
2020-01-03,22℃,68%,47,2020-01-03 16:55:00
2020-01-03,21℃,73%,51,2020-01-03 18:20:00
2020-01-03,21℃,75%,51,2020-01-03 19:00:00
2020-01-03,21℃,75%,54,2020-01-03 20:10:00
2020-01-03,21℃,77%,62,2020-01-03 21:00:00
2020-01-03,20℃,78%,61,2020-01-03 21:30:00
