日期,温度,湿度,aqi,更新日期
2020-01-01,5℃,57%,55,2020-01-01 00:57:00
2020-01-01,5℃,56%,56,2020-01-01 02:08:00
2020-01-01,5℃,57%,56,2020-01-01 03:00:00
2020-01-01,5℃,59%,57,2020-01-01 03:57:00
2020-01-01,5℃,61%,57,2020-01-01 04:58:00
2020-01-01,5℃,62%,57,2020-01-01 06:06:00
2020-01-01,5℃,65%,57,2020-01-01 07:07:00
2020-01-01,5℃,65%,56,2020-01-01 08:00:00
2020-01-01,6℃,63%,59,2020-01-01 09:10:00
2020-01-01,6℃,59%,59,2020-01-01 09:34:00
2020-01-01,8℃,56%,67,2020-01-01 11:05:00
2020-01-01,9℃,53%,72,2020-01-01 11:58:00
2020-01-01,9℃,55%,71,2020-01-01 12:57:00
2020-01-01,10℃,56%,69,2020-01-01 13:57:00
2020-01-01,10℃,55%,70,2020-01-01 14:45:00
2020-01-01,10℃,59%,71,2020-01-01 15:52:00
2020-01-01,10℃,63%,69,2020-01-01 17:04:00
2020-01-01,9℃,66%,66,2020-01-01 18:10:00
2020-01-01,9℃,67%,64,2020-01-01 19:00:00
2020-01-01,9℃,67%,64,2020-01-01 19:50:00
2020-01-01,9℃,68%,65,2020-01-01 21:06:00
2020-01-01,9℃,70%,69,2020-01-01 21:48:00
2020-01-01,9℃,73%,71,2020-01-01 22:51:00
2020-01-02,8℃,79%,77,2020-01-02 01:03:00
2020-01-02,8℃,80%,73,2020-01-02 01:58:00
2020-01-02,8℃,83%,74,2020-01-02 02:54:00
2020-01-02,8℃,87%,78,2020-01-02 03:51:00
2020-01-02,7℃,88%,82,2020-01-02 05:08:00
2020-01-02,7℃,89%,80,2020-01-02 06:02:00
2020-01-02,7℃,90%,85,2020-01-02 07:08:00
2020-01-02,7℃,88%,88,2020-01-02 07:51:00
2020-01-02,8℃,85%,98,2020-01-02 09:10:00
2020-01-02,9℃,82%,92,2020-01-02 10:00:00
2020-01-02,9℃,81%,87,2020-01-02 11:01:00
2020-01-02,9℃,80%,92,2020-01-02 12:04:00
2020-01-02,10℃,76%,92,2020-01-02 13:08:00
2020-01-02,11℃,75%,84,2020-01-02 13:50:00
2020-01-02,10℃,77%,85,2020-01-02 15:10:00
2020-01-02,10℃,80%,82,2020-01-02 16:04:00
2020-01-02,10℃,82%,77,2020-01-02 17:04:00
2020-01-02,9℃,83%,84,2020-01-02 17:45:00
2020-01-02,9℃,84%,85,2020-01-02 19:02:00
2020-01-02,8℃,85%,94,2020-01-02 20:08:00
2020-01-02,8℃,85%,98,2020-01-02 20:49:00
2020-01-02,8℃,85%,100,2020-01-02 22:10:00
2020-01-02,8℃,85%,103,2020-01-02 22:56:00
2020-01-03,8℃,85%,97,2020-01-03 00:10:00
2020-01-03,8℃,85%,94,2020-01-03 01:07:00
2020-01-03,8℃,85%,94,2020-01-03 02:06:00
2020-01-03,8℃,84%,92,2020-01-03 03:00:00
2020-01-03,8℃,88%,98,2020-01-03 04:04:00
2020-01-03,7℃,93%,98,2020-01-03 05:05:00
2020-01-03,7℃,95%,98,2020-01-03 06:08:00
2020-01-03,7℃,95%,94,2020-01-03 07:05:00
2020-01-03,7℃,93%,97,2020-01-03 07:48:00
2020-01-03,8℃,92%,90,2020-01-03 09:06:00
2020-01-03,8℃,89%,87,2020-01-03 09:50:00
2020-01-03,8℃,87%,84,2020-01-03 10:46:00
2020-01-03,9℃,86%,87,2020-01-03 11:57:00
2020-01-03,9℃,83%,90,2020-01-03 12:47:00
2020-01-03,9℃,82%,97,2020-01-03 14:01:00
2020-01-03,9℃,83%,104,2020-01-03 14:50:00
2020-01-03,10℃,81%,102,2020-01-03 15:52:00
2020-01-03,9℃,83%,107,2020-01-03 17:05:00
2020-01-03,9℃,83%,112,2020-01-03 17:59:00
2020-01-03,9℃,84%,110,2020-01-03 18:53:00
2020-01-03,8℃,84%,122,2020-01-03 20:09:00
2020-01-03,8℃,84%,119,2020-01-03 20:56:00
2020-01-03,9℃,82%,107,2020-01-03 21:58:00
2020-01-03,9℃,82%,117,2020-01-03 22:55:00
2020-01-04,9℃,84%,102,2020-01-04 00:01:00
2020-01-04,8℃,92%,104,2020-01-04 01:07:00
2020-01-04,8℃,95%,97,2020-01-04 02:07:00
2020-01-04,8℃,95%,85,2020-01-04 03:01:00
2020-01-04,8℃,94%,75,2020-01-04 04:07:00
2020-01-04,8℃,93%,62,2020-01-04 04:50:00
2020-01-04,8℃,96%,57,2020-01-04 06:01:00
2020-01-04,8℃,96%,57,2020-01-04 06:49:00
2020-01-04,8℃,95%,59,2020-01-04 07:51:00
2020-01-04,8℃,93%,59,2020-01-04 09:04:00
2020-01-04,9℃,89%,58,2020-01-04 09:45:00
2020-01-04,10℃,84%,54,2020-01-04 11:09:00
2020-01-04,10℃,76%,57,2020-01-04 12:04:00
2020-01-04,11℃,77%,54,2020-01-04 12:42:00
2020-01-04,11℃,74%,53,2020-01-04 14:06:00
2020-01-04,11℃,76%,48,2020-01-04 14:51:00
2020-01-04,11℃,76%,49,2020-01-04 15:53:00
2020-01-04,10℃,79%,49,2020-01-04 17:02:00
2020-01-04,10℃,82%,54,2020-01-04 17:59:00
2020-01-04,10℃,84%,57,2020-01-04 18:58:00
2020-01-04,9℃,87%,65,2020-01-04 19:54:00
2020-01-04,9℃,90%,72,2020-01-04 21:03:00
2020-01-04,9℃,90%,64,2020-01-04 22:04:00
2020-01-04,9℃,90%,64,2020-01-04 22:56:00
2020-01-05,9℃,92%,57,2020-01-05 00:49:00
2020-01-05,9℃,93%,53,2020-01-05 02:05:00
2020-01-05,9℃,94%,55,2020-01-05 03:02:00
2020-01-05,9℃,94%,56,2020-01-05 04:03:00
2020-01-05,9℃,94%,59,2020-01-05 05:03:00
2020-01-05,9℃,96%,65,2020-01-05 06:08:00
2020-01-05,9℃,98%,64,2020-01-05 07:05:00
2020-01-05,9℃,98%,64,2020-01-05 07:56:00
2020-01-05,9℃,97%,61,2020-01-05 08:43:00
2020-01-05,10℃,93%,61,2020-01-05 09:57:00
2020-01-05,11℃,87%,62,2020-01-05 11:04:00
2020-01-05,12℃,83%,70,2020-01-05 12:07:00
2020-01-05,13℃,76%,73,2020-01-05 13:03:00
2020-01-05,13℃,79%,82,2020-01-05 14:05:00
2020-01-05,14℃,76%,83,2020-01-05 15:05:00
2020-01-05,14℃,74%,83,2020-01-05 15:50:00
2020-01-05,14℃,76%,75,2020-01-05 16:43:00
2020-01-05,13℃,82%,68,2020-01-05 18:03:00
2020-01-05,13℃,83%,74,2020-01-05 19:06:00
2020-01-05,13℃,85%,80,2020-01-05 20:10:00
2020-01-05,12℃,88%,84,2020-01-05 21:02:00
2020-01-05,11℃,95%,82,2020-01-05 22:05:00
2020-01-05,11℃,97%,78,2020-01-05 23:05:00
2020-01-06,11℃,97%,78,2020-01-06 01:08:00
2020-01-06,11℃,98%,79,2020-01-06 01:54:00
2020-01-06,11℃,98%,78,2020-01-06 03:07:00
2020-01-06,11℃,99%,73,2020-01-06 04:02:00
2020-01-06,11℃,98%,70,2020-01-06 05:14:00
2020-01-06,11℃,98%,69,2020-01-06 06:00:00
2020-01-06,11℃,99%,68,2020-01-06 07:03:00
2020-01-06,10℃,99%,68,2020-01-06 07:58:00
2020-01-06,12℃,97%,67,2020-01-06 09:07:00
2020-01-06,15℃,86%,67,2020-01-06 10:00:00
2020-01-06,18℃,72%,77,2020-01-06 11:01:00
2020-01-06,20℃,64%,94,2020-01-06 11:57:00
2020-01-06,22℃,59%,84,2020-01-06 12:52:00
2020-01-06,23℃,56%,82,2020-01-06 14:00:00
2020-01-06,24℃,52%,74,2020-01-06 15:04:00
2020-01-06,24℃,53%,66,2020-01-06 15:45:00
2020-01-06,23℃,57%,62,2020-01-06 16:47:00
2020-01-06,19℃,73%,64,2020-01-06 17:51:00
