日期,温度,湿度,aqi,更新日期
2020-01-01,0℃,43%,78,2020-01-01 00:57:00
2020-01-01,0℃,43%,78,2020-01-01 02:08:00
2020-01-01,0℃,39%,80,2020-01-01 03:00:00
2020-01-01,0℃,43%,83,2020-01-01 03:57:00
2020-01-01,0℃,40%,82,2020-01-01 05:10:00
2020-01-01,0℃,44%,79,2020-01-01 06:06:00
2020-01-01,-1℃,48%,80,2020-01-01 07:07:00
2020-01-01,-1℃,53%,84,2020-01-01 08:00:00
2020-01-01,0℃,44%,89,2020-01-01 09:10:00
2020-01-01,1℃,41%,94,2020-01-01 09:46:00
2020-01-01,2℃,34%,94,2020-01-01 11:05:00
2020-01-01,3℃,31%,104,2020-01-01 11:58:00
2020-01-01,3℃,31%,104,2020-01-01 13:03:00
2020-01-01,3℃,34%,87,2020-01-01 14:09:00
2020-01-01,3℃,39%,88,2020-01-01 14:45:00
2020-01-01,2℃,44%,95,2020-01-01 16:07:00
2020-01-01,2℃,46%,105,2020-01-01 17:04:00
2020-01-01,2℃,46%,113,2020-01-01 18:10:00
2020-01-01,2℃,47%,115,2020-01-01 19:09:00
2020-01-01,2℃,48%,120,2020-01-01 19:57:00
2020-01-01,2℃,48%,124,2020-01-01 21:06:00
2020-01-01,2℃,52%,125,2020-01-01 21:48:00
2020-01-01,1℃,57%,138,2020-01-01 22:51:00
2020-01-02,1℃,58%,152,2020-01-02 01:03:00
2020-01-02,1℃,59%,140,2020-01-02 01:58:00
2020-01-02,1℃,58%,150,2020-01-02 02:54:00
2020-01-02,1℃,58%,158,2020-01-02 04:03:00
2020-01-02,2℃,58%,156,2020-01-02 05:08:00
2020-01-02,2℃,56%,149,2020-01-02 06:02:00
2020-01-02,2℃,59%,152,2020-01-02 07:08:00
2020-01-02,2℃,61%,152,2020-01-02 07:50:00
2020-01-02,2℃,64%,153,2020-01-02 09:00:00
2020-01-02,3℃,58%,152,2020-01-02 10:10:00
2020-01-02,3℃,51%,147,2020-01-02 11:01:00
2020-01-02,4℃,43%,143,2020-01-02 12:04:00
2020-01-02,5℃,42%,147,2020-01-02 13:08:00
2020-01-02,5℃,43%,155,2020-01-02 13:47:00
2020-01-02,4℃,49%,163,2020-01-02 15:10:00
2020-01-02,4℃,50%,176,2020-01-02 16:07:00
2020-01-02,4℃,52%,182,2020-01-02 17:04:00
2020-01-02,4℃,53%,189,2020-01-02 18:04:00
2020-01-02,3℃,55%,180,2020-01-02 19:02:00
2020-01-02,3℃,56%,186,2020-01-02 19:57:00
2020-01-02,3℃,55%,196,2020-01-02 20:57:00
2020-01-02,3℃,58%,186,2020-01-02 22:10:00
2020-01-02,3℃,57%,166,2020-01-02 22:56:00
2020-01-03,3℃,61%,185,2020-01-03 01:07:00
2020-01-03,3℃,62%,196,2020-01-03 02:06:00
2020-01-03,3℃,57%,201,2020-01-03 03:00:00
2020-01-03,3℃,58%,201,2020-01-03 04:04:00
2020-01-03,2℃,52%,195,2020-01-03 05:02:00
2020-01-03,2℃,58%,201,2020-01-03 06:08:00
2020-01-03,2℃,56%,206,2020-01-03 07:05:00
2020-01-03,2℃,56%,210,2020-01-03 07:48:00
2020-01-03,3℃,51%,176,2020-01-03 09:06:00
2020-01-03,4℃,52%,176,2020-01-03 09:53:00
2020-01-03,5℃,53%,202,2020-01-03 11:08:00
2020-01-03,7℃,43%,202,2020-01-03 12:10:00
2020-01-03,7℃,42%,185,2020-01-03 13:02:00
2020-01-03,8℃,36%,155,2020-01-03 14:01:00
2020-01-03,8℃,38%,172,2020-01-03 15:06:00
2020-01-03,8℃,40%,196,2020-01-03 15:52:00
2020-01-03,7℃,44%,209,2020-01-03 17:05:00
2020-01-03,7℃,46%,218,2020-01-03 17:29:00
2020-01-03,6℃,49%,223,2020-01-03 18:53:00
2020-01-03,6℃,53%,229,2020-01-03 19:53:00
2020-01-03,5℃,54%,240,2020-01-03 21:08:00
2020-01-03,5℃,55%,247,2020-01-03 22:01:00
2020-01-03,5℃,56%,257,2020-01-03 22:55:00
2020-01-04,5℃,56%,256,2020-01-04 00:01:00
2020-01-04,5℃,57%,249,2020-01-04 01:07:00
2020-01-04,4℃,59%,245,2020-01-04 02:07:00
2020-01-04,4℃,60%,250,2020-01-04 03:00:00
2020-01-04,3℃,66%,247,2020-01-04 04:07:00
2020-01-04,2℃,69%,254,2020-01-04 04:50:00
2020-01-04,1℃,74%,252,2020-01-04 06:01:00
2020-01-04,0℃,75%,251,2020-01-04 07:01:00
2020-01-04,0℃,80%,255,2020-01-04 08:02:00
2020-01-04,1℃,74%,257,2020-01-04 09:04:00
2020-01-04,4℃,62%,268,2020-01-04 10:03:00
2020-01-04,7℃,50%,286,2020-01-04 11:09:00
2020-01-04,8℃,46%,281,2020-01-04 11:40:00
2020-01-04,10℃,41%,273,2020-01-04 12:36:00
2020-01-04,11℃,39%,252,2020-01-04 14:05:00
