日期,温度,湿度,aqi,更新日期
2020-01-01,11℃,72%,-1,2020-01-01 00:10:00
2020-01-01,11℃,72%,-1,2020-01-01 01:00:00
2020-01-01,10℃,72%,-1,2020-01-01 02:10:00
2020-01-01,10℃,78%,-1,2020-01-01 03:10:00
2020-01-01,10℃,79%,-1,2020-01-01 04:00:00
2020-01-01,11℃,78%,-1,2020-01-01 05:00:00
2020-01-01,11℃,78%,-1,2020-01-01 06:10:00
2020-01-01,11℃,76%,-1,2020-01-01 07:00:00
2020-01-01,10℃,75%,-1,2020-01-01 08:10:00
2020-01-01,11℃,74%,-1,2020-01-01 09:00:00
2020-01-01,12℃,70%,-1,2020-01-01 10:10:00
2020-01-01,12℃,70%,-1,2020-01-01 11:00:00
2020-01-01,13℃,74%,-1,2020-01-01 12:10:00
2020-01-01,13℃,71%,-1,2020-01-01 13:10:00
2020-01-01,13℃,72%,-1,2020-01-01 14:10:00
2020-01-01,14℃,73%,-1,2020-01-01 15:10:00
2020-01-01,14℃,74%,-1,2020-01-01 16:00:00
2020-01-01,13℃,77%,-1,2020-01-01 17:00:00
2020-01-01,13℃,78%,-1,2020-01-01 18:10:00
2020-01-01,14℃,79%,-1,2020-01-01 19:10:00
2020-01-01,14℃,81%,-1,2020-01-01 20:00:00
2020-01-01,14℃,80%,-1,2020-01-01 21:10:00
2020-01-01,14℃,82%,-1,2020-01-01 22:10:00
2020-01-01,14℃,85%,-1,2020-01-01 23:00:00
2020-01-02,14℃,83%,-1,2020-01-02 00:10:00
2020-01-02,14℃,86%,-1,2020-01-02 01:00:00
2020-01-02,14℃,83%,-1,2020-01-02 02:10:00
2020-01-02,12℃,87%,-1,2020-01-02 03:00:00
2020-01-02,12℃,86%,-1,2020-01-02 04:00:00
2020-01-02,13℃,87%,-1,2020-01-02 05:00:00
2020-01-02,14℃,85%,-1,2020-01-02 06:10:00
2020-01-02,14℃,82%,-1,2020-01-02 07:00:00
2020-01-02,13℃,84%,-1,2020-01-02 08:00:00
2020-01-02,15℃,74%,-1,2020-01-02 09:00:00
