日期,温度,湿度,aqi,更新日期
2020-01-01,-4℃,89%,63,2020-01-01 00:10:00
2020-01-01,-3℃,87%,63,2020-01-01 00:57:00
2020-01-01,-3℃,92%,58,2020-01-01 02:08:00
2020-01-01,-2℃,86%,58,2020-01-01 03:00:00
2020-01-01,0℃,82%,57,2020-01-01 03:57:00
2020-01-01,0℃,83%,57,2020-01-01 05:10:00
2020-01-01,0℃,79%,57,2020-01-01 06:06:00
2020-01-01,0℃,80%,57,2020-01-01 07:07:00
2020-01-01,0℃,82%,60,2020-01-01 08:00:00
2020-01-01,1℃,77%,61,2020-01-01 09:10:00
2020-01-01,2℃,75%,67,2020-01-01 09:34:00
2020-01-01,4℃,66%,70,2020-01-01 11:05:00
2020-01-01,4℃,65%,69,2020-01-01 11:58:00
2020-01-01,5℃,60%,72,2020-01-01 13:04:00
2020-01-01,5℃,59%,70,2020-01-01 14:09:00
2020-01-01,5℃,59%,74,2020-01-01 14:57:00
2020-01-01,6℃,59%,70,2020-01-01 16:07:00
2020-01-01,5℃,65%,69,2020-01-01 17:04:00
2020-01-01,5℃,67%,68,2020-01-01 18:10:00
2020-01-01,5℃,72%,70,2020-01-01 19:09:00
2020-01-01,5℃,72%,71,2020-01-01 19:56:00
2020-01-01,5℃,76%,78,2020-01-01 21:06:00
2020-01-01,4℃,86%,79,2020-01-01 21:48:00
2020-01-01,4℃,88%,82,2020-01-01 22:51:00
2020-01-02,4℃,92%,79,2020-01-02 00:08:00
2020-01-02,4℃,93%,75,2020-01-02 01:03:00
2020-01-02,4℃,92%,75,2020-01-02 01:58:00
2020-01-02,4℃,91%,78,2020-01-02 02:54:00
2020-01-02,4℃,88%,78,2020-01-02 03:51:00
2020-01-02,4℃,92%,77,2020-01-02 05:08:00
2020-01-02,4℃,92%,75,2020-01-02 06:14:00
2020-01-02,4℃,92%,75,2020-01-02 07:08:00
2020-01-02,4℃,91%,74,2020-01-02 07:50:00
2020-01-02,5℃,87%,77,2020-01-02 09:10:00
2020-01-02,6℃,83%,75,2020-01-02 10:10:00
2020-01-02,6℃,80%,80,2020-01-02 11:01:00
2020-01-02,7℃,74%,82,2020-01-02 12:04:00
2020-01-02,7℃,72%,88,2020-01-02 13:08:00
2020-01-02,7℃,69%,94,2020-01-02 13:46:00
2020-01-02,8℃,67%,95,2020-01-02 15:10:00
2020-01-02,8℃,67%,92,2020-01-02 16:04:00
2020-01-02,8℃,69%,92,2020-01-02 17:04:00
2020-01-02,7℃,71%,94,2020-01-02 17:45:00
2020-01-02,6℃,79%,97,2020-01-02 19:02:00
2020-01-02,6℃,81%,102,2020-01-02 20:08:00
2020-01-02,6℃,83%,103,2020-01-02 20:49:00
2020-01-02,6℃,83%,109,2020-01-02 22:10:00
2020-01-02,6℃,84%,113,2020-01-02 22:56:00
2020-01-03,6℃,86%,95,2020-01-03 00:10:00
2020-01-03,6℃,86%,89,2020-01-03 01:07:00
2020-01-03,6℃,86%,87,2020-01-03 02:06:00
2020-01-03,6℃,87%,84,2020-01-03 02:58:00
2020-01-03,6℃,87%,78,2020-01-03 04:04:00
2020-01-03,5℃,92%,79,2020-01-03 05:02:00
2020-01-03,5℃,92%,77,2020-01-03 05:50:00
2020-01-03,5℃,93%,74,2020-01-03 07:05:00
2020-01-03,5℃,92%,74,2020-01-03 08:08:00
2020-01-03,6℃,90%,74,2020-01-03 09:06:00
2020-01-03,6℃,88%,75,2020-01-03 09:54:00
2020-01-03,6℃,87%,82,2020-01-03 10:47:00
2020-01-03,7℃,87%,84,2020-01-03 11:49:00
2020-01-03,8℃,86%,94,2020-01-03 12:58:00
2020-01-03,8℃,85%,100,2020-01-03 14:01:00
2020-01-03,8℃,86%,93,2020-01-03 15:06:00
2020-01-03,8℃,86%,88,2020-01-03 15:52:00
2020-01-03,8℃,87%,94,2020-01-03 17:05:00
2020-01-03,8℃,88%,88,2020-01-03 18:00:00
2020-01-03,7℃,89%,74,2020-01-03 18:53:00
2020-01-03,7℃,91%,75,2020-01-03 20:09:00
2020-01-03,7℃,91%,70,2020-01-03 20:56:00
2020-01-03,7℃,95%,67,2020-01-03 22:07:00
2020-01-03,7℃,98%,57,2020-01-03 22:55:00
2020-01-04,7℃,99%,55,2020-01-04 00:01:00
2020-01-04,7℃,99%,59,2020-01-04 01:07:00
2020-01-04,7℃,99%,60,2020-01-04 02:07:00
2020-01-04,7℃,99%,53,2020-01-04 02:55:00
2020-01-04,7℃,99%,53,2020-01-04 04:04:00
2020-01-04,6℃,99%,53,2020-01-04 04:50:00
2020-01-04,6℃,99%,53,2020-01-04 06:01:00
2020-01-04,6℃,99%,55,2020-01-04 07:01:00
2020-01-04,6℃,99%,54,2020-01-04 08:09:00
2020-01-04,7℃,99%,55,2020-01-04 09:04:00
2020-01-04,7℃,99%,68,2020-01-04 09:45:00
2020-01-04,7℃,99%,75,2020-01-04 10:59:00
2020-01-04,7℃,99%,80,2020-01-04 12:06:00
2020-01-04,7℃,99%,90,2020-01-04 12:48:00
2020-01-04,8℃,99%,95,2020-01-04 14:06:00
2020-01-04,8℃,98%,102,2020-01-04 15:05:00
2020-01-04,7℃,99%,103,2020-01-04 16:10:00
2020-01-04,7℃,98%,103,2020-01-04 17:02:00
2020-01-04,7℃,90%,105,2020-01-04 17:37:00
2020-01-04,7℃,91%,109,2020-01-04 18:58:00
2020-01-04,7℃,87%,118,2020-01-04 19:54:00
2020-01-04,7℃,83%,132,2020-01-04 21:03:00
2020-01-04,7℃,81%,152,2020-01-04 22:04:00
2020-01-04,7℃,79%,158,2020-01-04 22:56:00
2020-01-05,7℃,79%,145,2020-01-05 00:49:00
2020-01-05,7℃,83%,143,2020-01-05 02:03:00
2020-01-05,7℃,90%,140,2020-01-05 03:02:00
2020-01-05,7℃,90%,142,2020-01-05 04:07:00
2020-01-05,7℃,94%,143,2020-01-05 04:56:00
2020-01-05,7℃,97%,148,2020-01-05 06:08:00
2020-01-05,7℃,97%,147,2020-01-05 07:05:00
2020-01-05,7℃,96%,147,2020-01-05 07:56:00
2020-01-05,7℃,95%,148,2020-01-05 09:08:00
2020-01-05,7℃,94%,140,2020-01-05 09:57:00
2020-01-05,8℃,90%,135,2020-01-05 11:04:00
2020-01-05,9℃,89%,130,2020-01-05 12:07:00
2020-01-05,9℃,89%,122,2020-01-05 13:03:00
2020-01-05,9℃,89%,118,2020-01-05 14:05:00
2020-01-05,9℃,90%,113,2020-01-05 15:05:00
2020-01-05,10℃,91%,107,2020-01-05 15:50:00
2020-01-05,10℃,92%,103,2020-01-05 16:57:00
2020-01-05,10℃,92%,100,2020-01-05 18:03:00
2020-01-05,10℃,92%,97,2020-01-05 19:06:00
2020-01-05,10℃,93%,88,2020-01-05 20:00:00
2020-01-05,10℃,94%,87,2020-01-05 21:02:00
2020-01-05,9℃,97%,88,2020-01-05 22:05:00
2020-01-05,9℃,98%,85,2020-01-05 23:05:00
2020-01-06,9℃,99%,88,2020-01-06 00:10:00
2020-01-06,9℃,99%,88,2020-01-06 00:58:00
2020-01-06,8℃,99%,89,2020-01-06 01:49:00
2020-01-06,8℃,99%,87,2020-01-06 02:59:00
2020-01-06,8℃,99%,87,2020-01-06 04:02:00
2020-01-06,8℃,99%,93,2020-01-06 05:14:00
2020-01-06,8℃,99%,83,2020-01-06 06:00:00
2020-01-06,7℃,99%,64,2020-01-06 07:03:00
2020-01-06,7℃,99%,46,2020-01-06 07:58:00
2020-01-06,7℃,99%,30,2020-01-06 09:07:00
2020-01-06,7℃,99%,20,2020-01-06 10:09:00
2020-01-06,7℃,99%,17,2020-01-06 11:17:00
2020-01-06,7℃,99%,17,2020-01-06 11:54:00
2020-01-06,7℃,99%,18,2020-01-06 12:52:00
2020-01-06,6℃,99%,18,2020-01-06 14:00:00
2020-01-06,5℃,99%,19,2020-01-06 15:04:00
2020-01-06,5℃,99%,17,2020-01-06 15:44:00
2020-01-06,5℃,99%,17,2020-01-06 16:59:00
2020-01-06,5℃,99%,18,2020-01-06 17:51:00
2020-01-06,5℃,99%,20,2020-01-06 19:05:00
2020-01-06,5℃,99%,22,2020-01-06 19:54:00
2020-01-06,5℃,99%,25,2020-01-06 20:51:00
2020-01-06,4℃,99%,26,2020-01-06 22:07:00
2020-01-06,4℃,99%,23,2020-01-06 23:06:00
2020-01-07,4℃,99%,25,2020-01-07 00:01:00
2020-01-07,4℃,99%,25,2020-01-07 00:56:00
2020-01-07,4℃,99%,26,2020-01-07 02:03:00
2020-01-07,4℃,99%,27,2020-01-07 02:56:00
2020-01-07,3℃,99%,27,2020-01-07 03:45:00
2020-01-07,3℃,99%,27,2020-01-07 05:03:00
2020-01-07,3℃,99%,29,2020-01-07 06:10:00
2020-01-07,3℃,99%,31,2020-01-07 07:06:00
2020-01-07,3℃,99%,28,2020-01-07 07:47:00
2020-01-07,3℃,99%,25,2020-01-07 09:01:00
2020-01-07,3℃,98%,22,2020-01-07 10:09:00
2020-01-07,2℃,98%,21,2020-01-07 11:08:00
2020-01-07,2℃,97%,19,2020-01-07 12:05:00
2020-01-07,2℃,96%,17,2020-01-07 13:08:00
2020-01-07,2℃,95%,17,2020-01-07 13:50:00
2020-01-07,2℃,95%,21,2020-01-07 14:55:00
2020-01-07,2℃,95%,30,2020-01-07 15:57:00
2020-01-07,2℃,93%,39,2020-01-07 17:02:00
2020-01-07,2℃,92%,54,2020-01-07 17:56:00
2020-01-07,2℃,92%,55,2020-01-07 19:01:00
2020-01-07,2℃,90%,59,2020-01-07 19:51:00
2020-01-07,2℃,88%,64,2020-01-07 21:09:00
2020-01-07,2℃,89%,67,2020-01-07 22:00:00
2020-01-07,2℃,90%,62,2020-01-07 22:57:00
2020-01-08,2℃,91%,60,2020-01-08 00:00:00
2020-01-08,2℃,89%,65,2020-01-08 01:10:00
2020-01-08,2℃,90%,69,2020-01-08 01:56:00
2020-01-08,2℃,89%,78,2020-01-08 02:54:00
2020-01-08,1℃,89%,78,2020-01-08 04:02:00
2020-01-08,1℃,87%,69,2020-01-08 04:58:00
2020-01-08,1℃,86%,74,2020-01-08 05:58:00
2020-01-08,1℃,87%,69,2020-01-08 06:49:00
2020-01-08,1℃,88%,62,2020-01-08 07:59:00
2020-01-08,1℃,84%,58,2020-01-08 09:01:00
2020-01-08,2℃,80%,55,2020-01-08 10:02:00
2020-01-08,2℃,79%,54,2020-01-08 11:01:00
2020-01-08,2℃,79%,53,2020-01-08 11:52:00
2020-01-08,3℃,77%,54,2020-01-08 13:00:00
2020-01-08,3℃,77%,57,2020-01-08 13:56:00
2020-01-08,3℃,77%,54,2020-01-08 14:53:00
2020-01-08,3℃,76%,58,2020-01-08 15:54:00
2020-01-08,3℃,77%,63,2020-01-08 17:10:00
2020-01-08,3℃,78%,59,2020-01-08 17:49:00
2020-01-08,3℃,82%,62,2020-01-08 18:56:00
2020-01-08,3℃,84%,62,2020-01-08 19:58:00
2020-01-08,2℃,88%,62,2020-01-08 20:27:00
2020-01-08,0℃,99%,62,2020-01-08 22:03:00
2020-01-08,0℃,99%,58,2020-01-08 23:04:00
2020-01-09,0℃,99%,46,2020-01-09 00:04:00
2020-01-09,0℃,99%,35,2020-01-09 01:09:00
2020-01-09,0℃,99%,29,2020-01-09 01:57:00
2020-01-09,0℃,99%,20,2020-01-09 03:07:00
2020-01-09,0℃,99%,15,2020-01-09 04:05:00
2020-01-09,0℃,99%,14,2020-01-09 05:01:00
2020-01-09,0℃,99%,15,2020-01-09 05:57:00
2020-01-09,0℃,99%,17,2020-01-09 07:01:00
2020-01-09,0℃,99%,20,2020-01-09 08:06:00
2020-01-09,0℃,99%,24,2020-01-09 08:59:00
2020-01-09,0℃,99%,24,2020-01-09 09:56:00
2020-01-09,0℃,99%,28,2020-01-09 11:08:00
2020-01-09,1℃,99%,32,2020-01-09 11:58:00
2020-01-09,1℃,95%,39,2020-01-09 12:58:00
2020-01-09,1℃,93%,42,2020-01-09 14:07:00
2020-01-09,1℃,93%,52,2020-01-09 15:00:00
2020-01-09,1℃,94%,50,2020-01-09 16:03:00
2020-01-09,1℃,96%,50,2020-01-09 16:52:00
2020-01-09,1℃,97%,50,2020-01-09 18:02:00
2020-01-09,1℃,98%,59,2020-01-09 19:05:00
2020-01-09,1℃,98%,59,2020-01-09 20:02:00
2020-01-09,1℃,99%,65,2020-01-09 20:49:00
2020-01-09,1℃,99%,73,2020-01-09 22:04:00
2020-01-09,1℃,99%,70,2020-01-09 22:39:00
2020-01-10,1℃,99%,64,2020-01-10 00:57:00
2020-01-10,1℃,99%,64,2020-01-10 01:55:00
2020-01-10,1℃,99%,64,2020-01-10 02:59:00
2020-01-10,1℃,99%,63,2020-01-10 03:44:00
2020-01-10,1℃,99%,59,2020-01-10 05:09:00
2020-01-10,1℃,99%,58,2020-01-10 06:02:00
2020-01-10,1℃,99%,54,2020-01-10 06:48:00
2020-01-10,1℃,99%,55,2020-01-10 08:05:00
2020-01-10,2℃,99%,54,2020-01-10 09:07:00
2020-01-10,2℃,99%,54,2020-01-10 10:04:00
2020-01-10,2℃,99%,53,2020-01-10 10:55:00
2020-01-10,2℃,99%,53,2020-01-10 12:04:00
2020-01-10,2℃,99%,49,2020-01-10 12:59:00
2020-01-10,2℃,99%,45,2020-01-10 13:47:00
2020-01-10,2℃,99%,39,2020-01-10 15:04:00
2020-01-10,2℃,99%,35,2020-01-10 15:52:00
2020-01-10,3℃,99%,33,2020-01-10 16:55:00
2020-01-10,2℃,99%,29,2020-01-10 18:05:00
2020-01-10,2℃,99%,28,2020-01-10 18:50:00
2020-01-10,3℃,99%,26,2020-01-10 20:02:00
2020-01-10,3℃,99%,28,2020-01-10 20:34:00
2020-01-10,2℃,99%,30,2020-01-10 22:02:00
2020-01-10,3℃,99%,28,2020-01-10 22:56:00
2020-01-11,2℃,99%,26,2020-01-11 00:59:00
2020-01-11,2℃,99%,30,2020-01-11 02:02:00
2020-01-11,2℃,99%,32,2020-01-11 02:58:00
2020-01-11,2℃,99%,36,2020-01-11 04:07:00
2020-01-11,2℃,99%,40,2020-01-11 04:48:00
2020-01-11,2℃,99%,46,2020-01-11 06:10:00
2020-01-11,2℃,99%,49,2020-01-11 06:53:00
2020-01-11,2℃,99%,55,2020-01-11 08:01:00
2020-01-11,2℃,99%,55,2020-01-11 09:01:00
2020-01-11,2℃,99%,55,2020-01-11 10:00:00
2020-01-11,3℃,99%,53,2020-01-11 11:07:00
2020-01-11,3℃,97%,45,2020-01-11 12:07:00
2020-01-11,3℃,98%,43,2020-01-11 12:59:00
2020-01-11,3℃,98%,45,2020-01-11 13:58:00
2020-01-11,3℃,98%,49,2020-01-11 14:59:00
2020-01-11,3℃,98%,58,2020-01-11 15:55:00
2020-01-11,3℃,98%,49,2020-01-11 16:44:00
2020-01-11,3℃,97%,48,2020-01-11 17:57:00
2020-01-11,2℃,99%,54,2020-01-11 19:00:00
2020-01-11,2℃,99%,65,2020-01-11 20:05:00
2020-01-11,2℃,99%,103,2020-01-11 20:42:00
2020-01-11,2℃,99%,110,2020-01-11 22:04:00
2020-01-11,1℃,99%,104,2020-01-11 22:50:00
2020-01-12,0℃,99%,84,2020-01-12 01:10:00
2020-01-12,-1℃,99%,82,2020-01-12 02:00:00
2020-01-12,-1℃,99%,77,2020-01-12 03:00:00
2020-01-12,-2℃,99%,75,2020-01-12 04:00:00
2020-01-12,-2℃,99%,74,2020-01-12 05:00:00
2020-01-12,-1℃,99%,79,2020-01-12 05:53:00
2020-01-12,-1℃,99%,79,2020-01-12 06:54:00
2020-01-12,0℃,99%,69,2020-01-12 08:02:00
2020-01-12,0℃,99%,67,2020-01-12 09:00:00
2020-01-12,2℃,99%,67,2020-01-12 10:00:00
2020-01-12,3℃,99%,65,2020-01-12 10:53:00
2020-01-12,5℃,81%,78,2020-01-12 12:10:00
2020-01-12,5℃,77%,95,2020-01-12 13:04:00
2020-01-12,5℃,77%,110,2020-01-12 13:51:00
2020-01-12,5℃,75%,117,2020-01-12 14:55:00
2020-01-12,5℃,76%,122,2020-01-12 16:03:00
2020-01-12,4℃,81%,123,2020-01-12 16:56:00
2020-01-12,2℃,90%,130,2020-01-12 18:03:00
2020-01-12,0℃,97%,137,2020-01-12 19:07:00
2020-01-12,0℃,98%,144,2020-01-12 20:00:00
2020-01-12,0℃,99%,156,2020-01-12 21:05:00
2020-01-12,0℃,99%,159,2020-01-12 22:00:00
2020-01-12,-1℃,99%,148,2020-01-12 23:00:00
2020-01-13,-1℃,99%,145,2020-01-13 00:01:00
2020-01-13,-1℃,99%,139,2020-01-13 00:51:00
2020-01-13,-1℃,99%,133,2020-01-13 02:08:00
2020-01-13,-1℃,99%,133,2020-01-13 02:52:00
2020-01-13,-2℃,99%,130,2020-01-13 03:49:00
2020-01-13,-3℃,99%,125,2020-01-13 05:00:00
2020-01-13,-2℃,99%,120,2020-01-13 06:08:00
2020-01-13,-2℃,99%,118,2020-01-13 06:58:00
