日期,温度,湿度,aqi,更新日期
2020-01-01,-16℃,44%,134,2020-01-01 00:57:00
2020-01-01,-16℃,41%,147,2020-01-01 02:08:00
2020-01-01,-16℃,45%,166,2020-01-01 03:00:00
2020-01-01,-15℃,43%,173,2020-01-01 03:57:00
2020-01-01,-16℃,46%,138,2020-01-01 04:57:00
2020-01-01,-16℃,46%,134,2020-01-01 06:06:00
2020-01-01,-17℃,51%,128,2020-01-01 07:07:00
2020-01-01,-16℃,48%,128,2020-01-01 08:00:00
2020-01-01,-13℃,46%,129,2020-01-01 09:10:00
2020-01-01,-9℃,34%,139,2020-01-01 10:10:00
2020-01-01,-8℃,36%,153,2020-01-01 11:05:00
2020-01-01,-7℃,29%,222,2020-01-01 11:58:00
2020-01-01,-5℃,31%,158,2020-01-01 13:03:00
2020-01-01,-4℃,28%,109,2020-01-01 13:53:00
2020-01-01,-4℃,28%,98,2020-01-01 14:57:00
2020-01-01,-3℃,33%,82,2020-01-01 16:07:00
2020-01-01,-6℃,41%,78,2020-01-01 17:04:00
2020-01-01,-9℃,47%,79,2020-01-01 18:10:00
2020-01-01,-9℃,46%,88,2020-01-01 19:10:00
2020-01-01,-9℃,44%,113,2020-01-01 19:56:00
2020-01-01,-8℃,42%,139,2020-01-01 21:06:00
2020-01-01,-9℃,47%,169,2020-01-01 21:48:00
2020-01-01,-11℃,55%,201,2020-01-01 22:49:00
2020-01-02,-11℃,56%,225,2020-01-02 01:03:00
2020-01-02,-12℃,62%,220,2020-01-02 01:52:00
2020-01-02,-13℃,64%,224,2020-01-02 02:54:00
2020-01-02,-12℃,64%,195,2020-01-02 03:51:00
2020-01-02,-12℃,65%,148,2020-01-02 05:08:00
2020-01-02,-11℃,63%,125,2020-01-02 05:51:00
2020-01-02,-11℃,64%,118,2020-01-02 07:08:00
2020-01-02,-12℃,68%,124,2020-01-02 07:50:00
2020-01-02,-13℃,67%,128,2020-01-02 09:10:00
2020-01-02,-11℃,62%,176,2020-01-02 10:10:00
2020-01-02,-8℃,58%,166,2020-01-02 11:01:00
2020-01-02,-7℃,57%,163,2020-01-02 12:04:00
2020-01-02,-6℃,52%,190,2020-01-02 13:01:00
2020-01-02,-3℃,44%,203,2020-01-02 13:50:00
2020-01-02,-1℃,41%,199,2020-01-02 15:10:00
2020-01-02,-3℃,55%,199,2020-01-02 16:04:00
2020-01-02,-4℃,59%,195,2020-01-02 17:04:00
2020-01-02,-7℃,61%,228,2020-01-02 18:08:00
2020-01-02,-7℃,63%,227,2020-01-02 19:02:00
2020-01-02,-9℃,67%,230,2020-01-02 19:52:00
2020-01-02,-10℃,73%,243,2020-01-02 20:49:00
2020-01-02,-10℃,75%,264,2020-01-02 22:10:00
2020-01-02,-11℃,80%,265,2020-01-02 22:56:00
2020-01-03,-11℃,81%,302,2020-01-03 00:08:00
2020-01-03,-11℃,78%,297,2020-01-03 01:07:00
2020-01-03,-11℃,78%,279,2020-01-03 02:06:00
2020-01-03,-11℃,77%,268,2020-01-03 03:00:00
2020-01-03,-12℃,80%,238,2020-01-03 04:00:00
2020-01-03,-13℃,84%,205,2020-01-03 05:05:00
2020-01-03,-14℃,84%,201,2020-01-03 06:08:00
2020-01-03,-13℃,79%,196,2020-01-03 07:05:00
2020-01-03,-13℃,80%,180,2020-01-03 08:08:00
2020-01-03,-12℃,82%,186,2020-01-03 09:01:00
2020-01-03,-10℃,76%,202,2020-01-03 09:53:00
2020-01-03,-8℃,65%,246,2020-01-03 10:46:00
2020-01-03,-5℃,56%,230,2020-01-03 12:10:00
2020-01-03,-4℃,53%,200,2020-01-03 12:49:00
2020-01-03,-4℃,57%,208,2020-01-03 14:01:00
2020-01-03,-4℃,55%,212,2020-01-03 14:50:00
2020-01-03,-4℃,58%,205,2020-01-03 15:52:00
2020-01-03,-7℃,65%,224,2020-01-03 17:05:00
2020-01-03,-7℃,67%,234,2020-01-03 18:10:00
2020-01-03,-9℃,69%,236,2020-01-03 18:53:00
2020-01-03,-9℃,71%,249,2020-01-03 20:09:00
2020-01-03,-10℃,73%,255,2020-01-03 21:08:00
2020-01-03,-8℃,66%,288,2020-01-03 22:01:00
2020-01-03,-10℃,74%,290,2020-01-03 22:55:00
2020-01-04,-11℃,75%,314,2020-01-04 00:01:00
2020-01-04,-11℃,79%,326,2020-01-04 01:07:00
2020-01-04,-11℃,76%,297,2020-01-04 02:07:00
2020-01-04,-11℃,76%,270,2020-01-04 03:00:00
2020-01-04,-11℃,76%,254,2020-01-04 04:04:00
2020-01-04,-12℃,77%,232,2020-01-04 04:50:00
2020-01-04,-11℃,78%,212,2020-01-04 06:01:00
2020-01-04,-10℃,74%,219,2020-01-04 07:01:00
2020-01-04,-12℃,81%,218,2020-01-04 07:51:00
2020-01-04,-11℃,77%,204,2020-01-04 09:04:00
2020-01-04,-7℃,64%,202,2020-01-04 10:03:00
2020-01-04,-4℃,50%,208,2020-01-04 11:09:00
2020-01-04,-2℃,46%,183,2020-01-04 11:43:00
2020-01-04,-2℃,46%,180,2020-01-04 12:43:00
2020-01-04,-1℃,47%,185,2020-01-04 14:08:00
2020-01-04,0℃,43%,214,2020-01-04 15:05:00
2020-01-04,0℃,42%,230,2020-01-04 15:55:00
2020-01-04,-3℃,53%,202,2020-01-04 17:02:00
2020-01-04,-5℃,58%,179,2020-01-04 17:59:00
2020-01-04,-5℃,57%,207,2020-01-04 18:58:00
2020-01-04,-6℃,54%,226,2020-01-04 19:54:00
2020-01-04,-5℃,50%,221,2020-01-04 21:03:00
2020-01-04,-5℃,52%,218,2020-01-04 22:04:00
2020-01-04,-5℃,51%,185,2020-01-04 23:02:00
2020-01-05,-6℃,55%,122,2020-01-05 00:49:00
2020-01-05,-6℃,55%,99,2020-01-05 01:55:00
2020-01-05,-5℃,53%,83,2020-01-05 03:02:00
2020-01-05,-6℃,56%,75,2020-01-05 04:07:00
2020-01-05,-7℃,63%,69,2020-01-05 05:03:00
2020-01-05,-7℃,60%,62,2020-01-05 05:55:00
2020-01-05,-7℃,60%,58,2020-01-05 07:05:00
2020-01-05,-6℃,58%,60,2020-01-05 07:56:00
2020-01-05,-6℃,57%,62,2020-01-05 08:43:00
2020-01-05,-3℃,51%,77,2020-01-05 09:57:00
2020-01-05,0℃,44%,102,2020-01-05 11:08:00
2020-01-05,0℃,41%,124,2020-01-05 12:07:00
2020-01-05,1℃,42%,124,2020-01-05 13:03:00
2020-01-05,-1℃,66%,138,2020-01-05 14:05:00
2020-01-05,-2℃,85%,138,2020-01-05 15:05:00
2020-01-05,-2℃,88%,130,2020-01-05 16:09:00
2020-01-05,-2℃,88%,137,2020-01-05 16:57:00
2020-01-05,-2℃,91%,140,2020-01-05 18:03:00
2020-01-05,-2℃,92%,138,2020-01-05 19:06:00
2020-01-05,-2℃,93%,142,2020-01-05 20:10:00
2020-01-05,-2℃,93%,144,2020-01-05 21:02:00
2020-01-05,-3℃,92%,127,2020-01-05 22:05:00
2020-01-05,-3℃,93%,123,2020-01-05 23:03:00
2020-01-06,-3℃,93%,140,2020-01-06 01:07:00
2020-01-06,-3℃,92%,123,2020-01-06 01:54:00
2020-01-06,-2℃,75%,122,2020-01-06 02:59:00
2020-01-06,-4℃,68%,123,2020-01-06 04:02:00
2020-01-06,-4℃,65%,109,2020-01-06 04:56:00
2020-01-06,-5℃,63%,69,2020-01-06 06:09:00
2020-01-06,-5℃,64%,47,2020-01-06 07:03:00
2020-01-06,-5℃,64%,33,2020-01-06 07:58:00
2020-01-06,-6℃,62%,25,2020-01-06 09:07:00
2020-01-06,-5℃,57%,24,2020-01-06 10:00:00
2020-01-06,-4℃,53%,24,2020-01-06 11:17:00
2020-01-06,-4℃,54%,24,2020-01-06 11:57:00
2020-01-06,-2℃,49%,21,2020-01-06 14:09:00
2020-01-06,-2℃,50%,22,2020-01-06 15:04:00
2020-01-06,-3℃,52%,23,2020-01-06 15:52:00
2020-01-06,-4℃,52%,22,2020-01-06 16:42:00
2020-01-06,-5℃,52%,22,2020-01-06 18:14:00
2020-01-06,-6℃,54%,22,2020-01-06 19:05:00
2020-01-06,-6℃,55%,21,2020-01-06 19:55:00
2020-01-06,-7℃,56%,20,2020-01-06 21:03:00
2020-01-06,-7℃,58%,23,2020-01-06 22:07:00
2020-01-06,-7℃,58%,23,2020-01-06 23:06:00
2020-01-07,-7℃,55%,22,2020-01-07 00:00:00
2020-01-07,-7℃,53%,21,2020-01-07 00:50:00
2020-01-07,-7℃,55%,21,2020-01-07 02:03:00
2020-01-07,-7℃,53%,20,2020-01-07 02:56:00
2020-01-07,-6℃,52%,23,2020-01-07 04:08:00
2020-01-07,-6℃,50%,23,2020-01-07 05:03:00
2020-01-07,-12℃,80%,25,2020-01-07 06:00:00
2020-01-07,-7℃,54%,24,2020-01-07 07:00:00
2020-01-07,-8℃,57%,22,2020-01-07 07:47:00
2020-01-07,-8℃,56%,20,2020-01-07 09:04:00
2020-01-07,-6℃,50%,25,2020-01-07 10:09:00
2020-01-07,-5℃,51%,39,2020-01-07 11:09:00
2020-01-07,-4℃,45%,39,2020-01-07 12:00:00
2020-01-07,-4℃,52%,36,2020-01-07 13:08:00
2020-01-07,-4℃,51%,83,2020-01-07 13:50:00
2020-01-07,-3℃,46%,97,2020-01-07 14:55:00
2020-01-07,-2℃,49%,80,2020-01-07 15:51:00
2020-01-07,-4℃,58%,83,2020-01-07 17:05:00
2020-01-07,-7℃,67%,110,2020-01-07 18:02:00
2020-01-07,-10℃,74%,133,2020-01-07 19:01:00
2020-01-07,-11℃,80%,166,2020-01-07 20:08:00
2020-01-07,-13℃,81%,209,2020-01-07 21:09:00
2020-01-07,-13℃,77%,238,2020-01-07 22:07:00
2020-01-07,-13℃,79%,262,2020-01-07 22:57:00
2020-01-08,-14℃,79%,260,2020-01-08 00:00:00
2020-01-08,-14℃,77%,247,2020-01-08 01:10:00
2020-01-08,-14℃,74%,232,2020-01-08 01:56:00
2020-01-08,-14℃,74%,230,2020-01-08 03:04:00
2020-01-08,-15℃,75%,228,2020-01-08 04:02:00
2020-01-08,-15℃,75%,216,2020-01-08 04:58:00
2020-01-08,-15℃,75%,182,2020-01-08 05:58:00
2020-01-08,-18℃,86%,145,2020-01-08 07:00:00
2020-01-08,-15℃,76%,127,2020-01-08 07:59:00
2020-01-08,-15℃,79%,102,2020-01-08 09:01:00
2020-01-08,-10℃,70%,93,2020-01-08 10:02:00
2020-01-08,-8℃,55%,104,2020-01-08 11:20:00
2020-01-08,-6℃,50%,104,2020-01-08 12:08:00
2020-01-08,-6℃,54%,152,2020-01-08 13:00:00
