日期,温度,湿度,aqi,更新日期
2020-01-01,5℃,56%,50,2020-01-01 00:57:00
2020-01-01,4℃,52%,52,2020-01-01 02:08:00
2020-01-01,4℃,55%,52,2020-01-01 03:00:00
2020-01-01,4℃,55%,55,2020-01-01 03:57:00
2020-01-01,3℃,65%,66,2020-01-01 04:58:00
2020-01-01,3℃,65%,69,2020-01-01 06:06:00
2020-01-01,3℃,65%,78,2020-01-01 06:55:00
2020-01-01,3℃,69%,75,2020-01-01 08:00:00
2020-01-01,4℃,67%,78,2020-01-01 08:47:00
2020-01-01,5℃,62%,65,2020-01-01 09:46:00
2020-01-01,6℃,59%,62,2020-01-01 11:20:00
2020-01-01,6℃,56%,62,2020-01-01 11:58:00
2020-01-01,7℃,60%,57,2020-01-01 13:10:00
2020-01-01,6℃,63%,50,2020-01-01 14:09:00
2020-01-01,7℃,66%,51,2020-01-01 14:57:00
2020-01-01,6℃,73%,54,2020-01-01 16:07:00
2020-01-01,5℃,91%,56,2020-01-01 17:04:00
2020-01-01,4℃,97%,61,2020-01-01 18:10:00
2020-01-01,4℃,99%,59,2020-01-01 19:00:00
2020-01-01,4℃,99%,60,2020-01-01 19:56:00
2020-01-01,4℃,99%,62,2020-01-01 21:06:00
2020-01-01,4℃,99%,64,2020-01-01 21:48:00
2020-01-01,4℃,99%,68,2020-01-01 22:51:00
2020-01-02,4℃,99%,65,2020-01-02 01:02:00
2020-01-02,5℃,99%,63,2020-01-02 01:57:00
2020-01-02,5℃,99%,59,2020-01-02 02:54:00
2020-01-02,5℃,99%,57,2020-01-02 04:03:00
2020-01-02,5℃,99%,58,2020-01-02 05:08:00
2020-01-02,5℃,99%,59,2020-01-02 05:50:00
2020-01-02,5℃,99%,54,2020-01-02 07:08:00
2020-01-02,5℃,99%,54,2020-01-02 07:50:00
2020-01-02,5℃,99%,55,2020-01-02 09:10:00
2020-01-02,5℃,99%,54,2020-01-02 10:10:00
2020-01-02,5℃,99%,59,2020-01-02 11:01:00
2020-01-02,5℃,99%,69,2020-01-02 12:04:00
2020-01-02,5℃,99%,75,2020-01-02 13:09:00
2020-01-02,5℃,99%,79,2020-01-02 13:50:00
2020-01-02,5℃,99%,80,2020-01-02 15:10:00
2020-01-02,5℃,99%,80,2020-01-02 16:04:00
2020-01-02,5℃,99%,80,2020-01-02 17:04:00
2020-01-02,5℃,99%,75,2020-01-02 17:45:00
2020-01-02,5℃,99%,74,2020-01-02 19:02:00
2020-01-02,5℃,99%,75,2020-01-02 19:52:00
2020-01-02,5℃,99%,79,2020-01-02 20:52:00
2020-01-02,5℃,99%,83,2020-01-02 22:10:00
2020-01-02,5℃,99%,83,2020-01-02 22:56:00
2020-01-03,5℃,99%,88,2020-01-03 01:07:00
2020-01-03,5℃,99%,89,2020-01-03 02:06:00
2020-01-03,5℃,99%,95,2020-01-03 03:00:00
2020-01-03,5℃,99%,102,2020-01-03 04:04:00
2020-01-03,5℃,99%,107,2020-01-03 04:52:00
2020-01-03,5℃,99%,112,2020-01-03 05:50:00
2020-01-03,5℃,99%,105,2020-01-03 07:05:00
2020-01-03,5℃,99%,103,2020-01-03 08:08:00
2020-01-03,5℃,99%,105,2020-01-03 09:06:00
2020-01-03,5℃,99%,104,2020-01-03 09:53:00
2020-01-03,5℃,99%,108,2020-01-03 10:54:00
2020-01-03,5℃,99%,115,2020-01-03 12:10:00
2020-01-03,5℃,98%,120,2020-01-03 13:02:00
2020-01-03,5℃,99%,127,2020-01-03 14:01:00
2020-01-03,5℃,99%,132,2020-01-03 15:06:00
2020-01-03,5℃,99%,130,2020-01-03 15:50:00
2020-01-03,5℃,99%,132,2020-01-03 17:05:00
2020-01-03,6℃,99%,130,2020-01-03 18:10:00
2020-01-03,5℃,99%,133,2020-01-03 18:53:00
2020-01-03,5℃,99%,133,2020-01-03 20:09:00
2020-01-03,5℃,99%,130,2020-01-03 21:08:00
2020-01-03,5℃,99%,125,2020-01-03 22:07:00
2020-01-03,5℃,99%,119,2020-01-03 22:55:00
2020-01-04,5℃,99%,113,2020-01-04 00:15:00
2020-01-04,5℃,99%,109,2020-01-04 01:07:00
2020-01-04,5℃,99%,102,2020-01-04 02:07:00
2020-01-04,5℃,99%,100,2020-01-04 03:01:00
2020-01-04,5℃,99%,105,2020-01-04 04:04:00
2020-01-04,5℃,99%,102,2020-01-04 04:50:00
2020-01-04,5℃,99%,104,2020-01-04 06:01:00
2020-01-04,5℃,99%,105,2020-01-04 07:00:00
2020-01-04,5℃,99%,102,2020-01-04 08:09:00
2020-01-04,5℃,99%,95,2020-01-04 08:44:00
2020-01-04,6℃,99%,93,2020-01-04 09:58:00
2020-01-04,6℃,99%,95,2020-01-04 10:59:00
2020-01-04,7℃,98%,102,2020-01-04 12:06:00
2020-01-04,7℃,94%,104,2020-01-04 13:10:00
2020-01-04,7℃,94%,108,2020-01-04 14:06:00
2020-01-04,7℃,95%,109,2020-01-04 14:50:00
2020-01-04,7℃,96%,112,2020-01-04 15:55:00
2020-01-04,7℃,97%,119,2020-01-04 17:02:00
2020-01-04,7℃,99%,129,2020-01-04 18:21:00
2020-01-04,7℃,99%,129,2020-01-04 18:51:00
2020-01-04,7℃,99%,124,2020-01-04 19:54:00
2020-01-04,7℃,99%,123,2020-01-04 21:03:00
2020-01-04,7℃,99%,123,2020-01-04 22:04:00
2020-01-04,7℃,99%,113,2020-01-04 22:56:00
2020-01-05,7℃,99%,112,2020-01-05 00:49:00
2020-01-05,7℃,99%,107,2020-01-05 01:55:00
2020-01-05,7℃,99%,107,2020-01-05 03:02:00
2020-01-05,7℃,99%,108,2020-01-05 04:07:00
2020-01-05,7℃,99%,108,2020-01-05 05:03:00
2020-01-05,7℃,99%,114,2020-01-05 06:08:00
2020-01-05,7℃,99%,112,2020-01-05 06:56:00
2020-01-05,7℃,99%,113,2020-01-05 07:56:00
2020-01-05,8℃,99%,118,2020-01-05 09:08:00
2020-01-05,8℃,99%,117,2020-01-05 09:57:00
2020-01-05,8℃,99%,107,2020-01-05 11:04:00
2020-01-05,8℃,99%,107,2020-01-05 12:07:00
2020-01-05,9℃,99%,117,2020-01-05 13:03:00
2020-01-05,10℃,92%,129,2020-01-05 14:05:00
2020-01-05,10℃,91%,134,2020-01-05 15:05:00
2020-01-05,10℃,92%,132,2020-01-05 15:49:00
2020-01-05,9℃,96%,132,2020-01-05 16:57:00
2020-01-05,9℃,97%,129,2020-01-05 18:03:00
2020-01-05,9℃,99%,127,2020-01-05 18:59:00
2020-01-05,9℃,99%,122,2020-01-05 19:42:00
2020-01-05,9℃,99%,120,2020-01-05 21:02:00
2020-01-05,9℃,99%,127,2020-01-05 22:05:00
2020-01-05,9℃,99%,114,2020-01-05 23:02:00
2020-01-06,9℃,99%,92,2020-01-06 01:07:00
2020-01-06,9℃,99%,99,2020-01-06 01:37:00
2020-01-06,9℃,99%,84,2020-01-06 02:59:00
2020-01-06,9℃,99%,73,2020-01-06 04:04:00
2020-01-06,9℃,99%,62,2020-01-06 04:56:00
2020-01-06,9℃,99%,52,2020-01-06 06:09:00
2020-01-06,9℃,99%,48,2020-01-06 07:03:00
2020-01-06,8℃,99%,46,2020-01-06 07:58:00
2020-01-06,8℃,99%,39,2020-01-06 09:07:00
2020-01-06,8℃,99%,29,2020-01-06 10:00:00
2020-01-06,8℃,99%,30,2020-01-06 10:43:00
2020-01-06,7℃,99%,32,2020-01-06 11:54:00
2020-01-06,7℃,99%,33,2020-01-06 12:52:00
2020-01-06,7℃,99%,36,2020-01-06 14:09:00
2020-01-06,7℃,99%,33,2020-01-06 15:04:00
2020-01-06,7℃,99%,33,2020-01-06 15:45:00
2020-01-06,6℃,99%,28,2020-01-06 16:47:00
2020-01-06,6℃,99%,45,2020-01-06 18:09:00
2020-01-06,6℃,99%,46,2020-01-06 19:05:00
2020-01-06,5℃,99%,49,2020-01-06 19:55:00
2020-01-06,6℃,99%,50,2020-01-06 20:51:00
2020-01-06,5℃,99%,49,2020-01-06 21:45:00
2020-01-06,5℃,99%,50,2020-01-06 22:58:00
2020-01-07,4℃,99%,48,2020-01-07 00:00:00
2020-01-07,4℃,99%,40,2020-01-07 01:10:00
2020-01-07,4℃,99%,30,2020-01-07 02:03:00
2020-01-07,4℃,99%,24,2020-01-07 02:56:00
2020-01-07,4℃,99%,29,2020-01-07 03:45:00
2020-01-07,3℃,99%,28,2020-01-07 05:03:00
2020-01-07,3℃,99%,18,2020-01-07 05:52:00
2020-01-07,3℃,99%,15,2020-01-07 07:00:00
2020-01-07,3℃,99%,15,2020-01-07 08:10:00
2020-01-07,3℃,99%,15,2020-01-07 08:53:00
2020-01-07,4℃,99%,15,2020-01-07 10:09:00
2020-01-07,4℃,96%,19,2020-01-07 11:08:00
2020-01-07,4℃,88%,26,2020-01-07 12:05:00
2020-01-07,6℃,83%,28,2020-01-07 13:08:00
2020-01-07,6℃,82%,28,2020-01-07 13:50:00
2020-01-07,6℃,78%,26,2020-01-07 14:55:00
2020-01-07,7℃,79%,26,2020-01-07 15:51:00
2020-01-07,6℃,80%,28,2020-01-07 17:05:00
2020-01-07,6℃,89%,36,2020-01-07 18:02:00
2020-01-07,5℃,95%,45,2020-01-07 19:01:00
2020-01-07,4℃,98%,52,2020-01-07 19:51:00
