日期,温度,湿度,aqi,更新日期
2020-01-01,-24℃,79%,109,2020-01-01 00:57:00
2020-01-01,-24℃,79%,103,2020-01-01 02:08:00
2020-01-01,-24℃,77%,103,2020-01-01 03:00:00
2020-01-01,-25℃,75%,100,2020-01-01 03:57:00
2020-01-01,-25℃,75%,84,2020-01-01 04:58:00
2020-01-01,-25℃,75%,74,2020-01-01 06:06:00
2020-01-01,-25℃,74%,87,2020-01-01 07:07:00
2020-01-01,-25℃,73%,103,2020-01-01 08:00:00
2020-01-01,-23℃,70%,107,2020-01-01 08:47:00
2020-01-01,-20℃,59%,173,2020-01-01 10:10:00
2020-01-01,-18℃,55%,176,2020-01-01 11:05:00
2020-01-01,-17℃,52%,150,2020-01-01 11:58:00
2020-01-01,-16℃,49%,110,2020-01-01 13:10:00
2020-01-01,-16℃,48%,100,2020-01-01 13:53:00
2020-01-01,-15℃,47%,87,2020-01-01 14:45:00
2020-01-01,-17℃,54%,77,2020-01-01 15:52:00
2020-01-01,-18℃,59%,85,2020-01-01 17:04:00
2020-01-01,-18℃,60%,115,2020-01-01 18:10:00
2020-01-01,-18℃,61%,124,2020-01-01 19:09:00
2020-01-01,-19℃,62%,138,2020-01-01 19:56:00
2020-01-01,-19℃,63%,169,2020-01-01 21:06:00
2020-01-01,-19℃,63%,176,2020-01-01 22:11:00
2020-01-01,-19℃,64%,176,2020-01-01 22:49:00
2020-01-02,-20℃,70%,163,2020-01-02 01:58:00
2020-01-02,-20℃,69%,195,2020-01-02 02:54:00
2020-01-02,-19℃,68%,192,2020-01-02 04:03:00
2020-01-02,-20℃,71%,193,2020-01-02 05:08:00
2020-01-02,-19℃,69%,186,2020-01-02 06:02:00
2020-01-02,-18℃,67%,175,2020-01-02 07:08:00
2020-01-02,-18℃,66%,172,2020-01-02 07:50:00
2020-01-02,-21℃,73%,186,2020-01-02 09:00:00
2020-01-02,-19℃,65%,182,2020-01-02 10:10:00
2020-01-02,-14℃,54%,173,2020-01-02 11:01:00
2020-01-02,-14℃,54%,160,2020-01-02 12:04:00
2020-01-02,-12℃,52%,169,2020-01-02 13:08:00
2020-01-02,-12℃,53%,169,2020-01-02 13:50:00
2020-01-02,-12℃,57%,168,2020-01-02 15:10:00
2020-01-02,-13℃,61%,152,2020-01-02 16:04:00
