日期,温度,湿度,aqi,更新日期
2020-01-01,3℃,59%,-1,2020-01-01 00:10:00
2020-01-01,3℃,59%,-1,2020-01-01 00:57:00
2020-01-01,3℃,60%,-1,2020-01-01 02:08:00
2020-01-01,3℃,62%,-1,2020-01-01 03:00:00
2020-01-01,3℃,56%,-1,2020-01-01 04:12:00
2020-01-01,3℃,49%,-1,2020-01-01 05:10:00
2020-01-01,3℃,51%,-1,2020-01-01 06:06:00
2020-01-01,3℃,54%,-1,2020-01-01 06:55:00
2020-01-01,3℃,53%,-1,2020-01-01 08:00:00
2020-01-01,3℃,59%,-1,2020-01-01 09:10:00
2020-01-01,3℃,60%,-1,2020-01-01 09:46:00
2020-01-01,4℃,62%,-1,2020-01-01 11:05:00
2020-01-01,4℃,64%,-1,2020-01-01 11:58:00
2020-01-01,4℃,66%,-1,2020-01-01 13:04:00
2020-01-01,5℃,69%,-1,2020-01-01 13:53:00
2020-01-01,4℃,76%,-1,2020-01-01 14:57:00
2020-01-01,3℃,99%,-1,2020-01-01 16:07:00
2020-01-01,3℃,99%,-1,2020-01-01 16:56:00
2020-01-01,3℃,99%,-1,2020-01-01 18:05:00
2020-01-01,3℃,99%,-1,2020-01-01 19:09:00
2020-01-01,3℃,99%,-1,2020-01-01 19:50:00
2020-01-01,3℃,99%,-1,2020-01-01 21:06:00
2020-01-01,3℃,99%,-1,2020-01-01 21:48:00
2020-01-01,3℃,99%,-1,2020-01-01 22:49:00
2020-01-02,3℃,99%,-1,2020-01-02 00:07:00
2020-01-02,3℃,99%,-1,2020-01-02 01:03:00
2020-01-02,3℃,99%,-1,2020-01-02 01:58:00
2020-01-02,3℃,99%,-1,2020-01-02 02:54:00
2020-01-02,3℃,99%,-1,2020-01-02 03:58:00
2020-01-02,3℃,99%,-1,2020-01-02 05:08:00
2020-01-02,3℃,99%,-1,2020-01-02 06:02:00
2020-01-02,3℃,99%,-1,2020-01-02 07:08:00
2020-01-02,3℃,99%,-1,2020-01-02 07:50:00
2020-01-02,4℃,99%,-1,2020-01-02 09:00:00
2020-01-02,4℃,98%,-1,2020-01-02 10:10:00
2020-01-02,4℃,99%,-1,2020-01-02 11:01:00
2020-01-02,4℃,99%,-1,2020-01-02 12:04:00
2020-01-02,4℃,93%,-1,2020-01-02 13:08:00
2020-01-02,4℃,93%,-1,2020-01-02 13:46:00
2020-01-02,5℃,91%,-1,2020-01-02 15:10:00
2020-01-02,5℃,90%,-1,2020-01-02 16:07:00
2020-01-02,5℃,84%,-1,2020-01-02 17:04:00
2020-01-02,5℃,87%,-1,2020-01-02 17:45:00
2020-01-02,5℃,85%,-1,2020-01-02 19:02:00
2020-01-02,5℃,87%,-1,2020-01-02 20:08:00
2020-01-02,5℃,86%,-1,2020-01-02 20:49:00
2020-01-02,5℃,94%,-1,2020-01-02 22:10:00
2020-01-02,5℃,96%,-1,2020-01-02 22:56:00
2020-01-03,4℃,99%,-1,2020-01-03 01:07:00
2020-01-03,4℃,99%,-1,2020-01-03 01:51:00
2020-01-03,4℃,99%,-1,2020-01-03 03:00:00
2020-01-03,4℃,99%,-1,2020-01-03 04:04:00
2020-01-03,4℃,99%,-1,2020-01-03 05:05:00
2020-01-03,4℃,99%,-1,2020-01-03 05:50:00
2020-01-03,4℃,99%,-1,2020-01-03 07:05:00
2020-01-03,4℃,99%,-1,2020-01-03 07:48:00
2020-01-03,5℃,99%,-1,2020-01-03 09:01:00
2020-01-03,5℃,98%,-1,2020-01-03 09:53:00
2020-01-03,6℃,94%,-1,2020-01-03 11:20:00
2020-01-03,6℃,96%,-1,2020-01-03 11:57:00
2020-01-03,5℃,99%,-1,2020-01-03 13:02:00
2020-01-03,5℃,99%,-1,2020-01-03 14:01:00
2020-01-03,5℃,99%,-1,2020-01-03 15:06:00
2020-01-03,5℃,99%,-1,2020-01-03 15:50:00
2020-01-03,5℃,99%,-1,2020-01-03 16:59:00
2020-01-03,5℃,99%,-1,2020-01-03 17:29:00
2020-01-03,5℃,99%,-1,2020-01-03 18:53:00
2020-01-03,5℃,99%,-1,2020-01-03 20:09:00
2020-01-03,5℃,99%,-1,2020-01-03 21:08:00
2020-01-03,5℃,99%,-1,2020-01-03 22:01:00
2020-01-03,5℃,99%,-1,2020-01-03 22:55:00
2020-01-04,5℃,99%,-1,2020-01-04 00:01:00
2020-01-04,5℃,99%,-1,2020-01-04 01:07:00
2020-01-04,4℃,99%,-1,2020-01-04 02:07:00
2020-01-04,4℃,99%,-1,2020-01-04 03:01:00
2020-01-04,4℃,99%,-1,2020-01-04 04:07:00
2020-01-04,4℃,99%,-1,2020-01-04 04:50:00
2020-01-04,4℃,99%,-1,2020-01-04 06:01:00
2020-01-04,4℃,99%,-1,2020-01-04 06:34:00
2020-01-04,5℃,99%,-1,2020-01-04 08:02:00
2020-01-04,5℃,99%,-1,2020-01-04 09:04:00
2020-01-04,6℃,90%,-1,2020-01-04 10:05:00
2020-01-04,7℃,79%,-1,2020-01-04 10:59:00
2020-01-04,7℃,75%,-1,2020-01-04 11:40:00
2020-01-04,7℃,79%,-1,2020-01-04 12:59:00
2020-01-04,7℃,81%,-1,2020-01-04 14:06:00
2020-01-04,7℃,82%,-1,2020-01-04 14:51:00
2020-01-04,7℃,83%,-1,2020-01-04 15:55:00
2020-01-04,7℃,86%,-1,2020-01-04 17:02:00
2020-01-04,7℃,88%,-1,2020-01-04 17:37:00
2020-01-04,7℃,93%,-1,2020-01-04 18:58:00
2020-01-04,7℃,97%,-1,2020-01-04 19:54:00
2020-01-04,6℃,99%,-1,2020-01-04 21:03:00
2020-01-04,6℃,99%,-1,2020-01-04 22:05:00
2020-01-04,6℃,99%,-1,2020-01-04 22:57:00
2020-01-05,6℃,99%,-1,2020-01-05 00:49:00
2020-01-05,6℃,99%,-1,2020-01-05 02:06:00
2020-01-05,6℃,99%,-1,2020-01-05 03:02:00
2020-01-05,6℃,99%,-1,2020-01-05 04:07:00
2020-01-05,6℃,99%,-1,2020-01-05 05:03:00
2020-01-05,6℃,99%,-1,2020-01-05 06:08:00
2020-01-05,6℃,99%,-1,2020-01-05 06:56:00
2020-01-05,7℃,99%,-1,2020-01-05 07:56:00
2020-01-05,7℃,99%,-1,2020-01-05 08:43:00
2020-01-05,7℃,99%,-1,2020-01-05 09:57:00
2020-01-05,7℃,99%,-1,2020-01-05 11:04:00
2020-01-05,7℃,99%,-1,2020-01-05 11:49:00
2020-01-05,7℃,99%,-1,2020-01-05 12:56:00
2020-01-05,8℃,99%,-1,2020-01-05 14:04:00
2020-01-05,8℃,99%,-1,2020-01-05 14:41:00
2020-01-05,8℃,99%,-1,2020-01-05 15:50:00
2020-01-05,8℃,99%,-1,2020-01-05 16:57:00
2020-01-05,8℃,99%,-1,2020-01-05 18:03:00
2020-01-05,8℃,99%,-1,2020-01-05 18:59:00
2020-01-05,8℃,99%,-1,2020-01-05 20:06:00
2020-01-05,8℃,99%,-1,2020-01-05 21:02:00
2020-01-05,8℃,99%,-1,2020-01-05 22:05:00
2020-01-05,8℃,99%,-1,2020-01-05 22:48:00
2020-01-06,7℃,99%,-1,2020-01-06 01:07:00
2020-01-06,7℃,99%,-1,2020-01-06 01:54:00
2020-01-06,7℃,99%,-1,2020-01-06 02:59:00
2020-01-06,7℃,99%,-1,2020-01-06 04:04:00
2020-01-06,6℃,99%,-1,2020-01-06 04:56:00
2020-01-06,6℃,99%,-1,2020-01-06 06:09:00
2020-01-06,6℃,99%,-1,2020-01-06 07:03:00
2020-01-06,6℃,99%,-1,2020-01-06 07:58:00
2020-01-06,5℃,99%,-1,2020-01-06 09:07:00
2020-01-06,5℃,99%,-1,2020-01-06 10:09:00
2020-01-06,5℃,99%,-1,2020-01-06 11:01:00
2020-01-06,5℃,99%,-1,2020-01-06 11:57:00
2020-01-06,5℃,99%,-1,2020-01-06 12:52:00
2020-01-06,5℃,99%,-1,2020-01-06 14:09:00
2020-01-06,5℃,99%,-1,2020-01-06 15:04:00
2020-01-06,5℃,99%,-1,2020-01-06 15:45:00
2020-01-06,4℃,99%,-1,2020-01-06 16:42:00
2020-01-06,4℃,99%,-1,2020-01-06 17:51:00
2020-01-06,4℃,99%,-1,2020-01-06 19:05:00
2020-01-06,5℃,99%,-1,2020-01-06 19:55:00
2020-01-06,4℃,99%,-1,2020-01-06 20:48:00
2020-01-06,4℃,99%,-1,2020-01-06 21:45:00
2020-01-06,4℃,99%,-1,2020-01-06 22:58:00
2020-01-07,4℃,99%,-1,2020-01-07 00:00:00
2020-01-07,4℃,99%,-1,2020-01-07 00:56:00
2020-01-07,4℃,99%,-1,2020-01-07 02:03:00
2020-01-07,3℃,99%,-1,2020-01-07 02:56:00
2020-01-07,3℃,99%,-1,2020-01-07 04:08:00
2020-01-07,3℃,99%,-1,2020-01-07 05:03:00
2020-01-07,3℃,99%,-1,2020-01-07 06:10:00
2020-01-07,3℃,99%,-1,2020-01-07 07:00:00
2020-01-07,3℃,99%,-1,2020-01-07 07:47:00
2020-01-07,3℃,99%,-1,2020-01-07 09:01:00
2020-01-07,4℃,92%,-1,2020-01-07 10:09:00
2020-01-07,5℃,85%,-1,2020-01-07 10:59:00
2020-01-07,7℃,77%,-1,2020-01-07 12:06:00
2020-01-07,7℃,78%,-1,2020-01-07 13:08:00
2020-01-07,8℃,78%,-1,2020-01-07 14:01:00
2020-01-07,8℃,80%,-1,2020-01-07 14:55:00
2020-01-07,8℃,79%,-1,2020-01-07 15:51:00
2020-01-07,8℃,81%,-1,2020-01-07 17:02:00
2020-01-07,6℃,89%,-1,2020-01-07 18:02:00
2020-01-07,6℃,91%,-1,2020-01-07 19:01:00
2020-01-07,5℃,91%,-1,2020-01-07 20:08:00
2020-01-07,5℃,91%,-1,2020-01-07 20:52:00
2020-01-07,4℃,95%,-1,2020-01-07 22:07:00
2020-01-07,4℃,95%,-1,2020-01-07 22:57:00
2020-01-08,3℃,97%,-1,2020-01-08 00:00:00
2020-01-08,3℃,97%,-1,2020-01-08 00:55:00
2020-01-08,3℃,98%,-1,2020-01-08 01:49:00
2020-01-08,2℃,99%,-1,2020-01-08 02:54:00
2020-01-08,2℃,99%,-1,2020-01-08 04:02:00
2020-01-08,2℃,99%,-1,2020-01-08 04:58:00
2020-01-08,1℃,99%,-1,2020-01-08 05:58:00
2020-01-08,1℃,99%,-1,2020-01-08 07:08:00
2020-01-08,1℃,99%,-1,2020-01-08 07:59:00
2020-01-08,2℃,99%,-1,2020-01-08 09:01:00
2020-01-08,2℃,95%,-1,2020-01-08 10:02:00
2020-01-08,2℃,98%,-1,2020-01-08 11:01:00
2020-01-08,3℃,97%,-1,2020-01-08 11:59:00
2020-01-08,3℃,90%,-1,2020-01-08 13:00:00
2020-01-08,4℃,87%,-1,2020-01-08 13:58:00
2020-01-08,4℃,84%,-1,2020-01-08 14:53:00
2020-01-08,3℃,92%,-1,2020-01-08 16:01:00
2020-01-08,2℃,98%,-1,2020-01-08 17:10:00
2020-01-08,2℃,98%,-1,2020-01-08 18:03:00
2020-01-08,2℃,98%,-1,2020-01-08 18:56:00
2020-01-08,1℃,99%,-1,2020-01-08 20:06:00
2020-01-08,1℃,99%,-1,2020-01-08 20:48:00
2020-01-08,1℃,99%,-1,2020-01-08 22:03:00
2020-01-08,1℃,99%,-1,2020-01-08 23:04:00
2020-01-09,1℃,99%,-1,2020-01-09 00:04:00
2020-01-09,1℃,99%,-1,2020-01-09 00:45:00
2020-01-09,0℃,99%,-1,2020-01-09 01:57:00
2020-01-09,0℃,99%,-1,2020-01-09 02:57:00
2020-01-09,0℃,99%,-1,2020-01-09 04:05:00
2020-01-09,0℃,99%,-1,2020-01-09 05:01:00
2020-01-09,0℃,99%,-1,2020-01-09 06:02:00
2020-01-09,0℃,99%,-1,2020-01-09 07:01:00
2020-01-09,0℃,99%,-1,2020-01-09 08:06:00
2020-01-09,0℃,99%,-1,2020-01-09 08:59:00
2020-01-09,0℃,99%,-1,2020-01-09 09:56:00
2020-01-09,0℃,99%,-1,2020-01-09 11:08:00
2020-01-09,1℃,99%,-1,2020-01-09 11:59:00
2020-01-09,1℃,99%,-1,2020-01-09 12:58:00
2020-01-09,2℃,99%,-1,2020-01-09 14:07:00
2020-01-09,2℃,99%,-1,2020-01-09 15:01:00
