日期,温度,湿度,aqi,更新日期
2020-01-01,5℃,61%,26,2020-01-01 00:10:00
2020-01-01,4℃,66%,28,2020-01-01 00:57:00
2020-01-01,3℃,70%,31,2020-01-01 02:08:00
2020-01-01,2℃,76%,35,2020-01-01 03:00:00
2020-01-01,2℃,79%,35,2020-01-01 03:57:00
2020-01-01,1℃,81%,37,2020-01-01 05:10:00
2020-01-01,1℃,83%,42,2020-01-01 06:06:00
2020-01-01,1℃,85%,50,2020-01-01 07:06:00
2020-01-01,2℃,78%,51,2020-01-01 08:00:00
2020-01-01,4℃,68%,53,2020-01-01 09:10:00
2020-01-01,7℃,55%,51,2020-01-01 10:10:00
2020-01-01,8℃,53%,47,2020-01-01 11:05:00
2020-01-01,9℃,50%,42,2020-01-01 11:58:00
2020-01-01,11℃,46%,39,2020-01-01 13:03:00
2020-01-01,11℃,47%,37,2020-01-01 13:57:00
2020-01-01,12℃,44%,35,2020-01-01 14:57:00
2020-01-01,12℃,52%,30,2020-01-01 15:52:00
2020-01-01,10℃,62%,32,2020-01-01 17:04:00
2020-01-01,9℃,69%,34,2020-01-01 18:10:00
2020-01-01,8℃,73%,31,2020-01-01 19:10:00
2020-01-01,7℃,77%,28,2020-01-01 19:57:00
2020-01-01,7℃,81%,26,2020-01-01 21:06:00
2020-01-01,7℃,80%,24,2020-01-01 21:48:00
2020-01-01,7℃,79%,24,2020-01-01 22:33:00
2020-01-02,7℃,83%,25,2020-01-02 00:07:00
2020-01-02,7℃,82%,27,2020-01-02 01:03:00
2020-01-02,7℃,86%,27,2020-01-02 01:57:00
2020-01-02,7℃,84%,28,2020-01-02 02:54:00
2020-01-02,8℃,81%,29,2020-01-02 03:51:00
2020-01-02,8℃,86%,26,2020-01-02 05:08:00
2020-01-02,8℃,89%,27,2020-01-02 06:11:00
2020-01-02,8℃,91%,30,2020-01-02 07:08:00
2020-01-02,8℃,85%,33,2020-01-02 07:51:00
2020-01-02,10℃,92%,36,2020-01-02 09:10:00
2020-01-02,10℃,88%,43,2020-01-02 10:10:00
2020-01-02,10℃,81%,47,2020-01-02 11:01:00
2020-01-02,11℃,77%,47,2020-01-02 12:04:00
2020-01-02,12℃,71%,42,2020-01-02 13:08:00
2020-01-02,13℃,69%,40,2020-01-02 13:50:00
2020-01-02,13℃,67%,45,2020-01-02 15:10:00
2020-01-02,13℃,68%,48,2020-01-02 16:04:00
2020-01-02,12℃,70%,44,2020-01-02 17:04:00
2020-01-02,12℃,73%,47,2020-01-02 18:04:00
2020-01-02,12℃,74%,54,2020-01-02 19:02:00
2020-01-02,12℃,74%,60,2020-01-02 20:08:00
2020-01-02,12℃,74%,64,2020-01-02 20:49:00
2020-01-02,11℃,82%,61,2020-01-02 22:10:00
2020-01-02,11℃,78%,59,2020-01-02 22:56:00
2020-01-03,11℃,93%,60,2020-01-03 00:10:00
2020-01-03,11℃,83%,67,2020-01-03 01:07:00
2020-01-03,11℃,81%,65,2020-01-03 02:06:00
2020-01-03,10℃,82%,69,2020-01-03 03:00:00
2020-01-03,10℃,82%,73,2020-01-03 04:00:00
2020-01-03,10℃,82%,70,2020-01-03 05:02:00
2020-01-03,10℃,84%,77,2020-01-03 06:08:00
2020-01-03,10℃,84%,79,2020-01-03 07:05:00
2020-01-03,10℃,84%,79,2020-01-03 08:08:00
2020-01-03,10℃,88%,82,2020-01-03 08:50:00
2020-01-03,11℃,87%,84,2020-01-03 09:42:00
