日期,温度,湿度,aqi,更新日期
2020-01-01,2℃,58%,117,2020-01-01 00:57:00
2020-01-01,2℃,61%,123,2020-01-01 02:08:00
2020-01-01,2℃,62%,125,2020-01-01 03:14:00
2020-01-01,2℃,63%,124,2020-01-01 03:57:00
2020-01-01,2℃,65%,127,2020-01-01 04:58:00
2020-01-01,2℃,66%,120,2020-01-01 06:06:00
2020-01-01,2℃,67%,125,2020-01-01 07:07:00
2020-01-01,2℃,67%,128,2020-01-01 08:00:00
2020-01-01,3℃,67%,128,2020-01-01 09:10:00
2020-01-01,3℃,66%,130,2020-01-01 10:10:00
2020-01-01,3℃,62%,130,2020-01-01 11:05:00
2020-01-01,4℃,62%,127,2020-01-01 11:58:00
2020-01-01,5℃,58%,123,2020-01-01 13:04:00
2020-01-01,5℃,58%,125,2020-01-01 14:09:00
2020-01-01,5℃,63%,138,2020-01-01 14:57:00
2020-01-01,4℃,66%,153,2020-01-01 16:07:00
2020-01-01,3℃,66%,165,2020-01-01 17:04:00
2020-01-01,3℃,67%,173,2020-01-01 18:05:00
2020-01-01,3℃,66%,178,2020-01-01 19:10:00
2020-01-01,3℃,63%,179,2020-01-01 19:56:00
2020-01-01,2℃,67%,168,2020-01-01 21:06:00
2020-01-01,2℃,69%,172,2020-01-01 21:48:00
2020-01-01,2℃,70%,188,2020-01-01 22:49:00
2020-01-02,2℃,71%,202,2020-01-02 01:03:00
2020-01-02,2℃,72%,198,2020-01-02 02:03:00
2020-01-02,2℃,72%,188,2020-01-02 02:54:00
2020-01-02,2℃,73%,185,2020-01-02 03:51:00
2020-01-02,3℃,71%,175,2020-01-02 05:08:00
2020-01-02,3℃,71%,168,2020-01-02 05:50:00
2020-01-02,3℃,69%,156,2020-01-02 07:08:00
2020-01-02,3℃,65%,150,2020-01-02 07:51:00
2020-01-02,4℃,58%,149,2020-01-02 09:10:00
2020-01-02,4℃,58%,144,2020-01-02 10:10:00
2020-01-02,4℃,60%,142,2020-01-02 11:01:00
2020-01-02,4℃,59%,138,2020-01-02 12:04:00
2020-01-02,5℃,59%,137,2020-01-02 13:08:00
2020-01-02,5℃,60%,149,2020-01-02 13:50:00
2020-01-02,5℃,58%,160,2020-01-02 14:54:00
2020-01-02,6℃,58%,169,2020-01-02 16:04:00
2020-01-02,5℃,56%,172,2020-01-02 17:14:00
2020-01-02,5℃,56%,172,2020-01-02 17:45:00
2020-01-02,5℃,55%,178,2020-01-02 19:02:00
2020-01-02,5℃,55%,175,2020-01-02 19:52:00
2020-01-02,5℃,55%,162,2020-01-02 20:52:00
2020-01-02,5℃,56%,152,2020-01-02 22:10:00
2020-01-02,5℃,59%,163,2020-01-02 22:56:00
2020-01-03,5℃,61%,163,2020-01-03 00:10:00
2020-01-03,4℃,62%,178,2020-01-03 01:08:00
2020-01-03,4℃,62%,183,2020-01-03 01:51:00
2020-01-03,4℃,62%,176,2020-01-03 02:58:00
2020-01-03,4℃,63%,170,2020-01-03 04:13:00
2020-01-03,4℃,64%,160,2020-01-03 05:02:00
2020-01-03,4℃,67%,155,2020-01-03 06:08:00
2020-01-03,4℃,64%,160,2020-01-03 07:05:00
2020-01-03,4℃,65%,165,2020-01-03 07:48:00
2020-01-03,4℃,65%,168,2020-01-03 09:01:00
2020-01-03,4℃,67%,173,2020-01-03 09:42:00
