日期,温度,湿度,aqi,更新日期
2020-01-01,18℃,59%,58,2020-01-01 00:05:00
2020-01-01,17℃,61%,55,2020-01-01 00:55:00
2020-01-01,17℃,64%,55,2020-01-01 01:55:00
2020-01-01,16℃,65%,54,2020-01-01 03:05:00
2020-01-01,15℃,70%,54,2020-01-01 04:05:00
2020-01-01,15℃,66%,55,2020-01-01 05:15:00
2020-01-01,15℃,67%,55,2020-01-01 06:00:00
2020-01-01,15℃,68%,57,2020-01-01 07:05:00
2020-01-01,15℃,69%,59,2020-01-01 08:05:00
2020-01-01,15℃,68%,63,2020-01-01 08:50:00
2020-01-01,16℃,67%,67,2020-01-01 10:05:00
2020-01-01,17℃,66%,69,2020-01-01 11:10:00
2020-01-01,17℃,65%,67,2020-01-01 12:00:00
2020-01-01,17℃,64%,63,2020-01-01 12:45:00
2020-01-01,19℃,61%,62,2020-01-01 14:10:00
2020-01-01,20℃,56%,60,2020-01-01 14:55:00
2020-01-01,20℃,57%,57,2020-01-01 15:50:00
2020-01-01,19℃,62%,54,2020-01-01 17:00:00
2020-01-01,17℃,67%,54,2020-01-01 18:05:00
2020-01-01,17℃,71%,55,2020-01-01 19:05:00
2020-01-01,16℃,71%,58,2020-01-01 19:50:00
2020-01-01,16℃,72%,60,2020-01-01 20:55:00
2020-01-01,16℃,74%,62,2020-01-01 21:55:00
2020-01-01,15℃,77%,64,2020-01-01 23:00:00
2020-01-02,16℃,76%,65,2020-01-02 00:05:00
2020-01-02,16℃,75%,67,2020-01-02 01:10:00
2020-01-02,16℃,76%,68,2020-01-02 02:00:00
2020-01-02,16℃,76%,68,2020-01-02 03:05:00
2020-01-02,16℃,76%,68,2020-01-02 04:05:00
2020-01-02,16℃,77%,65,2020-01-02 05:00:00
2020-01-02,16℃,78%,63,2020-01-02 06:10:00
2020-01-02,16℃,79%,60,2020-01-02 07:00:00
2020-01-02,16℃,81%,62,2020-01-02 07:50:00
2020-01-02,16℃,83%,64,2020-01-02 09:00:00
2020-01-02,16℃,83%,65,2020-01-02 10:10:00
2020-01-02,17℃,79%,65,2020-01-02 11:10:00
2020-01-02,18℃,75%,63,2020-01-02 11:55:00
2020-01-02,18℃,72%,61,2020-01-02 12:50:00
2020-01-02,19℃,68%,58,2020-01-02 13:40:00
2020-01-02,21℃,60%,55,2020-01-02 15:00:00
2020-01-02,21℃,59%,54,2020-01-02 16:00:00
2020-01-02,20℃,64%,52,2020-01-02 17:10:00
2020-01-02,18℃,73%,49,2020-01-02 18:05:00
2020-01-02,17℃,77%,50,2020-01-02 19:10:00
2020-01-02,17℃,82%,53,2020-01-02 20:05:00
2020-01-02,16℃,86%,59,2020-01-02 21:10:00
2020-01-02,15℃,88%,61,2020-01-02 22:10:00
2020-01-02,15℃,89%,65,2020-01-02 23:10:00
2020-01-03,15℃,90%,70,2020-01-03 00:05:00
2020-01-03,14℃,92%,74,2020-01-03 00:55:00
2020-01-03,14℃,92%,74,2020-01-03 01:55:00
2020-01-03,14℃,93%,75,2020-01-03 03:10:00
2020-01-03,14℃,94%,78,2020-01-03 03:50:00
2020-01-03,14℃,95%,79,2020-01-03 05:10:00
2020-01-03,13℃,95%,77,2020-01-03 05:55:00
2020-01-03,14℃,94%,78,2020-01-03 07:10:00
2020-01-03,14℃,95%,78,2020-01-03 08:10:00
2020-01-03,16℃,84%,76,2020-01-03 09:05:00
2020-01-03,19℃,72%,79,2020-01-03 10:00:00
2020-01-03,20℃,65%,79,2020-01-03 10:50:00
2020-01-03,22℃,60%,71,2020-01-03 11:55:00
2020-01-03,23℃,57%,64,2020-01-03 12:45:00
2020-01-03,24℃,52%,62,2020-01-03 14:10:00
2020-01-03,25℃,50%,59,2020-01-03 15:10:00
2020-01-03,23℃,52%,57,2020-01-03 16:05:00
2020-01-03,23℃,56%,55,2020-01-03 17:00:00
2020-01-03,21℃,67%,54,2020-01-03 18:05:00
2020-01-03,19℃,72%,55,2020-01-03 18:40:00
2020-01-03,18℃,78%,61,2020-01-03 20:05:00
2020-01-03,17℃,84%,74,2020-01-03 21:05:00
2020-01-03,17℃,87%,83,2020-01-03 22:10:00
2020-01-03,16℃,89%,93,2020-01-03 23:10:00
2020-01-04,16℃,89%,98,2020-01-04 01:10:00
2020-01-04,15℃,91%,99,2020-01-04 02:05:00
