日期,温度,湿度,aqi,更新日期
2020-01-01,7℃,64%,117,2020-01-01 00:10:00
2020-01-01,7℃,66%,122,2020-01-01 01:01:00
2020-01-01,6℃,71%,112,2020-01-01 01:49:00
2020-01-01,6℃,77%,109,2020-01-01 03:00:00
2020-01-01,6℃,79%,94,2020-01-01 04:05:00
2020-01-01,6℃,80%,72,2020-01-01 04:57:00
2020-01-01,6℃,80%,65,2020-01-01 06:06:00
2020-01-01,6℃,78%,59,2020-01-01 07:07:00
2020-01-01,6℃,79%,62,2020-01-01 08:00:00
2020-01-01,6℃,82%,64,2020-01-01 09:10:00
2020-01-01,6℃,83%,64,2020-01-01 09:46:00
2020-01-01,6℃,83%,64,2020-01-01 11:05:00
2020-01-01,6℃,80%,69,2020-01-01 11:58:00
2020-01-01,6℃,79%,66,2020-01-01 13:03:00
2020-01-01,7℃,79%,69,2020-01-01 13:53:00
2020-01-01,7℃,81%,77,2020-01-01 14:57:00
2020-01-01,7℃,79%,75,2020-01-01 16:07:00
2020-01-01,7℃,79%,73,2020-01-01 17:04:00
2020-01-01,7℃,79%,79,2020-01-01 18:10:00
2020-01-01,7℃,79%,89,2020-01-01 19:10:00
2020-01-01,7℃,78%,82,2020-01-01 19:50:00
2020-01-01,7℃,81%,88,2020-01-01 21:14:00
2020-01-01,7℃,82%,82,2020-01-01 21:48:00
2020-01-01,7℃,82%,87,2020-01-01 22:51:00
2020-01-02,7℃,84%,98,2020-01-02 00:02:00
2020-01-02,7℃,83%,99,2020-01-02 01:03:00
2020-01-02,7℃,85%,94,2020-01-02 02:03:00
2020-01-02,7℃,85%,89,2020-01-02 02:54:00
2020-01-02,7℃,86%,89,2020-01-02 03:58:00
2020-01-02,7℃,86%,89,2020-01-02 05:08:00
2020-01-02,7℃,85%,94,2020-01-02 05:51:00
2020-01-02,7℃,88%,89,2020-01-02 07:08:00
2020-01-02,7℃,88%,89,2020-01-02 07:50:00
2020-01-02,8℃,86%,97,2020-01-02 09:00:00
2020-01-02,8℃,85%,92,2020-01-02 10:00:00
2020-01-02,8℃,85%,94,2020-01-02 11:01:00
2020-01-02,8℃,83%,94,2020-01-02 12:04:00
2020-01-02,8℃,82%,95,2020-01-02 12:57:00
2020-01-02,9℃,80%,84,2020-01-02 13:46:00
2020-01-02,9℃,81%,90,2020-01-02 14:54:00
2020-01-02,9℃,78%,87,2020-01-02 16:04:00
2020-01-02,9℃,79%,87,2020-01-02 17:04:00
2020-01-02,9℃,80%,94,2020-01-02 18:08:00
