日期,温度,湿度,aqi,更新日期
2020-01-01,8℃,96%,156,2020-01-01 00:10:00
2020-01-01,8℃,93%,153,2020-01-01 01:10:00
2020-01-01,8℃,91%,149,2020-01-01 02:05:00
2020-01-01,8℃,90%,147,2020-01-01 03:10:00
2020-01-01,8℃,94%,152,2020-01-01 04:00:00
2020-01-01,7℃,95%,142,2020-01-01 05:05:00
2020-01-01,7℃,94%,142,2020-01-01 06:05:00
2020-01-01,7℃,93%,142,2020-01-01 06:40:00
2020-01-01,7℃,94%,124,2020-01-01 08:05:00
2020-01-01,8℃,95%,115,2020-01-01 09:10:00
2020-01-01,7℃,94%,112,2020-01-01 09:50:00
2020-01-01,8℃,87%,112,2020-01-01 11:05:00
2020-01-01,9℃,84%,118,2020-01-01 11:40:00
2020-01-01,9℃,76%,125,2020-01-01 12:45:00
2020-01-01,10℃,75%,129,2020-01-01 14:10:00
2020-01-01,10℃,73%,130,2020-01-01 14:35:00
2020-01-01,10℃,73%,138,2020-01-01 15:50:00
2020-01-01,10℃,76%,139,2020-01-01 17:00:00
2020-01-01,9℃,80%,144,2020-01-01 18:10:00
2020-01-01,8℃,84%,149,2020-01-01 19:10:00
2020-01-01,8℃,87%,145,2020-01-01 19:50:00
2020-01-01,8℃,89%,137,2020-01-01 21:05:00
2020-01-01,8℃,89%,134,2020-01-01 22:05:00
2020-01-01,8℃,90%,133,2020-01-01 22:55:00
2020-01-02,8℃,91%,133,2020-01-02 00:10:00
2020-01-02,8℃,92%,133,2020-01-02 01:00:00
2020-01-02,7℃,93%,129,2020-01-02 01:55:00
2020-01-02,7℃,93%,130,2020-01-02 02:50:00
2020-01-02,7℃,93%,133,2020-01-02 04:05:00
2020-01-02,7℃,93%,133,2020-01-02 05:10:00
2020-01-02,7℃,93%,132,2020-01-02 06:10:00
2020-01-02,7℃,93%,132,2020-01-02 06:45:00
2020-01-02,7℃,94%,134,2020-01-02 07:50:00
2020-01-02,8℃,93%,138,2020-01-02 09:10:00
2020-01-02,9℃,88%,139,2020-01-02 10:10:00
2020-01-02,9℃,80%,143,2020-01-02 11:10:00
2020-01-02,10℃,78%,145,2020-01-02 11:55:00
2020-01-02,10℃,75%,147,2020-01-02 13:10:00
2020-01-02,10℃,73%,145,2020-01-02 14:10:00
2020-01-02,10℃,73%,142,2020-01-02 14:35:00
2020-01-02,10℃,71%,137,2020-01-02 15:55:00
2020-01-02,10℃,73%,140,2020-01-02 17:05:00
2020-01-02,10℃,73%,139,2020-01-02 17:40:00
2020-01-02,9℃,76%,137,2020-01-02 19:05:00
2020-01-02,9℃,80%,130,2020-01-02 19:50:00
2020-01-02,9℃,80%,129,2020-01-02 21:00:00
2020-01-02,9℃,85%,128,2020-01-02 21:50:00
2020-01-02,8℃,89%,129,2020-01-02 23:10:00
2020-01-03,9℃,86%,133,2020-01-03 00:05:00
2020-01-03,9℃,87%,135,2020-01-03 01:05:00
2020-01-03,8℃,90%,139,2020-01-03 02:10:00
2020-01-03,8℃,93%,137,2020-01-03 02:55:00
2020-01-03,8℃,93%,135,2020-01-03 04:10:00
2020-01-03,8℃,94%,135,2020-01-03 05:05:00
2020-01-03,7℃,95%,138,2020-01-03 06:05:00
2020-01-03,4℃,95%,137,2020-01-03 07:10:00
2020-01-03,4℃,97%,133,2020-01-03 08:05:00
2020-01-03,6℃,99%,127,2020-01-03 08:55:00
2020-01-03,7℃,99%,123,2020-01-03 09:45:00
2020-01-03,11℃,75%,113,2020-01-03 11:20:00
2020-01-03,12℃,67%,113,2020-01-03 11:45:00
2020-01-03,14℃,45%,95,2020-01-03 13:05:00
2020-01-03,14℃,43%,80,2020-01-03 14:00:00
2020-01-03,14℃,44%,68,2020-01-03 14:55:00
2020-01-03,14℃,47%,68,2020-01-03 15:40:00
2020-01-03,13℃,46%,70,2020-01-03 16:55:00
2020-01-03,11℃,60%,72,2020-01-03 17:55:00
2020-01-03,7℃,81%,74,2020-01-03 19:05:00
2020-01-03,6℃,88%,87,2020-01-03 20:00:00
2020-01-03,5℃,92%,87,2020-01-03 21:05:00
2020-01-03,5℃,95%,93,2020-01-03 21:55:00
2020-01-03,4℃,95%,99,2020-01-03 23:00:00
2020-01-04,3℃,97%,109,2020-01-04 01:05:00
2020-01-04,3℃,98%,109,2020-01-04 02:00:00
2020-01-04,4℃,99%,109,2020-01-04 03:00:00
2020-01-04,5℃,99%,110,2020-01-04 03:55:00
2020-01-04,6℃,98%,113,2020-01-04 05:10:00
2020-01-04,5℃,98%,113,2020-01-04 06:00:00
2020-01-04,6℃,98%,110,2020-01-04 06:55:00
2020-01-04,6℃,97%,109,2020-01-04 08:00:00
2020-01-04,6℃,95%,109,2020-01-04 08:40:00
2020-01-04,9℃,73%,117,2020-01-04 10:10:00
2020-01-04,10℃,70%,127,2020-01-04 10:35:00
2020-01-04,11℃,64%,133,2020-01-04 12:05:00
2020-01-04,12℃,61%,135,2020-01-04 13:00:00
2020-01-04,12℃,61%,139,2020-01-04 13:40:00
2020-01-04,11℃,62%,137,2020-01-04 15:05:00
2020-01-04,11℃,66%,142,2020-01-04 15:50:00
2020-01-04,10℃,68%,138,2020-01-04 17:00:00
2020-01-04,10℃,72%,133,2020-01-04 18:00:00
2020-01-04,9℃,74%,122,2020-01-04 19:10:00
2020-01-04,9℃,76%,108,2020-01-04 19:55:00
2020-01-04,9℃,76%,107,2020-01-04 21:00:00
2020-01-04,8℃,79%,103,2020-01-04 22:05:00
2020-01-04,8℃,78%,99,2020-01-04 22:35:00
2020-01-05,8℃,79%,99,2020-01-05 00:05:00
2020-01-05,8℃,77%,99,2020-01-05 00:55:00
2020-01-05,8℃,78%,95,2020-01-05 01:30:00
2020-01-05,8℃,81%,99,2020-01-05 03:05:00
2020-01-05,8℃,82%,107,2020-01-05 03:55:00
2020-01-05,8℃,84%,104,2020-01-05 05:00:00
2020-01-05,7℃,85%,99,2020-01-05 05:55:00
2020-01-05,7℃,89%,108,2020-01-05 07:05:00
2020-01-05,7℃,91%,118,2020-01-05 08:10:00
2020-01-05,7℃,92%,128,2020-01-05 09:05:00
2020-01-05,8℃,91%,133,2020-01-05 09:55:00
2020-01-05,8℃,87%,133,2020-01-05 11:10:00
2020-01-05,9℃,83%,144,2020-01-05 12:10:00
2020-01-05,10℃,81%,127,2020-01-05 13:00:00
2020-01-05,10℃,79%,125,2020-01-05 13:55:00
2020-01-05,10℃,79%,127,2020-01-05 15:05:00
2020-01-05,10℃,79%,125,2020-01-05 16:00:00
2020-01-05,9℃,82%,128,2020-01-05 16:55:00
2020-01-05,9℃,83%,133,2020-01-05 18:00:00
2020-01-05,9℃,85%,137,2020-01-05 18:55:00
2020-01-05,9℃,86%,144,2020-01-05 19:35:00
2020-01-05,9℃,84%,158,2020-01-05 21:05:00
2020-01-05,9℃,87%,166,2020-01-05 22:10:00
2020-01-05,8℃,90%,159,2020-01-05 23:05:00
2020-01-06,8℃,94%,150,2020-01-06 01:05:00
2020-01-06,8℃,94%,149,2020-01-06 02:10:00
2020-01-06,8℃,95%,152,2020-01-06 03:00:00
2020-01-06,8℃,96%,152,2020-01-06 04:05:00
2020-01-06,7℃,97%,152,2020-01-06 05:10:00
2020-01-06,7℃,97%,153,2020-01-06 05:50:00
2020-01-06,7℃,97%,144,2020-01-06 07:10:00
2020-01-06,7℃,97%,134,2020-01-06 08:10:00
2020-01-06,8℃,98%,130,2020-01-06 09:10:00
2020-01-06,8℃,97%,142,2020-01-06 09:45:00
2020-01-06,10℃,85%,142,2020-01-06 11:00:00
2020-01-06,11℃,66%,147,2020-01-06 11:55:00
2020-01-06,11℃,64%,130,2020-01-06 12:35:00
2020-01-06,11℃,59%,113,2020-01-06 14:10:00
2020-01-06,11℃,60%,112,2020-01-06 15:05:00
2020-01-06,12℃,57%,110,2020-01-06 15:55:00
2020-01-06,11℃,54%,105,2020-01-06 16:45:00
2020-01-06,11℃,59%,99,2020-01-06 17:50:00
2020-01-06,8℃,68%,89,2020-01-06 18:55:00
2020-01-06,7℃,78%,87,2020-01-06 20:00:00
2020-01-06,7℃,78%,102,2020-01-06 21:05:00
2020-01-06,7℃,76%,102,2020-01-06 22:05:00
2020-01-06,6℃,85%,85,2020-01-06 23:10:00
2020-01-07,4℃,89%,83,2020-01-07 00:55:00
2020-01-07,3℃,93%,82,2020-01-07 01:45:00
2020-01-07,2℃,96%,82,2020-01-07 03:00:00
2020-01-07,1℃,97%,84,2020-01-07 04:15:00
2020-01-07,1℃,97%,88,2020-01-07 05:05:00
2020-01-07,0℃,97%,92,2020-01-07 06:05:00
2020-01-07,0℃,98%,94,2020-01-07 07:10:00
2020-01-07,0℃,98%,93,2020-01-07 08:00:00
2020-01-07,0℃,99%,93,2020-01-07 08:50:00
2020-01-07,5℃,99%,95,2020-01-07 10:05:00
2020-01-07,8℃,70%,94,2020-01-07 10:55:00
2020-01-07,13℃,45%,84,2020-01-07 12:05:00
2020-01-07,14℃,40%,78,2020-01-07 13:05:00
