日期,温度,湿度,aqi,更新日期
2020-01-01,0℃,9%,40,2020-01-01 00:57:00
2020-01-01,0℃,11%,29,2020-01-01 02:08:00
2020-01-01,-2℃,13%,37,2020-01-01 03:00:00
2020-01-01,-2℃,14%,29,2020-01-01 03:57:00
2020-01-01,-4℃,16%,24,2020-01-01 05:10:00
2020-01-01,-5℃,18%,21,2020-01-01 06:06:00
2020-01-01,-6℃,19%,16,2020-01-01 07:07:00
2020-01-01,-7℃,20%,21,2020-01-01 08:00:00
2020-01-01,-7℃,20%,18,2020-01-01 08:47:00
2020-01-01,-5℃,18%,27,2020-01-01 10:10:00
2020-01-01,-3℃,20%,51,2020-01-01 11:05:00
2020-01-01,-1℃,14%,55,2020-01-01 11:58:00
2020-01-01,0℃,12%,64,2020-01-01 12:49:00
2020-01-01,1℃,10%,54,2020-01-01 13:53:00
2020-01-01,1℃,9%,36,2020-01-01 14:57:00
2020-01-01,2℃,9%,23,2020-01-01 15:52:00
2020-01-01,2℃,8%,23,2020-01-01 17:04:00
2020-01-01,1℃,10%,24,2020-01-01 18:10:00
2020-01-01,0℃,10%,23,2020-01-01 19:09:00
2020-01-01,-3℃,14%,32,2020-01-01 19:57:00
2020-01-01,-5℃,19%,53,2020-01-01 21:06:00
2020-01-01,-6℃,26%,63,2020-01-01 21:48:00
2020-01-01,-7℃,30%,73,2020-01-01 22:51:00
2020-01-02,-6℃,29%,72,2020-01-02 01:04:00
2020-01-02,-7℃,31%,71,2020-01-02 01:57:00
2020-01-02,-7℃,34%,67,2020-01-02 02:54:00
2020-01-02,-7℃,33%,63,2020-01-02 04:03:00
2020-01-02,-7℃,32%,56,2020-01-02 04:52:00
2020-01-02,-7℃,34%,51,2020-01-02 05:50:00
2020-01-02,-7℃,35%,46,2020-01-02 07:08:00
2020-01-02,-7℃,37%,48,2020-01-02 07:50:00
2020-01-02,-8℃,45%,53,2020-01-02 09:10:00
2020-01-02,-8℃,44%,54,2020-01-02 10:00:00
2020-01-02,-3℃,31%,63,2020-01-02 11:01:00
2020-01-02,0℃,20%,65,2020-01-02 12:04:00
