日期,温度,湿度,aqi,更新日期
2020-01-01,12℃,77%,38,2020-01-01 00:10:00
2020-01-01,10℃,82%,35,2020-01-01 01:05:00
2020-01-01,10℃,83%,40,2020-01-01 02:08:00
2020-01-01,10℃,78%,30,2020-01-01 03:00:00
2020-01-01,9℃,81%,30,2020-01-01 03:57:00
2020-01-01,8℃,87%,21,2020-01-01 05:10:00
2020-01-01,8℃,88%,20,2020-01-01 06:06:00
2020-01-01,8℃,89%,26,2020-01-01 07:07:00
2020-01-01,7℃,93%,30,2020-01-01 08:00:00
2020-01-01,8℃,85%,40,2020-01-01 09:10:00
2020-01-01,10℃,80%,50,2020-01-01 10:10:00
2020-01-01,11℃,81%,54,2020-01-01 11:05:00
2020-01-01,11℃,80%,42,2020-01-01 11:58:00
2020-01-01,13℃,67%,46,2020-01-01 13:03:00
2020-01-01,15℃,52%,39,2020-01-01 13:53:00
2020-01-01,16℃,45%,23,2020-01-01 14:45:00
2020-01-01,16℃,43%,21,2020-01-01 15:52:00
2020-01-01,16℃,45%,26,2020-01-01 17:04:00
2020-01-01,15℃,47%,21,2020-01-01 18:10:00
2020-01-01,13℃,52%,28,2020-01-01 19:09:00
2020-01-01,13℃,54%,31,2020-01-01 19:56:00
2020-01-01,10℃,65%,36,2020-01-01 21:06:00
2020-01-01,10℃,68%,39,2020-01-01 21:48:00
2020-01-01,10℃,70%,41,2020-01-01 22:51:00
2020-01-02,9℃,72%,42,2020-01-02 00:07:00
2020-01-02,8℃,79%,52,2020-01-02 01:03:00
2020-01-02,5℃,89%,51,2020-01-02 01:57:00
2020-01-02,5℃,88%,46,2020-01-02 02:54:00
2020-01-02,5℃,88%,36,2020-01-02 04:03:00
2020-01-02,5℃,90%,28,2020-01-02 04:52:00
2020-01-02,6℃,85%,25,2020-01-02 06:02:00
2020-01-02,7℃,85%,25,2020-01-02 07:08:00
2020-01-02,7℃,89%,27,2020-01-02 07:50:00
2020-01-02,10℃,80%,37,2020-01-02 09:10:00
2020-01-02,13℃,66%,46,2020-01-02 10:10:00
2020-01-02,14℃,58%,56,2020-01-02 11:01:00
2020-01-02,16℃,54%,46,2020-01-02 12:04:00
2020-01-02,17℃,49%,34,2020-01-02 12:56:00
2020-01-02,17℃,49%,26,2020-01-02 13:50:00
2020-01-02,18℃,44%,20,2020-01-02 14:47:00
2020-01-02,18℃,40%,20,2020-01-02 16:04:00
2020-01-02,17℃,45%,22,2020-01-02 17:04:00
2020-01-02,16℃,49%,21,2020-01-02 18:04:00
2020-01-02,15℃,54%,22,2020-01-02 19:02:00
