日期,温度,湿度,aqi,更新日期
2020-01-01,4℃,59%,65,2020-01-01 00:57:00
2020-01-01,3℃,60%,61,2020-01-01 02:08:00
2020-01-01,3℃,62%,61,2020-01-01 03:00:00
2020-01-01,3℃,56%,63,2020-01-01 04:02:00
2020-01-01,3℃,60%,63,2020-01-01 05:08:00
2020-01-01,4℃,61%,65,2020-01-01 06:06:00
2020-01-01,4℃,63%,66,2020-01-01 07:07:00
2020-01-01,5℃,57%,66,2020-01-01 08:00:00
2020-01-01,5℃,58%,64,2020-01-01 08:47:00
2020-01-01,5℃,59%,60,2020-01-01 09:46:00
2020-01-01,6℃,57%,58,2020-01-01 11:05:00
2020-01-01,6℃,56%,58,2020-01-01 11:58:00
2020-01-01,6℃,57%,58,2020-01-01 13:04:00
2020-01-01,6℃,63%,58,2020-01-01 14:09:00
2020-01-01,6℃,68%,57,2020-01-01 14:57:00
2020-01-01,6℃,73%,60,2020-01-01 16:07:00
2020-01-01,5℃,70%,70,2020-01-01 17:04:00
2020-01-01,5℃,73%,72,2020-01-01 18:10:00
2020-01-01,5℃,77%,72,2020-01-01 19:09:00
2020-01-01,5℃,78%,75,2020-01-01 19:57:00
2020-01-01,5℃,78%,82,2020-01-01 20:51:00
2020-01-01,5℃,81%,85,2020-01-01 21:48:00
2020-01-01,4℃,90%,92,2020-01-01 22:51:00
2020-01-02,4℃,95%,94,2020-01-02 01:03:00
2020-01-02,4℃,94%,93,2020-01-02 02:03:00
2020-01-02,4℃,89%,94,2020-01-02 02:54:00
2020-01-02,4℃,89%,95,2020-01-02 04:08:00
2020-01-02,4℃,85%,94,2020-01-02 05:08:00
2020-01-02,4℃,84%,90,2020-01-02 06:02:00
2020-01-02,4℃,83%,89,2020-01-02 07:08:00
2020-01-02,4℃,83%,89,2020-01-02 07:50:00
2020-01-02,4℃,87%,87,2020-01-02 09:00:00
2020-01-02,5℃,88%,88,2020-01-02 10:10:00
2020-01-02,5℃,86%,89,2020-01-02 11:01:00
2020-01-02,5℃,84%,97,2020-01-02 12:04:00
2020-01-02,5℃,82%,102,2020-01-02 13:08:00
2020-01-02,5℃,83%,104,2020-01-02 13:50:00
2020-01-02,5℃,88%,109,2020-01-02 15:10:00
2020-01-02,5℃,89%,117,2020-01-02 16:04:00
2020-01-02,5℃,88%,119,2020-01-02 17:04:00
2020-01-02,5℃,88%,119,2020-01-02 18:08:00
2020-01-02,5℃,88%,120,2020-01-02 19:02:00
2020-01-02,5℃,87%,120,2020-01-02 19:57:00
2020-01-02,5℃,86%,123,2020-01-02 20:49:00
2020-01-02,5℃,83%,122,2020-01-02 22:10:00
2020-01-02,5℃,84%,122,2020-01-02 22:56:00
2020-01-03,5℃,85%,124,2020-01-03 01:07:00
2020-01-03,5℃,82%,124,2020-01-03 02:04:00
2020-01-03,5℃,84%,123,2020-01-03 03:12:00
2020-01-03,5℃,83%,127,2020-01-03 04:04:00
2020-01-03,5℃,86%,127,2020-01-03 05:02:00
2020-01-03,5℃,88%,124,2020-01-03 06:08:00
2020-01-03,5℃,88%,124,2020-01-03 07:04:00
2020-01-03,5℃,88%,127,2020-01-03 07:48:00
2020-01-03,5℃,84%,127,2020-01-03 09:06:00
2020-01-03,6℃,83%,127,2020-01-03 09:55:00
2020-01-03,6℃,81%,128,2020-01-03 10:46:00
2020-01-03,6℃,79%,129,2020-01-03 11:57:00
2020-01-03,6℃,88%,129,2020-01-03 12:58:00
2020-01-03,6℃,89%,133,2020-01-03 14:01:00
2020-01-03,6℃,90%,132,2020-01-03 15:06:00
2020-01-03,6℃,91%,132,2020-01-03 15:50:00
2020-01-03,5℃,94%,133,2020-01-03 17:05:00
2020-01-03,5℃,93%,135,2020-01-03 17:59:00
2020-01-03,5℃,94%,137,2020-01-03 18:55:00
2020-01-03,5℃,96%,138,2020-01-03 20:02:00
2020-01-03,5℃,96%,139,2020-01-03 21:08:00
2020-01-03,5℃,97%,138,2020-01-03 22:07:00
2020-01-03,5℃,97%,137,2020-01-03 22:44:00
2020-01-04,5℃,96%,134,2020-01-04 00:01:00
2020-01-04,5℃,95%,132,2020-01-04 01:07:00
2020-01-04,5℃,95%,134,2020-01-04 02:07:00
2020-01-04,5℃,95%,133,2020-01-04 03:01:00
2020-01-04,5℃,95%,132,2020-01-04 04:04:00
2020-01-04,5℃,95%,130,2020-01-04 04:50:00
2020-01-04,5℃,95%,129,2020-01-04 06:01:00
2020-01-04,5℃,95%,133,2020-01-04 07:01:00
2020-01-04,5℃,95%,134,2020-01-04 08:02:00
2020-01-04,6℃,91%,134,2020-01-04 09:04:00
2020-01-04,6℃,90%,140,2020-01-04 10:05:00
2020-01-04,7℃,85%,148,2020-01-04 11:09:00
2020-01-04,8℃,83%,148,2020-01-04 12:03:00
2020-01-04,8℃,82%,153,2020-01-04 12:42:00
2020-01-04,8℃,82%,158,2020-01-04 14:05:00
2020-01-04,8℃,85%,165,2020-01-04 15:05:00
2020-01-04,8℃,87%,163,2020-01-04 16:10:00
2020-01-04,7℃,90%,156,2020-01-04 17:02:00
2020-01-04,7℃,93%,166,2020-01-04 17:59:00
2020-01-04,7℃,94%,163,2020-01-04 18:54:00
2020-01-04,7℃,93%,153,2020-01-04 19:54:00
2020-01-04,7℃,93%,148,2020-01-04 21:03:00
2020-01-04,7℃,93%,138,2020-01-04 22:04:00
2020-01-04,7℃,93%,129,2020-01-04 22:56:00
2020-01-05,7℃,93%,113,2020-01-05 00:49:00
2020-01-05,7℃,93%,109,2020-01-05 02:03:00
2020-01-05,7℃,94%,107,2020-01-05 03:02:00
2020-01-05,7℃,95%,104,2020-01-05 04:07:00
2020-01-05,7℃,95%,99,2020-01-05 05:03:00
2020-01-05,7℃,96%,95,2020-01-05 06:08:00
2020-01-05,8℃,96%,90,2020-01-05 07:05:00
2020-01-05,8℃,96%,84,2020-01-05 07:56:00
2020-01-05,8℃,96%,75,2020-01-05 08:47:00
2020-01-05,8℃,96%,69,2020-01-05 09:57:00
2020-01-05,8℃,97%,69,2020-01-05 11:04:00
2020-01-05,9℃,97%,70,2020-01-05 11:49:00
2020-01-05,9℃,96%,74,2020-01-05 13:03:00
2020-01-05,9℃,96%,77,2020-01-05 14:05:00
