日期,温度,湿度,aqi,更新日期
2020-01-01,-2℃,34%,56,2020-01-01 00:10:00
2020-01-01,-2℃,34%,55,2020-01-01 01:05:00
2020-01-01,-2℃,35%,57,2020-01-01 02:08:00
2020-01-01,-1℃,35%,58,2020-01-01 03:14:00
2020-01-01,-1℃,35%,58,2020-01-01 03:57:00
2020-01-01,-1℃,37%,63,2020-01-01 05:10:00
2020-01-01,-1℃,38%,65,2020-01-01 06:06:00
2020-01-01,-1℃,40%,64,2020-01-01 07:06:00
2020-01-01,-1℃,40%,65,2020-01-01 08:00:00
2020-01-01,0℃,36%,64,2020-01-01 09:10:00
2020-01-01,2℃,32%,65,2020-01-01 10:08:00
2020-01-01,2℃,32%,74,2020-01-01 11:15:00
2020-01-01,3℃,30%,74,2020-01-01 11:58:00
2020-01-01,3℃,30%,62,2020-01-01 13:10:00
2020-01-01,3℃,33%,61,2020-01-01 13:57:00
2020-01-01,4℃,31%,60,2020-01-01 14:45:00
2020-01-01,4℃,32%,62,2020-01-01 15:52:00
2020-01-01,2℃,39%,67,2020-01-01 17:04:00
2020-01-01,1℃,44%,69,2020-01-01 18:10:00
2020-01-01,0℃,50%,74,2020-01-01 19:09:00
2020-01-01,0℃,52%,82,2020-01-01 19:56:00
2020-01-01,0℃,53%,88,2020-01-01 21:14:00
2020-01-01,0℃,55%,98,2020-01-01 22:11:00
2020-01-01,0℃,56%,102,2020-01-01 22:51:00
2020-01-02,-1℃,56%,104,2020-01-02 00:08:00
2020-01-02,-1℃,58%,107,2020-01-02 01:03:00
2020-01-02,-1℃,57%,99,2020-01-02 02:03:00
2020-01-02,-1℃,57%,102,2020-01-02 02:54:00
2020-01-02,-2℃,60%,109,2020-01-02 04:03:00
2020-01-02,-2℃,61%,105,2020-01-02 05:08:00
2020-01-02,-2℃,63%,103,2020-01-02 06:02:00
2020-01-02,-2℃,65%,104,2020-01-02 07:08:00
2020-01-02,-2℃,65%,110,2020-01-02 07:50:00
2020-01-02,1℃,57%,110,2020-01-02 09:10:00
2020-01-02,3℃,47%,122,2020-01-02 10:10:00
2020-01-02,4℃,45%,130,2020-01-02 11:01:00
