日期,温度,湿度,aqi,更新日期
2020-01-01,21℃,83%,34,2020-01-01 00:10:00
2020-01-01,20℃,82%,36,2020-01-01 00:57:00
2020-01-01,20℃,84%,34,2020-01-01 02:08:00
2020-01-01,20℃,84%,35,2020-01-01 03:00:00
2020-01-01,20℃,83%,35,2020-01-01 04:02:00
2020-01-01,20℃,83%,31,2020-01-01 05:10:00
2020-01-01,20℃,83%,33,2020-01-01 06:06:00
2020-01-01,20℃,83%,28,2020-01-01 07:07:00
2020-01-01,20℃,82%,31,2020-01-01 08:00:00
2020-01-01,20℃,82%,26,2020-01-01 08:47:00
2020-01-01,21℃,80%,29,2020-01-01 09:34:00
2020-01-01,21℃,80%,29,2020-01-01 11:05:00
2020-01-01,21℃,80%,26,2020-01-01 11:58:00
2020-01-01,21℃,82%,29,2020-01-01 13:04:00
2020-01-01,21℃,86%,28,2020-01-01 13:53:00
2020-01-01,20℃,93%,30,2020-01-01 14:45:00
2020-01-01,20℃,94%,26,2020-01-01 16:07:00
2020-01-01,20℃,92%,25,2020-01-01 17:04:00
2020-01-01,20℃,90%,27,2020-01-01 18:10:00
2020-01-01,20℃,90%,28,2020-01-01 19:09:00
2020-01-01,19℃,93%,27,2020-01-01 19:50:00
2020-01-01,20℃,90%,29,2020-01-01 21:06:00
2020-01-01,20℃,89%,28,2020-01-01 21:48:00
2020-01-01,20℃,89%,30,2020-01-01 22:51:00
2020-01-02,20℃,87%,24,2020-01-02 01:03:00
2020-01-02,20℃,88%,25,2020-01-02 01:58:00
2020-01-02,20℃,89%,25,2020-01-02 02:54:00
2020-01-02,20℃,89%,24,2020-01-02 03:51:00
2020-01-02,19℃,90%,24,2020-01-02 04:50:00
2020-01-02,19℃,91%,23,2020-01-02 05:50:00
2020-01-02,20℃,89%,24,2020-01-02 07:08:00
2020-01-02,20℃,89%,23,2020-01-02 07:50:00
2020-01-02,21℃,85%,28,2020-01-02 09:10:00
2020-01-02,22℃,81%,26,2020-01-02 10:00:00
2020-01-02,22℃,78%,27,2020-01-02 11:01:00
2020-01-02,23℃,74%,28,2020-01-02 12:04:00
2020-01-02,24℃,65%,31,2020-01-02 13:01:00
2020-01-02,25℃,65%,28,2020-01-02 13:46:00
2020-01-02,24℃,61%,27,2020-01-02 15:10:00
2020-01-02,23℃,71%,28,2020-01-02 16:07:00
2020-01-02,23℃,71%,34,2020-01-02 17:04:00
2020-01-02,22℃,74%,32,2020-01-02 17:45:00
2020-01-02,21℃,82%,34,2020-01-02 19:02:00
2020-01-02,21℃,82%,36,2020-01-02 19:52:00
2020-01-02,20℃,84%,27,2020-01-02 20:49:00
2020-01-02,20℃,86%,28,2020-01-02 22:10:00
2020-01-02,20℃,87%,29,2020-01-02 22:56:00
2020-01-03,20℃,89%,25,2020-01-03 01:07:00
2020-01-03,19℃,90%,26,2020-01-03 02:06:00
2020-01-03,19℃,92%,24,2020-01-03 02:58:00
2020-01-03,19℃,92%,28,2020-01-03 04:03:00
2020-01-03,19℃,92%,26,2020-01-03 05:02:00
2020-01-03,19℃,90%,26,2020-01-03 06:08:00
2020-01-03,20℃,90%,24,2020-01-03 07:05:00
2020-01-03,20℃,88%,25,2020-01-03 08:08:00
2020-01-03,21℃,81%,24,2020-01-03 08:50:00
2020-01-03,22℃,75%,25,2020-01-03 09:42:00
2020-01-03,24℃,68%,28,2020-01-03 11:08:00
2020-01-03,24℃,68%,27,2020-01-03 12:10:00
2020-01-03,25℃,64%,31,2020-01-03 13:02:00
2020-01-03,24℃,66%,29,2020-01-03 14:01:00
2020-01-03,23℃,72%,30,2020-01-03 14:50:00
2020-01-03,24℃,71%,31,2020-01-03 15:50:00
2020-01-03,22℃,78%,32,2020-01-03 17:05:00
2020-01-03,21℃,81%,35,2020-01-03 17:59:00
2020-01-03,21℃,83%,33,2020-01-03 18:53:00
2020-01-03,20℃,86%,32,2020-01-03 20:02:00
2020-01-03,20℃,87%,30,2020-01-03 20:56:00
2020-01-03,20℃,88%,31,2020-01-03 21:58:00
2020-01-03,20℃,89%,31,2020-01-03 23:08:00
2020-01-04,20℃,89%,34,2020-01-04 00:01:00
2020-01-04,20℃,91%,32,2020-01-04 01:07:00
2020-01-04,20℃,92%,29,2020-01-04 02:07:00
2020-01-04,19℃,93%,29,2020-01-04 02:47:00
2020-01-04,19℃,93%,27,2020-01-04 04:04:00
2020-01-04,19℃,93%,28,2020-01-04 04:50:00
2020-01-04,19℃,94%,26,2020-01-04 06:01:00
2020-01-04,19℃,94%,25,2020-01-04 07:01:00
2020-01-04,19℃,94%,24,2020-01-04 07:51:00
2020-01-04,21℃,86%,26,2020-01-04 09:04:00
2020-01-04,23℃,80%,26,2020-01-04 10:04:00
2020-01-04,23℃,75%,30,2020-01-04 11:09:00
2020-01-04,24℃,68%,30,2020-01-04 12:03:00
2020-01-04,24℃,68%,25,2020-01-04 12:43:00
2020-01-04,24℃,69%,27,2020-01-04 14:06:00
2020-01-04,24℃,73%,29,2020-01-04 15:05:00
2020-01-04,23℃,71%,30,2020-01-04 16:10:00
2020-01-04,23℃,73%,30,2020-01-04 17:02:00
2020-01-04,23℃,74%,30,2020-01-04 17:37:00
2020-01-04,21℃,78%,32,2020-01-04 18:58:00
2020-01-04,21℃,78%,32,2020-01-04 19:54:00
2020-01-04,21℃,77%,29,2020-01-04 21:03:00
2020-01-04,20℃,80%,30,2020-01-04 22:04:00
2020-01-04,20℃,80%,30,2020-01-04 22:58:00
2020-01-05,20℃,86%,27,2020-01-05 00:49:00
2020-01-05,20℃,88%,27,2020-01-05 02:05:00
2020-01-05,20℃,89%,30,2020-01-05 03:02:00
2020-01-05,20℃,89%,29,2020-01-05 04:03:00
2020-01-05,19℃,89%,28,2020-01-05 05:03:00
2020-01-05,19℃,91%,27,2020-01-05 06:08:00
2020-01-05,19℃,91%,27,2020-01-05 06:56:00
2020-01-05,19℃,91%,26,2020-01-05 07:56:00
2020-01-05,21℃,83%,24,2020-01-05 09:08:00
2020-01-05,22℃,80%,28,2020-01-05 09:57:00
2020-01-05,24℃,71%,32,2020-01-05 11:23:00
2020-01-05,25℃,64%,32,2020-01-05 12:07:00
2020-01-05,26℃,59%,34,2020-01-05 13:03:00
2020-01-05,25℃,71%,33,2020-01-05 14:05:00
2020-01-05,24℃,76%,32,2020-01-05 15:03:00
2020-01-05,23℃,78%,34,2020-01-05 15:49:00
2020-01-05,22℃,82%,38,2020-01-05 16:57:00
2020-01-05,22℃,85%,36,2020-01-05 18:03:00
2020-01-05,21℃,84%,40,2020-01-05 18:59:00
2020-01-05,21℃,85%,37,2020-01-05 20:10:00
2020-01-05,21℃,87%,35,2020-01-05 21:02:00
2020-01-05,21℃,88%,34,2020-01-05 22:05:00
2020-01-05,21℃,89%,34,2020-01-05 23:00:00
2020-01-06,21℃,91%,36,2020-01-06 01:07:00
2020-01-06,21℃,91%,39,2020-01-06 02:05:00
2020-01-06,21℃,91%,40,2020-01-06 02:59:00
2020-01-06,21℃,92%,42,2020-01-06 04:02:00
2020-01-06,21℃,93%,41,2020-01-06 04:56:00
2020-01-06,21℃,93%,39,2020-01-06 06:09:00
2020-01-06,21℃,93%,37,2020-01-06 07:03:00
2020-01-06,21℃,93%,39,2020-01-06 07:36:00
2020-01-06,22℃,91%,43,2020-01-06 08:47:00
2020-01-06,24℃,79%,45,2020-01-06 10:09:00
2020-01-06,25℃,72%,45,2020-01-06 11:09:00
2020-01-06,24℃,82%,45,2020-01-06 11:57:00
2020-01-06,25℃,79%,49,2020-01-06 12:52:00
2020-01-06,25℃,78%,51,2020-01-06 14:09:00
2020-01-06,24℃,80%,43,2020-01-06 15:04:00
2020-01-06,25℃,78%,41,2020-01-06 15:45:00
2020-01-06,25℃,76%,40,2020-01-06 16:47:00
2020-01-06,24℃,80%,38,2020-01-06 17:51:00
2020-01-06,23℃,82%,44,2020-01-06 19:05:00
