日期,温度,湿度,aqi,更新日期
2020-01-01,17℃,82%,64,2020-01-01 01:05:00
2020-01-01,17℃,83%,64,2020-01-01 01:49:00
2020-01-01,17℃,82%,64,2020-01-01 03:00:00
2020-01-01,17℃,84%,64,2020-01-01 03:57:00
2020-01-01,16℃,85%,61,2020-01-01 05:10:00
2020-01-01,16℃,88%,60,2020-01-01 06:06:00
2020-01-01,16℃,88%,60,2020-01-01 07:07:00
2020-01-01,16℃,87%,60,2020-01-01 08:00:00
2020-01-01,16℃,87%,60,2020-01-01 08:47:00
2020-01-01,17℃,84%,60,2020-01-01 09:46:00
2020-01-01,17℃,80%,58,2020-01-01 11:05:00
2020-01-01,17℃,76%,56,2020-01-01 11:58:00
2020-01-01,17℃,77%,56,2020-01-01 13:05:00
2020-01-01,17℃,76%,62,2020-01-01 13:57:00
2020-01-01,18℃,73%,67,2020-01-01 14:57:00
2020-01-01,17℃,73%,70,2020-01-01 15:52:00
2020-01-01,17℃,72%,68,2020-01-01 17:04:00
2020-01-01,17℃,75%,63,2020-01-01 18:10:00
2020-01-01,17℃,74%,62,2020-01-01 19:09:00
2020-01-01,17℃,77%,60,2020-01-01 20:11:00
2020-01-01,17℃,79%,55,2020-01-01 20:51:00
2020-01-01,17℃,77%,53,2020-01-01 21:48:00
2020-01-01,17℃,78%,47,2020-01-01 22:49:00
2020-01-02,17℃,78%,42,2020-01-02 00:07:00
2020-01-02,17℃,77%,41,2020-01-02 01:03:00
2020-01-02,17℃,78%,39,2020-01-02 01:58:00
2020-01-02,17℃,79%,38,2020-01-02 03:04:00
2020-01-02,17℃,79%,38,2020-01-02 03:46:00
2020-01-02,16℃,80%,37,2020-01-02 05:08:00
2020-01-02,16℃,81%,35,2020-01-02 06:02:00
2020-01-02,16℃,84%,36,2020-01-02 07:08:00
2020-01-02,16℃,86%,38,2020-01-02 07:50:00
2020-01-02,16℃,86%,45,2020-01-02 09:00:00
2020-01-02,17℃,80%,50,2020-01-02 10:10:00
2020-01-02,17℃,82%,48,2020-01-02 11:01:00
2020-01-02,17℃,78%,48,2020-01-02 12:04:00
2020-01-02,17℃,76%,43,2020-01-02 13:00:00
2020-01-02,17℃,76%,47,2020-01-02 13:47:00
2020-01-02,18℃,72%,47,2020-01-02 15:10:00
2020-01-02,19℃,70%,50,2020-01-02 16:07:00
2020-01-02,18℃,72%,53,2020-01-02 17:04:00
2020-01-02,17℃,76%,54,2020-01-02 17:45:00
2020-01-02,17℃,77%,57,2020-01-02 19:02:00
2020-01-02,17℃,80%,62,2020-01-02 20:08:00
2020-01-02,16℃,81%,65,2020-01-02 20:49:00
2020-01-02,16℃,85%,68,2020-01-02 22:04:00
2020-01-02,16℃,86%,68,2020-01-02 22:56:00
2020-01-03,15℃,88%,67,2020-01-03 01:07:00
2020-01-03,15℃,88%,69,2020-01-03 01:51:00
2020-01-03,15℃,91%,69,2020-01-03 03:00:00
2020-01-03,15℃,92%,68,2020-01-03 04:04:00
2020-01-03,15℃,92%,65,2020-01-03 05:02:00
2020-01-03,15℃,90%,63,2020-01-03 06:08:00
2020-01-03,15℃,91%,62,2020-01-03 07:04:00
2020-01-03,16℃,89%,63,2020-01-03 07:48:00
2020-01-03,17℃,82%,65,2020-01-03 09:01:00
2020-01-03,19℃,73%,67,2020-01-03 09:55:00
2020-01-03,20℃,69%,64,2020-01-03 10:54:00
2020-01-03,22℃,62%,58,2020-01-03 12:10:00
2020-01-03,23℃,59%,58,2020-01-03 12:47:00
2020-01-03,23℃,56%,57,2020-01-03 14:01:00
2020-01-03,23℃,57%,58,2020-01-03 14:56:00
2020-01-03,21℃,72%,60,2020-01-03 15:52:00
2020-01-03,20℃,76%,60,2020-01-03 17:05:00
2020-01-03,19℃,81%,60,2020-01-03 18:13:00
2020-01-03,19℃,82%,60,2020-01-03 18:53:00
2020-01-03,18℃,85%,67,2020-01-03 19:56:00
2020-01-03,17℃,86%,68,2020-01-03 21:08:00
2020-01-03,17℃,86%,65,2020-01-03 21:52:00
2020-01-03,17℃,84%,64,2020-01-03 22:55:00
2020-01-04,17℃,87%,64,2020-01-04 00:01:00
2020-01-04,16℃,89%,64,2020-01-04 01:07:00
2020-01-04,16℃,91%,64,2020-01-04 02:07:00
2020-01-04,16℃,90%,65,2020-01-04 02:55:00
2020-01-04,16℃,91%,67,2020-01-04 04:07:00
2020-01-04,16℃,91%,70,2020-01-04 05:14:00
2020-01-04,16℃,91%,70,2020-01-04 06:01:00
2020-01-04,16℃,89%,68,2020-01-04 07:01:00
2020-01-04,16℃,90%,67,2020-01-04 07:51:00
2020-01-04,18℃,82%,68,2020-01-04 09:04:00
2020-01-04,19℃,75%,70,2020-01-04 10:03:00
2020-01-04,21℃,68%,67,2020-01-04 10:59:00
2020-01-04,22℃,67%,69,2020-01-04 12:06:00
2020-01-04,23℃,65%,75,2020-01-04 12:36:00
2020-01-04,25℃,50%,77,2020-01-04 14:05:00
2020-01-04,23℃,61%,75,2020-01-04 14:50:00
2020-01-04,23℃,64%,67,2020-01-04 15:53:00
2020-01-04,22℃,73%,61,2020-01-04 17:02:00
2020-01-04,20℃,80%,66,2020-01-04 17:37:00
2020-01-04,19℃,82%,75,2020-01-04 18:58:00
2020-01-04,18℃,80%,80,2020-01-04 19:54:00
2020-01-04,18℃,80%,69,2020-01-04 21:03:00
2020-01-04,18℃,85%,62,2020-01-04 22:04:00
2020-01-04,18℃,85%,58,2020-01-04 22:56:00
2020-01-05,18℃,84%,55,2020-01-05 00:49:00
2020-01-05,18℃,85%,54,2020-01-05 02:05:00
2020-01-05,18℃,86%,56,2020-01-05 03:02:00
2020-01-05,17℃,88%,58,2020-01-05 04:03:00
2020-01-05,17℃,86%,58,2020-01-05 04:55:00
2020-01-05,17℃,84%,59,2020-01-05 05:55:00
2020-01-05,18℃,80%,57,2020-01-05 06:56:00
2020-01-05,18℃,78%,52,2020-01-05 07:56:00
2020-01-05,20℃,70%,48,2020-01-05 09:08:00
2020-01-05,20℃,70%,36,2020-01-05 09:57:00
2020-01-05,22℃,66%,32,2020-01-05 11:04:00
2020-01-05,22℃,65%,31,2020-01-05 11:49:00
2020-01-05,23℃,61%,30,2020-01-05 13:03:00
2020-01-05,23℃,60%,30,2020-01-05 14:04:00
2020-01-05,23℃,63%,30,2020-01-05 15:09:00
2020-01-05,22℃,65%,29,2020-01-05 16:03:00
2020-01-05,22℃,67%,30,2020-01-05 17:03:00
2020-01-05,21℃,69%,32,2020-01-05 18:03:00
2020-01-05,21℃,70%,35,2020-01-05 18:59:00
2020-01-05,21℃,71%,37,2020-01-05 20:06:00
2020-01-05,20℃,74%,40,2020-01-05 21:02:00
2020-01-05,20℃,77%,39,2020-01-05 21:52:00
2020-01-05,20℃,77%,37,2020-01-05 23:02:00
2020-01-06,20℃,79%,34,2020-01-06 01:07:00
2020-01-06,20℃,78%,34,2020-01-06 01:48:00
2020-01-06,19℃,79%,34,2020-01-06 02:59:00
2020-01-06,19℃,78%,34,2020-01-06 04:02:00
2020-01-06,19℃,79%,34,2020-01-06 04:56:00
2020-01-06,19℃,80%,34,2020-01-06 06:00:00
2020-01-06,20℃,78%,34,2020-01-06 07:03:00
2020-01-06,20℃,77%,33,2020-01-06 07:58:00
2020-01-06,20℃,73%,34,2020-01-06 08:47:00
2020-01-06,22℃,68%,35,2020-01-06 10:09:00
2020-01-06,24℃,64%,35,2020-01-06 11:10:00
2020-01-06,25℃,60%,32,2020-01-06 11:54:00
2020-01-06,24℃,61%,33,2020-01-06 12:52:00
2020-01-06,25℃,59%,30,2020-01-06 14:09:00
2020-01-06,24℃,62%,30,2020-01-06 15:04:00
2020-01-06,24℃,62%,31,2020-01-06 15:44:00
2020-01-06,23℃,63%,36,2020-01-06 16:59:00
2020-01-06,22℃,67%,37,2020-01-06 17:51:00
2020-01-06,21℃,71%,41,2020-01-06 19:05:00
2020-01-06,20℃,74%,45,2020-01-06 19:55:00
2020-01-06,20℃,76%,46,2020-01-06 20:56:00
2020-01-06,20℃,77%,47,2020-01-06 21:45:00
2020-01-06,20℃,79%,45,2020-01-06 23:06:00
2020-01-07,20℃,84%,45,2020-01-07 01:10:00
2020-01-07,20℃,85%,45,2020-01-07 02:03:00
2020-01-07,20℃,85%,44,2020-01-07 02:56:00
2020-01-07,19℃,86%,47,2020-01-07 04:08:00
2020-01-07,19℃,87%,51,2020-01-07 05:03:00
2020-01-07,20℃,83%,51,2020-01-07 06:10:00
2020-01-07,19℃,87%,48,2020-01-07 07:06:00
2020-01-07,19℃,89%,50,2020-01-07 07:47:00
2020-01-07,21℃,79%,54,2020-01-07 09:04:00
2020-01-07,23℃,75%,56,2020-01-07 10:05:00
2020-01-07,25℃,72%,58,2020-01-07 11:08:00
2020-01-07,25℃,69%,53,2020-01-07 12:02:00
2020-01-07,26℃,69%,49,2020-01-07 13:08:00
2020-01-07,24℃,71%,48,2020-01-07 13:50:00
2020-01-07,26℃,67%,41,2020-01-07 14:55:00
2020-01-07,25℃,70%,41,2020-01-07 15:51:00
2020-01-07,25℃,58%,40,2020-01-07 17:05:00
2020-01-07,23℃,77%,47,2020-01-07 18:02:00
2020-01-07,22℃,85%,54,2020-01-07 19:01:00
2020-01-07,21℃,86%,55,2020-01-07 19:59:00
2020-01-07,21℃,88%,53,2020-01-07 21:05:00
2020-01-07,21℃,88%,53,2020-01-07 21:51:00
2020-01-07,21℃,89%,52,2020-01-07 22:57:00
2020-01-08,20℃,93%,53,2020-01-08 00:00:00
2020-01-08,20℃,92%,53,2020-01-08 00:55:00
2020-01-08,20℃,91%,52,2020-01-08 01:56:00
2020-01-08,20℃,89%,52,2020-01-08 02:54:00
2020-01-08,20℃,88%,53,2020-01-08 04:02:00
2020-01-08,20℃,88%,56,2020-01-08 05:04:00
2020-01-08,20℃,89%,57,2020-01-08 05:58:00
2020-01-08,20℃,84%,60,2020-01-08 06:47:00
2020-01-08,20℃,79%,59,2020-01-08 07:59:00
2020-01-08,20℃,72%,55,2020-01-08 09:01:00
2020-01-08,21℃,66%,51,2020-01-08 10:02:00
2020-01-08,22℃,55%,38,2020-01-08 11:08:00
