日期,温度,湿度,aqi,更新日期
2020-01-01,19℃,82%,-1,2020-01-01 00:10:00
2020-01-01,18℃,82%,-1,2020-01-01 01:00:00
2020-01-01,18℃,82%,-1,2020-01-01 02:10:00
2020-01-01,18℃,82%,-1,2020-01-01 03:10:00
2020-01-01,18℃,82%,-1,2020-01-01 04:00:00
2020-01-01,18℃,84%,-1,2020-01-01 05:00:00
2020-01-01,18℃,84%,-1,2020-01-01 06:00:00
2020-01-01,18℃,84%,-1,2020-01-01 07:10:00
2020-01-01,18℃,84%,-1,2020-01-01 08:10:00
2020-01-01,19℃,78%,-1,2020-01-01 09:10:00
2020-01-01,20℃,74%,-1,2020-01-01 10:10:00
2020-01-01,19℃,73%,-1,2020-01-01 11:10:00
2020-01-01,19℃,72%,-1,2020-01-01 12:10:00
2020-01-01,19℃,72%,-1,2020-01-01 13:00:00
2020-01-01,19℃,72%,-1,2020-01-01 14:10:00
2020-01-01,19℃,72%,-1,2020-01-01 15:00:00
2020-01-01,19℃,70%,-1,2020-01-01 16:00:00
2020-01-01,19℃,72%,-1,2020-01-01 17:00:00
2020-01-01,18℃,75%,-1,2020-01-01 18:10:00
2020-01-01,18℃,76%,-1,2020-01-01 19:00:00
2020-01-01,18℃,79%,-1,2020-01-01 20:00:00
2020-01-01,18℃,78%,-1,2020-01-01 21:00:00
2020-01-01,18℃,79%,-1,2020-01-01 22:00:00
2020-01-01,18℃,78%,-1,2020-01-01 23:00:00
2020-01-02,18℃,78%,-1,2020-01-02 00:10:00
2020-01-02,18℃,78%,-1,2020-01-02 01:00:00
2020-01-02,18℃,78%,-1,2020-01-02 02:10:00
2020-01-02,18℃,79%,-1,2020-01-02 03:00:00
2020-01-02,18℃,80%,-1,2020-01-02 04:00:00
2020-01-02,18℃,79%,-1,2020-01-02 05:00:00
2020-01-02,18℃,81%,-1,2020-01-02 06:10:00
2020-01-02,18℃,82%,-1,2020-01-02 07:10:00
2020-01-02,18℃,83%,-1,2020-01-02 08:00:00
2020-01-02,18℃,84%,-1,2020-01-02 09:10:00
2020-01-02,18℃,85%,-1,2020-01-02 10:10:00
2020-01-02,19℃,81%,-1,2020-01-02 11:10:00
2020-01-02,19℃,78%,-1,2020-01-02 12:10:00
2020-01-02,19℃,77%,-1,2020-01-02 13:00:00
2020-01-02,20℃,72%,-1,2020-01-02 14:10:00
2020-01-02,20℃,70%,-1,2020-01-02 15:00:00
2020-01-02,20℃,69%,-1,2020-01-02 16:00:00
2020-01-02,20℃,70%,-1,2020-01-02 17:00:00
2020-01-02,18℃,76%,-1,2020-01-02 18:10:00
2020-01-02,18℃,79%,-1,2020-01-02 19:00:00
2020-01-02,17℃,82%,-1,2020-01-02 20:10:00
2020-01-02,17℃,84%,-1,2020-01-02 21:10:00
2020-01-02,17℃,86%,-1,2020-01-02 22:10:00
