日期,温度,湿度,aqi,更新日期
2020-01-01,-6℃,32%,85,2020-01-01 01:01:00
2020-01-01,-6℃,33%,86,2020-01-01 02:08:00
2020-01-01,-6℃,33%,88,2020-01-01 03:00:00
2020-01-01,-6℃,35%,89,2020-01-01 03:57:00
2020-01-01,-7℃,36%,90,2020-01-01 04:58:00
2020-01-01,-6℃,35%,94,2020-01-01 06:06:00
2020-01-01,-6℃,34%,95,2020-01-01 07:07:00
2020-01-01,-7℃,37%,94,2020-01-01 08:00:00
2020-01-01,-5℃,40%,95,2020-01-01 09:10:00
2020-01-01,-3℃,32%,95,2020-01-01 10:10:00
2020-01-01,-2℃,27%,94,2020-01-01 11:05:00
2020-01-01,-1℃,25%,88,2020-01-01 11:58:00
2020-01-01,0℃,23%,82,2020-01-01 13:03:00
2020-01-01,1℃,19%,85,2020-01-01 14:09:00
2020-01-01,1℃,20%,86,2020-01-01 14:57:00
2020-01-01,0℃,22%,85,2020-01-01 15:45:00
2020-01-01,0℃,25%,92,2020-01-01 17:04:00
2020-01-01,-1℃,29%,114,2020-01-01 18:05:00
2020-01-01,-1℃,29%,110,2020-01-01 19:09:00
2020-01-01,-2℃,31%,109,2020-01-01 19:57:00
2020-01-01,-4℃,40%,122,2020-01-01 21:06:00
2020-01-01,-3℃,38%,125,2020-01-01 21:48:00
2020-01-01,-4℃,43%,119,2020-01-01 22:38:00
2020-01-02,-4℃,45%,109,2020-01-02 01:03:00
2020-01-02,-4℃,41%,112,2020-01-02 01:52:00
2020-01-02,-5℃,50%,127,2020-01-02 02:54:00
2020-01-02,-5℃,45%,128,2020-01-02 03:51:00
2020-01-02,-6℃,50%,134,2020-01-02 05:08:00
2020-01-02,-6℃,49%,138,2020-01-02 05:50:00
2020-01-02,-5℃,54%,142,2020-01-02 07:08:00
2020-01-02,-6℃,56%,125,2020-01-02 07:50:00
2020-01-02,-2℃,63%,113,2020-01-02 09:10:00
2020-01-02,-1℃,49%,115,2020-01-02 10:00:00
2020-01-02,0℃,38%,117,2020-01-02 11:01:00
2020-01-02,1℃,30%,114,2020-01-02 12:04:00
2020-01-02,2℃,28%,108,2020-01-02 13:08:00
2020-01-02,2℃,28%,130,2020-01-02 13:50:00
2020-01-02,3℃,26%,127,2020-01-02 15:10:00
2020-01-02,3℃,28%,129,2020-01-02 16:07:00
2020-01-02,2℃,31%,150,2020-01-02 17:04:00
2020-01-02,0℃,35%,144,2020-01-02 18:08:00
2020-01-02,0℃,37%,165,2020-01-02 19:02:00
2020-01-02,-2℃,49%,152,2020-01-02 20:08:00
2020-01-02,-3℃,51%,163,2020-01-02 20:49:00
2020-01-02,-3℃,51%,153,2020-01-02 22:10:00
2020-01-02,-3℃,51%,160,2020-01-02 22:56:00
2020-01-03,-4℃,63%,170,2020-01-03 00:10:00
2020-01-03,-3℃,59%,163,2020-01-03 01:07:00
2020-01-03,-5℃,63%,170,2020-01-03 02:06:00
2020-01-03,-5℃,65%,169,2020-01-03 02:58:00
2020-01-03,-5℃,59%,170,2020-01-03 04:04:00
2020-01-03,-5℃,57%,163,2020-01-03 05:05:00
2020-01-03,-5℃,63%,172,2020-01-03 06:08:00
2020-01-03,-6℃,66%,170,2020-01-03 07:05:00
2020-01-03,-5℃,65%,175,2020-01-03 07:48:00
2020-01-03,-4℃,66%,185,2020-01-03 09:06:00
2020-01-03,-1℃,51%,190,2020-01-03 09:53:00
2020-01-03,1℃,44%,193,2020-01-03 10:54:00
2020-01-03,4℃,35%,165,2020-01-03 12:10:00
2020-01-03,5℃,32%,172,2020-01-03 13:02:00
2020-01-03,6℃,29%,175,2020-01-03 14:01:00
