日期,温度,湿度,aqi,更新日期
2020-01-01,10℃,70%,41,2020-01-01 00:10:00
2020-01-01,9℃,68%,42,2020-01-01 00:57:00
2020-01-01,9℃,69%,43,2020-01-01 02:08:00
2020-01-01,8℃,72%,41,2020-01-01 03:00:00
2020-01-01,8℃,74%,39,2020-01-01 04:02:00
2020-01-01,7℃,78%,39,2020-01-01 04:58:00
2020-01-01,7℃,83%,40,2020-01-01 06:06:00
2020-01-01,7℃,82%,42,2020-01-01 07:07:00
2020-01-01,8℃,79%,45,2020-01-01 08:00:00
2020-01-01,10℃,59%,41,2020-01-01 09:10:00
2020-01-01,12℃,55%,40,2020-01-01 09:46:00
2020-01-01,13℃,51%,38,2020-01-01 11:05:00
2020-01-01,15℃,48%,30,2020-01-01 11:58:00
2020-01-01,16℃,47%,26,2020-01-01 13:04:00
2020-01-01,17℃,46%,27,2020-01-01 13:53:00
2020-01-01,17℃,46%,29,2020-01-01 14:57:00
2020-01-01,15℃,54%,29,2020-01-01 16:07:00
2020-01-01,13℃,66%,45,2020-01-01 17:04:00
2020-01-01,12℃,71%,54,2020-01-01 18:10:00
2020-01-01,11℃,77%,43,2020-01-01 19:10:00
2020-01-01,10℃,80%,44,2020-01-01 19:50:00
2020-01-01,10℃,83%,43,2020-01-01 20:51:00
2020-01-01,10℃,85%,42,2020-01-01 21:48:00
2020-01-01,11℃,83%,39,2020-01-01 23:10:00
2020-01-02,10℃,84%,44,2020-01-02 01:03:00
2020-01-02,10℃,83%,36,2020-01-02 01:58:00
2020-01-02,11℃,82%,39,2020-01-02 02:54:00
2020-01-02,11℃,78%,36,2020-01-02 03:51:00
2020-01-02,10℃,83%,33,2020-01-02 05:08:00
2020-01-02,11℃,81%,33,2020-01-02 05:51:00
2020-01-02,11℃,85%,33,2020-01-02 07:08:00
2020-01-02,11℃,82%,36,2020-01-02 07:50:00
2020-01-02,13℃,74%,48,2020-01-02 09:00:00
2020-01-02,14℃,64%,52,2020-01-02 10:10:00
2020-01-02,17℃,57%,36,2020-01-02 11:29:00
2020-01-02,18℃,54%,36,2020-01-02 12:04:00
2020-01-02,19℃,51%,33,2020-01-02 12:57:00
2020-01-02,19℃,50%,26,2020-01-02 13:46:00
2020-01-02,19℃,52%,33,2020-01-02 15:10:00
2020-01-02,19℃,53%,36,2020-01-02 16:04:00
2020-01-02,17℃,62%,46,2020-01-02 17:14:00
2020-01-02,16℃,68%,48,2020-01-02 18:08:00
2020-01-02,15℃,71%,44,2020-01-02 19:02:00
2020-01-02,15℃,71%,44,2020-01-02 20:08:00
2020-01-02,14℃,74%,40,2020-01-02 20:49:00
2020-01-02,13℃,81%,39,2020-01-02 22:10:00
2020-01-02,13℃,82%,40,2020-01-02 22:56:00
2020-01-03,12℃,89%,44,2020-01-03 00:10:00
2020-01-03,12℃,87%,53,2020-01-03 01:07:00
2020-01-03,13℃,85%,50,2020-01-03 02:04:00
2020-01-03,13℃,87%,38,2020-01-03 02:58:00
2020-01-03,13℃,86%,36,2020-01-03 04:04:00
2020-01-03,13℃,87%,37,2020-01-03 05:05:00
2020-01-03,13℃,86%,38,2020-01-03 06:08:00
2020-01-03,13℃,84%,40,2020-01-03 07:05:00
2020-01-03,14℃,84%,40,2020-01-03 07:53:00
2020-01-03,15℃,77%,48,2020-01-03 09:06:00
2020-01-03,16℃,71%,55,2020-01-03 09:53:00
2020-01-03,17℃,66%,53,2020-01-03 10:46:00
2020-01-03,19℃,60%,45,2020-01-03 12:10:00
2020-01-03,20℃,60%,36,2020-01-03 13:02:00
2020-01-03,20℃,58%,32,2020-01-03 14:01:00
2020-01-03,21℃,54%,33,2020-01-03 15:06:00
2020-01-03,21℃,55%,40,2020-01-03 16:05:00
2020-01-03,19℃,63%,49,2020-01-03 17:05:00
2020-01-03,17℃,72%,56,2020-01-03 18:13:00
2020-01-03,16℃,75%,56,2020-01-03 18:53:00
2020-01-03,15℃,78%,51,2020-01-03 20:02:00
2020-01-03,15℃,82%,45,2020-01-03 21:08:00
2020-01-03,15℃,84%,42,2020-01-03 22:08:00
2020-01-03,14℃,88%,41,2020-01-03 22:55:00
2020-01-04,14℃,91%,57,2020-01-04 00:01:00
2020-01-04,13℃,92%,54,2020-01-04 01:07:00
2020-01-04,13℃,92%,55,2020-01-04 01:42:00
2020-01-04,13℃,91%,52,2020-01-04 02:47:00
2020-01-04,13℃,93%,48,2020-01-04 04:07:00
2020-01-04,13℃,91%,45,2020-01-04 04:50:00
2020-01-04,13℃,93%,45,2020-01-04 06:01:00
2020-01-04,13℃,91%,43,2020-01-04 06:34:00
2020-01-04,14℃,89%,44,2020-01-04 07:51:00
2020-01-04,15℃,83%,49,2020-01-04 09:00:00
2020-01-04,17℃,77%,54,2020-01-04 10:04:00
2020-01-04,17℃,73%,55,2020-01-04 11:09:00
2020-01-04,19℃,70%,57,2020-01-04 12:03:00
2020-01-04,20℃,66%,57,2020-01-04 12:42:00
2020-01-04,22℃,55%,53,2020-01-04 14:08:00
2020-01-04,22℃,56%,31,2020-01-04 14:51:00
2020-01-04,22℃,57%,28,2020-01-04 15:53:00
