日期,温度,湿度,aqi,更新日期
2020-01-01,3℃,45%,80,2020-01-01 00:10:00
2020-01-01,3℃,47%,79,2020-01-01 00:57:00
2020-01-01,2℃,56%,79,2020-01-01 02:08:00
2020-01-01,2℃,51%,74,2020-01-01 03:00:00
2020-01-01,2℃,49%,63,2020-01-01 04:12:00
2020-01-01,1℃,52%,60,2020-01-01 05:10:00
2020-01-01,1℃,59%,59,2020-01-01 05:55:00
2020-01-01,1℃,54%,59,2020-01-01 07:07:00
2020-01-01,1℃,54%,60,2020-01-01 08:00:00
2020-01-01,1℃,55%,64,2020-01-01 09:10:00
2020-01-01,2℃,53%,73,2020-01-01 09:34:00
2020-01-01,2℃,56%,85,2020-01-01 11:15:00
2020-01-01,3℃,51%,85,2020-01-01 11:58:00
2020-01-01,3℃,50%,115,2020-01-01 13:04:00
2020-01-01,3℃,53%,117,2020-01-01 13:57:00
2020-01-01,3℃,56%,112,2020-01-01 14:45:00
2020-01-01,3℃,58%,119,2020-01-01 15:52:00
2020-01-01,2℃,63%,124,2020-01-01 17:04:00
2020-01-01,2℃,62%,124,2020-01-01 18:05:00
2020-01-01,2℃,76%,138,2020-01-01 19:09:00
2020-01-01,2℃,80%,170,2020-01-01 19:56:00
2020-01-01,2℃,70%,195,2020-01-01 21:06:00
2020-01-01,2℃,64%,180,2020-01-01 21:48:00
2020-01-01,2℃,59%,149,2020-01-01 22:51:00
2020-01-02,3℃,50%,132,2020-01-02 00:07:00
2020-01-02,2℃,49%,107,2020-01-02 01:03:00
2020-01-02,2℃,53%,100,2020-01-02 01:58:00
2020-01-02,2℃,57%,108,2020-01-02 02:54:00
2020-01-02,2℃,64%,127,2020-01-02 04:03:00
2020-01-02,2℃,63%,156,2020-01-02 05:08:00
2020-01-02,2℃,62%,173,2020-01-02 05:50:00
2020-01-02,2℃,59%,165,2020-01-02 07:08:00
2020-01-02,2℃,58%,149,2020-01-02 07:50:00
2020-01-02,3℃,57%,139,2020-01-02 09:10:00
2020-01-02,3℃,56%,140,2020-01-02 10:10:00
2020-01-02,3℃,53%,148,2020-01-02 11:01:00
2020-01-02,4℃,54%,155,2020-01-02 12:04:00
2020-01-02,4℃,57%,150,2020-01-02 13:08:00
2020-01-02,4℃,57%,147,2020-01-02 13:50:00
2020-01-02,5℃,64%,143,2020-01-02 15:10:00
2020-01-02,4℃,65%,145,2020-01-02 16:04:00
2020-01-02,4℃,70%,143,2020-01-02 17:04:00
2020-01-02,4℃,72%,139,2020-01-02 18:04:00
2020-01-02,4℃,72%,134,2020-01-02 19:02:00
2020-01-02,4℃,68%,143,2020-01-02 20:08:00
2020-01-02,4℃,71%,153,2020-01-02 20:52:00
2020-01-02,4℃,72%,158,2020-01-02 22:10:00
2020-01-02,4℃,69%,156,2020-01-02 22:56:00
2020-01-03,4℃,72%,156,2020-01-03 00:00:00
2020-01-03,4℃,74%,153,2020-01-03 01:08:00
2020-01-03,4℃,76%,142,2020-01-03 02:04:00
2020-01-03,4℃,74%,147,2020-01-03 03:00:00
2020-01-03,4℃,72%,147,2020-01-03 04:00:00
2020-01-03,4℃,73%,143,2020-01-03 05:12:00
2020-01-03,4℃,70%,140,2020-01-03 06:08:00
2020-01-03,4℃,69%,148,2020-01-03 07:05:00
2020-01-03,4℃,69%,140,2020-01-03 07:48:00
2020-01-03,4℃,68%,132,2020-01-03 09:01:00
2020-01-03,4℃,67%,142,2020-01-03 09:53:00
2020-01-03,5℃,63%,150,2020-01-03 10:46:00
2020-01-03,4℃,70%,140,2020-01-03 11:57:00
2020-01-03,4℃,73%,138,2020-01-03 13:02:00
2020-01-03,4℃,74%,149,2020-01-03 14:01:00
2020-01-03,4℃,70%,149,2020-01-03 14:50:00
2020-01-03,4℃,78%,149,2020-01-03 15:52:00
2020-01-03,4℃,73%,129,2020-01-03 17:05:00
2020-01-03,4℃,73%,149,2020-01-03 18:02:00
2020-01-03,4℃,72%,185,2020-01-03 18:53:00
2020-01-03,5℃,70%,189,2020-01-03 20:02:00
2020-01-03,5℃,68%,188,2020-01-03 20:56:00
2020-01-03,5℃,66%,182,2020-01-03 21:52:00
2020-01-03,5℃,63%,185,2020-01-03 22:55:00
2020-01-04,5℃,68%,183,2020-01-04 00:01:00
2020-01-04,5℃,72%,173,2020-01-04 01:07:00
2020-01-04,4℃,75%,165,2020-01-04 02:07:00
2020-01-04,4℃,77%,168,2020-01-04 02:55:00
2020-01-04,4℃,78%,166,2020-01-04 04:07:00
2020-01-04,4℃,77%,166,2020-01-04 04:50:00
2020-01-04,4℃,76%,163,2020-01-04 06:01:00
2020-01-04,5℃,63%,162,2020-01-04 06:58:00
2020-01-04,5℃,61%,163,2020-01-04 07:51:00
2020-01-04,6℃,63%,156,2020-01-04 09:09:00
2020-01-04,7℃,62%,156,2020-01-04 10:03:00
2020-01-04,7℃,63%,166,2020-01-04 10:59:00
2020-01-04,7℃,61%,189,2020-01-04 12:04:00
2020-01-04,7℃,61%,200,2020-01-04 12:48:00
2020-01-04,7℃,59%,206,2020-01-04 14:06:00
2020-01-04,7℃,60%,200,2020-01-04 14:50:00
2020-01-04,7℃,64%,192,2020-01-04 16:10:00
2020-01-04,7℃,65%,206,2020-01-04 17:02:00
2020-01-04,6℃,71%,207,2020-01-04 17:37:00
2020-01-04,5℃,81%,214,2020-01-04 18:58:00
2020-01-04,5℃,92%,223,2020-01-04 19:54:00
2020-01-04,5℃,93%,225,2020-01-04 21:03:00
2020-01-04,5℃,94%,225,2020-01-04 22:04:00
2020-01-04,5℃,96%,224,2020-01-04 22:56:00
2020-01-05,5℃,97%,222,2020-01-05 00:49:00
2020-01-05,5℃,98%,218,2020-01-05 02:03:00
2020-01-05,5℃,98%,212,2020-01-05 03:02:00
2020-01-05,5℃,98%,203,2020-01-05 04:07:00
2020-01-05,5℃,98%,172,2020-01-05 04:55:00
2020-01-05,5℃,98%,144,2020-01-05 06:08:00
2020-01-05,5℃,98%,142,2020-01-05 06:56:00
2020-01-05,5℃,98%,130,2020-01-05 07:56:00
2020-01-05,5℃,98%,90,2020-01-05 08:43:00
2020-01-05,5℃,99%,73,2020-01-05 09:57:00
2020-01-05,5℃,99%,73,2020-01-05 11:04:00
