日期,温度,湿度,aqi,更新日期
2020-01-01,0℃,48%,59,2020-01-01 00:57:00
2020-01-01,0℃,49%,59,2020-01-01 02:08:00
2020-01-01,0℃,46%,62,2020-01-01 03:00:00
2020-01-01,0℃,49%,62,2020-01-01 04:12:00
2020-01-01,0℃,48%,62,2020-01-01 05:08:00
2020-01-01,0℃,48%,62,2020-01-01 06:06:00
2020-01-01,0℃,49%,63,2020-01-01 07:06:00
2020-01-01,1℃,48%,62,2020-01-01 08:00:00
2020-01-01,1℃,44%,64,2020-01-01 08:47:00
2020-01-01,2℃,37%,64,2020-01-01 09:34:00
2020-01-01,3℃,37%,65,2020-01-01 11:05:00
2020-01-01,3℃,38%,65,2020-01-01 11:58:00
2020-01-01,2℃,39%,69,2020-01-01 13:10:00
2020-01-01,3℃,38%,69,2020-01-01 14:09:00
2020-01-01,2℃,40%,74,2020-01-01 14:57:00
2020-01-01,2℃,46%,105,2020-01-01 16:07:00
2020-01-01,3℃,46%,124,2020-01-01 17:04:00
2020-01-01,2℃,52%,125,2020-01-01 18:10:00
2020-01-01,2℃,52%,119,2020-01-01 19:12:00
2020-01-01,2℃,53%,117,2020-01-01 19:56:00
2020-01-01,2℃,56%,132,2020-01-01 21:14:00
2020-01-01,2℃,59%,159,2020-01-01 22:11:00
2020-01-01,2℃,60%,166,2020-01-01 22:51:00
2020-01-02,2℃,57%,155,2020-01-02 00:07:00
2020-01-02,2℃,60%,140,2020-01-02 01:03:00
2020-01-02,2℃,60%,143,2020-01-02 02:03:00
2020-01-02,2℃,60%,145,2020-01-02 02:54:00
2020-01-02,1℃,67%,153,2020-01-02 04:08:00
2020-01-02,1℃,68%,156,2020-01-02 04:52:00
2020-01-02,1℃,68%,158,2020-01-02 06:02:00
2020-01-02,1℃,69%,158,2020-01-02 07:08:00
2020-01-02,1℃,68%,159,2020-01-02 07:50:00
2020-01-02,2℃,71%,153,2020-01-02 09:10:00
2020-01-02,3℃,69%,144,2020-01-02 10:10:00
2020-01-02,3℃,61%,144,2020-01-02 11:01:00
2020-01-02,4℃,63%,155,2020-01-02 12:04:00
2020-01-02,4℃,60%,156,2020-01-02 13:01:00
2020-01-02,4℃,63%,155,2020-01-02 13:50:00
2020-01-02,4℃,67%,156,2020-01-02 15:10:00
2020-01-02,4℃,71%,143,2020-01-02 16:04:00
2020-01-02,4℃,75%,132,2020-01-02 17:04:00
2020-01-02,4℃,76%,130,2020-01-02 18:08:00
2020-01-02,4℃,75%,134,2020-01-02 19:02:00
2020-01-02,4℃,74%,134,2020-01-02 20:08:00
2020-01-02,4℃,74%,139,2020-01-02 20:49:00
2020-01-02,4℃,72%,133,2020-01-02 22:04:00
2020-01-02,4℃,70%,132,2020-01-02 22:56:00
2020-01-03,4℃,68%,137,2020-01-03 00:08:00
2020-01-03,4℃,68%,142,2020-01-03 01:07:00
2020-01-03,4℃,68%,149,2020-01-03 02:06:00
2020-01-03,4℃,70%,160,2020-01-03 03:00:00
2020-01-03,4℃,69%,156,2020-01-03 04:00:00
2020-01-03,4℃,70%,160,2020-01-03 05:02:00
2020-01-03,3℃,70%,160,2020-01-03 05:50:00
2020-01-03,3℃,72%,166,2020-01-03 07:05:00
2020-01-03,4℃,73%,172,2020-01-03 08:08:00
2020-01-03,4℃,70%,180,2020-01-03 09:01:00
2020-01-03,4℃,69%,183,2020-01-03 09:53:00
2020-01-03,5℃,70%,183,2020-01-03 11:15:00
2020-01-03,5℃,69%,183,2020-01-03 12:10:00
2020-01-03,5℃,64%,186,2020-01-03 12:47:00
2020-01-03,6℃,57%,178,2020-01-03 14:01:00
2020-01-03,6℃,56%,189,2020-01-03 15:06:00
2020-01-03,6℃,57%,195,2020-01-03 15:37:00
2020-01-03,7℃,62%,198,2020-01-03 17:10:00
2020-01-03,6℃,56%,196,2020-01-03 18:02:00
2020-01-03,6℃,58%,204,2020-01-03 18:53:00
2020-01-03,6℃,61%,212,2020-01-03 20:02:00
