日期,温度,湿度,aqi,更新日期
2020-01-01,-3℃,37%,85,2020-01-01 01:05:00
2020-01-01,-5℃,44%,99,2020-01-01 02:08:00
2020-01-01,-6℃,50%,102,2020-01-01 03:14:00
2020-01-01,-6℃,49%,104,2020-01-01 04:02:00
2020-01-01,-7℃,54%,113,2020-01-01 05:08:00
2020-01-01,-8℃,58%,93,2020-01-01 06:06:00
2020-01-01,-8℃,60%,87,2020-01-01 07:07:00
2020-01-01,-9℃,60%,92,2020-01-01 08:00:00
2020-01-01,-9℃,61%,90,2020-01-01 09:10:00
2020-01-01,-7℃,59%,104,2020-01-01 09:55:00
2020-01-01,-4℃,46%,98,2020-01-01 11:05:00
2020-01-01,-1℃,36%,107,2020-01-01 11:58:00
2020-01-01,0℃,30%,142,2020-01-01 12:57:00
2020-01-01,2℃,24%,153,2020-01-01 13:57:00
2020-01-01,4℃,20%,109,2020-01-01 14:45:00
2020-01-01,5℃,16%,87,2020-01-01 15:45:00
2020-01-01,5℃,16%,67,2020-01-01 17:04:00
2020-01-01,3℃,19%,48,2020-01-01 18:10:00
2020-01-01,2℃,21%,49,2020-01-01 19:09:00
2020-01-01,0℃,29%,67,2020-01-01 20:11:00
2020-01-01,0℃,33%,72,2020-01-01 21:14:00
2020-01-01,-1℃,36%,77,2020-01-01 21:48:00
2020-01-01,-1℃,37%,97,2020-01-01 22:51:00
2020-01-02,-2℃,40%,95,2020-01-02 00:07:00
2020-01-02,-3℃,42%,92,2020-01-02 01:03:00
2020-01-02,-3℃,45%,99,2020-01-02 02:03:00
2020-01-02,-4℃,48%,100,2020-01-02 02:54:00
2020-01-02,-5℃,54%,99,2020-01-02 04:03:00
2020-01-02,-6℃,56%,112,2020-01-02 05:08:00
2020-01-02,-7℃,59%,117,2020-01-02 06:02:00
2020-01-02,-7℃,62%,107,2020-01-02 07:08:00
2020-01-02,-8℃,66%,117,2020-01-02 07:50:00
2020-01-02,-8℃,62%,108,2020-01-02 09:10:00
2020-01-02,-6℃,57%,117,2020-01-02 10:10:00
2020-01-02,-3℃,47%,128,2020-01-02 11:01:00
2020-01-02,-1℃,37%,152,2020-01-02 12:07:00
2020-01-02,1℃,31%,186,2020-01-02 13:08:00
2020-01-02,3℃,26%,180,2020-01-02 13:47:00
2020-01-02,5℃,18%,127,2020-01-02 15:10:00
