日期,温度,湿度,aqi,更新日期
2020-01-01,5℃,50%,82,2020-01-01 00:10:00
2020-01-01,5℃,49%,75,2020-01-01 00:57:00
2020-01-01,4℃,49%,73,2020-01-01 01:35:00
2020-01-01,5℃,50%,70,2020-01-01 03:10:00
2020-01-01,5℃,51%,65,2020-01-01 04:00:00
2020-01-01,4℃,53%,60,2020-01-01 05:10:00
2020-01-01,4℃,54%,59,2020-01-01 06:00:00
2020-01-01,4℃,56%,57,2020-01-01 07:10:00
2020-01-01,4℃,56%,54,2020-01-01 08:10:00
2020-01-01,4℃,58%,54,2020-01-01 08:51:00
2020-01-01,4℃,58%,52,2020-01-01 09:34:00
2020-01-01,6℃,59%,54,2020-01-01 11:05:00
2020-01-01,6℃,60%,59,2020-01-01 11:58:00
2020-01-01,6℃,60%,61,2020-01-01 13:04:00
2020-01-01,6℃,60%,65,2020-01-01 14:09:00
2020-01-01,6℃,60%,65,2020-01-01 14:45:00
2020-01-01,6℃,62%,64,2020-01-01 15:52:00
2020-01-01,6℃,72%,64,2020-01-01 17:04:00
2020-01-01,5℃,82%,68,2020-01-01 18:10:00
2020-01-01,5℃,84%,70,2020-01-01 19:09:00
2020-01-01,5℃,88%,67,2020-01-01 19:50:00
2020-01-01,5℃,91%,73,2020-01-01 21:14:00
2020-01-01,5℃,94%,70,2020-01-01 21:48:00
2020-01-01,5℃,95%,66,2020-01-01 22:51:00
2020-01-02,5℃,96%,65,2020-01-02 00:07:00
2020-01-02,6℃,97%,63,2020-01-02 01:03:00
2020-01-02,5℃,97%,64,2020-01-02 01:57:00
2020-01-02,5℃,97%,62,2020-01-02 02:54:00
2020-01-02,5℃,97%,62,2020-01-02 03:51:00
2020-01-02,5℃,96%,67,2020-01-02 05:08:00
2020-01-02,4℃,96%,74,2020-01-02 06:02:00
2020-01-02,5℃,97%,82,2020-01-02 06:27:00
2020-01-02,4℃,95%,88,2020-01-02 07:50:00
2020-01-02,6℃,83%,88,2020-01-02 09:10:00
2020-01-02,6℃,85%,83,2020-01-02 10:00:00
2020-01-02,5℃,92%,79,2020-01-02 11:01:00
2020-01-02,5℃,92%,83,2020-01-02 12:04:00
2020-01-02,5℃,91%,87,2020-01-02 12:56:00
2020-01-02,5℃,92%,87,2020-01-02 13:47:00
2020-01-02,5℃,95%,88,2020-01-02 14:39:00
2020-01-02,5℃,96%,87,2020-01-02 16:04:00
2020-01-02,5℃,96%,84,2020-01-02 17:04:00
2020-01-02,5℃,96%,93,2020-01-02 18:08:00
2020-01-02,5℃,97%,95,2020-01-02 19:02:00
2020-01-02,5℃,97%,98,2020-01-02 20:08:00
2020-01-02,5℃,96%,115,2020-01-02 20:49:00
2020-01-02,5℃,95%,125,2020-01-02 22:04:00
2020-01-02,5℃,94%,124,2020-01-02 22:56:00
2020-01-03,5℃,92%,112,2020-01-03 01:07:00
2020-01-03,5℃,93%,112,2020-01-03 02:06:00
2020-01-03,5℃,95%,112,2020-01-03 03:12:00
2020-01-03,5℃,95%,112,2020-01-03 04:00:00
2020-01-03,5℃,94%,112,2020-01-03 05:05:00
2020-01-03,5℃,94%,112,2020-01-03 06:08:00
2020-01-03,5℃,94%,112,2020-01-03 07:05:00
