日期,温度,湿度,aqi,更新日期
2020-01-01,10℃,70%,99,2020-01-01 01:05:00
2020-01-01,10℃,72%,98,2020-01-01 02:08:00
2020-01-01,10℃,72%,104,2020-01-01 03:00:00
2020-01-01,10℃,74%,108,2020-01-01 03:57:00
2020-01-01,10℃,76%,105,2020-01-01 05:10:00
2020-01-01,9℃,77%,104,2020-01-01 06:06:00
2020-01-01,10℃,75%,107,2020-01-01 07:07:00
2020-01-01,10℃,72%,103,2020-01-01 08:00:00
2020-01-01,10℃,76%,107,2020-01-01 09:10:00
2020-01-01,10℃,73%,107,2020-01-01 10:10:00
2020-01-01,10℃,72%,107,2020-01-01 11:05:00
2020-01-01,11℃,63%,104,2020-01-01 11:58:00
2020-01-01,12℃,57%,92,2020-01-01 13:05:00
2020-01-01,12℃,58%,79,2020-01-01 13:57:00
2020-01-01,12℃,60%,75,2020-01-01 14:57:00
2020-01-01,13℃,60%,67,2020-01-01 15:52:00
2020-01-01,12℃,63%,64,2020-01-01 17:04:00
2020-01-01,12℃,65%,64,2020-01-01 18:05:00
2020-01-01,11℃,68%,64,2020-01-01 19:09:00
2020-01-01,11℃,69%,70,2020-01-01 19:56:00
2020-01-01,11℃,70%,74,2020-01-01 21:06:00
2020-01-01,11℃,72%,78,2020-01-01 21:48:00
2020-01-01,11℃,73%,80,2020-01-01 22:51:00
2020-01-02,11℃,72%,82,2020-01-02 00:07:00
2020-01-02,11℃,76%,79,2020-01-02 01:03:00
2020-01-02,10℃,80%,82,2020-01-02 01:57:00
2020-01-02,10℃,79%,83,2020-01-02 02:54:00
2020-01-02,10℃,77%,83,2020-01-02 04:10:00
2020-01-02,10℃,79%,84,2020-01-02 04:52:00
2020-01-02,10℃,82%,83,2020-01-02 05:50:00
2020-01-02,10℃,79%,83,2020-01-02 07:50:00
2020-01-02,11℃,76%,88,2020-01-02 09:10:00
2020-01-02,12℃,74%,92,2020-01-02 10:10:00
2020-01-02,11℃,76%,99,2020-01-02 11:01:00
2020-01-02,12℃,64%,99,2020-01-02 12:04:00
2020-01-02,12℃,62%,98,2020-01-02 12:56:00
