日期,温度,湿度,aqi,更新日期
2020-01-01,-7℃,55%,73,2020-01-01 01:05:00
2020-01-01,-8℃,61%,79,2020-01-01 02:08:00
2020-01-01,-8℃,55%,90,2020-01-01 03:00:00
2020-01-01,-8℃,54%,92,2020-01-01 03:57:00
2020-01-01,-9℃,56%,94,2020-01-01 05:10:00
2020-01-01,-9℃,63%,99,2020-01-01 06:06:00
2020-01-01,-10℃,59%,99,2020-01-01 07:07:00
2020-01-01,-9℃,62%,101,2020-01-01 07:59:00
2020-01-01,-10℃,62%,98,2020-01-01 08:47:00
2020-01-01,-7℃,45%,98,2020-01-01 10:08:00
2020-01-01,-5℃,42%,124,2020-01-01 11:05:00
2020-01-01,-4℃,39%,120,2020-01-01 11:58:00
2020-01-01,-1℃,33%,128,2020-01-01 13:10:00
2020-01-01,0℃,32%,133,2020-01-01 13:57:00
2020-01-01,0℃,32%,100,2020-01-01 14:57:00
2020-01-01,0℃,31%,89,2020-01-01 15:52:00
2020-01-01,0℃,34%,113,2020-01-01 17:04:00
2020-01-01,0℃,38%,125,2020-01-01 18:10:00
2020-01-01,-1℃,43%,117,2020-01-01 19:09:00
2020-01-01,-1℃,45%,119,2020-01-01 19:56:00
2020-01-01,-2℃,47%,137,2020-01-01 21:06:00
2020-01-01,-2℃,48%,133,2020-01-01 21:51:00
2020-01-01,-3℃,51%,117,2020-01-01 22:49:00
2020-01-02,-4℃,55%,112,2020-01-02 00:07:00
2020-01-02,-4℃,56%,120,2020-01-02 01:02:00
2020-01-02,-4℃,58%,156,2020-01-02 01:57:00
2020-01-02,-5℃,61%,201,2020-01-02 02:54:00
2020-01-02,-5℃,58%,206,2020-01-02 03:46:00
2020-01-02,-5℃,59%,199,2020-01-02 05:08:00
2020-01-02,-6℃,62%,202,2020-01-02 06:02:00
2020-01-02,-7℃,68%,183,2020-01-02 07:08:00
2020-01-02,-8℃,71%,176,2020-01-02 07:50:00
2020-01-02,-6℃,61%,169,2020-01-02 09:10:00
2020-01-02,-5℃,58%,155,2020-01-02 10:00:00
2020-01-02,-4℃,55%,129,2020-01-02 11:01:00
