日期,温度,湿度,aqi,更新日期
2020-01-01,-19℃,83%,104,2020-01-01 00:10:00
2020-01-01,-20℃,85%,100,2020-01-01 01:01:00
2020-01-01,-22℃,87%,95,2020-01-01 02:08:00
2020-01-01,-23℃,87%,98,2020-01-01 03:00:00
2020-01-01,-22℃,88%,103,2020-01-01 04:02:00
2020-01-01,-20℃,90%,103,2020-01-01 04:58:00
2020-01-01,-22℃,86%,105,2020-01-01 06:06:00
2020-01-01,-19℃,86%,107,2020-01-01 07:07:00
2020-01-01,-20℃,88%,98,2020-01-01 08:00:00
2020-01-01,-17℃,72%,99,2020-01-01 09:10:00
2020-01-01,-16℃,65%,104,2020-01-01 09:46:00
2020-01-01,-14℃,53%,95,2020-01-01 11:05:00
2020-01-01,-14℃,49%,79,2020-01-01 11:58:00
2020-01-01,-13℃,45%,69,2020-01-01 13:04:00
2020-01-01,-12℃,47%,62,2020-01-01 13:53:00
2020-01-01,-13℃,49%,56,2020-01-01 14:45:00
2020-01-01,-14℃,55%,53,2020-01-01 15:52:00
2020-01-01,-16℃,62%,68,2020-01-01 17:04:00
2020-01-01,-16℃,70%,92,2020-01-01 18:10:00
2020-01-01,-18℃,77%,103,2020-01-01 19:10:00
2020-01-01,-19℃,81%,120,2020-01-01 19:50:00
2020-01-01,-19℃,86%,147,2020-01-01 20:51:00
2020-01-01,-19℃,90%,137,2020-01-01 21:48:00
2020-01-01,-19℃,90%,145,2020-01-01 22:49:00
2020-01-02,-19℃,86%,170,2020-01-02 00:07:00
2020-01-02,-19℃,87%,175,2020-01-02 01:03:00
2020-01-02,-20℃,88%,163,2020-01-02 02:03:00
2020-01-02,-20℃,88%,158,2020-01-02 02:54:00
2020-01-02,-20℃,87%,150,2020-01-02 03:51:00
2020-01-02,-17℃,84%,147,2020-01-02 05:08:00
2020-01-02,-18℃,80%,137,2020-01-02 05:50:00
2020-01-02,-18℃,84%,130,2020-01-02 07:08:00
2020-01-02,-18℃,76%,132,2020-01-02 07:50:00
2020-01-02,-15℃,63%,137,2020-01-02 09:10:00
2020-01-02,-13℃,53%,158,2020-01-02 10:10:00
2020-01-02,-12℃,51%,155,2020-01-02 11:01:00
2020-01-02,-11℃,49%,94,2020-01-02 12:04:00
2020-01-02,-10℃,45%,73,2020-01-02 12:57:00
2020-01-02,-10℃,44%,54,2020-01-02 13:50:00
2020-01-02,-10℃,51%,50,2020-01-02 14:54:00
2020-01-02,-12℃,59%,58,2020-01-02 16:07:00
2020-01-02,-13℃,63%,72,2020-01-02 17:04:00
2020-01-02,-13℃,64%,97,2020-01-02 17:45:00
2020-01-02,-13℃,67%,137,2020-01-02 19:02:00
2020-01-02,-13℃,70%,165,2020-01-02 20:08:00
2020-01-02,-12℃,68%,163,2020-01-02 21:15:00
2020-01-02,-12℃,64%,159,2020-01-02 22:10:00
2020-01-02,-12℃,65%,143,2020-01-02 22:56:00
2020-01-03,-12℃,66%,130,2020-01-03 00:10:00
2020-01-03,-12℃,66%,112,2020-01-03 01:07:00
2020-01-03,-12℃,65%,100,2020-01-03 02:06:00
2020-01-03,-12℃,67%,99,2020-01-03 03:00:00
2020-01-03,-13℃,69%,100,2020-01-03 04:04:00
2020-01-03,-13℃,71%,102,2020-01-03 05:05:00
2020-01-03,-13℃,74%,107,2020-01-03 05:50:00
2020-01-03,-13℃,78%,120,2020-01-03 07:05:00
2020-01-03,-13℃,77%,134,2020-01-03 08:08:00
2020-01-03,-12℃,73%,147,2020-01-03 09:06:00
2020-01-03,-11℃,68%,178,2020-01-03 09:53:00
2020-01-03,-10℃,62%,189,2020-01-03 11:08:00
2020-01-03,-9℃,60%,178,2020-01-03 11:49:00
2020-01-03,-8℃,58%,125,2020-01-03 12:47:00
2020-01-03,-8℃,57%,107,2020-01-03 14:01:00
2020-01-03,-8℃,57%,95,2020-01-03 15:06:00
2020-01-03,-9℃,63%,98,2020-01-03 15:52:00
2020-01-03,-10℃,71%,109,2020-01-03 17:05:00
2020-01-03,-10℃,72%,144,2020-01-03 17:29:00
2020-01-03,-10℃,73%,180,2020-01-03 18:55:00
2020-01-03,-10℃,75%,203,2020-01-03 20:09:00
2020-01-03,-11℃,77%,229,2020-01-03 21:08:00
2020-01-03,-12℃,81%,246,2020-01-03 22:01:00
2020-01-03,-12℃,81%,238,2020-01-03 22:55:00
2020-01-04,-11℃,78%,220,2020-01-04 00:01:00
2020-01-04,-11℃,81%,207,2020-01-04 01:07:00
2020-01-04,-10℃,80%,190,2020-01-04 01:42:00
2020-01-04,-9℃,75%,186,2020-01-04 03:01:00
2020-01-04,-10℃,75%,189,2020-01-04 04:07:00
2020-01-04,-10℃,77%,149,2020-01-04 04:50:00
2020-01-04,-12℃,83%,122,2020-01-04 06:01:00
2020-01-04,-13℃,90%,123,2020-01-04 07:14:00
2020-01-04,-13℃,91%,145,2020-01-04 07:51:00
2020-01-04,-12℃,86%,168,2020-01-04 09:09:00
2020-01-04,-12℃,82%,203,2020-01-04 09:45:00
2020-01-04,-10℃,75%,206,2020-01-04 10:59:00
2020-01-04,-9℃,69%,196,2020-01-04 12:06:00
2020-01-04,-8℃,64%,188,2020-01-04 12:59:00
2020-01-04,-8℃,63%,168,2020-01-04 13:46:00
2020-01-04,-8℃,66%,144,2020-01-04 15:05:00
2020-01-04,-9℃,71%,159,2020-01-04 15:53:00
2020-01-04,-12℃,82%,165,2020-01-04 17:02:00
2020-01-04,-13℃,90%,149,2020-01-04 17:59:00
2020-01-04,-14℃,94%,158,2020-01-04 18:51:00
2020-01-04,-14℃,95%,160,2020-01-04 19:54:00
2020-01-04,-14℃,94%,175,2020-01-04 21:03:00
2020-01-04,-14℃,95%,210,2020-01-04 22:04:00
2020-01-04,-12℃,91%,234,2020-01-04 22:58:00
2020-01-05,-11℃,89%,222,2020-01-05 00:49:00
2020-01-05,-13℃,93%,210,2020-01-05 01:55:00
2020-01-05,-13℃,91%,182,2020-01-05 03:02:00
2020-01-05,-13℃,92%,165,2020-01-05 04:07:00
2020-01-05,-13℃,95%,150,2020-01-05 04:56:00
2020-01-05,-12℃,92%,140,2020-01-05 06:08:00
2020-01-05,-11℃,90%,127,2020-01-05 07:05:00
2020-01-05,-11℃,86%,114,2020-01-05 07:56:00
2020-01-05,-9℃,82%,108,2020-01-05 08:43:00
2020-01-05,-7℃,72%,109,2020-01-05 09:57:00
2020-01-05,-5℃,66%,97,2020-01-05 11:04:00
2020-01-05,-5℃,65%,97,2020-01-05 11:49:00
2020-01-05,-4℃,63%,82,2020-01-05 13:03:00
2020-01-05,-3℃,60%,75,2020-01-05 14:05:00
2020-01-05,-3℃,60%,77,2020-01-05 15:05:00
2020-01-05,-4℃,65%,74,2020-01-05 15:49:00
2020-01-05,-5℃,72%,73,2020-01-05 16:43:00
2020-01-05,-5℃,70%,87,2020-01-05 18:03:00
2020-01-05,-5℃,69%,94,2020-01-05 19:06:00
2020-01-05,-6℃,69%,109,2020-01-05 20:06:00
2020-01-05,-6℃,71%,124,2020-01-05 21:02:00
2020-01-05,-6℃,70%,129,2020-01-05 22:05:00
2020-01-05,-6℃,71%,142,2020-01-05 23:00:00
2020-01-06,-7℃,74%,133,2020-01-06 00:10:00
2020-01-06,-7℃,73%,129,2020-01-06 00:58:00
2020-01-06,-7℃,71%,110,2020-01-06 01:54:00
2020-01-06,-8℃,75%,95,2020-01-06 03:07:00
2020-01-06,-6℃,67%,87,2020-01-06 04:02:00
2020-01-06,-6℃,67%,80,2020-01-06 04:56:00
2020-01-06,-6℃,66%,75,2020-01-06 06:09:00
2020-01-06,-6℃,65%,72,2020-01-06 07:03:00
2020-01-06,-6℃,64%,68,2020-01-06 07:58:00
2020-01-06,-4℃,59%,67,2020-01-06 09:07:00
2020-01-06,-4℃,55%,75,2020-01-06 10:09:00
2020-01-06,-2℃,54%,70,2020-01-06 11:54:00
2020-01-06,-1℃,54%,73,2020-01-06 12:55:00
2020-01-06,-1℃,52%,83,2020-01-06 14:09:00
2020-01-06,-1℃,54%,95,2020-01-06 15:04:00
2020-01-06,-1℃,58%,88,2020-01-06 15:52:00
2020-01-06,-1℃,63%,94,2020-01-06 16:59:00
2020-01-06,-2℃,82%,107,2020-01-06 18:10:00
2020-01-06,-2℃,93%,120,2020-01-06 19:05:00
2020-01-06,-3℃,96%,119,2020-01-06 19:55:00
2020-01-06,-3℃,96%,118,2020-01-06 21:03:00
2020-01-06,-3℃,96%,123,2020-01-06 22:07:00
2020-01-06,-3℃,96%,123,2020-01-06 23:06:00
2020-01-07,-3℃,97%,108,2020-01-07 00:01:00
2020-01-07,-3℃,98%,98,2020-01-07 00:49:00
2020-01-07,-2℃,99%,100,2020-01-07 02:03:00
2020-01-07,-6℃,99%,103,2020-01-07 02:56:00
2020-01-07,-7℃,91%,118,2020-01-07 04:08:00
2020-01-07,-8℃,90%,148,2020-01-07 05:03:00
2020-01-07,-10℃,90%,158,2020-01-07 06:07:00
2020-01-07,-11℃,93%,185,2020-01-07 07:06:00
2020-01-07,-13℃,96%,235,2020-01-07 07:47:00
2020-01-07,-14℃,97%,270,2020-01-07 09:04:00
2020-01-07,-14℃,96%,282,2020-01-07 10:09:00
2020-01-07,-13℃,96%,286,2020-01-07 10:59:00
2020-01-07,-13℃,95%,276,2020-01-07 12:06:00
2020-01-07,-13℃,95%,268,2020-01-07 13:08:00
2020-01-07,-13℃,93%,255,2020-01-07 13:51:00
2020-01-07,-12℃,95%,247,2020-01-07 14:55:00
2020-01-07,-12℃,97%,228,2020-01-07 16:04:00
2020-01-07,-12℃,97%,199,2020-01-07 17:02:00
2020-01-07,-11℃,97%,190,2020-01-07 18:02:00
2020-01-07,-11℃,97%,201,2020-01-07 19:01:00
2020-01-07,-12℃,96%,202,2020-01-07 19:49:00
2020-01-07,-12℃,96%,208,2020-01-07 21:05:00
2020-01-07,-11℃,97%,212,2020-01-07 22:07:00
2020-01-07,-11℃,97%,190,2020-01-07 22:57:00
2020-01-08,-11℃,98%,158,2020-01-08 00:00:00
2020-01-08,-10℃,98%,142,2020-01-08 01:10:00
2020-01-08,-10℃,98%,130,2020-01-08 01:57:00
2020-01-08,-10℃,98%,117,2020-01-08 02:45:00
2020-01-08,-9℃,97%,112,2020-01-08 03:42:00
2020-01-08,-9℃,98%,124,2020-01-08 05:12:00
2020-01-08,-9℃,98%,140,2020-01-08 05:58:00
2020-01-08,-9℃,97%,129,2020-01-08 07:08:00
2020-01-08,-10℃,97%,108,2020-01-08 07:59:00
2020-01-08,-10℃,95%,95,2020-01-08 09:01:00
2020-01-08,-10℃,93%,99,2020-01-08 10:02:00
2020-01-08,-10℃,90%,97,2020-01-08 10:57:00
2020-01-08,-9℃,88%,92,2020-01-08 12:08:00
2020-01-08,-10℃,88%,85,2020-01-08 13:00:00
2020-01-08,-9℃,87%,79,2020-01-08 13:58:00
2020-01-08,-10℃,87%,67,2020-01-08 14:53:00
2020-01-08,-10℃,90%,57,2020-01-08 15:54:00
2020-01-08,-10℃,92%,54,2020-01-08 17:10:00
2020-01-08,-11℃,91%,57,2020-01-08 18:03:00
2020-01-08,-11℃,91%,65,2020-01-08 19:07:00
2020-01-08,-11℃,90%,62,2020-01-08 19:58:00
2020-01-08,-13℃,94%,58,2020-01-08 21:10:00
2020-01-08,-12℃,95%,59,2020-01-08 22:03:00
2020-01-08,-13℃,94%,63,2020-01-08 23:04:00
2020-01-09,-13℃,94%,67,2020-01-09 00:04:00
2020-01-09,-13℃,96%,68,2020-01-09 01:09:00
2020-01-09,-13℃,99%,63,2020-01-09 01:57:00
2020-01-09,-13℃,99%,68,2020-01-09 03:07:00
2020-01-09,-13℃,99%,79,2020-01-09 04:05:00
2020-01-09,-13℃,98%,85,2020-01-09 05:01:00
2020-01-09,-12℃,97%,92,2020-01-09 06:02:00
2020-01-09,-12℃,96%,89,2020-01-09 07:01:00
2020-01-09,-13℃,96%,90,2020-01-09 08:06:00
2020-01-09,-12℃,94%,87,2020-01-09 08:59:00
2020-01-09,-11℃,91%,97,2020-01-09 09:56:00
2020-01-09,-10℃,81%,102,2020-01-09 11:14:00
2020-01-09,-10℃,83%,102,2020-01-09 11:59:00
2020-01-09,-9℃,80%,95,2020-01-09 12:58:00
2020-01-09,-9℃,81%,94,2020-01-09 14:07:00
2020-01-09,-9℃,81%,94,2020-01-09 15:00:00
2020-01-09,-11℃,89%,88,2020-01-09 16:07:00
2020-01-09,-11℃,95%,93,2020-01-09 16:52:00
2020-01-09,-11℃,98%,93,2020-01-09 18:05:00
2020-01-09,-11℃,97%,125,2020-01-09 19:05:00
2020-01-09,-11℃,97%,158,2020-01-09 20:02:00
2020-01-09,-11℃,97%,173,2020-01-09 20:49:00
2020-01-09,-16℃,94%,179,2020-01-09 22:04:00
2020-01-09,-11℃,97%,175,2020-01-09 23:01:00
2020-01-10,-12℃,97%,160,2020-01-10 00:57:00
2020-01-10,-12℃,97%,135,2020-01-10 02:02:00
2020-01-10,-12℃,96%,115,2020-01-10 03:10:00
2020-01-10,-12℃,96%,103,2020-01-10 03:44:00
2020-01-10,-12℃,96%,93,2020-01-10 04:56:00
2020-01-10,-12℃,96%,82,2020-01-10 06:02:00
2020-01-10,-12℃,96%,75,2020-01-10 06:48:00
2020-01-10,-12℃,97%,73,2020-01-10 08:02:00
2020-01-10,-10℃,96%,72,2020-01-10 09:07:00
2020-01-10,-8℃,93%,78,2020-01-10 10:04:00
2020-01-10,-7℃,81%,93,2020-01-10 11:20:00
2020-01-10,-7℃,81%,93,2020-01-10 12:04:00
2020-01-10,-7℃,79%,89,2020-01-10 12:59:00
2020-01-10,-8℃,81%,89,2020-01-10 13:47:00
