日期,温度,湿度,aqi,更新日期
2020-01-01,0℃,52%,83,2020-01-01 00:57:00
2020-01-01,0℃,55%,82,2020-01-01 02:08:00
2020-01-01,0℃,59%,82,2020-01-01 03:00:00
2020-01-01,0℃,60%,85,2020-01-01 03:57:00
2020-01-01,0℃,63%,90,2020-01-01 04:58:00
2020-01-01,0℃,62%,90,2020-01-01 06:06:00
2020-01-01,0℃,66%,85,2020-01-01 07:07:00
2020-01-01,0℃,67%,85,2020-01-01 08:00:00
2020-01-01,1℃,67%,84,2020-01-01 08:47:00
2020-01-01,1℃,70%,79,2020-01-01 09:46:00
2020-01-01,2℃,72%,83,2020-01-01 11:05:00
2020-01-01,2℃,69%,87,2020-01-01 11:58:00
2020-01-01,3℃,67%,89,2020-01-01 13:03:00
2020-01-01,3℃,66%,87,2020-01-01 14:09:00
2020-01-01,3℃,65%,89,2020-01-01 14:45:00
2020-01-01,3℃,75%,90,2020-01-01 16:07:00
2020-01-01,3℃,73%,94,2020-01-01 17:04:00
2020-01-01,3℃,69%,97,2020-01-01 18:10:00
2020-01-01,3℃,68%,103,2020-01-01 19:09:00
2020-01-01,4℃,69%,110,2020-01-01 19:50:00
2020-01-01,4℃,70%,113,2020-01-01 21:14:00
2020-01-01,4℃,69%,120,2020-01-01 21:48:00
2020-01-01,3℃,79%,120,2020-01-01 22:51:00
2020-01-02,3℃,79%,123,2020-01-02 01:03:00
2020-01-02,3℃,78%,125,2020-01-02 01:52:00
2020-01-02,3℃,77%,132,2020-01-02 02:54:00
2020-01-02,3℃,78%,130,2020-01-02 03:51:00
2020-01-02,3℃,79%,124,2020-01-02 05:08:00
2020-01-02,3℃,78%,123,2020-01-02 06:02:00
2020-01-02,3℃,78%,113,2020-01-02 07:08:00
2020-01-02,3℃,79%,115,2020-01-02 07:50:00
2020-01-02,5℃,71%,113,2020-01-02 09:10:00
2020-01-02,6℃,69%,112,2020-01-02 10:10:00
2020-01-02,5℃,70%,109,2020-01-02 11:01:00
2020-01-02,6℃,68%,117,2020-01-02 12:04:00
2020-01-02,7℃,61%,129,2020-01-02 13:08:00
2020-01-02,7℃,61%,120,2020-01-02 13:50:00
2020-01-02,7℃,59%,122,2020-01-02 15:10:00
2020-01-02,7℃,60%,120,2020-01-02 16:07:00
2020-01-02,6℃,65%,118,2020-01-02 17:04:00
2020-01-02,6℃,67%,112,2020-01-02 18:08:00
2020-01-02,5℃,69%,119,2020-01-02 19:02:00
2020-01-02,3℃,77%,130,2020-01-02 20:08:00
2020-01-02,4℃,80%,132,2020-01-02 20:49:00
2020-01-02,4℃,77%,145,2020-01-02 22:10:00
2020-01-02,4℃,76%,153,2020-01-02 22:56:00
2020-01-03,4℃,77%,158,2020-01-03 00:00:00
2020-01-03,4℃,78%,158,2020-01-03 01:08:00
2020-01-03,4℃,75%,155,2020-01-03 02:06:00
2020-01-03,5℃,73%,150,2020-01-03 03:00:00
2020-01-03,4℃,75%,150,2020-01-03 04:04:00
2020-01-03,4℃,77%,155,2020-01-03 05:05:00
2020-01-03,4℃,78%,156,2020-01-03 05:50:00
2020-01-03,4℃,79%,162,2020-01-03 07:05:00
2020-01-03,4℃,77%,165,2020-01-03 08:08:00
2020-01-03,5℃,69%,170,2020-01-03 09:06:00
2020-01-03,7℃,63%,169,2020-01-03 09:55:00
2020-01-03,9℃,57%,176,2020-01-03 10:47:00
2020-01-03,9℃,58%,179,2020-01-03 12:10:00
2020-01-03,9℃,56%,169,2020-01-03 13:02:00
2020-01-03,10℃,55%,156,2020-01-03 14:01:00
2020-01-03,10℃,57%,150,2020-01-03 15:06:00
2020-01-03,10℃,57%,150,2020-01-03 15:50:00
2020-01-03,8℃,61%,155,2020-01-03 17:05:00
2020-01-03,8℃,62%,158,2020-01-03 17:29:00
2020-01-03,8℃,63%,163,2020-01-03 18:55:00
2020-01-03,8℃,64%,175,2020-01-03 20:02:00
2020-01-03,7℃,69%,176,2020-01-03 21:08:00
2020-01-03,7℃,72%,176,2020-01-03 22:07:00
2020-01-03,7℃,75%,175,2020-01-03 23:08:00
2020-01-04,6℃,82%,178,2020-01-04 00:01:00
2020-01-04,7℃,78%,193,2020-01-04 01:07:00
2020-01-04,6℃,83%,196,2020-01-04 02:07:00
2020-01-04,6℃,83%,198,2020-01-04 03:01:00
2020-01-04,6℃,80%,195,2020-01-04 04:04:00
2020-01-04,6℃,80%,199,2020-01-04 04:50:00
2020-01-04,6℃,84%,203,2020-01-04 06:01:00
2020-01-04,6℃,85%,201,2020-01-04 07:01:00
2020-01-04,6℃,84%,203,2020-01-04 08:02:00
2020-01-04,7℃,74%,206,2020-01-04 09:09:00
2020-01-04,8℃,69%,204,2020-01-04 10:03:00
2020-01-04,8℃,69%,202,2020-01-04 10:59:00
2020-01-04,9℃,70%,202,2020-01-04 11:40:00
2020-01-04,9℃,73%,190,2020-01-04 12:36:00
2020-01-04,9℃,74%,173,2020-01-04 14:06:00
2020-01-04,9℃,74%,170,2020-01-04 14:50:00
2020-01-04,9℃,74%,156,2020-01-04 15:53:00
2020-01-04,9℃,75%,148,2020-01-04 17:03:00
2020-01-04,9℃,76%,150,2020-01-04 17:37:00
2020-01-04,8℃,78%,173,2020-01-04 18:51:00
2020-01-04,8℃,78%,193,2020-01-04 19:54:00
2020-01-04,8℃,76%,222,2020-01-04 21:03:00
2020-01-04,8℃,75%,235,2020-01-04 22:04:00
2020-01-04,8℃,74%,253,2020-01-04 22:56:00
2020-01-05,8℃,76%,279,2020-01-05 00:57:00
2020-01-05,7℃,81%,284,2020-01-05 01:55:00
2020-01-05,7℃,87%,281,2020-01-05 03:02:00
2020-01-05,6℃,93%,275,2020-01-05 04:07:00
2020-01-05,6℃,95%,268,2020-01-05 05:03:00
2020-01-05,6℃,96%,257,2020-01-05 06:08:00
2020-01-05,6℃,97%,244,2020-01-05 06:56:00
2020-01-05,6℃,96%,222,2020-01-05 07:56:00
2020-01-05,6℃,96%,189,2020-01-05 09:08:00
2020-01-05,5℃,96%,159,2020-01-05 09:57:00
2020-01-05,6℃,96%,110,2020-01-05 11:04:00
2020-01-05,6℃,96%,110,2020-01-05 12:07:00
2020-01-05,6℃,96%,85,2020-01-05 13:03:00
2020-01-05,6℃,97%,63,2020-01-05 14:05:00
2020-01-05,6℃,97%,57,2020-01-05 14:42:00
2020-01-05,6℃,98%,45,2020-01-05 16:01:00
2020-01-05,7℃,98%,43,2020-01-05 16:54:00
2020-01-05,7℃,98%,40,2020-01-05 18:03:00
2020-01-05,7℃,98%,38,2020-01-05 19:06:00
2020-01-05,7℃,98%,39,2020-01-05 19:42:00
2020-01-05,7℃,99%,45,2020-01-05 21:02:00
2020-01-05,7℃,99%,45,2020-01-05 22:05:00
2020-01-05,6℃,99%,45,2020-01-05 23:02:00
2020-01-06,6℃,99%,43,2020-01-06 00:10:00
2020-01-06,6℃,99%,33,2020-01-06 00:58:00
2020-01-06,6℃,99%,30,2020-01-06 02:05:00
2020-01-06,5℃,99%,35,2020-01-06 03:07:00
2020-01-06,5℃,99%,33,2020-01-06 04:02:00
2020-01-06,4℃,99%,35,2020-01-06 04:56:00
2020-01-06,4℃,99%,42,2020-01-06 06:00:00
2020-01-06,4℃,98%,46,2020-01-06 07:03:00
2020-01-06,4℃,98%,43,2020-01-06 07:58:00
2020-01-06,3℃,98%,40,2020-01-06 09:07:00
2020-01-06,3℃,98%,36,2020-01-06 10:03:00
2020-01-06,4℃,96%,40,2020-01-06 11:10:00
2020-01-06,3℃,98%,45,2020-01-06 11:57:00
2020-01-06,3℃,98%,52,2020-01-06 12:52:00
2020-01-06,3℃,98%,49,2020-01-06 14:09:00
2020-01-06,3℃,98%,45,2020-01-06 15:04:00
2020-01-06,3℃,97%,49,2020-01-06 15:44:00
2020-01-06,3℃,98%,58,2020-01-06 16:47:00
2020-01-06,3℃,98%,63,2020-01-06 18:09:00
2020-01-06,3℃,98%,64,2020-01-06 19:05:00
2020-01-06,3℃,99%,60,2020-01-06 19:55:00
2020-01-06,3℃,98%,55,2020-01-06 20:49:00
2020-01-06,3℃,99%,42,2020-01-06 21:45:00
2020-01-06,3℃,98%,36,2020-01-06 22:58:00
2020-01-07,2℃,99%,29,2020-01-07 00:01:00
2020-01-07,2℃,98%,28,2020-01-07 00:56:00
2020-01-07,2℃,98%,25,2020-01-07 02:03:00
2020-01-07,2℃,98%,25,2020-01-07 02:56:00
2020-01-07,2℃,99%,28,2020-01-07 03:45:00
2020-01-07,1℃,98%,29,2020-01-07 05:03:00
2020-01-07,2℃,99%,26,2020-01-07 06:10:00
2020-01-07,1℃,99%,30,2020-01-07 07:06:00
2020-01-07,1℃,99%,22,2020-01-07 07:47:00
2020-01-07,0℃,99%,32,2020-01-07 09:01:00
2020-01-07,0℃,99%,32,2020-01-07 10:05:00
2020-01-07,0℃,99%,35,2020-01-07 11:09:00
2020-01-07,0℃,99%,35,2020-01-07 11:49:00
2020-01-07,1℃,96%,39,2020-01-07 13:08:00
2020-01-07,1℃,94%,43,2020-01-07 13:50:00
2020-01-07,1℃,93%,40,2020-01-07 14:51:00
2020-01-07,1℃,93%,54,2020-01-07 15:51:00
2020-01-07,1℃,91%,63,2020-01-07 17:05:00
2020-01-07,1℃,90%,75,2020-01-07 18:02:00
2020-01-07,3℃,85%,79,2020-01-07 19:00:00
2020-01-07,1℃,90%,84,2020-01-07 20:08:00
2020-01-07,1℃,91%,90,2020-01-07 21:09:00
2020-01-07,1℃,91%,98,2020-01-07 21:51:00
2020-01-07,1℃,91%,102,2020-01-07 22:57:00
2020-01-08,1℃,88%,105,2020-01-08 00:00:00
2020-01-08,0℃,87%,97,2020-01-08 00:55:00
2020-01-08,0℃,90%,83,2020-01-08 01:57:00
2020-01-08,-1℃,94%,77,2020-01-08 02:54:00
2020-01-08,-1℃,95%,72,2020-01-08 04:10:00
2020-01-08,-2℃,96%,75,2020-01-08 04:58:00
2020-01-08,-1℃,97%,79,2020-01-08 05:58:00
2020-01-08,-2℃,98%,83,2020-01-08 07:07:00
2020-01-08,-1℃,98%,88,2020-01-08 07:59:00
2020-01-08,0℃,98%,89,2020-01-08 09:01:00
2020-01-08,0℃,96%,94,2020-01-08 10:02:00
2020-01-08,1℃,86%,98,2020-01-08 10:57:00
2020-01-08,2℃,83%,94,2020-01-08 11:52:00
2020-01-08,2℃,77%,99,2020-01-08 13:00:00
2020-01-08,2℃,74%,89,2020-01-08 13:56:00
2020-01-08,2℃,74%,94,2020-01-08 14:53:00
2020-01-08,2℃,74%,93,2020-01-08 15:56:00
2020-01-08,2℃,77%,88,2020-01-08 16:55:00
2020-01-08,2℃,86%,83,2020-01-08 18:06:00
2020-01-08,1℃,90%,92,2020-01-08 18:56:00
2020-01-08,1℃,89%,89,2020-01-08 20:06:00
2020-01-08,1℃,91%,87,2020-01-08 20:44:00
2020-01-08,0℃,95%,70,2020-01-08 22:03:00
2020-01-08,0℃,97%,60,2020-01-08 23:04:00
2020-01-09,0℃,96%,65,2020-01-09 00:04:00
2020-01-09,1℃,92%,63,2020-01-09 01:09:00
2020-01-09,1℃,93%,73,2020-01-09 01:57:00
2020-01-09,1℃,95%,72,2020-01-09 02:56:00
2020-01-09,1℃,94%,79,2020-01-09 04:05:00
2020-01-09,1℃,95%,74,2020-01-09 05:01:00
2020-01-09,1℃,94%,67,2020-01-09 06:02:00
2020-01-09,1℃,94%,54,2020-01-09 07:01:00
2020-01-09,1℃,94%,43,2020-01-09 07:58:00
2020-01-09,1℃,92%,46,2020-01-09 08:58:00
2020-01-09,2℃,91%,58,2020-01-09 09:56:00
2020-01-09,2℃,88%,63,2020-01-09 11:08:00
2020-01-09,3℃,86%,72,2020-01-09 11:59:00
2020-01-09,3℃,84%,85,2020-01-09 12:58:00
2020-01-09,3℃,84%,95,2020-01-09 14:07:00
2020-01-09,3℃,84%,90,2020-01-09 15:01:00
2020-01-09,3℃,80%,94,2020-01-09 16:03:00
2020-01-09,3℃,83%,92,2020-01-09 16:55:00
2020-01-09,2℃,87%,92,2020-01-09 18:05:00
2020-01-09,2℃,88%,72,2020-01-09 19:05:00
2020-01-09,2℃,89%,75,2020-01-09 20:02:00
2020-01-09,2℃,90%,80,2020-01-09 21:04:00
2020-01-09,2℃,90%,85,2020-01-09 22:04:00
2020-01-09,3℃,89%,84,2020-01-09 22:39:00
2020-01-10,3℃,90%,90,2020-01-10 00:57:00
2020-01-10,3℃,91%,89,2020-01-10 02:02:00
2020-01-10,2℃,94%,90,2020-01-10 02:59:00
2020-01-10,2℃,94%,87,2020-01-10 03:56:00
2020-01-10,2℃,92%,84,2020-01-10 05:09:00
2020-01-10,3℃,89%,87,2020-01-10 06:02:00
2020-01-10,3℃,89%,89,2020-01-10 06:58:00
2020-01-10,3℃,88%,87,2020-01-10 08:05:00
2020-01-10,3℃,87%,84,2020-01-10 09:07:00
2020-01-10,4℃,85%,74,2020-01-10 10:04:00
2020-01-10,4℃,86%,70,2020-01-10 11:05:00
2020-01-10,4℃,86%,63,2020-01-10 11:56:00
2020-01-10,3℃,92%,60,2020-01-10 12:59:00
2020-01-10,3℃,93%,67,2020-01-10 13:47:00
2020-01-10,3℃,94%,65,2020-01-10 14:53:00
2020-01-10,3℃,95%,57,2020-01-10 16:01:00
2020-01-10,3℃,95%,55,2020-01-10 16:55:00
2020-01-10,3℃,95%,42,2020-01-10 18:14:00
2020-01-10,3℃,96%,42,2020-01-10 18:57:00
2020-01-10,3℃,95%,50,2020-01-10 20:02:00
