日期,温度,湿度,aqi,更新日期
2020-01-01,18℃,82%,-1,2020-01-01 00:10:00
2020-01-01,18℃,80%,-1,2020-01-01 01:00:00
2020-01-01,18℃,78%,-1,2020-01-01 02:10:00
2020-01-01,17℃,80%,-1,2020-01-01 03:10:00
2020-01-01,17℃,83%,-1,2020-01-01 04:10:00
2020-01-01,17℃,83%,-1,2020-01-01 05:00:00
2020-01-01,17℃,82%,-1,2020-01-01 06:10:00
2020-01-01,17℃,80%,-1,2020-01-01 07:10:00
2020-01-01,16℃,83%,-1,2020-01-01 08:10:00
2020-01-01,17℃,85%,-1,2020-01-01 09:00:00
2020-01-01,17℃,80%,-1,2020-01-01 10:10:00
2020-01-01,17℃,78%,-1,2020-01-01 11:10:00
2020-01-01,18℃,76%,-1,2020-01-01 12:10:00
2020-01-01,17℃,76%,-1,2020-01-01 13:00:00
2020-01-01,18℃,75%,-1,2020-01-01 14:10:00
2020-01-01,18℃,73%,-1,2020-01-01 15:00:00
2020-01-01,18℃,72%,-1,2020-01-01 16:00:00
2020-01-01,18℃,71%,-1,2020-01-01 17:00:00
2020-01-01,18℃,73%,-1,2020-01-01 18:10:00
2020-01-01,18℃,73%,-1,2020-01-01 19:10:00
2020-01-01,17℃,75%,-1,2020-01-01 20:10:00
2020-01-01,17℃,76%,-1,2020-01-01 21:10:00
2020-01-01,17℃,77%,-1,2020-01-01 22:10:00
2020-01-01,17℃,78%,-1,2020-01-01 23:10:00
2020-01-02,17℃,77%,-1,2020-01-02 00:00:00
2020-01-02,17℃,77%,-1,2020-01-02 01:10:00
2020-01-02,17℃,78%,-1,2020-01-02 02:10:00
2020-01-02,17℃,78%,-1,2020-01-02 03:00:00
2020-01-02,17℃,78%,-1,2020-01-02 04:00:00
2020-01-02,17℃,79%,-1,2020-01-02 05:00:00
2020-01-02,17℃,80%,-1,2020-01-02 06:00:00
2020-01-02,17℃,82%,-1,2020-01-02 07:00:00
2020-01-02,16℃,85%,-1,2020-01-02 08:10:00
2020-01-02,17℃,83%,-1,2020-01-02 09:10:00
2020-01-02,17℃,80%,-1,2020-01-02 10:10:00
2020-01-02,17℃,77%,-1,2020-01-02 11:10:00
2020-01-02,18℃,75%,-1,2020-01-02 12:10:00
2020-01-02,18℃,75%,-1,2020-01-02 13:10:00
2020-01-02,18℃,72%,-1,2020-01-02 14:10:00
2020-01-02,19℃,70%,-1,2020-01-02 15:00:00
2020-01-02,19℃,69%,-1,2020-01-02 16:00:00
2020-01-02,19℃,71%,-1,2020-01-02 17:00:00
2020-01-02,18℃,75%,-1,2020-01-02 18:00:00
2020-01-02,18℃,77%,-1,2020-01-02 19:10:00
2020-01-02,17℃,78%,-1,2020-01-02 20:00:00
2020-01-02,17℃,83%,-1,2020-01-02 21:10:00
2020-01-02,17℃,85%,-1,2020-01-02 22:00:00
2020-01-02,16℃,85%,-1,2020-01-02 23:10:00
2020-01-03,16℃,86%,-1,2020-01-03 00:10:00
2020-01-03,15℃,86%,-1,2020-01-03 01:00:00
2020-01-03,16℃,87%,-1,2020-01-03 02:00:00
2020-01-03,16℃,89%,-1,2020-01-03 03:00:00
2020-01-03,16℃,90%,-1,2020-01-03 04:00:00
2020-01-03,16℃,90%,-1,2020-01-03 05:00:00
2020-01-03,16℃,89%,-1,2020-01-03 06:00:00
2020-01-03,16℃,89%,-1,2020-01-03 07:10:00
2020-01-03,16℃,88%,-1,2020-01-03 08:10:00
2020-01-03,18℃,81%,-1,2020-01-03 09:00:00
2020-01-03,19℃,72%,-1,2020-01-03 10:00:00
2020-01-03,21℃,67%,-1,2020-01-03 11:10:00
2020-01-03,22℃,63%,-1,2020-01-03 12:00:00
2020-01-03,23℃,60%,-1,2020-01-03 13:00:00
2020-01-03,23℃,56%,-1,2020-01-03 14:10:00
2020-01-03,24℃,56%,-1,2020-01-03 15:10:00
2020-01-03,23℃,62%,-1,2020-01-03 16:00:00
2020-01-03,21℃,66%,-1,2020-01-03 17:00:00
2020-01-03,20℃,75%,-1,2020-01-03 18:10:00
2020-01-03,19℃,78%,-1,2020-01-03 19:10:00
2020-01-03,19℃,82%,-1,2020-01-03 20:00:00
2020-01-03,18℃,83%,-1,2020-01-03 21:10:00
2020-01-03,18℃,82%,-1,2020-01-03 22:10:00
2020-01-03,18℃,84%,-1,2020-01-03 23:10:00
2020-01-04,17℃,87%,-1,2020-01-04 00:10:00
2020-01-04,17℃,87%,-1,2020-01-04 01:00:00
2020-01-04,17℃,88%,-1,2020-01-04 02:00:00
2020-01-04,17℃,89%,-1,2020-01-04 03:10:00
2020-01-04,17℃,89%,-1,2020-01-04 04:00:00
2020-01-04,16℃,90%,-1,2020-01-04 05:10:00
2020-01-04,16℃,91%,-1,2020-01-04 06:10:00
2020-01-04,16℃,91%,-1,2020-01-04 07:10:00
2020-01-04,17℃,90%,-1,2020-01-04 08:00:00
2020-01-04,18℃,81%,-1,2020-01-04 09:10:00
2020-01-04,19℃,74%,-1,2020-01-04 10:10:00
2020-01-04,21℃,69%,-1,2020-01-04 11:00:00
2020-01-04,23℃,62%,-1,2020-01-04 12:10:00
2020-01-04,23℃,59%,-1,2020-01-04 13:00:00
2020-01-04,24℃,55%,-1,2020-01-04 14:10:00
2020-01-04,24℃,56%,-1,2020-01-04 15:00:00
2020-01-04,24℃,59%,-1,2020-01-04 16:00:00
2020-01-04,22℃,66%,-1,2020-01-04 17:00:00
2020-01-04,20℃,76%,-1,2020-01-04 18:00:00
2020-01-04,19℃,81%,-1,2020-01-04 19:00:00
2020-01-04,19℃,80%,-1,2020-01-04 20:10:00
2020-01-04,19℃,83%,-1,2020-01-04 21:10:00
2020-01-04,19℃,83%,-1,2020-01-04 22:10:00
2020-01-04,18℃,83%,-1,2020-01-04 23:00:00
2020-01-05,18℃,84%,-1,2020-01-05 00:00:00
2020-01-05,18℃,85%,-1,2020-01-05 01:00:00
2020-01-05,18℃,85%,-1,2020-01-05 02:10:00
2020-01-05,18℃,86%,-1,2020-01-05 03:00:00
2020-01-05,18℃,86%,-1,2020-01-05 04:00:00
2020-01-05,18℃,85%,-1,2020-01-05 05:00:00
2020-01-05,18℃,82%,-1,2020-01-05 06:10:00
2020-01-05,18℃,78%,-1,2020-01-05 07:10:00
