日期,温度,湿度,aqi,更新日期
2020-01-01,3℃,60%,76,2020-01-01 00:57:00
2020-01-01,3℃,54%,74,2020-01-01 02:08:00
2020-01-01,3℃,58%,70,2020-01-01 03:14:00
2020-01-01,3℃,58%,65,2020-01-01 03:57:00
2020-01-01,2℃,60%,60,2020-01-01 04:58:00
2020-01-01,3℃,60%,57,2020-01-01 06:06:00
2020-01-01,3℃,62%,54,2020-01-01 07:07:00
2020-01-01,3℃,62%,54,2020-01-01 08:00:00
2020-01-01,3℃,58%,55,2020-01-01 09:10:00
2020-01-01,4℃,60%,58,2020-01-01 09:34:00
2020-01-01,4℃,66%,59,2020-01-01 11:05:00
2020-01-01,6℃,57%,59,2020-01-01 11:58:00
2020-01-01,6℃,58%,58,2020-01-01 13:04:00
2020-01-01,7℃,60%,60,2020-01-01 14:09:00
2020-01-01,7℃,60%,61,2020-01-01 14:45:00
2020-01-01,7℃,61%,60,2020-01-01 15:45:00
2020-01-01,7℃,65%,62,2020-01-01 17:04:00
2020-01-01,7℃,72%,63,2020-01-01 18:10:00
2020-01-01,7℃,74%,66,2020-01-01 19:09:00
2020-01-01,7℃,75%,66,2020-01-01 19:57:00
2020-01-01,7℃,79%,67,2020-01-01 21:06:00
2020-01-01,7℃,84%,69,2020-01-01 21:48:00
2020-01-01,6℃,92%,69,2020-01-01 22:49:00
2020-01-02,5℃,99%,68,2020-01-02 00:08:00
2020-01-02,5℃,99%,68,2020-01-02 01:03:00
2020-01-02,5℃,93%,69,2020-01-02 01:57:00
2020-01-02,5℃,94%,74,2020-01-02 02:54:00
2020-01-02,5℃,94%,82,2020-01-02 03:51:00
2020-01-02,5℃,92%,77,2020-01-02 05:08:00
2020-01-02,5℃,91%,72,2020-01-02 05:50:00
2020-01-02,5℃,90%,74,2020-01-02 06:27:00
2020-01-02,5℃,88%,78,2020-01-02 07:50:00
2020-01-02,6℃,86%,82,2020-01-02 09:10:00
2020-01-02,6℃,88%,79,2020-01-02 10:10:00
2020-01-02,5℃,86%,77,2020-01-02 11:01:00
2020-01-02,5℃,85%,80,2020-01-02 12:04:00
2020-01-02,6℃,86%,82,2020-01-02 13:08:00
2020-01-02,5℃,89%,83,2020-01-02 13:46:00
2020-01-02,5℃,96%,85,2020-01-02 15:10:00
2020-01-02,5℃,98%,88,2020-01-02 16:07:00
2020-01-02,5℃,98%,94,2020-01-02 17:14:00
2020-01-02,5℃,98%,102,2020-01-02 18:04:00
2020-01-02,5℃,97%,102,2020-01-02 19:02:00
2020-01-02,5℃,96%,102,2020-01-02 19:52:00
2020-01-02,5℃,95%,102,2020-01-02 20:49:00
2020-01-02,5℃,93%,104,2020-01-02 22:04:00
2020-01-02,6℃,92%,104,2020-01-02 22:56:00
2020-01-03,6℃,92%,102,2020-01-03 01:08:00
2020-01-03,5℃,95%,104,2020-01-03 02:06:00
2020-01-03,5℃,98%,107,2020-01-03 03:00:00
2020-01-03,5℃,95%,112,2020-01-03 03:59:00
2020-01-03,5℃,93%,118,2020-01-03 05:05:00
2020-01-03,5℃,92%,114,2020-01-03 06:08:00
2020-01-03,5℃,93%,112,2020-01-03 07:05:00
2020-01-03,5℃,94%,114,2020-01-03 08:08:00
2020-01-03,6℃,94%,119,2020-01-03 09:01:00
2020-01-03,5℃,96%,117,2020-01-03 09:53:00
2020-01-03,6℃,94%,114,2020-01-03 10:46:00
2020-01-03,6℃,92%,112,2020-01-03 12:10:00
2020-01-03,6℃,92%,114,2020-01-03 12:47:00
2020-01-03,6℃,94%,119,2020-01-03 14:01:00
2020-01-03,6℃,95%,127,2020-01-03 14:50:00
2020-01-03,6℃,96%,132,2020-01-03 15:50:00
2020-01-03,6℃,97%,124,2020-01-03 17:05:00
2020-01-03,6℃,98%,117,2020-01-03 17:33:00
2020-01-03,6℃,98%,122,2020-01-03 18:53:00
2020-01-03,6℃,98%,125,2020-01-03 20:02:00
2020-01-03,5℃,99%,124,2020-01-03 21:08:00
2020-01-03,5℃,99%,122,2020-01-03 22:07:00
2020-01-03,5℃,99%,124,2020-01-03 22:55:00
2020-01-04,5℃,99%,127,2020-01-04 00:01:00
2020-01-04,6℃,99%,127,2020-01-04 01:07:00
2020-01-04,6℃,99%,124,2020-01-04 01:51:00
2020-01-04,6℃,99%,119,2020-01-04 03:01:00
2020-01-04,6℃,99%,115,2020-01-04 04:07:00
2020-01-04,6℃,99%,112,2020-01-04 04:50:00
2020-01-04,6℃,99%,112,2020-01-04 06:01:00
2020-01-04,6℃,99%,114,2020-01-04 07:01:00
2020-01-04,5℃,99%,112,2020-01-04 08:02:00
2020-01-04,6℃,99%,107,2020-01-04 09:04:00
2020-01-04,6℃,99%,108,2020-01-04 10:03:00
2020-01-04,7℃,98%,114,2020-01-04 11:09:00
2020-01-04,7℃,95%,117,2020-01-04 12:06:00
2020-01-04,7℃,96%,122,2020-01-04 12:50:00
2020-01-04,8℃,92%,114,2020-01-04 13:46:00
2020-01-04,7℃,94%,109,2020-01-04 15:05:00
2020-01-04,8℃,92%,114,2020-01-04 15:55:00
2020-01-04,7℃,95%,119,2020-01-04 17:02:00
2020-01-04,7℃,95%,120,2020-01-04 17:37:00
2020-01-04,7℃,97%,127,2020-01-04 18:58:00
2020-01-04,7℃,98%,137,2020-01-04 19:54:00
2020-01-04,7℃,99%,138,2020-01-04 21:03:00
2020-01-04,7℃,99%,138,2020-01-04 22:04:00
2020-01-04,7℃,99%,139,2020-01-04 22:56:00
2020-01-05,8℃,99%,127,2020-01-05 00:49:00
2020-01-05,8℃,97%,129,2020-01-05 01:55:00
2020-01-05,8℃,97%,123,2020-01-05 03:02:00
2020-01-05,8℃,99%,103,2020-01-05 04:03:00
2020-01-05,8℃,98%,85,2020-01-05 04:56:00
2020-01-05,8℃,96%,69,2020-01-05 05:55:00
2020-01-05,8℃,97%,58,2020-01-05 06:56:00
2020-01-05,8℃,96%,53,2020-01-05 07:56:00
2020-01-05,9℃,95%,52,2020-01-05 09:08:00
2020-01-05,9℃,94%,49,2020-01-05 09:57:00
2020-01-05,10℃,92%,51,2020-01-05 11:04:00
2020-01-05,10℃,92%,54,2020-01-05 12:07:00
2020-01-05,11℃,91%,54,2020-01-05 13:03:00
2020-01-05,11℃,90%,51,2020-01-05 14:05:00
2020-01-05,11℃,90%,57,2020-01-05 15:05:00
2020-01-05,11℃,91%,63,2020-01-05 15:49:00
2020-01-05,11℃,93%,64,2020-01-05 16:57:00
2020-01-05,11℃,94%,59,2020-01-05 18:02:00
2020-01-05,10℃,96%,59,2020-01-05 19:06:00
2020-01-05,10℃,97%,59,2020-01-05 20:06:00
2020-01-05,10℃,98%,56,2020-01-05 21:02:00
2020-01-05,10℃,96%,55,2020-01-05 22:05:00
2020-01-05,10℃,97%,56,2020-01-05 23:03:00
2020-01-06,9℃,97%,55,2020-01-06 00:10:00
2020-01-06,9℃,97%,54,2020-01-06 01:08:00
2020-01-06,9℃,98%,51,2020-01-06 02:02:00
2020-01-06,9℃,97%,48,2020-01-06 02:59:00
2020-01-06,8℃,98%,42,2020-01-06 04:02:00
2020-01-06,8℃,98%,34,2020-01-06 04:56:00
2020-01-06,8℃,97%,30,2020-01-06 06:00:00
2020-01-06,7℃,97%,28,2020-01-06 07:03:00
2020-01-06,7℃,96%,31,2020-01-06 07:58:00
2020-01-06,7℃,95%,28,2020-01-06 09:07:00
2020-01-06,7℃,95%,26,2020-01-06 10:09:00
2020-01-06,6℃,95%,25,2020-01-06 11:09:00
2020-01-06,6℃,97%,25,2020-01-06 11:57:00
2020-01-06,6℃,99%,29,2020-01-06 12:52:00
2020-01-06,5℃,98%,34,2020-01-06 13:59:00
2020-01-06,6℃,98%,32,2020-01-06 15:04:00
2020-01-06,6℃,97%,28,2020-01-06 15:45:00
2020-01-06,6℃,98%,26,2020-01-06 16:59:00
2020-01-06,5℃,99%,22,2020-01-06 17:51:00
2020-01-06,5℃,99%,24,2020-01-06 19:05:00
2020-01-06,5℃,97%,26,2020-01-06 19:54:00
2020-01-06,4℃,99%,33,2020-01-06 21:06:00
2020-01-06,4℃,99%,33,2020-01-06 22:07:00
2020-01-06,4℃,98%,32,2020-01-06 23:06:00
2020-01-07,4℃,97%,31,2020-01-07 00:01:00
2020-01-07,4℃,98%,30,2020-01-07 01:10:00
2020-01-07,4℃,98%,30,2020-01-07 02:03:00
2020-01-07,4℃,98%,29,2020-01-07 02:56:00
2020-01-07,3℃,98%,26,2020-01-07 03:45:00
2020-01-07,3℃,97%,23,2020-01-07 05:03:00
2020-01-07,4℃,99%,24,2020-01-07 06:00:00
2020-01-07,3℃,96%,22,2020-01-07 07:00:00
2020-01-07,3℃,96%,24,2020-01-07 07:47:00
2020-01-07,3℃,93%,24,2020-01-07 09:04:00
2020-01-07,3℃,94%,26,2020-01-07 10:05:00
2020-01-07,4℃,89%,26,2020-01-07 11:05:00
2020-01-07,4℃,88%,32,2020-01-07 12:06:00
2020-01-07,5℃,82%,36,2020-01-07 12:55:00
2020-01-07,5℃,80%,40,2020-01-07 13:50:00
2020-01-07,5℃,81%,36,2020-01-07 14:55:00
2020-01-07,5℃,81%,32,2020-01-07 15:51:00
2020-01-07,5℃,81%,36,2020-01-07 17:02:00
2020-01-07,5℃,79%,40,2020-01-07 18:02:00
2020-01-07,4℃,85%,40,2020-01-07 19:01:00
2020-01-07,3℃,91%,44,2020-01-07 20:08:00
2020-01-07,3℃,89%,46,2020-01-07 21:09:00
2020-01-07,2℃,89%,44,2020-01-07 22:07:00
2020-01-07,2℃,92%,46,2020-01-07 22:57:00
2020-01-08,2℃,93%,51,2020-01-08 00:00:00
2020-01-08,2℃,90%,55,2020-01-08 01:10:00
2020-01-08,2℃,91%,57,2020-01-08 01:57:00
2020-01-08,1℃,92%,62,2020-01-08 02:51:00
2020-01-08,1℃,93%,59,2020-01-08 04:02:00
2020-01-08,1℃,94%,56,2020-01-08 04:58:00
2020-01-08,0℃,97%,57,2020-01-08 05:58:00
2020-01-08,0℃,97%,62,2020-01-08 06:47:00
2020-01-08,0℃,98%,63,2020-01-08 07:59:00
2020-01-08,2℃,98%,62,2020-01-08 09:01:00
2020-01-08,3℃,91%,62,2020-01-08 10:02:00
2020-01-08,5℃,73%,64,2020-01-08 11:15:00
2020-01-08,6℃,71%,62,2020-01-08 11:59:00
2020-01-08,7℃,72%,58,2020-01-08 13:00:00
2020-01-08,8℃,63%,58,2020-01-08 13:58:00
2020-01-08,8℃,66%,54,2020-01-08 14:53:00
2020-01-08,6℃,76%,52,2020-01-08 15:54:00
2020-01-08,6℃,80%,54,2020-01-08 16:40:00
2020-01-08,5℃,76%,55,2020-01-08 18:03:00
2020-01-08,5℃,76%,55,2020-01-08 18:56:00
2020-01-08,5℃,83%,55,2020-01-08 20:06:00
2020-01-08,4℃,89%,57,2020-01-08 20:50:00
