日期,温度,湿度,aqi,更新日期
2020-01-01,4℃,46%,63,2020-01-01 00:57:00
2020-01-01,4℃,53%,62,2020-01-01 02:08:00
2020-01-01,4℃,53%,58,2020-01-01 03:00:00
2020-01-01,3℃,55%,54,2020-01-01 03:57:00
2020-01-01,3℃,55%,51,2020-01-01 05:10:00
2020-01-01,3℃,55%,50,2020-01-01 06:06:00
2020-01-01,3℃,60%,51,2020-01-01 07:07:00
2020-01-01,3℃,58%,52,2020-01-01 08:00:00
2020-01-01,4℃,58%,52,2020-01-01 09:10:00
2020-01-01,5℃,55%,54,2020-01-01 10:10:00
2020-01-01,6℃,55%,57,2020-01-01 11:05:00
2020-01-01,7℃,54%,59,2020-01-01 11:58:00
2020-01-01,6℃,58%,60,2020-01-01 13:04:00
2020-01-01,7℃,58%,60,2020-01-01 14:09:00
2020-01-01,7℃,58%,63,2020-01-01 14:45:00
2020-01-01,7℃,63%,66,2020-01-01 16:07:00
2020-01-01,7℃,66%,66,2020-01-01 17:04:00
2020-01-01,7℃,70%,68,2020-01-01 18:10:00
2020-01-01,6℃,74%,68,2020-01-01 19:10:00
2020-01-01,6℃,85%,70,2020-01-01 19:50:00
2020-01-01,5℃,92%,70,2020-01-01 21:06:00
2020-01-01,5℃,93%,69,2020-01-01 21:48:00
2020-01-01,6℃,95%,66,2020-01-01 22:51:00
2020-01-02,6℃,95%,62,2020-01-02 01:03:00
2020-01-02,6℃,96%,56,2020-01-02 01:58:00
2020-01-02,6℃,96%,55,2020-01-02 02:54:00
2020-01-02,6℃,96%,52,2020-01-02 03:51:00
2020-01-02,6℃,96%,51,2020-01-02 05:08:00
2020-01-02,6℃,96%,51,2020-01-02 06:02:00
2020-01-02,5℃,96%,53,2020-01-02 07:08:00
2020-01-02,5℃,96%,59,2020-01-02 07:50:00
2020-01-02,6℃,95%,66,2020-01-02 09:10:00
2020-01-02,6℃,95%,70,2020-01-02 10:10:00
2020-01-02,5℃,96%,76,2020-01-02 11:01:00
2020-01-02,5℃,96%,79,2020-01-02 12:04:00
2020-01-02,5℃,96%,78,2020-01-02 13:08:00
2020-01-02,5℃,96%,75,2020-01-02 13:46:00
2020-01-02,5℃,96%,75,2020-01-02 15:10:00
2020-01-02,5℃,96%,78,2020-01-02 16:07:00
2020-01-02,5℃,96%,89,2020-01-02 17:04:00
2020-01-02,5℃,96%,87,2020-01-02 18:08:00
2020-01-02,5℃,96%,98,2020-01-02 19:02:00
2020-01-02,5℃,96%,88,2020-01-02 20:08:00
2020-01-02,5℃,96%,89,2020-01-02 20:49:00
2020-01-02,5℃,96%,95,2020-01-02 22:04:00
2020-01-02,5℃,96%,95,2020-01-02 22:56:00
2020-01-03,5℃,97%,102,2020-01-03 01:08:00
2020-01-03,5℃,97%,93,2020-01-03 02:06:00
2020-01-03,5℃,97%,94,2020-01-03 03:12:00
2020-01-03,5℃,96%,102,2020-01-03 04:04:00
2020-01-03,5℃,96%,104,2020-01-03 05:02:00
2020-01-03,5℃,96%,104,2020-01-03 05:50:00
2020-01-03,5℃,96%,108,2020-01-03 07:05:00
2020-01-03,5℃,96%,109,2020-01-03 08:08:00
2020-01-03,5℃,94%,109,2020-01-03 09:06:00
2020-01-03,6℃,93%,110,2020-01-03 09:53:00
2020-01-03,6℃,91%,119,2020-01-03 11:08:00
2020-01-03,6℃,89%,124,2020-01-03 11:57:00
2020-01-03,6℃,87%,122,2020-01-03 12:58:00
2020-01-03,6℃,89%,124,2020-01-03 14:01:00
2020-01-03,6℃,93%,132,2020-01-03 14:56:00
2020-01-03,6℃,94%,142,2020-01-03 15:50:00
2020-01-03,6℃,95%,144,2020-01-03 16:59:00
2020-01-03,6℃,95%,130,2020-01-03 17:29:00
2020-01-03,6℃,95%,123,2020-01-03 18:53:00
2020-01-03,6℃,96%,120,2020-01-03 20:02:00
2020-01-03,6℃,96%,122,2020-01-03 21:08:00
2020-01-03,6℃,96%,120,2020-01-03 22:08:00
2020-01-03,6℃,96%,119,2020-01-03 22:55:00
2020-01-04,5℃,96%,110,2020-01-04 00:01:00
2020-01-04,5℃,96%,104,2020-01-04 01:07:00
2020-01-04,5℃,96%,103,2020-01-04 02:07:00
2020-01-04,6℃,96%,104,2020-01-04 03:01:00
2020-01-04,6℃,97%,109,2020-01-04 04:04:00
2020-01-04,6℃,97%,112,2020-01-04 04:50:00
2020-01-04,6℃,96%,108,2020-01-04 06:01:00
2020-01-04,6℃,96%,107,2020-01-04 06:58:00
2020-01-04,6℃,96%,107,2020-01-04 07:51:00
2020-01-04,6℃,96%,107,2020-01-04 09:09:00
2020-01-04,6℃,96%,112,2020-01-04 09:45:00
2020-01-04,7℃,92%,108,2020-01-04 11:09:00
2020-01-04,7℃,90%,100,2020-01-04 12:06:00
2020-01-04,8℃,86%,104,2020-01-04 12:59:00
2020-01-04,8℃,87%,104,2020-01-04 13:46:00
2020-01-04,8℃,85%,100,2020-01-04 14:51:00
2020-01-04,8℃,88%,99,2020-01-04 15:55:00
2020-01-04,8℃,90%,103,2020-01-04 17:02:00
2020-01-04,8℃,91%,103,2020-01-04 17:37:00
2020-01-04,8℃,91%,107,2020-01-04 18:51:00
2020-01-04,8℃,92%,113,2020-01-04 19:54:00
2020-01-04,8℃,91%,118,2020-01-04 21:03:00
2020-01-04,8℃,90%,118,2020-01-04 22:04:00
2020-01-04,9℃,90%,118,2020-01-04 22:56:00
2020-01-05,9℃,85%,97,2020-01-05 00:49:00
2020-01-05,9℃,86%,80,2020-01-05 02:03:00
2020-01-05,9℃,89%,60,2020-01-05 03:02:00
2020-01-05,9℃,90%,48,2020-01-05 04:04:00
2020-01-05,9℃,91%,36,2020-01-05 05:03:00
2020-01-05,9℃,91%,32,2020-01-05 05:55:00
2020-01-05,9℃,92%,36,2020-01-05 07:05:00
2020-01-05,9℃,93%,40,2020-01-05 07:56:00
2020-01-05,10℃,91%,44,2020-01-05 08:43:00
2020-01-05,11℃,84%,45,2020-01-05 09:57:00
2020-01-05,11℃,86%,45,2020-01-05 11:04:00
2020-01-05,11℃,85%,45,2020-01-05 11:49:00
2020-01-05,11℃,86%,47,2020-01-05 13:03:00
2020-01-05,11℃,85%,49,2020-01-05 14:05:00
2020-01-05,11℃,87%,52,2020-01-05 15:05:00
2020-01-05,11℃,88%,53,2020-01-05 15:50:00
2020-01-05,11℃,89%,54,2020-01-05 16:57:00
2020-01-05,10℃,91%,55,2020-01-05 18:02:00
2020-01-05,10℃,92%,55,2020-01-05 19:06:00
2020-01-05,10℃,92%,58,2020-01-05 19:42:00
2020-01-05,10℃,92%,62,2020-01-05 21:02:00
2020-01-05,10℃,93%,64,2020-01-05 22:05:00
2020-01-05,10℃,93%,62,2020-01-05 23:05:00
2020-01-06,10℃,94%,64,2020-01-06 01:07:00
2020-01-06,10℃,94%,64,2020-01-06 01:54:00
2020-01-06,9℃,94%,64,2020-01-06 03:07:00
2020-01-06,9℃,95%,62,2020-01-06 04:04:00
2020-01-06,9℃,96%,61,2020-01-06 05:14:00
2020-01-06,9℃,96%,63,2020-01-06 06:00:00
2020-01-06,8℃,96%,67,2020-01-06 07:03:00
2020-01-06,8℃,96%,69,2020-01-06 07:55:00
2020-01-06,8℃,96%,72,2020-01-06 09:07:00
2020-01-06,8℃,94%,73,2020-01-06 10:09:00
2020-01-06,8℃,93%,69,2020-01-06 11:09:00
2020-01-06,8℃,90%,69,2020-01-06 11:57:00
2020-01-06,7℃,91%,67,2020-01-06 12:52:00
2020-01-06,7℃,92%,65,2020-01-06 14:09:00
2020-01-06,6℃,93%,59,2020-01-06 15:04:00
2020-01-06,6℃,93%,51,2020-01-06 15:44:00
2020-01-06,6℃,92%,43,2020-01-06 16:59:00
2020-01-06,6℃,91%,31,2020-01-06 17:51:00
2020-01-06,6℃,92%,30,2020-01-06 19:05:00
2020-01-06,6℃,92%,38,2020-01-06 19:54:00
2020-01-06,5℃,95%,44,2020-01-06 21:03:00
2020-01-06,5℃,96%,40,2020-01-06 22:07:00
2020-01-06,4℃,96%,36,2020-01-06 23:06:00
2020-01-07,4℃,95%,31,2020-01-07 00:00:00
2020-01-07,4℃,94%,30,2020-01-07 00:56:00
2020-01-07,4℃,94%,30,2020-01-07 02:03:00
2020-01-07,4℃,92%,29,2020-01-07 02:56:00
2020-01-07,4℃,95%,28,2020-01-07 04:08:00
2020-01-07,4℃,94%,25,2020-01-07 05:03:00
2020-01-07,4℃,98%,21,2020-01-07 06:00:00
2020-01-07,4℃,95%,18,2020-01-07 07:06:00
2020-01-07,4℃,93%,18,2020-01-07 07:47:00
2020-01-07,4℃,93%,19,2020-01-07 09:04:00
2020-01-07,4℃,91%,19,2020-01-07 10:09:00
2020-01-07,4℃,87%,20,2020-01-07 11:09:00
2020-01-07,5℃,85%,19,2020-01-07 12:02:00
2020-01-07,6℃,77%,19,2020-01-07 13:08:00
2020-01-07,7℃,74%,18,2020-01-07 13:51:00
2020-01-07,7℃,71%,20,2020-01-07 14:55:00
2020-01-07,7℃,72%,23,2020-01-07 15:51:00
2020-01-07,7℃,71%,29,2020-01-07 16:56:00
2020-01-07,6℃,74%,33,2020-01-07 18:02:00
2020-01-07,6℃,75%,34,2020-01-07 19:01:00
2020-01-07,5℃,85%,38,2020-01-07 20:08:00
2020-01-07,5℃,87%,39,2020-01-07 21:05:00
2020-01-07,5℃,84%,40,2020-01-07 21:51:00
2020-01-07,4℃,78%,40,2020-01-07 22:57:00
2020-01-08,3℃,86%,42,2020-01-08 00:00:00
2020-01-08,3℃,89%,43,2020-01-08 01:10:00
2020-01-08,1℃,93%,46,2020-01-08 01:56:00
2020-01-08,1℃,95%,49,2020-01-08 03:04:00
2020-01-08,0℃,96%,52,2020-01-08 04:10:00
2020-01-08,0℃,96%,52,2020-01-08 04:58:00
2020-01-08,0℃,96%,55,2020-01-08 05:58:00
2020-01-08,0℃,97%,55,2020-01-08 07:07:00
2020-01-08,0℃,97%,55,2020-01-08 07:59:00
2020-01-08,2℃,96%,57,2020-01-08 09:01:00
2020-01-08,5℃,75%,58,2020-01-08 09:59:00
2020-01-08,8℃,64%,67,2020-01-08 11:15:00
