SgnYear	ProvinceCode	ProvinceName	GDP	GDP_Primary	GDP_Secondary	GDP_Tertiary	GDP_Industry	GDP_Construction	GDP_Transport	GDP_Wholesale	GDP_Hotels	GDP_Financial	GDP_RealEstate	GDP_Others	PrimaryRatio	SecondaryRatio	TertiaryRatio	GDP_PerCapita	RegGDPIdx	RegGDPIdx_Primary	RegGDPIdx_Secondary	RegGDPIdx_Tertiary
年度标识	省份编码	省份名称	地区生产总值	地区生产总值-第一产业	地区生产总值-第二产业	地区生产总值-第三产业	地区生产总值-工业	地区生产总值-建筑业	地区生产总值-交通运输仓储与邮电通信业	地区生产总值-批发和零售业	地区生产总值-住宿和餐饮业	地区生产总值-金融业	地区生产总值-房地产业	地区生产总值-其他服务业	第一产业占GDP的比重(%)	第二产业占GDP的比重(%)	第三产业占GDP的比重(%)	人均地区生产总值	地区生产总值指数(上年=100)	地区生产总值指数-第一产业(上年=100)	地区生产总值指数-第二产业(上年=100)	地区生产总值指数-第三产业(上年=100)
没有单位	没有单位	没有单位	亿元	亿元	亿元	亿元	亿元	亿元	亿元	亿元	亿元	亿元	亿元	亿元	没有单位	没有单位	没有单位	元	没有单位	没有单位	没有单位	没有单位
2005	500000	重庆市	3467.7200	463.4000	1259.1200	1347.9700	1023.3500	235.7700	218.9700	277.6800	66.5600	92.9800	143.8800	547.9000	15.1000	41.0000	43.9000	10982.0000	111.7000	104.5000	112.9000	112.3000
2001	110000	北京市	3710.5200	93.0800	1030.6000	1721.9700	816.2400	214.3600	218.5300	459.1100		487.5400	111.0300	978.4900	3.3000	36.2000	60.5000	25523.0000	111.7052	104.4904	109.4159	113.1000
1993	310000	上海市	1511.6100	37.8200	902.3800	579.0300	846.7100	55.6700	122.2400	160.7300		138.2900	26.5300	131.2400	2.5278	59.5610	37.9112	10729.0000	114.9000	97.3000	116.7000	113.7000
1998	310000	上海市	3688.2000	78.5000	1847.2000	1762.5000	1646.7000	200.5000	244.4200	442.6100		465.4500	512.2100	471.3300	2.1000	50.1000	47.8000	24513.0000	110.1000	102.2000	108.2000	114.8000
2000	500000	重庆市	1589.3400	283.0000	657.5100	648.8300	527.4800	130.0300	98.1900	191.0800		61.6100	51.9200	229.3300	17.8061	41.3700	40.8239	5157.3147	108.4874	101.5003	110.4898	109.4000
2002	310000	上海市	5741.0300	88.2400	2564.6900	2755.8300	2312.7700	251.9200	382.8200	660.4900		485.2500	373.6300	1029.1700	1.6300	47.4200	50.9500	40646.0000	111.3423	103.0000	112.1000	110.9000
1990	310000	上海市	744.6700	34.2400	505.6000	241.8200	469.8300	35.7700	62.4600	51.8400		68.6200	6.2000	52.7000				6107.0000	103.5000	104.3000	102.8000	105.3000
2006	120000	天津市	4462.7400	118.2300	2488.2900	1752.6300	2292.7300	195.5600	252.8600	468.1200	79.4100	186.8700	160.7200	604.6500	2.7000	57.1000	40.2000	41163.0000	114.7000	103.3000	117.7000	111.1000
2002	110000	北京市	4330.4000	98.0500	1116.5300	1998.1300	874.1500	242.3800	235.5600	509.6800		561.9100	163.1200	1220.2600	3.0500	34.7500	62.1900	28449.0000	111.5208	105.0000	108.5000	113.3000
2004	120000	天津市	3110.9700	102.2900	1560.1600	1269.4300	1436.7300	123.4300	285.0500	242.0700		129.7200	146.5100	466.0800	3.4889	53.2136	43.2975	31550.0000	115.8000	105.1375	119.8030	111.6892
1998	110000	北京市	2011.3100	86.5600	786.8500	1137.9000	610.6600	176.1900	154.4500	331.8400		307.3800	277.6400	528.0200	4.3000	39.1000	56.6000	19118.0000	109.8000	101.5000	109.6000	110.1000
1997	120000	天津市	1235.2800	74.5500	643.8800	521.9700	580.2100	63.6700	113.6300	137.2500		68.4000	34.2500	168.6000	6.0000	51.9000	42.1000	13796.0000	112.1000	107.7000	111.7000	113.4000
1999	500000	重庆市	1479.7100	284.2800	604.3900	591.0400	492.3900	112.0000	87.2200	177.6100		62.9000	40.6800	208.8200	19.2119	40.8452	39.9430	4826.1747	107.6000	100.4000	110.3272	108.0000
2003	310000	上海市	6694.2300	90.6400	3130.7200	3029.4500	2865.8500	264.8700	420.5300	731.3000		517.9700	463.9300	1119.2900	1.4501	50.0850	48.4000	46718.0000	112.3000	99.7961	116.1085	109.0000
2006	110000	北京市	8117.7800	98.0400	2191.4300	5580.8100	1821.8600	369.5700	458.2900	751.9100	219.6100	974.0600	559.8200	2617.1200	1.3000	27.8000	70.9000	50467.0000	113.0000	100.6000	110.5000	114.1000
1999	110000	北京市	2174.4600	87.4800	840.2300	1246.7500	649.3400	190.8900	167.5400	364.4600		356.8500	69.4500	618.5900	4.0231	38.7000	57.3361	19846.3013	110.2000	102.5078	112.0093	110.6000
1997	500000	重庆市	1350.1000	304.5100	563.4000	482.1900	477.1300	86.2700	72.4300	154.8500		61.8400	26.8600	157.0700	22.6000	41.7000	35.7000	4452.0000	111.0000	103.4000	112.4000	114.2000
1995	110000	北京市	1394.8900	72.1600	645.8100	789.7200	527.7600	118.0500	103.3200	221.9100		152.9200	22.4500	289.1200	4.7861	42.8344	52.3795	12690.0000	112.4000	91.7000	107.7000	120.5000
