AreaCode,AreaName,MedHospitals,DesigHospitals,FeverClinics
130500,邢台市,48,1,48
130600,保定市,55,2,55
130700,张家口市,45,1,45
130800,承德市,23,1,23
130900,沧州市,5,1,5
131000,廊坊市,26,1,26
131100,衡水市,14,1,14
140000,山西省,205,14,202
140100,太原市,34,1,34
140200,大同市,16,1,16
140300,阳泉市,11,1,11
140400,长治市,45,1,45
140500,晋城市,1,1,0
140600,朔州市,14,1,13
140700,晋中市,20,1,19
140800,运城市,15,3,15
140900,忻州市,15,1,15
141000,临汾市,21,1,21
141100,吕梁市,13,2,13
150000,内蒙古自治区,213,99,199
150100,呼和浩特市,18,7,17
150200,包头市,20,5,18
150300,乌海市,12,3,10
150400,赤峰市,35,12,33
150500,通辽市,12,10,12
150600,鄂尔多斯市,14,7,13
150700,呼伦贝尔市,30,14,30
150800,巴彦淖尔市,15,8,13
150900,乌兰察布市,19,13,15
152200,兴安盟,17,5,17
152500,锡林郭勒盟,12,11,12
152900,阿拉善盟,9,4,9
130100,石家庄市,55,3,55
130200,唐山市,49,1,49
210200,大连市,28,3,27
210300,鞍山市,20,1,19
210400,抚顺市,21,1,21
210500,本溪市,18,1,17
210600,丹东市,17,1,17
210800,营口市,21,1,20
210900,阜新市,10,2,9
211000,辽阳市,6,2,6
211100,盘锦市,6,2,6
211200,铁岭市,13,2,12
211300,朝阳市,14,2,14
211400,葫芦岛市,15,1,15
220381,公主岭市,11,1,11
220400,辽源市,6,3,3
220500,通化市,14,11,8
220600,白山市,13,6,9
220700,松原市,10,7,6
220800,白城市,8,7,4
222400,延边朝鲜族自治州,11,11,3
110000,北京市,106,20,101
120000,天津市,47,1,47
220100,长春市,22,8,14
220200,吉林市,23,7,16
230300,鸡西市,24,5,24
230400,鹤岗市,27,8,27
230500,双鸭山市,14,7,14
230100,哈尔滨市,63,24,63
230700,伊春市,24,9,24
230900,七台河市,7,2,7
231000,牡丹江市,29,7,29
231100,黑河市,15,7,15
231200,绥化市,42,11,42
320100,南京市,50,4,50
320200,无锡市,55,2,55
320300,徐州市,54,12,54
320400,常州市,26,2,26
320500,苏州市,73,2,73
320600,南通市,49,2,48
320700,连云港市,14,10,14
320900,盐城市,105,2,104
321000,扬州市,21,2,20
321100,镇江市,16,2,15
321200,泰州市,21,2,21
321300,宿迁市,160,1,160
330000,浙江省,323,90,308
330100,杭州市,48,8,46
330200,宁波市,49,9,45
330300,温州市,34,9,33
330400,嘉兴市,28,5,27
330500,湖州市,20,5,19
330600,绍兴市,26,7,25
330700,金华市,32,8,32
330800,衢州市,15,7,14
330900,舟山市,27,5,27
331000,台州市,25,11,24
331100,丽水市,19,16,16
340100,合肥市,29,10,28
340200,芜湖市,17,7,16
340300,蚌埠市,14,3,13
340400,淮南市,14,3,13
340500,马鞍山市,14,4,14
340600,淮北市,15,3,15
340700,铜陵市,9,3,9
310000,上海市,115,2,115
341000,黄山市,17,8,16
341300,宿州市,11,7,4
341500,六安市,14,4,11
341600,亳州市,11,5,11
341700,池州市,5,5,5
341800,宣城市,19,8,19
350200,厦门市,20,1,19
350300,莆田市,53,3,51
350400,三明市,143,10,143
350500,泉州市,34,8,33
350600,漳州市,126,14,125
350700,南平市,75,8,75
350800,龙岩市,47,7,46
350900,宁德市,65,7,64
360600,鹰潭市,10,3,10
360700,赣州市,48,21,46
360800,吉安市,42,14,41
360900,宜春市,32,10,32
361000,抚州市,22,12,22
361100,上饶市,57,13,55
370600,烟台市,65,14,65
370700,潍坊市,50,0,50
370800,济宁市,39,0,39
370900,泰安市,32,10,32
371000,威海市,21,5,20
371100,日照市,5,0,5
371300,临沂市,31,15,30
360100,南昌市,26,7,25
360200,景德镇市,17,3,16
360300,萍乡市,20,6,19
360400,九江市,21,10,21
370200,青岛市,48,13,40
370300,淄博市,72,12,65
371500,聊城市,33,0,33
371700,菏泽市,33,12,31
410100,郑州市,62,11,60
410200,开封市,27,6,27
410300,洛阳市,45,11,44
410400,平顶山市,25,7,25
410500,安阳市,28,6,28
410600,鹤壁市,13,4,13
410700,新乡市,33,13,31
410800,焦作市,29,6,29
410900,濮阳市,18,6,17
411000,许昌市,18,6,18
411100,漯河市,17,5,16
411200,三门峡市,12,5,11
411300,南阳市,40,19,38
411400,商丘市,32,11,30
411500,信阳市,31,9,31
429021,神农架林区,1,1,1
430000,湖南省,324,115,320
