Month	Valueaddmom	Fixassetinvestmom	Retailsalegrmom
统计月度	规模以上工业增加值环比增速(%)	固定资产投资(不含农户)环比增速(%)	社会消费品零售总额环比增速(%)
没有单位	没有单位	没有单位	没有单位
2011-02	.9300	-.2300	1.3500
2011-03	.9900	2.4500	1.2600
2011-04	1.3200	2.2200	1.3000
2011-05	.7900	1.6800	1.3900
2011-06	1.3000	1.4800	1.4900
2011-07	.8200	1.5800	1.5700
2011-08	.8500	1.6200	1.5000
2011-09	.9500	1.8800	1.3300
2011-10	.7100	1.4200	1.3600
2011-11	.6800	1.4300	1.2600
2011-12	.9400	1.5300	1.4100
2012-03	1.2500	1.1600	1.5600
2012-04	.3300	1.0000	1.1700
2012-05	.8900	1.0300	1.3600
2012-06	.8300	1.8900	1.4900
2012-07	.5900	1.3700	1.0300
2012-08	.6100	1.2000	1.1100
2012-09	.8900	1.9900	1.3200
2012-10	.7600	1.6000	1.1800
2012-11	.8600	1.4800	1.2100
2012-12	.9000	1.4700	1.2300
2013-03	.7200	1.4800	1.5000
2013-04	.8000	1.5700	.9900
2013-05	.7400	1.3200	.9500
2013-06	.6200	1.2800	1.0900
2013-07	.9000	1.6000	1.0800
2013-08	1.0900	1.5400	.9200
2013-09	.5400	1.1500	1.0200
2013-10	.8500	.5900	.9600
2013-11	.7300	1.5000	1.0000
2013-12	.5100	1.4500	.9400
2012-02		1.8400	
2013-02		1.5000	
2014-02		1.2200	
2014-03	.9200	1.0900	1.1000
2014-04	.5700	1.1600	.8100
2014-05	.5800	.9700	1.0100
2014-06	.5500	1.0400	.7900
2014-07	.7600	.9100	.9400
2014-08	.1300	.9200	.8000
2014-09	.9000	1.0100	.7900
2014-10	.4300	.9500	.9100
2014-11	.3500	.9400	.8700
2014-12	.7400	.9400	.9600
2015-02		.8600	
2015-03	.2800	.9200	.8600
2015-04	.5200	.8500	.7400
2015-05	.5100	.9800	.8100
2015-06	.7100	.9900	.9300
2015-07	.2000	.9700	.7900
2015-08	.5000	.9500	.8900
2015-09	.5200	.9700	.8300
2015-10	.4000	.9800	.8100
2015-11	.5800	.9100	.9100
2015-12	.4900	.9000	.8200
2016-02		.7100	
2016-03	.6200	.8200	.8500
2016-04	.4200	.6400	.7000
2016-05	.4500	.7300	.7600
2016-06	.5000	.6900	.9100
2016-07	.5100	.5700	.7900
2016-08	.5300	.7000	.8900
2016-09	.4500	.5800	.8400
2016-10	.4900	.6000	.7100
2016-11	.5400	.5700	.9900
2016-12	.4900	.5800	.5700
2017-02		.6100	
2017-03	.7900	.6100	.8500
2017-04	.4700	.5800	.7600
2017-05	.5000	.5600	.7900
2017-06	.8000	.5000	.9100
2017-07	.4100	.4600	.7700
2017-08	.4500	.4300	.8200
2017-09	.5500	.4000	.8300
2017-10	.5100	.4400	.8100
2017-11	.4500	.4300	.7900
2017-12	.5000	.4400	.5900
2018-03	.3800	.4400	.8500
2018-04	.6300	.4600	.7500
2018-05	.5100	.4300	.1500
2018-06	.3800	.4400	.7100
2018-07	.4400	.4400	.8800
2018-08	.5000	.4500	.6200
2018-09	.4700	.4500	.6500
2018-02		.4600	
2018-10	.4700	.4400	.7500
2018-11	.3700	.4300	.6000
2018-12	.5400	.4300	.7400
2019-02		.4400	
2019-03	.9500	.4300	.7900
2019-04	.3700	.4100	.4100
2019-05	.3600	.4000	.6600
2019-06	.6800	.4200	.9000
2019-07	.1900	.4100	.2100
2019-08	.3200	.3900	.6700
2019-09	.7200	.4100	.7100
2019-10	.1700	.4000	.4700
2019-11	.7800	.4200	.8000
2019-12	.5800		.5300
2020-02		-27.3800	
