SgnYear	GDP	GNP	GDP_Primary	GDP_Secondary	GDP_Tertiary	GDP_Industry	GDP_Construction	GDP_Transport	GDP_Wholesale	GDP_Hotels	GDP_PerCapita	GDP_Doller
年度标识	国内生产总值	国民生产总值	国内生产总值-第一产业	国内生产总值-第二产业	国内生产总值-第三产业	国内生产总值-工业	国内生产总值-建筑业	国内生产总值-交通运输仓储与邮电通信业	国内生产总值-批发和零售业	国内生产总值-住宿和餐饮业	人均国内生产总值	人均国内生产总值(美元)
没有单位	亿元	亿元	亿元	亿元	亿元	亿元	亿元	亿元	亿元	亿元	元	美元
1952	679.10	679.10	342.90	141.10	195.10	119.60	22.00	29.00	70.10	14.70	119.00	
1953	824.40	824.40	378.00	191.60	254.80	163.20	29.00	35.00	102.40	18.00	142.00	
1954	859.80	859.80	392.00	210.80	257.00	184.50	27.00	38.00	106.60	18.60	144.00	
1955	911.60	911.60	421.00	221.50	269.10	191.20	31.00	39.00	104.90	20.10	150.00	
1956	1030.70	1030.70	443.90	280.40	306.40	225.20	56.00	46.00	115.30	21.90	166.00	
1957	1071.40	1071.40	430.00	316.60	324.80	271.60	46.00	49.00	116.10	23.30	168.00	
1958	1312.30	1312.30	445.90	483.60	382.80	415.90	69.10	71.00	120.90	27.00	201.00	
1959	1447.50	1447.50	383.80	616.80	446.90	541.30	77.20	94.00	129.30	30.00	217.00	
1960	1470.10	1470.10	340.70	652.60	476.80	574.20	80.30	104.00	120.30	27.70	220.00	
1961	1232.30	1232.30	441.10	393.50	397.70	367.70	27.00	69.20	96.40	23.10	187.00	
1962	1162.20	1162.20	453.10	363.90	345.10	330.90	34.10	57.40	67.60	21.40	175.00	
1963	1248.30	1248.30	497.50	412.80	337.90	371.70	42.30	55.00	64.50	20.70	183.00	
1964	1469.90	1469.90	559.00	519.30	391.60	468.10	52.70	58.40	81.70	21.70	210.00	
1965	1734.00	1734.00	651.10	608.50	474.40	554.20	56.00	77.40	104.60	23.70	242.00	
1966	1888.70	1888.70	702.20	715.40	471.00	656.30	61.20	85.10	132.10	26.40	257.00	
1967	1794.20	1794.20	714.20	608.00	472.00	551.60	58.20	72.30	138.60	25.60	238.00	
1968	1744.10	1744.10	726.30	542.60	475.20	496.90	47.30	70.50	126.10	23.80	225.00	
1969	1962.20	1962.20	736.20	695.00	531.00	633.70	63.30	84.90	149.00	26.30	247.00	
1970	2279.70	2279.70	793.30	918.10	568.30	836.30	84.50	100.20	162.80	26.90	279.00	
1971	2456.90	2456.90	826.30	1029.90	600.60	936.30	96.60	108.40	162.50	28.20	292.00	
1972	2552.40	2552.40	827.40	1091.60	633.30	1000.10	94.80	123.00	176.60	30.70	296.00	
1973	2756.20	2756.20	907.50	1180.40	668.30	1082.90	101.00	131.00	192.00	32.60	313.00	
1974	2827.70	2827.70	945.20	1199.80	682.70	1094.40	108.90	132.20	188.20	33.40	314.00	
1975	3039.50	3039.50	971.20	1378.70	689.60	1256.60	126.10	148.40	160.20	31.20	332.00	
1976	2988.60	2988.60	967.10	1346.00	675.50	1216.80	133.10	147.10	134.40	30.00	321.00	
1977	3250.00	3250.00	942.20	1517.80	790.00	1385.00	137.30	165.20	195.10	37.50	344.00	
1978	3678.70	3678.70	1018.50	1755.20	905.10	1621.50	138.90	182.00	242.30	44.60	385.00	
1979	4100.50	4100.50	1259.00	1925.40	916.10	1786.50	144.60	193.70	200.90	44.00	423.00	
1980	4587.60	4587.60	1359.50	2204.70	1023.40	2014.90	196.30	213.40	193.80	47.40	468.00	
1981	4935.80	4933.70	1545.70	2269.10	1121.10	2067.70	208.00	220.80	231.10	54.10	497.00	
1982	5373.40	5380.50	1761.70	2397.70	1214.00	2183.00	221.60	246.90	171.40	62.30	533.00	
1983	6020.90	6043.80	1960.90	2663.00	1397.00	2399.10	271.70	275.00	198.70	72.50	588.00	
1984	7278.50	7314.20	2295.60	3124.80	1858.10	2815.90	317.90	338.60	363.50	96.80	702.00	
1985	9098.90	9123.60	2541.70	3886.50	2670.70	3478.30	419.30	421.80	802.40	138.30	866.00	
1986	10376.20	10375.40	2764.10	4515.20	3096.90	4000.80	527.30	499.00	852.60	163.20	973.00	
1987	12174.60	12166.60	3204.50	5274.00	3696.20	4621.30	667.50	568.50	1059.60	187.10	1123.00	
1988	15180.40	15174.40	3831.20	6607.40	4741.80	5814.10	811.80	685.90	1483.40	241.40	1378.00	
1989	17179.70	17188.40	4228.20	7300.90	5650.60	6525.70	796.10	812.90	1536.20	277.40	1536.00	
1990	18872.90	18923.30	5017.20	7744.30	6111.40	6904.70	861.70	1167.20	1268.90	301.90	1663.00	
1991	22005.60	22050.30	5288.80	9129.80	7587.00	8138.20	1017.70	1420.50	1834.60	442.30	1912.00	
1992	27194.50	27208.20	5800.30	11725.30	9668.90	10340.50	1417.90	1689.20	2405.00	584.60	2334.00	
1993	35673.20	35599.20	6887.60	16473.10	12312.60	14248.80	2269.90	2174.30	2816.60	712.10	3027.00	
1994	48637.50	48548.20	9471.80	22453.10	16712.50	19546.90	2968.80	2788.20	3773.40	1008.50	4081.00	473.39
1995	61339.90	60356.60	12020.50	28677.50	20641.90	25023.90	3733.70	3244.70	4778.60	1200.10	5091.00	609.96
1996	71813.60	70779.60	13878.30	33828.10	24107.20	29529.80	4393.00	3782.60	5599.70	1336.80	5898.00	709.51
1997	79715.00	78802.90	14265.20	37546.00	27903.80	33023.50	4628.30	4149.10	6327.40	1561.30	6481.00	781.81
1998	85195.50	83817.60	14618.70	39018.50	31558.30	34134.90	4993.00	4661.50	6913.20	1786.90	6860.00	828.61
1999	90564.40	89366.50	14549.00	41080.90	34934.50	36015.40	5180.90	5175.90	7491.10	1941.20	7229.00	873.25
2000	100280.10	99066.10	14717.40	45664.80	39897.90	40259.70	5534.00	6161.90	8158.60	2146.30	7942.00	959.37
2001	110863.10	109276.20	15502.50	49660.70	45700.00	43855.60	5945.50	6871.30	9119.40	2400.10	8717.00	1053.16
2002	121717.40	120480.40	16190.20	54105.50	51421.70	47776.30	6482.10	7494.30	9995.40	2724.80	9506.00	1148.49
2003	137422.00	136576.30	16970.20	62697.40	57754.40	55363.80	7510.80	7914.80	11169.50	3126.10	10666.00	1288.62
2004	161840.20	161415.40	20904.30	74286.90	66648.90	65776.80	8720.50	9306.50	12453.80	3664.80	12487.00	1508.68
2005	187318.90	185998.90	21806.70	88084.40	77427.80	77960.50	10400.50	10668.80	13966.20	4195.70	14368.00	1753.98
2006	219438.50	219028.50	23317.00	104361.80	91759.70	92238.40	12450.10	12186.30	16530.70	4792.60	16738.00	2099.66
2007	270092.30	270704.00	27674.10	126633.60	115784.60	111693.90	15348.00	14605.10	20937.80	5548.10	20494.00	2695.18
2008	319244.60	321229.50	32464.10	149956.60	136823.90	131727.60	18807.60	16367.60	26182.30	6616.10	24100.00	3470.00
2009	348517.70	347934.90	33583.80	160171.70	154762.20	138095.50	22681.50	16522.40	29001.50	6957.00	26180.00	3832.51
2010	412119.30	410354.10	38430.80	191629.80	182058.60	165126.40	27259.30	18783.60	35904.40	7712.00	30808.00	4551.00
2011	487940.20	483392.80	44781.40	227038.80	216120.00	195142.80	32926.50	21842.00	43730.50	8565.40	36302.00	5620.51
2012	538580.00	537329.00	49084.50	244643.30	244852.20	208905.60	36896.10	23763.20	49831.00	9536.90	39874.00	6316.62
2013	592963.20	588141.20	53028.10	261956.10	277979.10	222337.60	40896.80	26042.70	56284.10	10228.30	43684.00	7053.54
2014	641280.60	642097.60	55626.30	277571.80	308082.50	233856.40	44880.50	28500.90	62423.50	11158.50	47005.00	7651.96
2015	685992.90	683390.50	57774.60	282040.30	346178.00	236506.30	46626.70	30487.80	66186.70	12153.70	50028.00	8032.26
2016	740060.80	737074.00	60139.20	296547.70	383373.90	247877.70	49702.90	33058.80	71290.70	13358.10	53680.00	8081.58
2017	820754.30	820099.50	62099.50	332742.70	425912.10	278328.20	55313.80	37172.60	77658.20	14690.00	59201.00	8766.78
