num,city,population(2000),Latitude(DD),longitude(DD)
1,Mumbai,12622500,18.960,72.820
2,Dilli,10400900,28.670,77.210
3,Kolkata,4852800,22.570,88.360
4,Bengaluru,4547300,12.970,77.560
5,Chennai,4466900,13.090,80.270
6,Ahmadabad,3724300,23.030,72.580
7,Haidarabad,3654900,17.400,78.480
8,Pune,2691000,18.530,73.840
9,Kanpur,2682600,26.470,80.330
10,Surat,2578400,21.200,72.820
11,Jaipur,2462500,26.920,75.800
12,Lakhnau,2338500,26.850,80.920
13,Nagpur,2173200,21.160,79.080
14,Indore,1692400,22.720,75.860
15,Bhopal,1519100,23.240,77.400
16,Ludhiana,1478000,30.910,75.840
17,Patna,1458800,25.620,85.130
18,Vadodara,1383700,22.310,73.180
19,Thana,1336500,19.200,72.970
20,Agra,1334900,27.190,78.010
21,Kalyan,1264200,19.250,73.160
22,Varanasi,1166200,25.320,83.010
23,Nashik,1141000,20.010,73.780
24,Mirat,1138100,28.990,77.700
25,Faridabad,1117700,28.380,77.300
26,Haora,1068700,22.580,88.330
27,Pimpri,1066200,18.620,73.800
28,Allahabad,1049200,25.450,81.840
29,Amritsar,1033700,31.640,74.870
30,Visakhapatnam,1027200,17.730,83.300
31,Ghaziabad,1026100,28.660,77.410
32,Rajkot,1024100,22.310,70.790
33,Jabalpur,1008000,23.170,79.940
34,Koyampattur,977900,11.010,76.960
35,Madurai,977800,9.920,78.120
36,Srinagar,948100,34.090,74.790
37,Sholapur,924900,17.670,75.890
38,Aurangabad,924500,19.890,75.320
39,Ranchi,896800,23.360,85.330
40,Jodhpur,896700,26.290,73.020
41,Gwalior,876100,26.230,78.170
42,Vijayawada,874500,16.520,80.630
43,Chandigarh,856900,30.750,76.780
44,Guwahati,856000,26.190,91.750
45,Hubli,832700,15.360,75.130
46,Tiruchchirappalli,790400,10.810,78.690
47,Thiruvananthapuram,789000,8.510,76.950
48,Maisuru,786400,12.310,76.650
49,Navi mumbai,745800,19.110,73.060
50,Jalandhar,742900,31.330,75.570
51,Bareli,741400,28.360,79.410
52,Kota,737300,25.180,75.830
53,Selam,734400,11.670,78.160
54,Aligarh,707400,27.890,78.060
55,Bhubaneswar,685800,20.270,85.840
56,Moradabad,679400,28.840,78.760
57,Gorakhpur,661700,26.760,83.360
58,Raipur,641100,21.240,81.630
59,Bhiwandi,634300,19.300,73.050
60,Kochi,631900,10.020,76.220
61,Jamshedpur,604200,22.790,86.200
62,Bhilai,586800,21.210,81.380
63,Amravati,582000,20.950,77.760
64,Kataka,566900,20.470,85.880
65,Bikaner,560400,28.030,73.320
66,Warangal,560000,18.010,79.580
67,Mira bhayandar,551200,19.290,72.850
68,Guntur,545300,16.310,80.440
69,Bhavnagar,541300,21.790,72.130
70,Durgapur,522300,23.500,87.310
71,Asansol,515200,23.690,86.980
72,Ajmer,514000,26.450,74.640
73,Kolhapur,514000,16.700,74.220
74,Ulhasnagar,501100,19.230,73.150
75,Shiliguri,498200,26.730,88.420
76,Saharanpur,479800,29.970,77.540
77,Dehra dun,474400,30.340,78.050
78,Jamnagar,474300,22.470,70.070
79,Bhatpara,468200,22.890,88.420
80,Sangli-miraj,462600,16.860,74.570
81,Kozhikkod,462500,11.260,75.780
82,Nanded,456200,19.170,77.290
83,Ujjain,455500,23.190,75.780
84,Gulbarga,453400,17.340,76.820
85,Tirunelveli,435700,8.730,77.690
86,Malegaon,433500,20.560,74.520
87,Akola,423800,20.710,77.000
88,Belgaum,423400,15.860,74.500
89,Mangaluru,422400,12.880,74.840
90,Bokaro,417600,23.780,85.960
91,South dum dum,415500,22.610,88.410
92,Udaipur,412500,24.580,73.690
93,Maheshtala,412300,22.510,88.230
94,Gaya,406000,24.810,85.000
95,Jhansi,406000,25.450,78.560
96,Nellur,401500,14.460,79.980
97,Jammu,400900,32.710,74.850
98,Jalgaon,390500,21.010,75.560
99,Davanagere,385400,14.460,75.920
100,Kollam,382900,8.890,76.580
101,Panihati,369100,22.690,88.370
102,Tiruppur,367100,11.090,77.350
103,Dhule,361800,20.900,74.770
104,Bhagalpur,360600,25.260,86.980
105,Rajpur,356400,22.440,88.440
106,Thrissur,336300,10.520,76.210
107,Bellary,335800,15.140,76.910
108,Muzaffarnagar,335300,29.480,77.690
109,Korba,334500,22.350,82.690
110,Kamarhati,333000,22.670,88.370
111,Rajamahendri,332000,17.020,81.790
112,Ahmadnagar,325700,19.100,74.740
113,Muzaffarpur,323600,26.130,85.380
114,Patiala,320900,30.320,76.390
115,Ambattur,320500,13.110,80.170
116,Latur,317600,18.410,76.580
117,Mathura,316600,27.500,77.680
118,Shahjahanpur,315600,27.880,79.900
119,Chandrapur,315300,19.960,79.300
120,Ni dilli,312300,28.600,77.220
