num,city,population(2000),Latitude(DD),longitude(DD)
1,Rome,2618900,41.890,12.500
2,Milan,1212900,45.480,9.190
3,Naples,995000,40.850,14.270
4,Turin,865700,45.080,7.680
5,Palermopuntaraisi,671100,38.120,13.360
6,Genova,594900,44.420,8.930
7,Bologna,375800,44.500,11.340
8,Firenze,356100,43.780,11.240
9,Catania Sigonella,315100,37.500,15.080
10,Bari,310500,41.120,16.870
11,Venice,271800,45.430,12.330
12,Verona Villafranca,248600,45.440,10.990
13,Messina,243300,38.190,15.550
14,Trieste,207800,45.650,13.770
15,Padova,207600,45.410,11.870
16,Taranto,200100,40.480,17.240
17,Brescia,192700,45.550,10.220
18,Modena,178200,44.650,10.920
19,Reggio di calabria,176700,38.110,15.650
20,Prato,172300,43.890,11.090
21,Cagliari,163800,39.220,9.100
22,Parma,158600,44.810,10.320
23,Perugia,153200,43.110,12.390
24,Livorno,149800,43.550,10.300
25,Foggia,145200,41.470,15.550
26,Salerno,144300,40.680,14.770
27,Reggio nell'emilia,143600,44.710,10.630
28,Ravenna,140400,44.420,12.210
29,Ferrara,132500,44.840,11.610
30,Rimini,130300,44.060,12.570
31,Siracusa,124400,37.070,15.290
32,Monza,120100,45.580,9.270
33,Pescara,119100,42.460,14.210
34,Sassari,116900,40.730,8.560
35,Latina,115700,41.470,12.890
36,Bergamo,113500,45.700,9.670
37,ForlÃ,110100,44.220,12.030
38,Vicenza,108300,45.550,11.540
39,Terni,107200,42.570,12.650
40,Trento,105500,46.080,11.120
41,Novara,102900,45.450,8.620
42,Ancona,101000,43.600,13.500
43,Piacenza,96600,45.060,9.680
44,Udine,94000,46.070,13.240
45,Bolzano,93600,46.500,11.350
46,Arezzo,92600,43.470,11.870
47,Catanzaro,92100,38.900,16.600
48,Andria,91400,41.230,16.290
49,Giugliano in campania,91400,40.930,14.190
50,Brindisi,91100,40.640,17.930
51,Pesaro,90800,43.920,12.910
52,Cesena,90700,44.150,12.240
53,Torre del greco,90400,40.790,14.360
54,Barletta,90000,41.320,16.270
55,La spezia,89700,44.130,9.830
56,Pisa,86300,43.720,10.400
57,Pistoia,84900,43.940,10.910
58,Varese,84400,45.830,8.830
59,Alessandria,83000,44.920,8.610
60,Lecce,82700,40.360,18.160
61,Treviso,81500,45.670,12.240
62,Lucca,80700,43.850,10.500
63,Como,80300,45.810,9.080
64,Marsala,79200,37.810,12.430
65,Pozzuoli,78900,40.830,14.120
66,Busto arsizio,78100,45.620,8.840
67,Casoria,77700,40.900,14.280
68,Sesto san giovanni,77300,45.550,9.230
69,Caserta,75100,41.070,14.320
70,Gela,74500,37.080,14.210
71,Cinisello balsamo,74300,45.560,9.170
72,Guidonia,73000,42.020,12.680
73,Pavia,72900,45.200,9.150
74,Asti,71300,44.920,8.210
75,Cremona,71200,45.150,10.010
76,Cosenza,70700,39.290,16.260
77,Grosseto,70700,42.770,11.100
78,Ragusa,70300,36.930,14.730
79,Quartu sant'elena,69600,39.270,9.150
80,Lamezia terme,69500,38.950,16.290
81,Trapani,69400,38.030,12.520
82,Potenza,67200,40.660,15.790
83,Massa,66800,44.060,10.150
84,Castellammare di stabia,66500,40.700,14.480
85,Carrara,66300,44.070,10.070
86,L'aquila,65200,42.350,13.390
87,Imola,65000,44.360,11.700
88,Altamura,62600,40.840,16.550
89,Caltanissetta,62600,37.500,14.050
90,Carpi,62100,44.790,10.870
91,Benevento,61600,41.130,14.770
92,Molfetta,61100,41.210,16.590
93,Viterbo,61000,42.420,12.090
94,Aprilia,60100,41.600,12.650
95,Afragola,59300,40.930,14.300
96,Portici,59000,40.810,14.340
97,Savona,59000,44.320,8.460
98,Viareggio,58800,43.890,10.240
99,Fano,57700,43.850,13.010
100,Cerignola,56800,41.270,15.880
101,Manfredonia,56400,41.630,15.900
102,Aversa,56100,40.980,14.190
103,Vigevano,56100,45.330,8.850
104,Bitonto,56000,41.120,16.690
105,Vittoria,55900,36.960,14.530
106,Matera,55400,40.670,16.600
107,San severo,55300,41.690,15.380
108,Legnano,55200,45.610,8.910
109,Ercolano,54800,40.800,14.340
110,Agrigento,54400,37.310,13.580
111,Faenza,54200,44.290,11.870
112,Modica,53600,36.870,14.760
113,Moncalieri,53600,45.020,7.690
114,San giorgio a cremano,52900,40.830,14.330
115,Chioggia,52800,45.220,12.270
116,Avellino,52700,40.920,14.790
117,Cava de' tirreni,52500,40.710,14.690
118,Rho,52500,45.540,9.040
119,Velletri,52500,41.690,12.760
120,Cuneo,52300,44.390,7.540
