等级,城市,人口 (2000),纬度 (DD),经度 (DD)
1,Paris,2107700,48.860,2.340
2,Marseille,826300,43.310,5.370
3,Lyon,443600,45.760,4.830
4,Toulouse,417400,43.620,1.450
5,Nice,329800,43.700,7.270
6,Nantes,285700,47.230,-1.570
7,Strasbourg,274700,48.580,7.760
8,Montpellier,231900,43.610,3.870
9,Bordeaux,217400,44.840,-0.580
10,Rennes,214200,48.110,-1.680
11,Le Havre,189000,49.500,0.120
12,Reims,183900,49.250,4.030
13,Lille,180100,50.640,3.070
14,Saint-etienne,168600,45.430,4.390
15,Toulon,161600,43.130,5.920
16,Grenoble,156200,45.190,5.720
17,Angers,153800,47.480,-0.540
18,Brest,152000,48.390,-4.500
19,Lemans,149300,48.000,0.200
20,Dijon,146400,47.330,5.030
21,Aix-en-provence,139000,43.530,5.440
22,Clermont-ferrand,137300,45.780,3.080
23,Nimes,137200,43.840,4.350
24,Amiens,135800,49.900,2.300
25,Tours,133700,47.380,0.690
26,Limoges,131900,45.830,1.250
27,Metz,125300,49.120,6.180
28,Villeurbanne,121800,45.770,4.880
29,Besancon,118300,47.240,6.020
30,Caen,116800,49.190,-0.360
31,Orleans,112200,47.900,1.900
32,Mulhouse,111500,47.760,7.340
33,Perpignan,111400,42.700,2.890
34,Boulogne-billancourt,108500,48.830,2.240
35,Rouen,105100,49.440,1.080
36,Nancy,103100,48.690,6.170
37,Roubaix,95800,50.690,3.170
38,Tourcoing,92400,50.720,3.160
39,Argenteuil,90300,48.940,2.240
40,Avignon,87100,43.960,4.810
41,Montreuil,86600,48.860,2.430
42,Nanterre,86100,48.900,2.200
43,Poitiers,85900,46.580,0.340
44,Saint-denis,82000,48.940,2.360
45,Versailles,81200,48.810,2.140
46,Creteil,79700,48.790,2.450
47,Pau,79600,43.300,-0.390
48,La rochelle,79400,46.170,-1.180
49,Colombes,78400,48.930,2.250
50,Asnieres-sur-seine,77400,48.910,2.290
51,Calais,77200,50.950,1.860
52,Aulnay-sous-bois,76500,48.960,2.490
53,Vitry-sur-seine,76300,48.790,2.390
54,Rueil-malmaison,75000,48.890,2.170
55,Champigny-sur-marne,72000,48.820,2.510
56,Beziers,71200,43.350,3.210
57,Saint-maur-des-fosses,70900,48.800,2.490
58,Dunkerque,70400,51.040,2.340
59,Antibes,70100,43.600,7.120
60,Saint-nazaire,70000,47.280,-2.220
61,Courbevoie,69600,48.900,2.250
62,Bourges,69500,47.080,2.390
63,Colmar,65800,48.080,7.360
64,Valence,65400,44.940,4.890
65,Cannes,65200,43.560,7.020
66,Villeneuve-d'ascq,64500,50.620,3.140
67,Quimper,64200,47.990,-4.110
68,Merignac,62600,44.870,-0.650
69,Antony,61100,48.760,2.300
70,La seyne-sur-mer,61000,43.110,5.870
71,Aubervillers,60300,48.920,2.380
72,Troyes,60200,48.300,4.080
73,Lorient,60100,47.740,-3.370
74,Neuilly-sur-seine,59800,48.890,2.270
75,Drancy,59500,48.940,2.460
76,Saint-quentin,58100,49.850,3.280
77,Pessac,56700,44.800,-0.660
78,Chambery,56000,45.580,5.910
79,Venissieux,55900,45.690,4.860
80,Levallois-perret,55800,48.900,2.290
81,Sarcelles,55700,49.000,2.380
82,Niort,55700,46.320,-0.470
83,Noisy-le-grand,55600,48.850,2.550
84,Charleville-mezieres,55300,49.750,4.730
85,Cholet,55100,47.070,-0.880
86,Beauvais,53800,49.430,2.090
87,Issy-les-moulineaux,53800,48.830,2.260
88,Saint-malo,52600,48.660,-2.010
89,Vannes,52600,47.660,-2.760
90,Cergy,52500,49.040,2.070
91,Arles,52300,43.690,4.630
92,Hyeres,52100,43.130,6.120
93,Montauban,51800,44.020,1.350
94,Laval,51600,48.070,-0.780
95,La roche-sur-yon,50900,46.670,-1.440
96,Evreux,50800,49.030,1.140
97,Clichy,50600,48.910,2.300
98,Belfort,50000,47.650,6.850
99,Annecy,49800,45.910,6.120
100,Clamart,49600,48.800,2.260
101,Maisons-alfort,49600,48.810,2.440
102,Ivry-sur-seine,49400,48.820,2.380
103,Fontenay-sous-bois,49400,48.850,2.500
104,Blois,49200,47.590,1.320
105,Chalon-sur-saone,48700,46.790,4.840
106,Chateauroux,48500,46.810,1.700
107,Meaux,48100,48.960,2.880
108,Brive-la-gaillarde,47800,45.160,1.510
109,Pantin,47700,48.900,2.410
110,Sartrouville,47600,48.940,2.180
111,Frejus,47400,43.450,6.730
112,Narbonne,47000,43.190,2.900
113,Ajaccio,46800,41.930,8.730
114,Albi,46600,43.930,2.150
115,Saint-herblain,46500,47.210,-1.650
116,Chalons-en-champagne,46500,48.970,4.360
117,Evry,46400,48.640,2.440
118,Villejuif,46000,48.800,2.390
119,Tarbes,46000,43.240,0.080
120,Martigues,45000,43.410,5.040
