num,city,population(2000),Latitude(DD),longitude(DD)
1,Seoul,10165400,37.560,126.990
2,Pusan,3433100,35.110,129.030
3,Daegu,2358700,35.870,128.600
4,Incheon,2263200,37.480,126.640
5,Daejeon,1383600,36.330,127.430
6,Gwangju,1246700,35.160,126.910
7,Seongsan,1153800,37.440,127.150
8,Suncheon,1046800,37.480,126.770
9,Suwon,1014800,37.260,127.010
10,Ulsan,838100,35.550,129.310
11,Andong,793900,37.390,126.920
12,Gochang,696100,37.700,126.930
14,Jeonju,564600,35.830,127.140
15,Cheongju,526800,36.640,127.500
18,Masan,405700,35.220,128.580
20,Pohang,358000,36.030,129.370
22,Jinju,280000,35.190,128.080
24,Jeju,264200,33.510,126.520
