dep,date,Recovered,Deaths
01,2020-03-18,1,0
02,2020-03-18,18,11
03,2020-03-18,1,0
04,2020-03-18,2,0
05,2020-03-18,9,0
06,2020-03-18,47,2
07,2020-03-18,0,0
08,2020-03-18,1,0
09,2020-03-18,2,0
10,2020-03-18,0,0
11,2020-03-18,9,3
12,2020-03-18,1,0
13,2020-03-18,59,4
14,2020-03-18,0,0
15,2020-03-18,0,0
16,2020-03-18,0,0
17,2020-03-18,2,0
18,2020-03-18,0,0
19,2020-03-18,0,0
21,2020-03-18,4,0
22,2020-03-18,3,0
23,2020-03-18,0,0
24,2020-03-18,1,0
25,2020-03-18,8,1
26,2020-03-18,0,0
27,2020-03-18,0,0
28,2020-03-18,0,1
29,2020-03-18,3,0
2A,2020-03-18,0,0
2B,2020-03-18,0,0
30,2020-03-18,6,0
31,2020-03-18,11,0
32,2020-03-18,0,0
33,2020-03-18,3,1
34,2020-03-18,18,2
35,2020-03-18,0,0
36,2020-03-18,0,0
37,2020-03-18,0,0
38,2020-03-18,0,1
39,2020-03-18,1,0
40,2020-03-18,0,0
41,2020-03-18,0,0
42,2020-03-18,3,1
43,2020-03-18,5,0
44,2020-03-18,7,1
45,2020-03-18,0,0
46,2020-03-18,1,0
47,2020-03-18,1,0
48,2020-03-18,0,0
49,2020-03-18,26,0
50,2020-03-18,1,0
51,2020-03-18,6,1
52,2020-03-18,0,1
53,2020-03-18,2,0
54,2020-03-18,1,5
55,2020-03-18,0,0
56,2020-03-18,63,7
57,2020-03-18,11,16
58,2020-03-18,0,0
59,2020-03-18,16,3
60,2020-03-18,18,6
61,2020-03-18,2,0
62,2020-03-18,16,0
63,2020-03-18,3,0
64,2020-03-18,0,0
65,2020-03-18,0,0
66,2020-03-18,1,0
67,2020-03-18,4,15
68,2020-03-18,116,74
69,2020-03-18,10,0
70,2020-03-18,2,0
71,2020-03-18,4,5
72,2020-03-18,1,0
73,2020-03-18,3,0
74,2020-03-18,43,5
75,2020-03-18,40,14
76,2020-03-18,3,3
77,2020-03-18,10,0
78,2020-03-18,5,5
79,2020-03-18,2,0
80,2020-03-18,9,1
81,2020-03-18,2,0
82,2020-03-18,0,1
83,2020-03-18,78,0
84,2020-03-18,7,1
85,2020-03-18,0,0
86,2020-03-18,0,1
87,2020-03-18,2,0
88,2020-03-18,7,8
89,2020-03-18,1,0
90,2020-03-18,0,0
91,2020-03-18,0,1
92,2020-03-18,22,4
93,2020-03-18,15,5
94,2020-03-18,16,5
95,2020-03-18,21,2
971,2020-03-18,0,0
972,2020-03-18,0,1
973,2020-03-18,0,0
974,2020-03-18,0,0
976,2020-03-18,0,0
01,2020-03-19,1,0
02,2020-03-19,33,19
03,2020-03-19,7,0
04,2020-03-19,3,0
05,2020-03-19,10,0
06,2020-03-19,48,2
07,2020-03-19,0,0
08,2020-03-19,1,0
09,2020-03-19,2,0
10,2020-03-19,0,0
11,2020-03-19,8,6
12,2020-03-19,2,1
13,2020-03-19,97,4
14,2020-03-19,1,0
15,2020-03-19,0,0
16,2020-03-19,2,0
17,2020-03-19,2,0
18,2020-03-19,0,0
19,2020-03-19,0,0
21,2020-03-19,28,2
22,2020-03-19,3,0
23,2020-03-19,0,0
24,2020-03-19,1,0
25,2020-03-19,10,2
26,2020-03-19,2,0
27,2020-03-19,0,1
28,2020-03-19,0,1
29,2020-03-19,6,0
2A,2020-03-19,1,1
2B,2020-03-19,0,0
30,2020-03-19,7,1
31,2020-03-19,13,1
32,2020-03-19,0,0
33,2020-03-19,7,2
34,2020-03-19,21,4
35,2020-03-19,15,0
36,2020-03-19,0,0
37,2020-03-19,0,0
38,2020-03-19,3,1
39,2020-03-19,1,0
40,2020-03-19,0,0
41,2020-03-19,1,0
42,2020-03-19,8,3
43,2020-03-19,5,0
44,2020-03-19,9,1
45,2020-03-19,0,0
46,2020-03-19,1,0
47,2020-03-19,1,0
48,2020-03-19,0,0
49,2020-03-19,28,0
50,2020-03-19,2,0
51,2020-03-19,14,2
52,2020-03-19,0,1
53,2020-03-19,3,0
54,2020-03-19,1,6
55,2020-03-19,4,0
56,2020-03-19,53,9
57,2020-03-19,15,19
58,2020-03-19,0,0
59,2020-03-19,36,5
60,2020-03-19,23,14
61,2020-03-19,3,0
62,2020-03-19,25,0
63,2020-03-19,4,0
64,2020-03-19,1,0
65,2020-03-19,0,0
66,2020-03-19,3,3
67,2020-03-19,13,18
68,2020-03-19,131,91
69,2020-03-19,48,12
70,2020-03-19,3,0
71,2020-03-19,7,5
72,2020-03-19,5,0
73,2020-03-19,5,0
74,2020-03-19,49,6
75,2020-03-19,62,22
76,2020-03-19,3,4
77,2020-03-19,15,0
78,2020-03-19,7,6
79,2020-03-19,3,0
80,2020-03-19,12,2
81,2020-03-19,2,0
82,2020-03-19,0,1
83,2020-03-19,86,2
84,2020-03-19,9,1
85,2020-03-19,5,0
86,2020-03-19,0,1
87,2020-03-19,2,0
88,2020-03-19,8,11
89,2020-03-19,1,2
90,2020-03-19,0,3
91,2020-03-19,4,1
92,2020-03-19,31,7
93,2020-03-19,21,5
94,2020-03-19,41,10
95,2020-03-19,32,5
971,2020-03-19,0,0
972,2020-03-19,0,1
973,2020-03-19,0,0
974,2020-03-19,0,0
976,2020-03-19,0,0
01,2020-03-20,1,0
02,2020-03-20,40,24
03,2020-03-20,10,0
04,2020-03-20,3,0
05,2020-03-20,10,0
06,2020-03-20,61,4
07,2020-03-20,3,1
08,2020-03-20,1,0
09,2020-03-20,2,0
10,2020-03-20,0,0
11,2020-03-20,13,8
12,2020-03-20,3,1
13,2020-03-20,108,4
14,2020-03-20,3,1
15,2020-03-20,0,0
16,2020-03-20,2,0
17,2020-03-20,2,0
18,2020-03-20,0,0
19,2020-03-20,0,0
21,2020-03-20,37,3
22,2020-03-20,3,1
23,2020-03-20,0,0
24,2020-03-20,2,0
25,2020-03-20,13,4
26,2020-03-20,2,2
27,2020-03-20,0,1
28,2020-03-20,0,1
29,2020-03-20,6,1
2A,2020-03-20,10,3
2B,2020-03-20,23,0
30,2020-03-20,7,1
31,2020-03-20,16,2
32,2020-03-20,0,0
33,2020-03-20,12,2
34,2020-03-20,24,4
35,2020-03-20,17,1
36,2020-03-20,0,0
37,2020-03-20,0,1
38,2020-03-20,10,1
39,2020-03-20,2,0
40,2020-03-20,0,0
41,2020-03-20,0,0
42,2020-03-20,9,4
43,2020-03-20,6,0
44,2020-03-20,11,1
45,2020-03-20,2,0
46,2020-03-20,2,0
47,2020-03-20,1,0
48,2020-03-20,0,0
49,2020-03-20,38,0
50,2020-03-20,2,0
51,2020-03-20,26,2
52,2020-03-20,5,4
53,2020-03-20,3,0
54,2020-03-20,2,7
55,2020-03-20,6,0
56,2020-03-20,29,9
57,2020-03-20,24,23
58,2020-03-20,0,0
59,2020-03-20,35,5
60,2020-03-20,30,18
61,2020-03-20,4,0
62,2020-03-20,35,1
63,2020-03-20,9,0
64,2020-03-20,2,1
65,2020-03-20,0,0
66,2020-03-20,3,4
67,2020-03-20,42,28
68,2020-03-20,170,105
69,2020-03-20,68,19
70,2020-03-20,5,0
71,2020-03-20,10,8
72,2020-03-20,5,0
73,2020-03-20,8,0
74,2020-03-20,53,6
75,2020-03-20,98,30
76,2020-03-20,5,5
77,2020-03-20,21,2
78,2020-03-20,16,12
79,2020-03-20,8,0
80,2020-03-20,16,3
81,2020-03-20,3,0
82,2020-03-20,0,1
83,2020-03-20,88,2
84,2020-03-20,10,1
85,2020-03-20,5,0
86,2020-03-20,0,1
87,2020-03-20,2,0
88,2020-03-20,8,14
89,2020-03-20,1,2
90,2020-03-20,0,5
91,2020-03-20,7,3
92,2020-03-20,50,11
93,2020-03-20,35,19
94,2020-03-20,67,12
95,2020-03-20,56,10
971,2020-03-20,0,0
972,2020-03-20,0,1
973,2020-03-20,0,0
974,2020-03-20,0,0
976,2020-03-20,0,0
01,2020-03-21,1,0
02,2020-03-21,49,25
03,2020-03-21,10,0
04,2020-03-21,3,0
05,2020-03-21,10,0
06,2020-03-21,61,6
07,2020-03-21,3,1
08,2020-03-21,1,0
09,2020-03-21,3,0
10,2020-03-21,0,0
11,2020-03-21,13,9
12,2020-03-21,4,1
13,2020-03-21,128,4
14,2020-03-21,3,1
15,2020-03-21,0,0
16,2020-03-21,2,0
17,2020-03-21,2,0
18,2020-03-21,0,0
19,2020-03-21,0,0
21,2020-03-21,45,3
22,2020-03-21,3,1
23,2020-03-21,0,0
24,2020-03-21,2,0
25,2020-03-21,19,6
26,2020-03-21,2,2
27,2020-03-21,0,0
28,2020-03-21,1,1
29,2020-03-21,6,1
2A,2020-03-21,12,4
2B,2020-03-21,23,0
30,2020-03-21,11,1
31,2020-03-21,17,2
32,2020-03-21,0,0
33,2020-03-21,12,2
34,2020-03-21,33,4
35,2020-03-21,18,1
36,2020-03-21,0,0
37,2020-03-21,1,1
38,2020-03-21,13,1
39,2020-03-21,2,0
40,2020-03-21,0,0
41,2020-03-21,0,0
42,2020-03-21,12,6
43,2020-03-21,6,0
44,2020-03-21,12,1
45,2020-03-21,3,0
46,2020-03-21,5,0
47,2020-03-21,1,0
48,2020-03-21,0,0
49,2020-03-21,35,2
50,2020-03-21,2,0
51,2020-03-21,27,2
52,2020-03-21,5,4
53,2020-03-21,3,0
54,2020-03-21,2,9
55,2020-03-21,7,1
56,2020-03-21,28,12
57,2020-03-21,34,25
58,2020-03-21,0,0
59,2020-03-21,17,5
60,2020-03-21,43,18
61,2020-03-21,3,0
62,2020-03-21,27,1
63,2020-03-21,10,0
64,2020-03-21,2,1
65,2020-03-21,0,0
66,2020-03-21,3,5
67,2020-03-21,51,31
68,2020-03-21,196,121
69,2020-03-21,71,21
70,2020-03-21,5,0
71,2020-03-21,14,10
72,2020-03-21,5,0
73,2020-03-21,8,0
74,2020-03-21,56,7
75,2020-03-21,122,36
76,2020-03-21,6,5
77,2020-03-21,21,3
78,2020-03-21,30,14
79,2020-03-21,8,0
80,2020-03-21,21,7
81,2020-03-21,3,1
82,2020-03-21,0,1
83,2020-03-21,98,2
84,2020-03-21,10,1
85,2020-03-21,7,0
86,2020-03-21,1,1
87,2020-03-21,2,1
88,2020-03-21,8,16
89,2020-03-21,1,2
90,2020-03-21,2,6
91,2020-03-21,8,5
92,2020-03-21,71,17
93,2020-03-21,37,20
94,2020-03-21,79,13
95,2020-03-21,70,14
971,2020-03-21,0,0
972,2020-03-21,0,1
973,2020-03-21,0,0
974,2020-03-21,0,0
976,2020-03-21,0,0
01,2020-03-22,2,0
02,2020-03-22,55,28
03,2020-03-22,10,0
04,2020-03-22,3,0
05,2020-03-22,11,0
06,2020-03-22,63,7
07,2020-03-22,3,1
08,2020-03-22,1,0
09,2020-03-22,3,0
10,2020-03-22,0,0
11,2020-03-22,13,9
12,2020-03-22,4,1
13,2020-03-22,133,4
14,2020-03-22,3,1
15,2020-03-22,0,0
16,2020-03-22,2,1
17,2020-03-22,5,0
18,2020-03-22,0,0
19,2020-03-22,0,1
21,2020-03-22,73,4
22,2020-03-22,3,1
