,Andaman and Nicobar Islands,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Delhi,Dadra and Nagar Haveli and Daman and Diu,Goa,Gujarat,Himachal Pradesh,Haryana,Jharkhand,Jammu and Kashmir,Karnataka,Kerala,Ladakh,Lakshadweep,Maharashtra,Meghalaya,Manipur,Madhya Pradesh,Mizoram,Nagaland,Odisha,Punjab,Puducherry,Rajasthan,Sikkim,Telangana,Tamil Nadu,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
Andaman and Nicobar Islands,inf,0.005729404131468796,0.003357970025140983,0.004822606660308946,0.004121916030123745,0.0016336321482678785,0.004638948662032686,0.0019290834634501984,0.0021883562481060923,0.0026334745832401786,0.0018527523581280722,0.0016251433943845531,0.0017717311475815981,0.005342159581665006,0.0012069148839662883,0.004248698676648977,0.0036944192775386405,0.001321692965889935,0.0024178583599301583,0.0022100477704885546,0.005369661978849494,0.006120293441325602,0.0027237159545937797,0.007302455411656528,0.005302644168016352,0.0081872548599735,0.0013809922806656664,0.005774264218319152,0.0019487082330090911,0.003910437115554365,0.00422659699079247,0.00635193553121671,0.007357941156249415,0.002741855906946351,0.001802563437738635,0.007572333925265431
Andhra Pradesh,0.005729404131468796,inf,0.002557900926746947,0.0046852079523458925,0.010019801331787901,0.00481973473934378,0.04588751922801774,0.006664222318776436,0.014943131373226852,0.020491056698794845,0.009418230442964418,0.004540154575373915,0.005737630394679313,0.014864358713363699,0.0029422954255385676,0.03970343440266065,0.012044521658928576,0.0031416351742349917,0.009715618219652214,0.015234386056831757,0.004967768669771344,0.004222262284923348,0.018897112366274088,0.005193876556658038,0.003766312398032275,0.025547601338265134,0.003915692662263698,0.0384878611979932,0.00815457831705127,0.005555250078526242,0.21130311050856876,0.07989097757636031,0.006196125540393538,0.010164996391731228,0.005238776683198254,0.010547114922144685
Arunachal Pradesh,0.003357970025140983,0.002557900926746947,inf,0.036486791890795865,0.007715167258113971,0.002595620734107058,0.0036914331338711733,0.0028057383791829627,0.0016619823748830014,0.001458380777498319,0.0017008283193793241,0.002750431324015447,0.0026447054697042146,0.00681262312027977,0.00202736990733245,0.0016457603047084393,0.0012610332559967697,0.002442872343176623,0.0011172441134301397,0.001527345989005694,0.03204912695293762,0.04267096698982521,0.002622660672572204,0.024882988988431397,0.06913669970986078,0.005465187526050502,0.002071951336294447,0.0017684693786821327,0.0023500986188334117,0.017358128285524813,0.0022469309832544387,0.0020214219871662435,0.019050384800627658,0.0040944437832827665,0.0030685929517525333,0.009918259851624025
Assam,0.004822606660308946,0.0046852079523458925,0.036486791890795865,inf,0.024561575870707945,0.004103242505324985,0.007929654449448058,0.004752885595667274,0.00266263791798756,0.0022779785309635387,0.002690601540477007,0.004330682234025738,0.004323875576156423,0.021060612442609882,0.0028407339661162953,0.0026185242259315093,0.001858058455262226,0.003491989550570471,0.0016326781178356052,0.0024049827394388816,1.7624250969333772,0.1426106301963748,0.004771019681410395,0.12557450335283896,0.13720808978897397,0.014146972901473423,0.0030767327928334282,0.0028235626301485917,0.003922873175079402,0.10433839026731492,0.003969065106559481,0.0033638320775026946,0.12690033247887128,0.008374192413819112,0.005069528584536929,0.04071644659427288
Bihar,0.004121916030123745,0.010019801331787901,0.007715167258113971,0.024561575870707945,inf,0.009937503043360298,0.03136713665093075,0.013724707080439129,0.005753865734693854,0.004229594216960416,0.00600378118138803,0.010341635943389871,0.011385475776261726,0.21404109589041098,0.005297595050774798,0.004462044731998437,0.0027435790647358438,0.006721274783860604,0.0025742450897562035,0.00486882888111391,0.024337413906398334,0.013854848296338616,0.015081682391834161,0.01749444551354944,0.012483864604998072,0.03664547336790222,0.006470410489311844,0.004498415433163667,0.010650761529449345,0.06556775115727118,0.008856729121368189,0.005675819872180537,0.024602787987934784,0.044937155388189653,0.013587510360476644,0.053217248774672925
Chandigarh,0.0016336321482678785,0.00481973473934378,0.002595620734107058,0.004103242505324985,0.009937503043360298,inf,0.009026557938767447,0.2149890355591862,0.008484952361234971,0.004195626981909296,0.014272257585704901,1.3003901170351213,0.6664445184938367,0.00777420596203855,0.058962264150943446,0.0031240842528033976,0.0020381854035352327,0.07934366916863701,0.0023740444767736553,0.006367248909131082,0.0039538866112305395,0.003049416402688855,0.018637765704647338,0.0032909708594403286,0.00298273740725551,0.0053354675203414696,0.17001020061203612,0.0027321433938138806,0.06132222992156893,0.006370542610966895,0.00561542850211814,0.003159317094654088,0.0037505874357571228,0.031087374173852975,0.4006249749609379,0.004905938442246802
Chhattisgarh,0.004638948662032686,0.04588751922801774,0.0036914331338711733,0.007929654449448058,0.03136713665093075,0.009026557938767447,inf,0.014147233084153417,0.014081076019505137,0.010395010395010403,0.011845393918574766,0.008567159678148948,0.011300954591634358,0.05297367737970986,0.004663826707123811,0.011161312213154284,0.005319100837917954,0.005285579880968743,0.005055098041098962,0.011718754577638529,0.008287578990987251,0.0062570939803001675,0.04777625424611469,0.007849755676354557,0.005580864777320707,0.05575752168967582,0.006441431286031757,0.01049199041451756,0.015716721806165682,0.011309696820957327,0.04026380847311596,0.014950342437593541,0.009988164025629609,0.033972930369081944,0.010717412902264705,0.02073587472213926
Delhi,0.0019290834634501984,0.006664222318776436,0.0028057383791829627,0.004752885595667274,0.013724707080439129,0.2149890355591862,0.014147233084153417,inf,0.011771006833069475,0.0054095107854826045,0.019941849566663596,0.1412988187418753,0.9975062344139594,0.010881428339809594,0.02560727656370835,0.003995007838205379,0.0024731973421042806,0.03147663174858983,0.0028660152214068416,0.008455765775288027,0.004620309865701454,0.0035059056981485348,0.03653301671385519,0.0038701832183437373,0.0033826649920219876,0.007257568192110735,0.05824179664294271,0.0034583503945286144,0.1616422856219189,0.007570888118172488,0.007930754992013732,0.0040838979662596525,0.004498625894720456,0.06591957811469992,0.24800972198110147,0.00626998557903317
Dadra and Nagar Haveli and Daman and Diu,0.0021883562481060923,0.014943131373226852,0.0016619823748830014,0.00266263791798756,0.005753865734693854,0.008484952361234971,0.014081076019505137,0.011771006833069475,inf,0.0419116753353982,0.10892178326743562,0.007377999248919683,0.010525230028902287,0.006333178381568933,0.005126530461587679,0.013122446863932036,0.006521744801517224,0.004908560873763105,0.0103260981805415,0.35587188612099585,0.0027039976983571604,0.0022651980632556585,0.03663943135602539,0.002578018576170652,0.0021232269992942417,0.006410252301120326,0.007923371489649307,0.008614741027962593,0.021378027663167803,0.0034284711213020554,0.02742483538242561,0.009807671560694774,0.0029505557666842123,0.010320290206560606,0.00793638196219108,0.004235556223832208
Goa,0.0026334745832401786,0.020491056698794845,0.001458380777498319,0.0022779785309635387,0.004229594216960416,0.004195626981909296,0.010395010395010403,0.0054095107854826045,0.0419116753353982,inf,0.016000768036865776,0.0038264681392956865,0.004913249215231269,0.005013584306678945,0.002836852070079325,0.045158959537572194,0.01711598992895154,0.0027879227187822355,0.03864211604227448,0.08614971096771988,0.0023480654875464475,0.002052288198727172,0.013119003795327796,0.002355132835379746,0.0019042725973840257,0.005965889430591649,0.0038840230710970435,0.020004961230385136,0.007685633015634882,0.0027121225640732195,0.037496719037084174,0.020126839341530287,0.0026629562809152565,0.005714233469865416,0.004123185952800241,0.003756009615384616
