date,Confirmed,Deaths,Recovered,CurrentConfirmed
01/30/2020,1,0,0,1
01/31/2020,1,0,0,1
02/01/2020,1,0,0,1
02/02/2020,2,0,0,2
02/03/2020,3,0,0,3
02/04/2020,3,0,0,3
02/05/2020,3,0,0,3
02/06/2020,3,0,0,3
02/07/2020,3,0,0,3
02/08/2020,3,0,0,3
02/09/2020,3,0,0,3
02/10/2020,3,0,0,3
02/11/2020,3,0,0,3
02/12/2020,3,0,0,3
02/13/2020,3,0,1,2
02/14/2020,3,0,1,2
02/15/2020,3,0,1,2
02/16/2020,3,0,2,1
02/17/2020,3,0,2,1
02/18/2020,3,0,2,1
02/19/2020,3,0,2,1
02/20/2020,3,0,3,0
02/21/2020,3,0,3,0
02/22/2020,3,0,3,0
02/23/2020,3,0,3,0
02/24/2020,3,0,3,0
02/25/2020,3,0,3,0
02/26/2020,3,0,3,0
02/27/2020,3,0,3,0
02/28/2020,3,0,3,0
02/29/2020,3,0,3,0
03/01/2020,3,0,3,0
03/02/2020,5,0,3,2
03/03/2020,6,0,3,3
03/04/2020,28,0,3,25
03/05/2020,30,0,3,27
03/06/2020,31,0,3,28
03/07/2020,34,0,3,31
03/08/2020,39,0,3,36
03/09/2020,48,0,3,45
03/10/2020,63,0,4,59
03/11/2020,71,0,4,67
03/12/2020,81,1,4,76
03/13/2020,91,1,10,80
03/14/2020,102,2,10,90
03/15/2020,112,2,13,97
03/16/2020,126,2,14,110
03/17/2020,146,3,15,128
03/18/2020,171,3,15,153
03/19/2020,198,4,20,174
03/20/2020,256,4,23,229
03/21/2020,334,4,23,307
03/22/2020,403,7,23,373
03/23/2020,497,9,25,463
03/24/2020,571,10,40,521
03/25/2020,657,11,43,603
03/26/2020,730,16,50,664
03/27/2020,883,19,75,789
03/28/2020,1019,24,85,910
03/29/2020,1139,27,102,1010
03/30/2020,1326,41,137,1148
03/31/2020,1635,47,150,1438
04/01/2020,2059,53,169,1837
04/02/2020,2545,69,191,2285
04/03/2020,3105,83,230,2792
04/04/2020,3684,96,286,3302
04/05/2020,4293,118,329,3846
04/06/2020,4777,134,394,4249
04/07/2020,5350,161,469,4720
04/08/2020,5915,181,565,5169
04/09/2020,6728,227,635,5866
04/10/2020,7599,249,786,6564
04/11/2020,8453,290,972,7191
04/12/2020,9211,332,1086,7793
04/13/2020,10454,359,1198,8897
04/14/2020,11485,396,1365,9724
04/15/2020,12371,423,1509,10439
04/16/2020,13432,449,1767,11216
04/17/2020,14354,487,2040,11827
04/18/2020,15725,522,2466,12737
04/19/2020,17305,560,2854,13891
04/20/2020,18544,593,3273,14678
04/21/2020,20081,646,3976,15459
04/22/2020,21373,682,4370,16321
04/23/2020,23040,722,5012,17306
04/24/2020,24448,781,5496,18171
04/25/2020,26283,825,5938,19520
04/26/2020,27890,881,6523,20486
04/27/2020,29458,939,7103,21416
04/28/2020,31360,1008,7739,22613
04/29/2020,33065,1079,8429,23557
04/30/2020,34866,1154,9059,24653
05/01/2020,37262,1231,10021,26010
05/02/2020,39826,1323,10852,27651
05/03/2020,42778,1463,11763,29552
05/04/2020,46434,1566,12845,32023
05/05/2020,49405,1694,14140,33571
05/06/2020,53007,1785,15301,35921
05/07/2020,56351,1889,16776,37686
05/08/2020,59690,1986,17887,39817
05/09/2020,62865,2101,19301,41463
05/10/2020,67176,2213,20970,43993
05/11/2020,70768,2294,22549,45925
05/12/2020,74330,2414,24454,47462
05/13/2020,78056,2551,26417,49088
05/14/2020,82047,2648,28011,51388
05/15/2020,85855,2752,30245,52858
05/16/2020,90649,2872,34257,53520
05/17/2020,95698,3024,36795,55879
05/18/2020,100326,3155,39277,57894
05/19/2020,106480,3301,42309,60870
05/20/2020,112200,3435,45422,63343
05/21/2020,118223,3583,48553,66087
05/22/2020,124759,3725,51833,69201
05/23/2020,131424,3867,54409,73148
05/24/2020,138537,4023,57694,76820
05/25/2020,144951,4173,60706,80072
05/26/2020,150858,4346,64291,82221
05/27/2020,158104,4534,67725,85845
05/28/2020,165358,4710,70896,89752
05/29/2020,173496,4979,82631,85886
05/30/2020,181860,5184,86934,89742
05/31/2020,190649,5406,91862,93381
06/01/2020,198372,5607,95744,97021
06/02/2020,207187,5829,100275,101083
06/03/2020,216876,6088,104064,106724
06/04/2020,226723,6362,108454,111907
06/05/2020,236195,6648,113224,116323
06/06/2020,246603,6945,118657,121001
06/07/2020,257485,7206,123848,126431
06/08/2020,266021,7477,129019,129525
06/09/2020,276002,7749,134653,133600
06/10/2020,287158,8107,140928,138123
06/11/2020,298293,8501,146972,142820
06/12/2020,309599,8889,154235,146475
06/13/2020,321638,9198,162327,150113
06/14/2020,333043,9522,169685,153836
06/15/2020,343075,9918,180324,152833
06/16/2020,354161,11922,187550,154689
06/17/2020,367269,12263,194440,160566
06/18/2020,381098,12606,205181,163311
06/19/2020,395838,12970,214210,168658
06/20/2020,411753,13278,228184,170291
06/21/2020,426904,13704,237259,175941
06/22/2020,440464,14016,248138,178310
06/23/2020,456120,14484,258600,183036
06/24/2020,472988,14908,271689,186391
06/25/2020,491193,15309,285672,190212
06/26/2020,509448,15690,295918,197840
06/27/2020,529590,16104,310147,203339
06/28/2020,549200,16488,321778,210934
06/29/2020,567539,16905,335275,215359
06/30/2020,585795,17411,347840,220544
07/01/2020,605224,17849,359904,227471
07/02/2020,627171,18227,379903,229041
07/03/2020,649889,18671,394320,236898
07/04/2020,673907,19282,409066,245559
07/05/2020,697849,19703,424895,253251
07/06/2020,720349,20176,440210,259963
07/07/2020,743496,20655,457046,265795
07/08/2020,769057,21147,476554,271356
07/09/2020,794847,21626,495962,277259
07/10/2020,822609,22146,516251,284212
07/11/2020,850366,22689,536232,291445
07/12/2020,879472,23189,554430,301853
07/13/2020,907650,23730,572113,311807
07/14/2020,937567,24317,593090,320160
07/15/2020,970174,24931,613736,331507
07/16/2020,1005642,25611,636603,343428
07/17/2020,1040462,26287,654079,360096
07/18/2020,1077873,26830,677662,373381
07/19/2020,1118108,27505,700392,390211
07/20/2020,1154914,28101,724695,402118
07/21/2020,1194084,28772,752284,413028
07/22/2020,1239685,29902,784159,425624
07/23/2020,1288128,30657,817485,439986
07/24/2020,1337016,31420,849999,455597
07/25/2020,1387088,32123,887124,467841
07/26/2020,1436020,32827,918636,484557
07/27/2020,1482504,33469,952990,496045
07/28/2020,1532135,34243,988673,509219
07/29/2020,1584614,35018,1021559,528037
07/30/2020,1639582,35802,1058984,544796
07/31/2020,1697068,36566,1095538,564964
08/01/2020,1752185,37420,1146906,567859
08/02/2020,1804857,38180,1187261,579416
08/03/2020,1855345,38986,1230331,586028
08/04/2020,1906627,39835,1281551,585241
08/05/2020,1963253,40754,1327134,595365
08/06/2020,2025423,41653,1377275,606495
08/07/2020,2086878,42589,1427662,616627
08/08/2020,2152034,43464,1479797,628773
08/09/2020,2214151,44477,1534271,635403
08/10/2020,2267167,45364,1581633,640170
08/11/2020,2328419,46199,1638094,644126
08/12/2020,2395485,47149,1695853,652483
08/13/2020,2459626,48155,1750629,660842
08/14/2020,2525236,49144,1807549,668543
08/15/2020,2589222,50096,1860665,678461
