,Confirmed,Deaths,Recovered,CurrentConfirmed
1/22/2020,1,0,0,1
1/23/2020,9,0,0,9
1/24/2020,15,0,0,15
1/25/2020,39,0,0,39
1/26/2020,60,0,0,60
1/27/2020,70,0,0,70
1/28/2020,106,0,0,106
1/29/2020,152,0,2,150
1/30/2020,200,0,2,198
1/31/2020,237,0,3,234
2/1/2020,297,0,5,292
2/2/2020,340,0,7,333
2/3/2020,408,0,14,394
2/4/2020,480,0,20,460
2/5/2020,530,0,23,507
2/6/2020,591,0,34,557
2/7/2020,665,0,47,618
2/8/2020,733,0,59,674
2/9/2020,779,1,72,706
2/10/2020,830,3,88,739
2/11/2020,860,4,105,751
2/12/2020,889,4,127,758
2/13/2020,910,5,157,748
2/14/2020,934,6,193,735
2/15/2020,950,6,221,723
2/16/2020,962,6,255,701
2/17/2020,973,6,280,687
2/18/2020,982,6,361,615
2/19/2020,986,6,413,567
2/20/2020,987,6,474,507
2/21/2020,988,6,539,443
2/22/2020,989,6,597,386
2/23/2020,989,6,637,346
2/24/2020,989,6,663,320
2/25/2020,989,6,712,271
2/26/2020,989,6,744,239
2/27/2020,989,6,792,191
2/28/2020,990,6,821,163
2/29/2020,990,6,868,116
3/1/2020,990,6,873,111
3/2/2020,990,6,917,67
3/3/2020,990,6,936,48
3/4/2020,990,6,956,28
3/5/2020,990,6,970,14
3/6/2020,990,6,979,5
3/7/2020,990,6,979,5
3/8/2020,990,6,984,0
3/9/2020,990,6,984,0
3/10/2020,990,6,984,0
3/11/2020,990,6,984,0
3/12/2020,990,6,984,0
3/13/2020,990,6,984,0
3/14/2020,990,6,984,0
3/15/2020,990,6,984,0
3/16/2020,990,6,984,0
3/17/2020,990,6,984,0
3/18/2020,990,6,984,0
3/19/2020,990,6,984,0
3/20/2020,990,6,984,0
3/21/2020,990,6,984,0
3/22/2020,990,6,984,0
3/23/2020,990,6,984,0
3/24/2020,990,6,984,0
3/25/2020,990,6,984,0
3/26/2020,990,6,984,0
3/27/2020,990,6,984,0
3/28/2020,990,6,984,0
3/29/2020,990,6,984,0
3/30/2020,990,6,984,0
3/31/2020,990,6,984,0
4/1/2020,990,6,984,0
4/2/2020,990,6,984,0
4/3/2020,990,6,984,0
4/4/2020,990,6,984,0
4/5/2020,990,6,984,0
4/6/2020,990,6,984,0
4/7/2020,990,6,984,0
4/8/2020,990,6,984,0
4/9/2020,991,6,984,1
4/10/2020,991,6,984,1
4/11/2020,991,6,984,1
4/12/2020,991,6,984,1
4/13/2020,991,6,984,1
4/14/2020,991,6,984,1
4/15/2020,991,6,984,1
4/16/2020,991,6,984,1
4/17/2020,991,6,984,1
4/18/2020,991,6,984,1
4/19/2020,991,6,984,1
4/20/2020,991,6,984,1
4/21/2020,991,6,984,1
4/22/2020,991,6,984,1
4/23/2020,991,6,984,1
4/24/2020,991,6,985,0
4/25/2020,991,6,985,0
4/26/2020,991,6,985,0
4/27/2020,991,6,985,0
4/28/2020,991,6,985,0
4/29/2020,991,6,985,0
4/30/2020,991,6,985,0
5/1/2020,991,6,985,0
5/2/2020,991,6,985,0
5/3/2020,991,6,985,0
5/4/2020,991,6,985,0
5/5/2020,991,6,985,0
5/6/2020,991,6,985,0
5/7/2020,991,6,985,0
5/8/2020,991,6,985,0
5/9/2020,991,6,985,0
5/10/2020,991,6,985,0
5/11/2020,991,6,985,0
5/12/2020,991,6,985,0
5/13/2020,991,6,985,0
5/14/2020,991,6,985,0
5/15/2020,991,6,985,0
5/16/2020,991,6,985,0
5/17/2020,991,6,985,0
5/18/2020,991,6,985,0
5/19/2020,991,6,985,0
5/20/2020,991,6,985,0
5/21/2020,991,6,985,0
5/22/2020,991,6,985,0
5/23/2020,991,6,985,0
5/24/2020,991,6,985,0
5/25/2020,991,6,985,0
5/26/2020,991,6,985,0
5/27/2020,991,6,985,0
5/28/2020,991,6,985,0
5/29/2020,991,6,985,0
5/30/2020,991,6,985,0
5/31/2020,991,6,985,0
6/1/2020,991,6,985,0
6/2/2020,991,6,985,0
6/3/2020,991,6,985,0
6/4/2020,991,6,985,0
6/5/2020,991,6,985,0
6/6/2020,991,6,985,0
6/7/2020,991,6,985,0
6/8/2020,991,6,985,0
6/9/2020,991,6,985,0
6/10/2020,991,6,985,0
6/11/2020,991,6,985,0
6/12/2020,991,6,985,0
6/13/2020,991,6,985,0
6/14/2020,991,6,985,0
6/15/2020,991,6,985,0
6/16/2020,991,6,985,0
6/17/2020,991,6,985,0
6/18/2020,991,6,985,0
6/19/2020,991,6,985,0
6/20/2020,991,6,985,0
6/21/2020,991,6,985,0
6/22/2020,991,6,985,0
6/23/2020,991,6,985,0
6/24/2020,991,6,985,0
6/25/2020,991,6,985,0
6/26/2020,991,6,985,0
6/27/2020,991,6,985,0
6/28/2020,991,6,985,0
6/29/2020,991,6,985,0
6/30/2020,991,6,985,0
7/1/2020,991,6,985,0
7/2/2020,991,6,985,0
7/3/2020,991,6,985,0
7/4/2020,991,6,985,0
7/5/2020,991,6,985,0
7/6/2020,991,6,985,0
7/7/2020,991,6,985,0
7/8/2020,991,6,985,0
7/9/2020,991,6,985,0
7/10/2020,991,6,985,0
7/11/2020,991,6,985,0
7/12/2020,991,6,985,0
7/13/2020,991,6,985,0
7/14/2020,991,6,985,0
7/15/2020,991,6,985,0
7/16/2020,991,6,985,0
7/17/2020,991,6,985,0
7/18/2020,991,6,985,0
7/19/2020,991,6,985,0
7/20/2020,991,6,985,0
7/21/2020,991,6,985,0
7/22/2020,991,6,985,0
7/23/2020,991,6,985,0
7/24/2020,991,6,985,0
7/25/2020,991,6,985,0
7/26/2020,991,6,985,0
7/27/2020,991,6,985,0
7/28/2020,991,6,985,0
7/29/2020,991,6,985,0
7/30/2020,991,6,985,0
7/31/2020,991,6,985,0
8/1/2020,991,6,985,0
