,Confirmed,Deaths,Recovered,CurrentConfirmed
1/22/2020,14,0,0,14
1/23/2020,22,0,0,22
1/24/2020,36,0,1,35
1/25/2020,41,0,2,39
1/26/2020,68,0,2,66
1/27/2020,80,1,2,77
1/28/2020,91,1,4,86
1/29/2020,111,1,4,106
1/30/2020,114,1,4,109
1/31/2020,139,1,5,133
2/1/2020,168,1,9,158
2/2/2020,191,1,9,181
2/3/2020,212,1,12,199
2/4/2020,228,1,23,204
2/5/2020,253,1,24,228
2/6/2020,274,1,31,242
2/7/2020,297,1,33,263
2/8/2020,315,2,34,279
2/9/2020,326,2,37,287
2/10/2020,337,2,44,291
2/11/2020,342,3,48,291
2/12/2020,352,3,56,293
2/13/2020,366,3,69,294
2/14/2020,372,3,80,289
2/15/2020,375,4,98,273
2/16/2020,380,4,108,268
2/17/2020,381,4,114,263
2/18/2020,387,4,122,261
2/19/2020,393,4,145,244
2/20/2020,395,4,153,238
2/21/2020,396,4,169,223
2/22/2020,399,4,178,217
2/23/2020,399,4,189,206
2/24/2020,399,4,198,197
2/25/2020,400,4,215,181
2/26/2020,400,4,235,161
2/27/2020,410,5,248,157
2/28/2020,410,7,257,146
2/29/2020,411,8,271,132
3/1/2020,413,8,276,129
3/2/2020,414,8,282,124
3/3/2020,414,8,288,118
3/4/2020,418,8,297,113
3/5/2020,418,8,297,113
3/6/2020,422,8,299,115
3/7/2020,426,8,303,115
3/8/2020,428,8,308,112
3/9/2020,428,8,315,105
3/10/2020,429,8,320,101
3/11/2020,435,8,326,101
3/12/2020,435,8,334,93
3/13/2020,436,8,342,86
3/14/2020,437,8,349,80
3/15/2020,442,8,353,81
3/16/2020,452,8,360,84
3/17/2020,456,8,369,79
3/18/2020,469,8,378,83
3/19/2020,480,8,380,92
3/20/2020,491,8,390,93
3/21/2020,504,8,396,100
3/22/2020,522,8,400,114
3/23/2020,537,8,400,129
3/24/2020,558,8,401,149
3/25/2020,561,8,403,150
3/26/2020,566,8,406,152
3/27/2020,569,8,408,153
3/28/2020,573,8,410,155
3/29/2020,577,8,412,157
3/30/2020,577,8,415,154
3/31/2020,580,8,418,154
4/1/2020,580,8,418,154
4/2/2020,582,8,424,150
4/3/2020,584,8,434,142
4/4/2020,585,8,438,139
4/5/2020,586,8,441,137
4/6/2020,587,8,443,136
4/7/2020,587,8,448,131
4/8/2020,588,8,455,125
4/9/2020,588,8,464,116
4/10/2020,588,8,469,111
4/11/2020,589,8,474,107
4/12/2020,589,8,479,102
4/13/2020,589,8,484,97
4/14/2020,589,8,491,90
4/15/2020,590,8,495,87
4/16/2020,593,8,503,82
4/17/2020,593,8,509,76
4/18/2020,593,8,509,76
4/19/2020,593,8,510,75
4/20/2020,593,8,514,71
4/21/2020,593,8,516,69
4/22/2020,593,8,518,67
4/23/2020,593,8,524,61
4/24/2020,593,8,525,60
4/25/2020,593,8,525,60
4/26/2020,593,9,525,59
4/27/2020,593,9,536,48
4/28/2020,593,9,538,46
4/29/2020,593,9,542,42
4/30/2020,593,9,547,37
5/1/2020,593,9,547,37
5/2/2020,593,9,547,37
5/3/2020,593,9,553,31
5/4/2020,593,9,554,30
5/5/2020,593,9,555,29
5/6/2020,593,9,557,27
5/7/2020,593,9,560,24
5/8/2020,593,9,560,24
5/9/2020,593,9,565,19
5/10/2020,593,9,568,16
5/11/2020,593,9,571,13
5/12/2020,593,9,573,11
5/13/2020,593,9,574,10
5/14/2020,593,9,574,10
5/15/2020,593,9,576,8
5/16/2020,593,9,577,7
5/17/2020,593,9,578,6
5/18/2020,593,9,578,6
5/19/2020,593,9,578,6
5/20/2020,593,9,578,6
5/21/2020,593,9,578,6
5/22/2020,593,9,579,5
5/23/2020,593,9,581,3
