,Confirmed,Deaths,Recovered,CurrentConfirmed
1/22/2020,6,0,0,6
1/23/2020,9,0,0,9
1/24/2020,27,0,0,27
1/25/2020,57,0,0,57
1/26/2020,75,0,0,75
1/27/2020,110,0,0,110
1/28/2020,132,0,0,132
1/29/2020,147,0,1,146
1/30/2020,182,0,1,181
1/31/2020,211,0,1,210
2/1/2020,247,1,3,243
2/2/2020,300,2,7,291
2/3/2020,337,2,9,326
2/4/2020,366,2,9,355
2/5/2020,389,2,15,372
2/6/2020,411,2,24,385
2/7/2020,426,2,31,393
2/8/2020,428,2,39,387
2/9/2020,468,2,51,415
2/10/2020,486,2,66,418
2/11/2020,505,3,79,423
2/12/2020,518,3,102,413
2/13/2020,529,4,128,397
2/14/2020,537,5,152,380
2/15/2020,544,5,184,355
2/16/2020,551,5,207,339
2/17/2020,553,5,225,323
2/18/2020,555,5,254,296
2/19/2020,560,5,274,281
2/20/2020,567,6,299,262
2/21/2020,572,6,316,250
2/22/2020,573,6,328,239
2/23/2020,575,6,335,234
2/24/2020,576,6,349,221
2/25/2020,576,6,372,198
2/26/2020,576,6,384,186
2/27/2020,576,6,401,169
2/28/2020,576,6,422,148
2/29/2020,576,6,438,132
3/1/2020,576,6,450,120
3/2/2020,576,6,469,101
3/3/2020,576,6,490,80
3/4/2020,576,6,502,68
3/5/2020,576,6,512,58
3/6/2020,576,6,513,57
3/7/2020,576,6,526,44
3/8/2020,576,6,527,43
3/9/2020,576,6,542,28
3/10/2020,576,6,547,23
3/11/2020,576,6,554,16
3/12/2020,576,6,564,6
3/13/2020,576,6,566,4
3/14/2020,576,6,569,1
3/15/2020,576,6,570,0
3/16/2020,576,6,570,0
3/17/2020,576,6,570,0
3/18/2020,576,6,570,0
3/19/2020,576,6,570,0
3/20/2020,576,6,570,0
3/21/2020,576,6,570,0
3/22/2020,577,6,570,1
3/23/2020,578,6,570,2
3/24/2020,578,6,570,2
3/25/2020,578,6,570,2
3/26/2020,578,6,570,2
3/27/2020,578,6,570,2
3/28/2020,578,6,570,2
3/29/2020,579,6,570,3
