,Confirmed,Deaths,Recovered,CurrentConfirmed
1/22/2020,0,0,0,0
1/23/2020,2,0,0,2
1/24/2020,2,0,0,2
1/25/2020,4,0,0,4
1/26/2020,7,0,0,7
1/27/2020,14,0,0,14
1/28/2020,19,0,0,19
1/29/2020,24,0,0,24
1/30/2020,26,0,0,26
1/31/2020,29,0,0,29
2/1/2020,40,0,0,40
2/2/2020,51,0,3,48
2/3/2020,55,0,3,52
2/4/2020,57,0,4,53
2/5/2020,62,0,6,56
2/6/2020,62,0,6,56
2/7/2020,67,0,9,58
2/8/2020,79,1,12,66
2/9/2020,83,2,16,65
2/10/2020,83,2,17,64
2/11/2020,86,2,24,60
2/12/2020,87,2,31,54
2/13/2020,90,2,39,49
2/14/2020,90,2,39,49
2/15/2020,90,2,49,39
2/16/2020,90,2,54,34
2/17/2020,91,2,58,31
2/18/2020,91,2,62,27
2/19/2020,91,2,65,24
2/20/2020,91,2,71,18
2/21/2020,91,2,76,13
2/22/2020,91,2,76,13
2/23/2020,91,2,78,11
2/24/2020,91,2,80,9
2/25/2020,91,2,80,9
2/26/2020,91,2,81,8
2/27/2020,91,2,81,8
2/28/2020,91,2,82,7
2/29/2020,91,2,82,7
3/1/2020,91,2,84,5
3/2/2020,91,2,85,4
3/3/2020,91,2,86,3
3/4/2020,91,2,87,2
3/5/2020,102,2,87,13
3/6/2020,119,2,87,30
3/7/2020,120,2,87,31
3/8/2020,124,2,87,35
3/9/2020,124,2,88,34
3/10/2020,125,2,88,35
3/11/2020,127,2,88,37
3/12/2020,127,2,88,37
3/13/2020,127,2,88,37
3/14/2020,129,2,89,38
3/15/2020,133,2,91,40
3/16/2020,133,2,91,40
3/17/2020,133,2,91,40
3/18/2020,133,2,91,40
3/19/2020,134,2,91,41
3/20/2020,134,2,98,34
3/21/2020,134,2,113,19
3/22/2020,136,2,114,20
3/23/2020,136,2,114,20
3/24/2020,136,2,119,15
3/25/2020,136,2,119,15
3/26/2020,136,2,121,13
3/27/2020,136,2,123,11
3/28/2020,136,2,125,9
3/29/2020,138,2,125,11
3/30/2020,138,2,125,11
3/31/2020,138,2,125,11
4/1/2020,138,2,127,9
4/2/2020,138,2,127,9
4/3/2020,138,2,127,9
4/4/2020,138,2,131,5
4/5/2020,138,2,131,5
4/6/2020,139,2,132,5
4/7/2020,139,2,132,5
4/8/2020,139,2,133,4
4/9/2020,139,2,135,2
4/10/2020,139,2,135,2
4/11/2020,139,2,135,2
4/12/2020,139,2,135,2
4/13/2020,139,2,135,2
4/14/2020,139,2,136,1
4/15/2020,139,2,136,1
4/16/2020,139,2,137,0
4/17/2020,139,2,137,0
4/18/2020,139,2,137,0
4/19/2020,139,2,137,0
4/20/2020,139,2,137,0
4/21/2020,139,2,137,0
4/22/2020,139,2,137,0
4/23/2020,139,2,137,0
4/24/2020,139,2,137,0
4/25/2020,139,2,137,0
4/26/2020,139,2,137,0
4/27/2020,139,2,137,0
4/28/2020,139,2,137,0
4/29/2020,139,2,137,0
4/30/2020,139,2,137,0
5/1/2020,139,2,137,0
5/2/2020,139,2,137,0
5/3/2020,139,2,137,0
5/4/2020,139,2,137,0
5/5/2020,139,2,137,0
5/6/2020,139,2,137,0
5/7/2020,139,2,137,0
5/8/2020,139,2,137,0
5/9/2020,139,2,137,0
5/10/2020,139,2,137,0
5/11/2020,139,2,137,0
5/12/2020,139,2,137,0
5/13/2020,139,2,137,0
5/14/2020,139,2,137,0
5/15/2020,139,2,137,0
5/16/2020,139,2,137,0
5/17/2020,139,2,137,0
5/18/2020,139,2,137,0
5/19/2020,139,2,137,0
5/20/2020,139,2,137,0
5/21/2020,139,2,137,0
5/22/2020,139,2,137,0
5/23/2020,139,2,137,0
5/24/2020,139,2,137,0
5/25/2020,139,2,137,0
5/26/2020,139,2,137,0
5/27/2020,139,2,137,0
5/28/2020,139,2,137,0
5/29/2020,139,2,137,0
5/30/2020,139,2,137,0
5/31/2020,139,2,137,0
6/1/2020,139,2,137,0
6/2/2020,139,2,137,0
6/3/2020,139,2,137,0
6/4/2020,139,2,137,0
6/5/2020,139,2,137,0
6/6/2020,139,2,137,0
6/7/2020,139,2,137,0
6/8/2020,139,2,137,0
6/9/2020,139,2,137,0
6/10/2020,139,2,137,0
6/11/2020,139,2,137,0
6/12/2020,139,2,137,0
6/13/2020,139,2,137,0
6/14/2020,139,2,137,0
6/15/2020,139,2,137,0
6/16/2020,149,2,137,10
6/17/2020,150,2,137,11
6/18/2020,151,2,137,12
6/19/2020,151,2,137,12
6/20/2020,151,2,137,12
6/21/2020,151,2,137,12
6/22/2020,158,2,137,19
6/23/2020,158,2,138,18
6/24/2020,161,2,138,21
6/25/2020,161,2,139,20
6/26/2020,162,2,139,21
6/27/2020,163,2,140,21
6/28/2020,163,2,140,21
6/29/2020,164,2,143,19
6/30/2020,164,2,146,16
7/1/2020,164,2,149,13
7/2/2020,164,2,153,9
7/3/2020,164,2,154,8
7/4/2020,167,2,154,11
7/5/2020,167,2,154,11
7/6/2020,167,2,154,11
7/7/2020,167,2,159,6
7/8/2020,167,2,162,3
7/9/2020,167,2,162,3
7/10/2020,167,2,162,3
7/11/2020,167,2,162,3
7/12/2020,167,2,162,3
