,Confirmed,Deaths,Recovered,CurrentConfirmed
1/22/2020,26,0,0,26
1/23/2020,32,0,2,30
1/24/2020,53,0,2,51
1/25/2020,78,0,2,76
1/26/2020,111,0,2,109
1/27/2020,151,0,4,147
1/28/2020,207,0,4,203
1/29/2020,277,0,5,272
1/30/2020,354,0,10,344
1/31/2020,436,0,11,425
2/1/2020,535,0,14,521
2/2/2020,632,0,15,617
2/3/2020,725,0,21,704
2/4/2020,813,0,30,783
2/5/2020,895,0,49,846
2/6/2020,970,0,69,901
2/7/2020,1034,1,88,945
2/8/2020,1095,1,112,982
2/9/2020,1131,1,141,989
2/10/2020,1159,1,167,991
2/11/2020,1177,1,212,964
2/12/2020,1219,1,275,943
2/13/2020,1241,2,314,925
2/14/2020,1261,2,362,897
2/15/2020,1294,2,410,882
2/16/2020,1316,2,465,849
2/17/2020,1322,4,524,794
2/18/2020,1328,4,565,759
2/19/2020,1331,5,606,720
2/20/2020,1332,5,642,685
2/21/2020,1333,5,690,638
2/22/2020,1339,5,728,606
2/23/2020,1342,6,755,581
2/24/2020,1345,6,786,553
2/25/2020,1347,7,822,518
2/26/2020,1347,7,851,489
2/27/2020,1347,7,890,450
2/28/2020,1348,7,935,406
2/29/2020,1349,7,983,359
3/1/2020,1349,7,1016,326
3/2/2020,1350,7,1059,284
3/3/2020,1350,7,1101,242
3/4/2020,1350,7,1133,210
3/5/2020,1351,7,1181,163
3/6/2020,1352,7,1216,129
3/7/2020,1352,7,1237,108
3/8/2020,1352,7,1256,89
3/9/2020,1352,8,1260,84
3/10/2020,1353,8,1274,71
3/11/2020,1356,8,1282,66
3/12/2020,1356,8,1289,59
3/13/2020,1356,8,1296,52
3/14/2020,1356,8,1299,49
3/15/2020,1360,8,1304,48
3/16/2020,1361,8,1306,47
3/17/2020,1364,8,1307,49
3/18/2020,1370,8,1313,49
3/19/2020,1378,8,1318,52
3/20/2020,1395,8,1323,64
3/21/2020,1400,8,1325,67
3/22/2020,1413,8,1329,76
