,Confirmed,Deaths,Recovered,CurrentConfirmed
1/22/2020,2,0,0,2
1/23/2020,5,0,0,5
1/24/2020,23,0,0,23
1/25/2020,23,0,0,23
1/26/2020,36,0,0,36
1/27/2020,46,0,0,46
1/28/2020,51,0,2,49
1/29/2020,58,0,2,56
1/30/2020,78,0,2,76
1/31/2020,87,0,2,85
2/1/2020,100,0,2,98
2/2/2020,111,0,2,109
2/3/2020,127,0,7,120
2/4/2020,139,0,10,129
2/5/2020,150,0,13,137
2/6/2020,168,0,14,154
2/7/2020,172,0,17,155
2/8/2020,183,0,17,166
2/9/2020,195,1,18,176
2/10/2020,210,1,24,185
2/11/2020,215,1,33,181
2/12/2020,222,1,32,189
2/13/2020,222,2,33,187
2/14/2020,226,2,36,188
2/15/2020,235,2,44,189
2/16/2020,237,2,49,186
2/17/2020,238,2,53,183
2/18/2020,242,2,69,171
2/19/2020,244,2,86,156
2/20/2020,245,2,90,153
2/21/2020,246,2,97,147
2/22/2020,249,2,104,143
2/23/2020,249,2,106,141
2/24/2020,251,2,112,137
2/25/2020,252,2,134,116
2/26/2020,252,2,147,103
2/27/2020,252,2,161,89
2/28/2020,252,2,168,82
2/29/2020,252,2,176,74
3/1/2020,252,2,181,69
3/2/2020,252,2,192,58
3/3/2020,252,2,202,48
3/4/2020,252,2,210,40
3/5/2020,252,2,214,36
3/6/2020,252,2,217,33
3/7/2020,252,2,218,32
3/8/2020,252,2,223,27
3/9/2020,252,2,230,20
3/10/2020,252,2,234,16
3/11/2020,252,2,238,12
3/12/2020,252,2,241,9
3/13/2020,252,2,243,7
3/14/2020,252,2,243,7
3/15/2020,252,2,243,7
3/16/2020,252,2,248,2
3/17/2020,253,2,248,3
3/18/2020,253,2,250,1
3/19/2020,253,2,250,1
3/20/2020,254,2,250,2
3/21/2020,254,2,250,2
3/22/2020,254,2,250,2
3/23/2020,254,2,250,2
3/24/2020,254,2,250,2
3/25/2020,254,2,250,2
3/26/2020,254,2,250,2
3/27/2020,254,2,250,2
3/28/2020,254,2,250,2
3/29/2020,254,2,250,2
3/30/2020,254,2,250,2
3/31/2020,254,2,250,2
4/1/2020,254,2,250,2
4/2/2020,254,2,252,0
4/3/2020,254,2,252,0
4/4/2020,254,2,252,0
4/5/2020,254,2,252,0
4/6/2020,254,2,252,0
4/7/2020,254,2,252,0
4/8/2020,254,2,252,0
4/9/2020,254,2,252,0
4/10/2020,254,2,252,0
4/11/2020,254,2,252,0
4/12/2020,254,2,252,0
4/13/2020,254,2,252,0
4/14/2020,254,2,252,0
4/15/2020,254,2,252,0
4/16/2020,254,2,252,0
4/17/2020,254,2,252,0
4/18/2020,254,2,252,0
4/19/2020,254,2,252,0
4/20/2020,254,2,252,0
4/21/2020,254,2,252,0
4/22/2020,254,2,252,0
4/23/2020,254,2,252,0
4/24/2020,254,2,252,0
4/25/2020,254,2,252,0
4/26/2020,254,2,252,0
4/27/2020,254,2,252,0
4/28/2020,254,2,252,0
4/29/2020,254,2,252,0
4/30/2020,254,2,252,0
5/1/2020,254,2,252,0
5/2/2020,254,2,252,0
5/3/2020,254,2,252,0
5/4/2020,254,2,252,0
5/5/2020,254,2,252,0
5/6/2020,254,2,252,0
5/7/2020,254,2,252,0
5/8/2020,254,2,252,0
5/9/2020,254,2,252,0
5/10/2020,254,2,252,0
5/11/2020,254,2,252,0
5/12/2020,254,2,252,0
5/13/2020,254,2,252,0
5/14/2020,254,2,252,0
5/15/2020,254,2,252,0
5/16/2020,254,2,252,0
5/17/2020,254,2,252,0
5/18/2020,254,2,252,0
5/19/2020,254,2,252,0
5/20/2020,254,2,252,0
5/21/2020,254,2,252,0
5/22/2020,254,2,252,0
5/23/2020,254,2,252,0
5/24/2020,254,2,252,0
5/25/2020,254,2,252,0
5/26/2020,254,2,252,0
5/27/2020,254,2,252,0
5/28/2020,254,2,252,0
5/29/2020,254,2,252,0
5/30/2020,254,2,252,0
5/31/2020,254,2,252,0
6/1/2020,254,2,252,0
6/2/2020,254,2,252,0
6/3/2020,254,2,252,0
6/4/2020,254,2,252,0
6/5/2020,254,2,252,0
6/6/2020,254,2,252,0
6/7/2020,254,2,252,0
6/8/2020,254,2,252,0
6/9/2020,254,2,252,0
6/10/2020,254,2,252,0
6/11/2020,254,2,252,0
6/12/2020,254,2,252,0
6/13/2020,254,2,252,0
6/14/2020,254,2,252,0
6/15/2020,254,2,252,0
6/16/2020,254,2,252,0
6/17/2020,254,2,252,0
6/18/2020,254,2,252,0
6/19/2020,254,2,252,0
6/20/2020,254,2,252,0
6/21/2020,254,2,252,0
6/22/2020,254,2,252,0
6/23/2020,254,2,252,0
6/24/2020,254,2,252,0
6/25/2020,254,2,252,0
6/26/2020,254,2,252,0
6/27/2020,254,2,252,0
6/28/2020,254,2,252,0
6/29/2020,254,2,252,0
6/30/2020,254,2,252,0
7/1/2020,254,2,252,0
7/2/2020,254,2,252,0
7/3/2020,254,2,252,0
7/4/2020,254,2,252,0
7/5/2020,254,2,252,0
7/6/2020,254,2,252,0
7/7/2020,254,2,252,0
7/8/2020,254,2,252,0
7/9/2020,254,2,252,0
7/10/2020,254,2,252,0
7/11/2020,254,2,252,0
7/12/2020,254,2,252,0
7/13/2020,254,2,252,0
7/14/2020,254,2,252,0
7/15/2020,254,2,252,0
7/16/2020,255,2,252,1
7/17/2020,255,2,252,1
7/18/2020,255,2,252,1
7/19/2020,255,2,252,1
7/20/2020,255,2,252,1
7/21/2020,255,2,252,1
7/22/2020,255,2,253,0
7/23/2020,255,2,253,0
7/24/2020,255,2,253,0
7/25/2020,255,2,253,0
7/26/2020,255,2,253,0
7/27/2020,255,2,253,0
7/28/2020,255,2,253,0
7/29/2020,255,2,253,0
7/30/2020,255,2,253,0
7/31/2020,255,2,253,0
8/1/2020,255,2,253,0
8/2/2020,255,2,253,0
8/3/2020,255,2,253,0
8/4/2020,255,2,253,0
8/5/2020,255,2,253,0
8/6/2020,255,2,253,0
8/7/2020,255,2,253,0
8/8/2020,255,2,253,0
8/9/2020,255,2,253,0
8/10/2020,255,2,253,0
8/11/2020,255,2,253,0
8/12/2020,255,2,253,0
8/13/2020,255,2,253,0
8/14/2020,255,2,253,0
8/15/2020,255,2,253,0
8/16/2020,255,2,253,0
8/17/2020,255,2,253,0
8/18/2020,255,2,253,0
8/19/2020,255,2,253,0
8/20/2020,255,2,253,0
8/21/2020,255,2,253,0
8/22/2020,255,2,253,0
8/23/2020,255,2,253,0
8/24/2020,255,2,253,0
8/25/2020,255,2,253,0
8/26/2020,255,2,253,0
8/27/2020,255,2,253,0
8/28/2020,255,2,253,0
8/29/2020,255,2,253,0
8/30/2020,255,2,253,0
8/31/2020,255,2,253,0
9/1/2020,255,2,253,0
9/2/2020,255,2,253,0
9/3/2020,257,2,253,2
9/4/2020,257,2,253,2
9/5/2020,257,2,253,2
9/6/2020,257,2,253,2
9/7/2020,257,2,253,2
9/8/2020,257,2,253,2
9/9/2020,257,2,253,2
9/10/2020,257,2,253,2
9/11/2020,257,2,253,2
9/12/2020,258,2,253,3
9/13/2020,258,2,253,3
9/14/2020,258,2,253,3
9/15/2020,258,2,253,3
9/16/2020,258,2,253,3
9/17/2020,258,2,253,3
9/18/2020,258,2,253,3
9/19/2020,258,2,253,3
9/20/2020,258,2,253,3
9/21/2020,258,2,254,2
9/22/2020,258,2,254,2
9/23/2020,259,2,254,3
9/24/2020,259,2,254,3
9/25/2020,259,2,254,3
9/26/2020,259,2,254,3
9/27/2020,259,2,254,3
9/28/2020,259,2,254,3
9/29/2020,259,2,254,3
9/30/2020,259,2,255,2
10/1/2020,259,2,255,2
10/2/2020,259,2,255,2
10/3/2020,260,2,255,3
10/4/2020,260,2,255,3
10/5/2020,260,2,255,3
10/6/2020,260,2,255,3
10/7/2020,260,2,255,3
10/8/2020,260,2,255,3
10/9/2020,260,2,256,2
10/10/2020,260,2,256,2
10/11/2020,260,2,256,2
10/12/2020,260,2,256,2
10/13/2020,260,2,256,2
10/14/2020,260,2,256,2
10/15/2020,260,2,256,2
10/16/2020,260,2,256,2
