,Confirmed,Deaths,Recovered,CurrentConfirmed
1/22/2020,0,0,0,0
1/23/2020,2,0,0,2
1/24/2020,4,1,0,3
1/25/2020,9,1,0,8
1/26/2020,15,1,0,14
1/27/2020,21,1,0,20
1/28/2020,33,1,0,32
1/29/2020,38,1,0,37
1/30/2020,44,2,0,42
1/31/2020,59,2,0,57
2/1/2020,80,2,2,76
2/2/2020,95,2,2,91
2/3/2020,121,2,2,117
2/4/2020,155,2,4,149
2/5/2020,190,2,7,181
2/6/2020,227,3,8,216
2/7/2020,277,3,12,262
2/8/2020,295,5,13,277
2/9/2020,307,6,14,287
2/10/2020,331,7,30,294
2/11/2020,360,8,28,324
2/12/2020,378,8,31,339
2/13/2020,395,9,33,353
2/14/2020,419,11,47,361
2/15/2020,425,11,68,346
2/16/2020,445,11,79,355
2/17/2020,457,11,85,361
2/18/2020,464,11,111,342
2/19/2020,470,12,120,338
2/20/2020,476,12,136,328
2/21/2020,479,12,175,292
2/22/2020,479,12,204,263
2/23/2020,480,12,222,246
2/24/2020,480,12,227,241
2/25/2020,480,12,243,225
2/26/2020,480,12,249,219
2/27/2020,480,13,270,197
2/28/2020,480,13,283,184
2/29/2020,480,13,301,166
3/1/2020,480,13,342,125
3/2/2020,480,13,356,111
3/3/2020,480,13,366,101
3/4/2020,480,13,373,94
3/5/2020,481,13,379,89
3/6/2020,481,13,396,72
3/7/2020,481,13,403,65
3/8/2020,481,13,412,56
3/9/2020,481,13,430,38
3/10/2020,481,13,434,34
3/11/2020,482,13,436,33
3/12/2020,482,13,441,28
3/13/2020,482,13,446,23
3/14/2020,482,13,447,22
3/15/2020,482,13,453,16
3/16/2020,482,13,455,14
3/17/2020,482,13,456,13
3/18/2020,482,13,459,10
3/19/2020,483,13,460,10
3/20/2020,484,13,463,8
3/21/2020,484,13,463,8
3/22/2020,484,13,466,5
3/23/2020,484,13,465,6
3/24/2020,484,13,468,3
3/25/2020,484,13,468,3
3/26/2020,484,13,469,2
3/27/2020,484,13,469,2
3/28/2020,484,13,469,2
3/29/2020,484,13,469,2
3/30/2020,484,13,469,2
3/31/2020,484,13,469,2
4/1/2020,484,13,469,2
4/2/2020,488,13,469,6
4/3/2020,489,13,469,7
4/4/2020,491,13,469,9
4/5/2020,504,13,469,22
4/6/2020,524,13,469,42
4/7/2020,544,13,469,62
4/8/2020,569,13,470,86
4/9/2020,609,13,470,126
4/10/2020,638,13,470,155
4/11/2020,661,13,470,178
4/12/2020,684,13,470,201
4/13/2020,740,13,470,257
4/14/2020,819,13,470,336
4/15/2020,841,13,470,358
4/16/2020,861,13,471,377
4/17/2020,872,13,471,388
4/18/2020,892,13,472,407
4/19/2020,898,13,472,413
4/20/2020,905,13,472,420
4/21/2020,913,13,475,425
4/22/2020,921,13,479,429
4/23/2020,928,13,485,430
4/24/2020,930,13,508,409
4/25/2020,935,13,511,411
4/26/2020,936,13,556,367
4/27/2020,939,13,586,340
4/28/2020,939,13,587,339
4/29/2020,939,13,587,339
4/30/2020,944,13,587,344
5/1/2020,944,13,605,326
5/2/2020,944,13,604,327
5/3/2020,944,13,657,274
5/4/2020,944,13,719,212
5/5/2020,944,13,758,173
5/6/2020,944,13,793,138
5/7/2020,944,13,815,116
5/8/2020,944,13,815,116
5/9/2020,944,13,891,40
5/10/2020,945,13,904,28
5/11/2020,945,13,924,8
5/12/2020,945,13,929,3
5/13/2020,945,13,930,2
5/14/2020,945,13,930,2
5/15/2020,945,13,931,1
5/16/2020,945,13,932,0
5/17/2020,945,13,932,0
5/18/2020,945,13,932,0
5/19/2020,945,13,932,0
5/20/2020,945,13,932,0
5/21/2020,945,13,932,0
5/22/2020,945,13,932,0
5/23/2020,945,13,932,0
5/24/2020,945,13,932,0
5/25/2020,945,13,932,0
5/26/2020,945,13,932,0
5/27/2020,945,13,932,0
5/28/2020,945,13,932,0
5/29/2020,945,13,932,0
5/30/2020,945,13,932,0
5/31/2020,945,13,932,0
6/1/2020,945,13,932,0
6/2/2020,945,13,932,0
6/3/2020,947,13,934,0
6/4/2020,947,13,934,0
6/5/2020,947,13,934,0
6/6/2020,947,13,934,0
6/7/2020,947,13,934,0
6/8/2020,947,13,934,0
6/9/2020,947,13,934,0
6/10/2020,947,13,934,0
6/11/2020,947,13,934,0
6/12/2020,947,13,934,0
6/13/2020,947,13,934,0
6/14/2020,947,13,934,0
6/15/2020,947,13,934,0
6/16/2020,947,13,934,0
6/17/2020,947,13,934,0
6/18/2020,947,13,934,0
6/19/2020,947,13,934,0
6/20/2020,947,13,934,0
6/21/2020,947,13,934,0
6/22/2020,947,13,934,0
6/23/2020,947,13,934,0
6/24/2020,947,13,934,0
6/25/2020,947,13,934,0
6/26/2020,947,13,934,0
6/27/2020,947,13,934,0
6/28/2020,947,13,934,0
6/29/2020,947,13,934,0
6/30/2020,947,13,934,0
7/1/2020,947,13,934,0
7/2/2020,947,13,934,0
7/3/2020,947,13,934,0
7/4/2020,947,13,934,0
7/5/2020,947,13,934,0
7/6/2020,947,13,934,0
7/7/2020,947,13,934,0
7/8/2020,947,13,934,0
7/9/2020,947,13,934,0
7/10/2020,947,13,934,0
7/11/2020,947,13,934,0
7/12/2020,947,13,934,0
