,Confirmed,Deaths,Recovered,CurrentConfirmed
1/22/2020,5,0,0,5
1/23/2020,5,0,0,5
1/24/2020,9,0,0,9
1/25/2020,32,0,0,32
1/26/2020,83,1,0,82
1/27/2020,128,1,0,127
1/28/2020,168,1,0,167
1/29/2020,206,2,1,203
1/30/2020,278,2,2,274
1/31/2020,352,2,3,347
2/1/2020,422,2,3,417
2/2/2020,493,2,10,481
2/3/2020,566,2,16,548
2/4/2020,675,2,27,646
2/5/2020,764,2,47,715
2/6/2020,851,2,56,793
2/7/2020,914,3,86,825
2/8/2020,981,4,116,861
2/9/2020,1033,6,153,874
2/10/2020,1073,6,191,876
2/11/2020,1105,7,218,880
2/12/2020,1135,8,246,881
2/13/2020,1169,10,296,863
2/14/2020,1184,11,357,816
2/15/2020,1212,13,391,808
2/16/2020,1231,13,440,778
2/17/2020,1246,16,509,721
2/18/2020,1257,19,522,716
2/19/2020,1262,19,573,670
2/20/2020,1265,19,637,609
2/21/2020,1267,19,736,512
2/22/2020,1270,19,830,421
2/23/2020,1271,19,868,384
2/24/2020,1271,19,943,309
2/25/2020,1271,19,1002,250
2/26/2020,1271,19,1033,219
2/27/2020,1272,20,1068,184
2/28/2020,1272,20,1112,140
2/29/2020,1272,21,1170,81
3/1/2020,1272,22,1198,52
3/2/2020,1272,22,1205,45
3/3/2020,1272,22,1231,19
3/4/2020,1272,22,1234,16
3/5/2020,1272,22,1239,11
3/6/2020,1272,22,1244,6
3/7/2020,1272,22,1244,6
3/8/2020,1272,22,1247,3
3/9/2020,1272,22,1247,3
3/10/2020,1272,22,1247,3
3/11/2020,1273,22,1249,2
3/12/2020,1273,22,1249,2
3/13/2020,1273,22,1249,2
3/14/2020,1273,22,1250,1
3/15/2020,1273,22,1250,1
3/16/2020,1273,22,1250,1
3/17/2020,1273,22,1250,1
3/18/2020,1273,22,1250,1
3/19/2020,1273,22,1250,1
3/20/2020,1273,22,1250,1
3/21/2020,1273,22,1250,1
3/22/2020,1274,22,1250,2
3/23/2020,1274,22,1250,2
3/24/2020,1274,22,1250,2
3/25/2020,1274,22,1250,2
3/26/2020,1275,22,1250,3
3/27/2020,1275,22,1250,3
3/28/2020,1275,22,1251,2
3/29/2020,1276,22,1251,3
3/30/2020,1276,22,1251,3
3/31/2020,1276,22,1251,3
4/1/2020,1276,22,1251,3
4/2/2020,1276,22,1251,3
4/3/2020,1276,22,1251,3
4/4/2020,1276,22,1251,3
4/5/2020,1276,22,1251,3
4/6/2020,1276,22,1252,2
4/7/2020,1276,22,1252,2
4/8/2020,1276,22,1252,2
4/9/2020,1276,22,1252,2
4/10/2020,1276,22,1252,2
4/11/2020,1276,22,1252,2
4/12/2020,1276,22,1253,1
4/13/2020,1276,22,1253,1
4/14/2020,1276,22,1254,0
4/15/2020,1276,22,1254,0
4/16/2020,1276,22,1254,0
4/17/2020,1276,22,1254,0
4/18/2020,1276,22,1254,0
4/19/2020,1276,22,1254,0
4/20/2020,1276,22,1254,0
4/21/2020,1276,22,1254,0
4/22/2020,1276,22,1254,0
4/23/2020,1276,22,1254,0
4/24/2020,1276,22,1254,0
4/25/2020,1276,22,1254,0
4/26/2020,1276,22,1254,0
4/27/2020,1276,22,1254,0
4/28/2020,1276,22,1254,0
4/29/2020,1276,22,1254,0
4/30/2020,1276,22,1254,0
5/1/2020,1276,22,1254,0
5/2/2020,1276,22,1254,0
5/3/2020,1276,22,1254,0
5/4/2020,1276,22,1254,0
5/5/2020,1276,22,1254,0
5/6/2020,1276,22,1254,0
5/7/2020,1276,22,1254,0
5/8/2020,1276,22,1254,0
5/9/2020,1276,22,1254,0
5/10/2020,1276,22,1254,0
5/11/2020,1276,22,1254,0
5/12/2020,1276,22,1254,0
5/13/2020,1276,22,1254,0
5/14/2020,1276,22,1254,0
5/15/2020,1276,22,1254,0
5/16/2020,1276,22,1254,0
5/17/2020,1276,22,1254,0
5/18/2020,1276,22,1254,0
5/19/2020,1276,22,1254,0
5/20/2020,1276,22,1254,0
5/21/2020,1276,22,1254,0
5/22/2020,1276,22,1254,0
5/23/2020,1276,22,1254,0
5/24/2020,1276,22,1254,0
5/25/2020,1276,22,1254,0
5/26/2020,1276,22,1254,0
5/27/2020,1276,22,1254,0
5/28/2020,1276,22,1254,0
5/29/2020,1276,22,1254,0
5/30/2020,1276,22,1254,0
5/31/2020,1276,22,1254,0
6/1/2020,1276,22,1254,0
6/2/2020,1276,22,1254,0
6/3/2020,1276,22,1254,0
6/4/2020,1276,22,1254,0
6/5/2020,1276,22,1254,0
6/6/2020,1276,22,1254,0
6/7/2020,1276,22,1254,0
6/8/2020,1276,22,1254,0
6/9/2020,1276,22,1254,0
6/10/2020,1276,22,1254,0
6/11/2020,1276,22,1254,0
6/12/2020,1276,22,1254,0
6/13/2020,1276,22,1254,0
6/14/2020,1276,22,1254,0
6/15/2020,1276,22,1254,0
6/16/2020,1276,22,1254,0
6/17/2020,1276,22,1254,0
6/18/2020,1276,22,1254,0
6/19/2020,1276,22,1254,0
6/20/2020,1276,22,1254,0
6/21/2020,1276,22,1254,0
6/22/2020,1276,22,1254,0
6/23/2020,1276,22,1254,0
6/24/2020,1276,22,1254,0
6/25/2020,1276,22,1254,0
6/26/2020,1276,22,1254,0
6/27/2020,1276,22,1254,0
6/28/2020,1276,22,1254,0
6/29/2020,1276,22,1254,0
6/30/2020,1276,22,1254,0
7/1/2020,1276,22,1254,0
7/2/2020,1276,22,1254,0
7/3/2020,1276,22,1254,0
7/4/2020,1276,22,1254,0
7/5/2020,1276,22,1254,0
7/6/2020,1276,22,1254,0
7/7/2020,1276,22,1254,0
7/8/2020,1276,22,1254,0
7/9/2020,1276,22,1254,0
7/10/2020,1276,22,1254,0
7/11/2020,1276,22,1254,0
7/12/2020,1276,22,1254,0
7/13/2020,1276,22,1254,0
7/14/2020,1276,22,1254,0
7/15/2020,1276,22,1254,0
7/16/2020,1276,22,1254,0
7/17/2020,1276,22,1254,0
7/18/2020,1276,22,1254,0
7/19/2020,1276,22,1254,0
7/20/2020,1276,22,1254,0
7/21/2020,1276,22,1254,0
7/22/2020,1276,22,1254,0
7/23/2020,1276,22,1254,0
7/24/2020,1276,22,1254,0
7/25/2020,1276,22,1254,0
7/26/2020,1276,22,1254,0
7/27/2020,1276,22,1254,0
7/28/2020,1276,22,1254,0
7/29/2020,1276,22,1254,0
7/30/2020,1276,22,1254,0
7/31/2020,1276,22,1254,0
8/1/2020,1276,22,1254,0
8/2/2020,1276,22,1254,0
8/3/2020,1276,22,1254,0
8/4/2020,1276,22,1254,0
8/5/2020,1276,22,1254,0
8/6/2020,1276,22,1254,0
8/7/2020,1276,22,1254,0
8/8/2020,1276,22,1254,0
8/9/2020,1276,22,1254,0
8/10/2020,1276,22,1254,0
8/11/2020,1276,22,1254,0
8/12/2020,1276,22,1254,0
8/13/2020,1276,22,1254,0
8/14/2020,1276,22,1254,0
8/15/2020,1276,22,1254,0
8/16/2020,1276,22,1254,0
8/17/2020,1276,22,1254,0
8/18/2020,1276,22,1254,0
8/19/2020,1276,22,1254,0
8/20/2020,1276,22,1254,0
8/21/2020,1276,22,1254,0
8/22/2020,1276,22,1254,0
8/23/2020,1276,22,1254,0
8/24/2020,1276,22,1254,0
8/25/2020,1276,22,1254,0
8/26/2020,1276,22,1254,0
8/27/2020,1276,22,1254,0
8/28/2020,1276,22,1254,0
8/29/2020,1276,22,1254,0
8/30/2020,1276,22,1254,0
8/31/2020,1276,22,1254,0
9/1/2020,1276,22,1254,0
9/2/2020,1276,22,1254,0
9/3/2020,1276,22,1254,0
9/4/2020,1276,22,1254,0
9/5/2020,1276,22,1254,0
9/6/2020,1276,22,1254,0
9/7/2020,1276,22,1254,0
9/8/2020,1276,22,1254,0
9/9/2020,1276,22,1254,0
9/10/2020,1276,22,1254,0
9/11/2020,1276,22,1254,0
9/12/2020,1277,22,1254,1
9/13/2020,1277,22,1254,1
9/14/2020,1277,22,1254,1
9/15/2020,1277,22,1254,1
9/16/2020,1278,22,1254,2
9/17/2020,1278,22,1254,2
9/18/2020,1278,22,1254,2
9/19/2020,1279,22,1254,3
9/20/2020,1279,22,1254,3
9/21/2020,1279,22,1254,3
9/22/2020,1280,22,1254,4
9/23/2020,1280,22,1254,4
9/24/2020,1280,22,1254,4
9/25/2020,1280,22,1254,4
9/26/2020,1280,22,1254,4
9/27/2020,1280,22,1254,4
9/28/2020,1280,22,1254,4
9/29/2020,1281,22,1254,5
9/30/2020,1281,22,1254,5
10/1/2020,1281,22,1254,5
10/2/2020,1281,22,1254,5
10/3/2020,1281,22,1254,5
10/4/2020,1281,22,1254,5
10/5/2020,1281,22,1255,4
10/6/2020,1281,22,1255,4
10/7/2020,1281,22,1255,4
10/8/2020,1281,22,1255,4
10/9/2020,1281,22,1255,4
10/10/2020,1281,22,1255,4
10/11/2020,1281,22,1255,4
10/12/2020,1281,22,1255,4
10/13/2020,1281,22,1256,3
10/14/2020,1281,22,1256,3
10/15/2020,1281,22,1256,3
10/16/2020,1281,22,1256,3
10/17/2020,1281,22,1256,3
10/18/2020,1281,22,1256,3
10/19/2020,1281,22,1256,3
10/20/2020,1283,22,1256,5
10/21/2020,1283,22,1257,4
10/22/2020,1283,22,1257,4
10/23/2020,1283,22,1257,4
10/24/2020,1283,22,1257,4
