,Confirmed,Deaths,Recovered,CurrentConfirmed
1/22/2020,0,0,0,0
1/23/2020,2,0,0,2
1/24/2020,2,0,0,2
1/25/2020,5,0,0,5
1/26/2020,8,0,0,8
1/27/2020,8,0,0,8
1/28/2020,8,0,0,8
1/29/2020,10,0,0,10
1/30/2020,10,0,0,10
1/31/2020,12,0,0,12
2/1/2020,13,0,0,13
2/2/2020,15,0,0,15
2/3/2020,15,0,0,15
2/4/2020,17,1,0,16
2/5/2020,21,1,0,20
2/6/2020,24,1,0,23
2/7/2020,25,1,0,24
2/8/2020,26,1,0,25
2/9/2020,29,1,0,28
2/10/2020,38,1,0,37
2/11/2020,49,1,0,48
2/12/2020,50,1,1,48
2/13/2020,53,1,1,51
2/14/2020,56,1,1,54
2/15/2020,56,1,1,54
2/16/2020,57,1,2,54
2/17/2020,60,1,2,57
2/18/2020,62,1,2,59
2/19/2020,63,2,5,56
2/20/2020,68,2,6,60
2/21/2020,68,2,5,61
2/22/2020,69,2,6,61
2/23/2020,74,2,11,61
2/24/2020,79,2,19,58
2/25/2020,84,2,19,63
2/26/2020,91,2,24,65
2/27/2020,92,2,24,66
2/28/2020,94,2,30,62
2/29/2020,95,2,33,60
3/1/2020,96,2,36,58
3/2/2020,100,2,36,62
3/3/2020,100,2,37,61
3/4/2020,105,2,37,66
3/5/2020,105,2,43,60
3/6/2020,107,2,46,59
3/7/2020,108,2,51,55
3/8/2020,114,3,58,53
3/9/2020,115,3,59,53
3/10/2020,120,3,65,52
3/11/2020,126,3,65,58
3/12/2020,129,3,67,59
3/13/2020,134,4,77,53
3/14/2020,140,4,78,58
3/15/2020,145,4,81,60
3/16/2020,155,4,84,67
3/17/2020,162,4,88,70
3/18/2020,181,4,92,85
3/19/2020,208,4,95,109
3/20/2020,256,4,98,154
3/21/2020,273,4,98,171
3/22/2020,317,4,100,213
3/23/2020,356,4,100,252
3/24/2020,386,4,101,281
3/25/2020,410,4,102,304
3/26/2020,453,4,110,339
3/27/2020,519,4,110,405
3/28/2020,561,4,112,445
3/29/2020,641,4,112,525
3/30/2020,682,4,123,555
3/31/2020,714,4,128,582
4/1/2020,765,4,147,614
4/2/2020,802,4,147,651
4/3/2020,845,4,173,668
4/4/2020,862,4,173,685
4/5/2020,890,4,206,680
4/6/2020,914,4,216,694
4/7/2020,935,4,216,715
4/8/2020,960,4,264,692
4/9/2020,973,4,293,676
4/10/2020,989,4,309,676
4/11/2020,1000,4,336,660
4/12/2020,1004,4,360,640
4/13/2020,1009,4,360,645
4/14/2020,1012,4,434,574
4/15/2020,1017,4,459,554
4/16/2020,1017,4,485,528
4/17/2020,1021,4,533,484
4/18/2020,1024,4,568,452
4/19/2020,1025,4,602,419
4/20/2020,1025,4,630,391
4/21/2020,1029,4,650,375
4/22/2020,1033,4,678,351
4/23/2020,1035,4,699,332
4/24/2020,1035,4,725,306
4/25/2020,1037,4,753,280
4/26/2020,1037,4,772,261
4/27/2020,1037,4,787,246
4/28/2020,1037,4,811,222
4/29/2020,1037,4,830,203
4/30/2020,1037,4,846,187
5/1/2020,1039,4,859,176
5/2/2020,1039,4,864,171
5/3/2020,1039,4,879,156
5/4/2020,1040,4,900,136
5/5/2020,1040,4,920,116
5/6/2020,1040,4,932,104
5/7/2020,1044,4,944,96
5/8/2020,1044,4,960,80
5/9/2020,1044,4,967,73
5/10/2020,1047,4,982,61
5/11/2020,1047,4,985,58
5/12/2020,1047,4,991,52
5/13/2020,1050,4,1008,38
5/14/2020,1051,4,1009,38
5/15/2020,1052,4,1019,29
5/16/2020,1052,4,1022,26
5/17/2020,1055,4,1024,27
5/18/2020,1055,4,1025,26
5/19/2020,1055,4,1025,26
5/20/2020,1055,4,1025,26
5/21/2020,1055,4,1025,26
5/22/2020,1065,4,1029,32
5/23/2020,1065,4,1029,32
5/24/2020,1065,4,1030,31
5/25/2020,1065,4,1030,31
5/26/2020,1065,4,1033,28
5/27/2020,1066,4,1034,28
5/28/2020,1066,4,1035,27
5/29/2020,1079,4,1035,40
5/30/2020,1082,4,1036,42
5/31/2020,1084,4,1037,43
6/1/2020,1087,4,1037,46
6/2/2020,1093,4,1038,51
6/3/2020,1093,4,1039,50
6/4/2020,1099,4,1042,53
6/5/2020,1102,4,1045,53
6/6/2020,1105,4,1048,53
6/7/2020,1106,4,1049,53
6/8/2020,1107,4,1049,54
6/9/2020,1107,4,1050,53
6/10/2020,1107,4,1051,52
6/11/2020,1107,4,1055,48
6/12/2020,1108,4,1060,44
6/13/2020,1109,4,1061,44
6/14/2020,1109,4,1067,38
6/15/2020,1112,4,1067,41
6/16/2020,1112,4,1069,39
6/17/2020,1120,4,1071,45
6/18/2020,1124,4,1072,48
6/19/2020,1124,4,1072,48
6/20/2020,1128,5,1077,46
6/21/2020,1131,5,1078,48
6/22/2020,1161,5,1078,78
6/23/2020,1177,6,1083,88
6/24/2020,1179,6,1086,87
6/25/2020,1193,7,1088,98
6/26/2020,1196,7,1091,98
6/27/2020,1197,7,1095,95
6/28/2020,1199,7,1104,88
6/29/2020,1203,7,1105,91
6/30/2020,1205,7,1107,91
7/1/2020,1233,7,1117,109
7/2/2020,1242,7,1120,115
7/3/2020,1247,7,1125,115
