,Confirmed,Deaths,Recovered,CurrentConfirmed
1/22/2020,0,0,0,0
1/23/2020,0,0,0,0
1/24/2020,1,0,0,1
1/25/2020,7,0,0,7
1/26/2020,7,0,0,7
1/27/2020,11,0,0,11
1/28/2020,15,0,0,15
1/29/2020,16,0,0,16
1/30/2020,19,0,0,19
1/31/2020,20,0,1,19
2/1/2020,23,0,1,22
2/2/2020,27,0,1,26
2/3/2020,34,0,1,33
2/4/2020,35,0,1,34
2/5/2020,42,0,3,39
2/6/2020,46,0,4,42
2/7/2020,50,0,5,45
2/8/2020,52,0,5,47
2/9/2020,54,0,5,49
2/10/2020,58,0,5,53
2/11/2020,58,0,5,53
2/12/2020,60,0,6,54
2/13/2020,61,0,6,55
2/14/2020,65,0,6,59
2/15/2020,68,0,7,61
2/16/2020,70,0,8,62
2/17/2020,72,0,8,64
2/18/2020,73,0,8,65
2/19/2020,75,0,10,65
2/20/2020,75,0,16,59
2/21/2020,75,0,17,58
2/22/2020,75,0,26,49
2/23/2020,75,0,27,48
2/24/2020,75,0,34,41
2/25/2020,75,0,35,40
2/26/2020,75,0,38,37
2/27/2020,75,0,43,32
2/28/2020,75,0,45,30
2/29/2020,75,0,49,26
3/1/2020,75,0,52,23
3/2/2020,75,0,54,21
3/3/2020,75,1,59,15
3/4/2020,75,1,63,11
3/5/2020,75,1,65,9
3/6/2020,75,1,65,9
3/7/2020,75,1,67,7
3/8/2020,75,1,70,4
3/9/2020,75,1,70,4
3/10/2020,75,1,70,4
3/11/2020,75,1,71,3
3/12/2020,75,1,71,3
3/13/2020,75,1,71,3
3/14/2020,75,1,71,3
3/15/2020,75,1,71,3
3/16/2020,75,1,73,1
3/17/2020,75,1,73,1
3/18/2020,75,1,73,1
3/19/2020,75,1,74,0
3/20/2020,75,1,74,0
3/21/2020,75,1,74,0
3/22/2020,75,1,74,0
3/23/2020,75,1,74,0
3/24/2020,75,1,74,0
3/25/2020,77,1,74,2
3/26/2020,89,1,74,14
3/27/2020,92,1,74,17
3/28/2020,94,1,74,19
3/29/2020,95,1,74,20
3/30/2020,97,1,74,22
3/31/2020,107,1,74,32
4/1/2020,111,1,74,36
4/2/2020,117,1,74,42
4/3/2020,117,1,74,42
4/4/2020,117,1,74,42
4/5/2020,117,1,74,42
4/6/2020,118,1,74,43
4/7/2020,121,1,74,46
4/8/2020,124,1,74,49
4/9/2020,126,1,79,46
4/10/2020,128,1,79,48
4/11/2020,155,1,79,75
4/12/2020,189,1,83,105
4/13/2020,190,1,83,106
4/14/2020,190,1,91,98
4/15/2020,190,1,94,95
4/16/2020,193,1,94,98
4/17/2020,193,1,103,89
4/18/2020,193,1,104,88
4/19/2020,193,1,104,88
4/20/2020,194,1,104,89
4/21/2020,194,1,108,85
4/22/2020,194,1,108,85
4/23/2020,194,1,108,85
4/24/2020,197,1,114,82
4/25/2020,198,1,121,76
4/26/2020,198,1,129,68
4/27/2020,199,1,145,53
4/28/2020,199,1,146,52
4/29/2020,200,1,150,49
4/30/2020,201,1,152,48
5/1/2020,201,1,154,46
5/2/2020,201,1,154,46
5/3/2020,201,1,156,44
5/4/2020,201,1,160,40
5/5/2020,201,1,167,33
5/6/2020,201,1,171,29
5/7/2020,201,1,172,28
5/8/2020,201,1,172,28
5/9/2020,201,1,184,16
5/10/2020,208,1,187,20
5/11/2020,209,1,188,20
5/12/2020,209,1,190,18
5/13/2020,209,1,190,18
5/14/2020,209,1,194,14
5/15/2020,209,1,196,12
5/16/2020,209,1,196,12
5/17/2020,213,1,196,16
5/18/2020,216,1,196,19
5/19/2020,216,1,196,19
5/20/2020,216,1,196,19
5/21/2020,216,1,196,19
5/22/2020,217,1,199,17
