,Confirmed,Deaths,Recovered,CurrentConfirmed
1/22/2020,1,0,0,1
1/23/2020,5,0,0,5
1/24/2020,9,0,0,9
1/25/2020,18,0,1,17
1/26/2020,33,0,1,32
1/27/2020,47,0,1,46
1/28/2020,70,0,1,69
1/29/2020,99,0,1,98
1/30/2020,129,0,1,128
1/31/2020,168,0,5,163
2/1/2020,202,0,6,196
2/2/2020,236,0,7,229
2/3/2020,271,0,8,263
2/4/2020,308,0,12,296
2/5/2020,341,0,23,318
2/6/2020,373,0,34,339
2/7/2020,408,0,43,365
2/8/2020,439,0,51,388
2/9/2020,468,0,71,397
2/10/2020,492,0,81,411
2/11/2020,515,0,93,422
2/12/2020,543,0,125,418
2/13/2020,570,0,139,431
2/14/2020,593,0,157,436
2/15/2020,604,0,186,418
2/16/2020,617,0,218,399
2/17/2020,626,0,258,368
2/18/2020,629,0,280,349
2/19/2020,631,0,318,313
2/20/2020,631,0,356,275
2/21/2020,631,0,373,258
2/22/2020,631,0,401,230
2/23/2020,631,0,418,213
2/24/2020,631,0,452,179
2/25/2020,631,0,458,173
2/26/2020,631,0,478,153
2/27/2020,631,0,498,133
2/28/2020,631,0,515,116
2/29/2020,631,0,523,108
3/1/2020,631,0,536,95
3/2/2020,631,0,543,88
3/3/2020,631,0,562,69
3/4/2020,631,0,577,54
3/5/2020,631,0,583,48
3/6/2020,631,0,594,37
3/7/2020,631,0,606,25
3/8/2020,631,0,612,19
3/9/2020,631,0,621,10
3/10/2020,631,0,627,4
3/11/2020,631,0,627,4
3/12/2020,631,0,629,2
3/13/2020,631,0,630,1
3/14/2020,631,0,630,1
3/15/2020,631,0,631,0
3/16/2020,631,0,631,0
3/17/2020,631,0,631,0
3/18/2020,631,0,631,0
3/19/2020,631,0,631,0
3/20/2020,631,0,631,0
3/21/2020,631,0,631,0
3/22/2020,633,0,631,2
3/23/2020,633,0,631,2
3/24/2020,636,0,631,5
3/25/2020,638,0,631,7
3/26/2020,640,0,631,9
3/27/2020,641,0,631,10
3/28/2020,641,0,631,10
3/29/2020,644,0,631,13
3/30/2020,645,0,631,14
3/31/2020,646,0,631,15
4/1/2020,646,0,631,15
4/2/2020,647,0,631,16
4/3/2020,651,0,632,19
4/4/2020,651,0,632,19
4/5/2020,651,0,633,18
4/6/2020,651,0,633,18
4/7/2020,651,0,633,18
4/8/2020,651,0,633,18
4/9/2020,651,0,633,18
4/10/2020,651,0,634,17
4/11/2020,652,0,636,16
4/12/2020,653,0,638,15
4/13/2020,653,0,638,15
4/14/2020,653,0,641,12
4/15/2020,653,0,642,11
4/16/2020,653,0,642,11
4/17/2020,653,0,643,10
4/18/2020,653,0,643,10
4/19/2020,653,0,643,10
4/20/2020,653,0,643,10
4/21/2020,653,0,644,9
4/22/2020,653,0,645,8
4/23/2020,653,0,646,7
4/24/2020,653,0,646,7
4/25/2020,653,0,646,7
4/26/2020,653,0,646,7
4/27/2020,653,0,646,7
4/28/2020,653,0,647,6
4/29/2020,653,0,648,5
4/30/2020,653,0,650,3
5/1/2020,653,0,650,3
5/2/2020,653,0,650,3
5/3/2020,653,0,650,3
5/4/2020,653,0,650,3
5/5/2020,653,0,650,3
5/6/2020,653,0,651,2
5/7/2020,653,0,652,1
