,Confirmed,Deaths,Recovered,CurrentConfirmed
1/22/2020,2,0,0,2
1/23/2020,3,0,0,3
1/24/2020,4,0,0,4
1/25/2020,17,0,0,17
1/26/2020,21,0,0,21
1/27/2020,27,0,0,27
1/28/2020,34,0,0,34
1/29/2020,39,0,1,38
1/30/2020,41,0,1,40
1/31/2020,48,0,1,47
2/1/2020,64,0,1,63
2/2/2020,70,0,1,69
2/3/2020,74,0,1,73
2/4/2020,81,0,2,79
2/5/2020,89,0,4,85
2/6/2020,94,0,5,89
2/7/2020,99,0,7,92
2/8/2020,105,0,8,97
2/9/2020,107,0,12,95
2/10/2020,108,0,13,95
2/11/2020,111,0,19,92
2/12/2020,116,1,20,95
2/13/2020,117,1,22,94
2/14/2020,119,1,29,89
2/15/2020,119,1,31,87
2/16/2020,121,1,40,80
2/17/2020,121,1,43,77
2/18/2020,121,1,53,67
2/19/2020,121,1,55,65
2/20/2020,121,1,59,61
2/21/2020,121,1,61,59
2/22/2020,121,1,66,54
2/23/2020,121,1,73,47
2/24/2020,121,1,80,40
2/25/2020,121,1,83,37
2/26/2020,121,1,88,32
2/27/2020,121,1,93,27
2/28/2020,121,1,93,27
2/29/2020,121,1,96,24
3/1/2020,122,1,103,18
3/2/2020,122,1,103,18
3/3/2020,125,1,106,18
3/4/2020,125,1,106,18
3/5/2020,125,1,106,18
3/6/2020,125,1,106,18
3/7/2020,125,1,107,17
3/8/2020,125,1,109,15
3/9/2020,125,1,109,15
3/10/2020,125,1,111,13
3/11/2020,125,1,111,13
3/12/2020,125,1,112,12
3/13/2020,125,1,112,12
3/14/2020,125,1,113,11
3/15/2020,125,1,114,10
3/16/2020,125,1,115,9
3/17/2020,125,1,120,4
3/18/2020,125,1,122,2
3/19/2020,125,1,122,2
3/20/2020,126,2,122,2
3/21/2020,126,2,122,2
3/22/2020,127,2,124,1
3/23/2020,127,2,124,1
3/24/2020,127,2,124,1
3/25/2020,127,2,124,1
3/26/2020,128,2,124,2
3/27/2020,128,2,124,2
3/28/2020,132,2,124,6
3/29/2020,134,2,124,8
3/30/2020,136,2,124,10
3/31/2020,139,2,124,13
4/1/2020,140,2,124,14
4/2/2020,141,2,124,15
4/3/2020,141,2,124,15
4/4/2020,141,2,125,14
4/5/2020,142,2,126,14
4/6/2020,142,2,128,12
4/7/2020,144,2,130,12
4/8/2020,144,2,131,11
4/9/2020,144,2,132,10
4/10/2020,144,2,132,10
4/11/2020,145,2,133,10
4/12/2020,145,2,136,7
4/13/2020,145,2,136,7
4/14/2020,145,2,138,5
4/15/2020,145,2,138,5
4/16/2020,145,2,140,3
4/17/2020,146,2,140,4
4/18/2020,146,2,142,2
4/19/2020,146,2,142,2
4/20/2020,146,2,143,1
4/21/2020,146,2,143,1
4/22/2020,146,2,143,1
4/23/2020,146,2,143,1
4/24/2020,146,2,143,1
4/25/2020,146,2,143,1
4/26/2020,146,2,143,1
4/27/2020,146,2,143,1
4/28/2020,146,2,143,1
4/29/2020,146,2,143,1
4/30/2020,146,2,143,1
5/1/2020,146,2,144,0
5/2/2020,146,2,144,0
5/3/2020,146,2,144,0
5/4/2020,146,2,144,0
5/5/2020,146,2,144,0
5/6/2020,146,2,144,0
5/7/2020,146,2,144,0
5/8/2020,146,2,144,0
5/9/2020,146,2,144,0
5/10/2020,147,2,144,1
5/11/2020,147,2,144,1
5/12/2020,147,2,144,1
5/13/2020,149,2,144,3
5/14/2020,149,2,144,3
5/15/2020,149,2,144,3
5/16/2020,149,2,144,3
5/17/2020,149,2,144,3
5/18/2020,149,2,144,3
5/19/2020,149,2,144,3
5/20/2020,149,2,144,3
5/21/2020,149,2,144,3
5/22/2020,149,2,144,3
5/23/2020,149,2,144,3
5/24/2020,149,2,145,2
5/25/2020,149,2,147,0
5/26/2020,149,2,147,0
5/27/2020,149,2,147,0
5/28/2020,149,2,147,0
5/29/2020,149,2,147,0
5/30/2020,149,2,147,0
5/31/2020,149,2,147,0
6/1/2020,149,2,147,0
6/2/2020,149,2,147,0
6/3/2020,149,2,147,0
6/4/2020,149,2,147,0
6/5/2020,149,2,147,0
6/6/2020,149,2,147,0
6/7/2020,149,2,147,0
6/8/2020,149,2,147,0
6/9/2020,149,2,147,0
6/10/2020,149,2,147,0
6/11/2020,149,2,147,0
6/12/2020,149,2,147,0
6/13/2020,151,2,147,2
6/14/2020,151,2,147,2
6/15/2020,152,2,147,3
6/16/2020,152,2,147,3
6/17/2020,152,2,147,3
6/18/2020,153,2,147,4
6/19/2020,153,2,147,4
6/20/2020,153,2,147,4
6/21/2020,154,2,147,5
6/22/2020,154,2,147,5
6/23/2020,154,2,147,5
6/24/2020,154,2,147,5
6/25/2020,154,2,147,5
6/26/2020,154,2,147,5
6/27/2020,154,2,147,5
6/28/2020,155,2,147,6
6/29/2020,155,2,147,6
6/30/2020,155,2,148,5
7/1/2020,155,2,148,5
7/2/2020,156,2,148,6
7/3/2020,156,2,149,5
7/4/2020,156,2,150,4
7/5/2020,157,2,150,5
7/6/2020,157,2,150,5
7/7/2020,159,2,150,7
7/8/2020,162,2,150,10
7/9/2020,162,2,150,10
7/10/2020,162,2,150,10
7/11/2020,164,2,150,12
7/12/2020,164,2,150,12
7/13/2020,164,2,150,12
7/14/2020,164,2,150,12
7/15/2020,164,2,150,12
7/16/2020,164,2,151,11
7/17/2020,164,2,152,10
7/18/2020,164,2,153,9
7/19/2020,164,2,154,8
7/20/2020,164,2,156,6
7/21/2020,164,2,157,5
7/22/2020,165,2,158,5
7/23/2020,167,2,158,7
7/24/2020,176,2,159,15
7/25/2020,189,2,159,28
7/26/2020,203,2,160,41
7/27/2020,209,2,160,47
7/28/2020,217,2,160,55
7/29/2020,222,2,160,60
7/30/2020,233,2,160,71
7/31/2020,241,2,160,79
8/1/2020,244,2,160,82
8/2/2020,253,2,160,91
8/3/2020,255,2,160,93
8/4/2020,255,2,160,93
8/5/2020,258,2,161,95
8/6/2020,259,2,165,92
8/7/2020,259,2,168,89
8/8/2020,259,2,174,83
8/9/2020,261,2,181,78
8/10/2020,261,2,186,73
8/11/2020,261,2,191,68
8/12/2020,261,2,202,57
8/13/2020,261,2,207,52
8/14/2020,261,2,220,39
8/15/2020,261,2,226,33
8/16/2020,261,2,227,32
8/17/2020,261,2,227,32
8/18/2020,261,2,232,27
8/19/2020,261,2,242,17
8/20/2020,261,2,245,14
8/21/2020,261,2,245,14
8/22/2020,261,2,248,11
8/23/2020,261,2,250,9
8/24/2020,262,2,253,7
8/25/2020,262,2,254,6
8/26/2020,262,2,254,6
8/27/2020,262,2,256,4
8/28/2020,262,2,258,2
8/29/2020,262,2,259,1
8/30/2020,262,2,259,1
8/31/2020,262,2,259,1
9/1/2020,262,2,259,1
9/2/2020,263,2,259,2
9/3/2020,263,2,259,2
9/4/2020,263,2,259,2
9/5/2020,263,2,259,2
9/6/2020,263,2,259,2
9/7/2020,263,2,260,1
9/8/2020,263,2,260,1
9/9/2020,263,2,260,1
9/10/2020,264,2,260,2
9/11/2020,264,2,260,2
9/12/2020,264,2,261,1
9/13/2020,264,2,261,1
9/14/2020,264,2,261,1
9/15/2020,264,2,262,0
9/16/2020,264,2,262,0
9/17/2020,264,2,262,0
9/18/2020,265,2,262,1
9/19/2020,265,2,262,1
9/20/2020,265,2,262,1
9/21/2020,265,2,262,1
9/22/2020,265,2,262,1
9/23/2020,267,2,262,3
9/24/2020,267,2,263,2
9/25/2020,267,2,263,2
9/26/2020,271,2,263,6
9/27/2020,271,2,263,6
9/28/2020,271,2,263,6
9/29/2020,271,2,263,6
9/30/2020,271,2,263,6
10/1/2020,271,2,263,6
10/2/2020,271,2,264,5
10/3/2020,271,2,266,3
10/4/2020,271,2,266,3
10/5/2020,271,2,266,3
10/6/2020,271,2,266,3
10/7/2020,271,2,268,1
10/8/2020,273,2,268,3
10/9/2020,275,2,269,4
10/10/2020,276,2,269,5
10/11/2020,280,2,269,9
10/12/2020,280,2,269,9
10/13/2020,280,2,269,9
10/14/2020,280,2,269,9
10/15/2020,280,2,270,8
10/16/2020,280,2,270,8
10/17/2020,280,2,270,8
10/18/2020,280,2,270,8
10/19/2020,280,2,270,8
10/20/2020,280,2,271,7
10/21/2020,280,2,271,7
10/22/2020,280,2,271,7
10/23/2020,280,2,271,7
10/24/2020,283,2,272,9
10/25/2020,283,2,272,9
10/26/2020,283,2,273,8
10/27/2020,283,2,273,8
10/28/2020,283,2,276,5
10/29/2020,283,2,276,5
10/30/2020,283,2,276,5
10/31/2020,283,2,278,3
11/1/2020,283,2,278,3
11/2/2020,283,2,278,3
11/3/2020,283,2,278,3
11/4/2020,283,2,278,3
11/5/2020,284,2,279,3
11/6/2020,284,2,279,3
11/7/2020,284,2,279,3
11/8/2020,285,2,279,4
11/9/2020,285,2,280,3
11/10/2020,286,2,280,4
11/11/2020,286,2,280,4
11/12/2020,286,2,280,4
11/13/2020,288,2,280,6
11/14/2020,288,2,280,6
11/15/2020,288,2,280,6
11/16/2020,288,2,280,6
11/17/2020,289,2,280,7
11/18/2020,289,2,281,6
11/19/2020,289,2,281,6
11/20/2020,289,2,281,6
11/21/2020,289,2,281,6
11/22/2020,289,2,283,4
11/23/2020,289,2,283,4
11/24/2020,289,2,285,2
11/25/2020,289,2,285,2
11/26/2020,289,2,286,1
11/27/2020,289,2,286,1
11/28/2020,289,2,286,1
11/29/2020,289,2,286,1
11/30/2020,289,2,286,1
12/1/2020,289,2,286,1
12/2/2020,289,2,286,1
12/3/2020,289,2,287,0
12/4/2020,289,2,287,0
12/5/2020,289,2,287,0
12/6/2020,289,2,287,0
12/7/2020,289,2,287,0
12/8/2020,289,2,287,0
12/9/2020,289,2,287,0
12/10/2020,289,2,287,0
12/11/2020,289,2,287,0
12/12/2020,289,2,287,0
12/13/2020,289,2,287,0
12/14/2020,289,2,287,0
12/15/2020,289,2,287,0
12/16/2020,289,2,287,0
12/17/2020,289,2,287,0
12/18/2020,290,2,287,1
12/19/2020,291,2,287,2
12/20/2020,292,2,287,3
12/21/2020,294,2,287,5
12/22/2020,295,2,287,6
12/23/2020,302,2,287,13
12/24/2020,310,2,287,21
12/25/2020,316,2,287,27
12/26/2020,323,2,287,34
12/27/2020,329,2,287,40
12/28/2020,337,2,287,48
12/29/2020,342,2,287,53
12/30/2020,347,2,287,58
