,Confirmed,Deaths,Recovered,CurrentConfirmed
1/22/2020,9,0,0,9
1/23/2020,16,0,0,16
1/24/2020,20,0,1,19
1/25/2020,33,0,1,32
1/26/2020,40,1,1,38
1/27/2020,53,1,3,49
1/28/2020,66,1,4,61
1/29/2020,96,1,5,90
1/30/2020,112,1,5,106
1/31/2020,135,1,9,125
2/1/2020,169,1,10,158
2/2/2020,182,1,10,171
2/3/2020,203,1,10,192
2/4/2020,219,1,12,206
2/5/2020,243,1,15,227
2/6/2020,257,1,25,231
2/7/2020,277,1,30,246
2/8/2020,286,1,41,244
2/9/2020,293,1,44,248
2/10/2020,299,1,48,250
2/11/2020,303,1,52,250
2/12/2020,311,1,57,253
2/13/2020,315,1,62,252
2/14/2020,318,1,90,227
2/15/2020,326,1,124,201
2/16/2020,328,1,140,187
2/17/2020,333,1,161,171
2/18/2020,333,1,177,155
2/19/2020,333,2,186,145
2/20/2020,334,2,199,133
2/21/2020,334,2,211,121
2/22/2020,335,3,227,105
2/23/2020,335,3,249,83
2/24/2020,335,3,261,71
2/25/2020,336,3,268,65
2/26/2020,337,3,272,62
2/27/2020,337,3,276,58
2/28/2020,337,3,279,55
2/29/2020,337,3,287,47
3/1/2020,337,3,290,44
3/2/2020,337,3,292,42
3/3/2020,338,3,294,41
3/4/2020,338,3,298,37
3/5/2020,339,3,303,33
3/6/2020,342,3,306,33
3/7/2020,342,3,313,26
3/8/2020,342,3,314,25
3/9/2020,342,3,315,24
3/10/2020,344,3,319,22
3/11/2020,344,3,320,21
3/12/2020,344,3,321,20
3/13/2020,346,3,324,19
3/14/2020,353,3,324,26
3/15/2020,353,3,324,26
3/16/2020,355,3,325,27
3/17/2020,358,3,325,30
3/18/2020,361,3,326,32
3/19/2020,363,3,326,34
3/20/2020,371,3,326,42
3/21/2020,380,3,327,50
3/22/2020,404,4,328,72
3/23/2020,404,4,329,71
3/24/2020,414,4,330,80
3/25/2020,433,5,330,98
3/26/2020,451,5,331,115
3/27/2020,468,5,334,129
3/28/2020,485,5,334,146
3/29/2020,492,5,334,153
3/30/2020,498,5,338,155
3/31/2020,509,5,341,163
4/1/2020,516,6,341,169
4/2/2020,522,6,343,173
4/3/2020,526,6,348,172
4/4/2020,529,6,356,167
4/5/2020,531,6,383,142
4/6/2020,536,6,389,141
4/7/2020,538,6,406,126
4/8/2020,543,7,418,118
4/9/2020,552,7,422,123
4/10/2020,555,7,435,113
4/11/2020,555,7,438,110
4/12/2020,607,7,446,154
4/13/2020,618,7,446,165
4/14/2020,618,7,468,143
4/15/2020,622,7,485,130
4/16/2020,628,7,489,132
4/17/2020,628,7,512,109
4/18/2020,628,7,512,109
4/19/2020,635,7,521,107
4/20/2020,638,7,530,101
4/21/2020,638,7,530,101
4/22/2020,639,7,534,98
4/23/2020,641,7,533,101
4/24/2020,641,7,558,76
4/25/2020,642,7,558,77
4/26/2020,642,7,568,67
4/27/2020,644,7,581,56
4/28/2020,645,7,584,54
4/29/2020,647,7,597,43
4/30/2020,652,7,599,46
5/1/2020,652,7,612,33
5/2/2020,652,7,612,33
5/3/2020,655,7,615,33
5/4/2020,656,7,619,30
5/5/2020,656,7,620,29
5/6/2020,657,7,620,30
5/7/2020,657,7,623,27
5/8/2020,657,7,623,27
5/9/2020,659,7,626,26
5/10/2020,659,7,627,25
5/11/2020,659,7,627,25
5/12/2020,660,7,631,22
5/13/2020,660,7,633,20
5/14/2020,660,7,638,15
5/15/2020,665,7,640,18
5/16/2020,665,7,641,17
5/17/2020,666,7,641,18
5/18/2020,666,7,641,18
5/19/2020,666,7,641,18
5/20/2020,666,7,641,18
5/21/2020,666,7,641,18
5/22/2020,667,7,647,13
5/23/2020,668,7,647,14
5/24/2020,668,7,648,13
5/25/2020,669,7,652,10
5/26/2020,670,7,653,10
5/27/2020,671,7,655,9
5/28/2020,671,7,655,9
5/29/2020,672,7,657,8
5/30/2020,672,7,657,8
5/31/2020,672,7,657,8
6/1/2020,673,7,660,6
6/2/2020,673,7,661,5
6/3/2020,673,7,661,5
6/4/2020,677,7,662,8
6/5/2020,677,7,663,7
6/6/2020,677,7,664,6
6/7/2020,678,7,664,7
6/8/2020,678,7,664,7
6/9/2020,678,7,665,6
6/10/2020,684,7,665,12
6/11/2020,689,7,666,16
6/12/2020,690,7,666,17
6/13/2020,691,7,666,18
6/14/2020,692,7,667,18
6/15/2020,695,7,667,21
6/16/2020,695,7,667,21
6/17/2020,697,7,668,22
6/18/2020,697,7,668,22
6/19/2020,697,7,668,22
6/20/2020,698,7,668,23
6/21/2020,701,7,668,26
6/22/2020,701,7,669,25
6/23/2020,703,7,669,27
6/24/2020,703,7,670,26
6/25/2020,705,7,672,26
6/26/2020,706,7,674,25
6/27/2020,707,7,675,25
6/28/2020,708,7,675,26
6/29/2020,712,7,675,30
6/30/2020,712,7,675,30
7/1/2020,713,7,677,29
7/2/2020,714,7,678,29
7/3/2020,715,7,681,27
7/4/2020,716,7,681,28
7/5/2020,716,7,681,28
7/6/2020,716,7,685,24
7/7/2020,718,7,688,23
7/8/2020,721,7,689,25
7/9/2020,721,7,689,25
7/10/2020,721,7,689,25
7/11/2020,724,7,689,28
7/12/2020,725,7,689,29
7/13/2020,725,7,689,29
7/14/2020,731,7,690,34
7/15/2020,732,7,691,34
7/16/2020,733,7,699,27
7/17/2020,733,7,699,27
7/18/2020,733,7,701,25
7/19/2020,733,7,707,19
7/20/2020,735,7,708,20
7/21/2020,737,7,709,21
7/22/2020,738,7,711,20
7/23/2020,739,7,712,20
7/24/2020,741,7,712,22
7/25/2020,741,7,716,18
7/26/2020,741,7,717,17
7/27/2020,743,7,718,18
7/28/2020,744,7,720,17
7/29/2020,744,7,720,17
7/30/2020,744,7,720,17
7/31/2020,748,7,724,17
8/1/2020,749,7,725,17
8/2/2020,749,7,725,17
8/3/2020,750,7,727,16
8/4/2020,752,7,727,18
8/5/2020,757,7,727,23
8/6/2020,764,7,728,29
8/7/2020,766,7,729,30
8/8/2020,768,7,730,31
8/9/2020,786,7,731,48
8/10/2020,794,7,734,53
8/11/2020,798,7,737,54
8/12/2020,800,7,737,56
8/13/2020,816,7,739,70
8/14/2020,820,7,740,73
8/15/2020,825,7,745,73
8/16/2020,828,7,752,69
8/17/2020,842,7,752,83
8/18/2020,850,7,754,89
8/19/2020,851,7,769,75
8/20/2020,862,7,777,78
8/21/2020,875,7,783,85
8/22/2020,875,7,796,72
8/23/2020,880,7,796,77
8/24/2020,882,7,799,76
8/25/2020,886,7,805,74
8/26/2020,888,7,807,74
8/27/2020,891,7,819,65
8/28/2020,894,7,826,61
8/29/2020,897,7,829,61
8/30/2020,903,7,841,55
8/31/2020,904,7,840,57
9/1/2020,908,7,842,59
9/2/2020,908,7,849,52
9/3/2020,913,7,854,52
9/4/2020,916,7,860,49
9/5/2020,918,7,866,45
9/6/2020,922,7,869,46
9/7/2020,922,7,872,43
9/8/2020,923,7,875,41
9/9/2020,929,7,877,45
9/10/2020,937,7,887,43
9/11/2020,939,7,887,45
9/12/2020,942,7,890,45
9/13/2020,947,7,897,43
9/14/2020,948,7,900,41
9/15/2020,950,7,904,39
9/16/2020,954,7,909,38
9/17/2020,966,7,909,50
9/18/2020,968,7,910,51
9/19/2020,972,7,916,49
9/20/2020,974,7,919,48
9/21/2020,975,7,923,45
9/22/2020,975,7,923,45
9/23/2020,977,7,926,44
9/24/2020,981,7,928,46
9/25/2020,981,7,932,42
9/26/2020,982,7,934,41
9/27/2020,992,7,936,49
9/28/2020,997,7,939,51
9/29/2020,999,7,942,50
9/30/2020,1006,7,947,52
10/1/2020,1007,7,950,50
10/2/2020,1011,7,953,51
10/3/2020,1012,7,955,50
10/4/2020,1022,7,957,58
10/5/2020,1024,7,958,59
10/6/2020,1025,7,960,58
10/7/2020,1030,7,966,57
10/8/2020,1036,7,971,58
10/9/2020,1038,7,976,55
10/10/2020,1048,7,980,61
10/11/2020,1053,7,981,65
10/12/2020,1056,7,985,64
10/13/2020,1061,7,988,66
10/14/2020,1064,7,993,64
10/15/2020,1075,7,996,72
10/16/2020,1080,7,997,76
10/17/2020,1085,7,1003,75
10/18/2020,1090,7,1011,72
10/19/2020,1095,7,1013,75
10/20/2020,1097,7,1021,69
10/21/2020,1105,7,1026,72
10/22/2020,1114,7,1028,79
10/23/2020,1123,7,1031,85
10/24/2020,1128,7,1034,87
10/25/2020,1139,7,1045,87
10/26/2020,1142,7,1046,89
10/27/2020,1149,7,1048,94
10/28/2020,1155,7,1049,99
10/29/2020,1168,7,1059,102
10/30/2020,1176,7,1067,102
10/31/2020,1181,7,1074,100
11/1/2020,1187,7,1085,95
11/2/2020,1196,7,1096,93
11/3/2020,1200,7,1101,92
11/4/2020,1208,7,1111,90
11/5/2020,1223,7,1116,100
11/6/2020,1234,7,1122,105
11/7/2020,1241,7,1136,98
11/8/2020,1254,7,1143,104
11/9/2020,1259,7,1151,101
11/10/2020,1264,7,1154,103
11/11/2020,1268,7,1157,104
11/12/2020,1271,7,1164,100
11/13/2020,1276,7,1167,102
11/14/2020,1277,7,1174,96
11/15/2020,1277,7,1183,87
11/16/2020,1281,7,1198,76
11/17/2020,1285,7,1207,71
11/18/2020,1286,7,1215,64
11/19/2020,1290,7,1223,60
11/20/2020,1301,7,1231,63
11/21/2020,1305,7,1233,65
11/22/2020,1308,7,1236,65
11/23/2020,1312,7,1242,63
11/24/2020,1314,7,1249,58
11/25/2020,1319,7,1253,59
11/26/2020,1322,7,1253,62
11/27/2020,1322,7,1257,58
11/28/2020,1325,7,1266,52
11/29/2020,1330,7,1272,51
11/30/2020,1332,7,1277,48
12/1/2020,1333,7,1279,47
12/2/2020,1341,7,1280,54
12/3/2020,1350,7,1285,58
12/4/2020,1353,7,1288,58
12/5/2020,1359,7,1291,61
12/6/2020,1366,7,1294,65
12/7/2020,1370,7,1299,64
12/8/2020,1376,7,1300,69
12/9/2020,1385,7,1302,76
12/10/2020,1390,7,1302,81
12/11/2020,1395,7,1306,82
12/12/2020,1405,7,1309,89
12/13/2020,1412,7,1313,92
